"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepAndyBiggs","774716719375468_774718182708655","Congressman Andy Biggs","2017-01-03","2017-01-03 22:37:28",NA,"photo","https://www.facebook.com/RepAndyBiggs/photos/a.774718112708662.1073741826.774716719375468/774718116041995/?type=3",NA,34,11,2,5,0,1,0,0
"RepAndyBiggs","774716719375468_775068192673654","Congressman Andy Biggs","2017-01-04","2017-01-04 16:27:42","It was an honor to be sworn in yesterday to the 115th Congress! I will work hard every day for my constituents of Arizona's Fifth Congressional District.","photo","https://www.facebook.com/RepAndyBiggs/photos/a.775068926006914.1073741827.774716719375468/775068192673654/?type=3",NA,59,11,10,7,0,0,0,0
"RepAndyBiggs","774716719375468_775208799326260","Congressman Andy Biggs","2017-01-05","2017-01-05 00:31:00","Yesterday, I introduced my first bill in Congress - H.R. 84, which protects the right of law-abiding citizens to transport knives interstate, notwithstanding a patchwork of local and State prohibitions, and to repeal federal provisions related to switchblade knives which burden citizens.","link","http://www.ammoland.com/2017/01/knife-rights-repeal-federal-switchblade-act-introduced-congress/#axzz4UpB2ItEz","ammoland.com",28,4,41,0,0,0,0,0
"RepAndyBiggs","774716719375468_775537352626738","Congressman Andy Biggs","2017-01-05","2017-01-05 15:19:21","Heading down to the floor of the House to join many of my colleagues in reading the U.S. Constitution.","photo","https://www.facebook.com/RepAndyBiggs/photos/a.775068926006914.1073741827.774716719375468/775537352626738/?type=3",NA,29,4,1,5,0,0,0,0
"RepAndyBiggs","774716719375468_775596169287523","Congressman Andy Biggs","2017-01-05","2017-01-05 17:25:44","Thanks to Jim Sharpe and Jayme West on AZs Morning News for interviewing me on KTAR News. We discussed my first week in Congress and the path forward for repealing and replacing ObamaCare.","link","http://ktar.com/category/podcast_player/?a=328267&sid=1027&n=Arizona%27s+Morning+News","ktar.com",17,1,3,1,0,0,0,1
"RepAndyBiggs","774716719375468_775725279274612","Congressman Andy Biggs","2017-01-06","2017-01-06 00:17:41","I just participated in a moment of silence on the House floor for the victims of the January 8, 2011 shooting in Tucson. Thankful for Congresswoman Martha McSally for leading us tonight.","photo","https://www.facebook.com/RepAndyBiggs/photos/a.775068926006914.1073741827.774716719375468/775725279274612/?type=3",NA,12,0,1,1,0,0,1,0
"RepAndyBiggs","774716719375468_776018742578599","Congressman Andy Biggs","2017-01-06","2017-01-06 15:57:27","I just participated in a press conference led by Rep. Martha McSally to announce the January 8th National Memorial Legislation to honor the victims of the Tucson shooting in 2011. Here are some of my remarks.","video","https://www.facebook.com/RepAndyBiggs/videos/776018742578599/",NA,10,1,0,1,0,0,0,0
"RepAndyBiggs","774716719375468_776132659233874","Congressman Andy Biggs","2017-01-06","2017-01-06 22:05:00","A lot happened in the first week of the 115th Congress. Read all about it in my first newsletter!","link","https://goo.gl/dqXZJx","goo.gl",9,5,2,0,0,0,0,2
"RepAndyBiggs","774716719375468_777494359097704","Congressman Andy Biggs","2017-01-09","2017-01-09 15:38:48","Thank you to the fine men and women who work hard to keep us safe in CD 5 every day. If you see a law enforcement officer today (and any other day), please tell them ""thank you"" for their service and sacrifice. Maricopa County Sheriff's Office City of Mesa Police Department Gilbert Police Department Chandler Police Department","photo","https://www.facebook.com/chandlerpd/photos/a.484535638251947.104998.195642390474608/1251739321531571/?type=3",NA,14,0,0,2,0,0,0,0
"RepAndyBiggs","774716719375468_777614975752309","Congressman Andy Biggs","2017-01-09","2017-01-09 21:30:00","Looking for some examples of unfunded mandates - and the stories that accompany such mandates. If you have a story of dealing with an unfunded mandate, please message me with your experience with that unfunded mandate and how it has impacted your life and/or a small business. Thank you in advance!","photo","https://www.facebook.com/RepAndyBiggs/photos/a.775068926006914.1073741827.774716719375468/777614975752309/?type=3",NA,4,1,0,0,0,0,0,0
"RepAndyBiggs","774716719375468_778416352338838","Congressman Andy Biggs","2017-01-11","2017-01-11 14:17:44","I am honored to have been selected for the House Judiciary Committee and the House Committee on Science, Space, and Technology.","link","https://biggs.house.gov/media/press-releases/congressman-andy-biggs-announces-committee-assignments","biggs.house.gov",36,4,4,0,0,0,0,0
"RepAndyBiggs","774716719375468_778469085666898","Congressman Andy Biggs","2017-01-11","2017-01-11 16:42:06","My friend Matt Salmon stopped by this morning to hear about our introduction to Congress. Great to see him and to talk about AZ-05.","photo","https://www.facebook.com/RepAndyBiggs/photos/a.775068926006914.1073741827.774716719375468/778469085666898/?type=3",NA,28,2,0,2,0,0,0,0
"RepAndyBiggs","774716719375468_778602835653523","Congressman Andy Biggs","2017-01-12","2017-01-12 01:50:00","Happy to have students from the AAEC Early College High Schools visiting my office earlier today. My staff and I enjoyed interacting with you all.","photo","https://www.facebook.com/RepAndyBiggs/photos/a.775068926006914.1073741827.774716719375468/778602835653523/?type=3",NA,12,1,5,0,0,0,0,0
"RepAndyBiggs","774716719375468_778986788948461","Congressman Andy Biggs","2017-01-12","2017-01-12 15:11:33","This morning, my district staff attended the 2017 East Valley Partnership Breakfast with Governor Doug Ducey on my behalf.","photo","https://www.facebook.com/RepAndyBiggs/photos/a.775068926006914.1073741827.774716719375468/778986788948461/?type=3",NA,12,1,0,2,0,0,0,0
"RepAndyBiggs","774716719375468_779149895598817","Congressman Andy Biggs","2017-01-12","2017-01-12 21:31:55","This U.S. Army veteran has been struggling for years to receive his benefits as his claim languished in the appeals process. My office helped him to finally receive his hard-earned benefits.","photo","https://www.facebook.com/RepAndyBiggs/photos/a.775068926006914.1073741827.774716719375468/779149895598817/?type=3",NA,41,4,5,4,0,0,0,0
"RepAndyBiggs","774716719375468_779236788923461","Congressman Andy Biggs","2017-01-12","2017-01-12 23:56:39","I had a few minutes tonight to go on 960 The Patriot for the Seth and Chris Show to discuss my newly-introduced bill, Grant's Law. Talking under the watchful eye of Barry Goldwater in Statutory Hall.","photo","https://www.facebook.com/RepAndyBiggs/photos/a.775068926006914.1073741827.774716719375468/779236788923461/?type=3",NA,11,1,0,0,0,0,0,0
"RepAndyBiggs","774716719375468_779599132220560","Congressman Andy Biggs","2017-01-13","2017-01-13 15:57:28","Last night, azcentral reported on my recently-introduced bill, ""Grant's Law."" We must ensure that what happened to Grant Ronnebeck does not happen again.","link","http://www.azcentral.com/story/news/politics/border-issues/2017/01/12/us-rep-andy-biggs-pushes-end-catch-and-release-immigration-cases-involving-deportable-crimes/96497480/","azcentral.com",24,4,9,0,0,0,0,0
"RepAndyBiggs","774716719375468_779613262219147","Congressman Andy Biggs","2017-01-13","2017-01-13 19:06:02","Yesterday, for the second time this week, I spoke in the chamber of the House of Representatives. This time, I was given an opportunity to introduce myself to the 115th Congress, talk about my district, and outline my goals for the next two years.","video","https://www.facebook.com/RepAndyBiggs/videos/779613262219147/",NA,68,18,36,6,0,0,1,1
"RepAndyBiggs","774716719375468_779759335537873","Congressman Andy Biggs","2017-01-13","2017-01-13 22:56:32","My district staff attended Mesa Morning Live this morning - great way to spend a Friday with the Mesa Chamber of Commerce, Steve Chucri, and others from the community.","photo","https://www.facebook.com/RepAndyBiggs/photos/a.775068926006914.1073741827.774716719375468/779755132204960/?type=3",NA,5,1,0,1,0,0,0,0
"RepAndyBiggs","774716719375468_780344938812646","Congressman Andy Biggs","2017-01-14","2017-01-14 23:58:44","I had a chance today to stop by our new district office in Mesa. Looking forward to the service we will be able to provide here for our constituents.","photo","https://www.facebook.com/RepAndyBiggs/photos/a.775068926006914.1073741827.774716719375468/780344938812646/?type=3",NA,19,6,0,2,0,0,0,0
"RepAndyBiggs","774716719375468_781294048717735","Congressman Andy Biggs","2017-01-16","2017-01-16 16:56:23","Started off the morning with AZ-05 community leaders to give them an update on the first two weeks of the 115th Congress. We've accomplished a lot, and there's much more to do. Busy week ahead!","photo","https://www.facebook.com/RepAndyBiggs/photos/a.775068926006914.1073741827.774716719375468/781294048717735/?type=3",NA,7,1,1,0,0,0,0,0
