"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepAnnaEshoo","174979964227_10154946004264228","Congresswoman Anna Eshoo","2017-01-06","2017-01-06 20:16:25","To all of my Constituents in the 18th Congressional District, please make sure to exercise extra precaution during this weekend’s expected heavy storms and flooding. For those in need of resources, review the helpful list on my website. Make sure to register in advance to receive local emergency alerts via e-mail and text.   Para los residentes del Distrito 18, por favor asegúrense de tomar precaución adicional durante las fuertes tormentas e inundaciones previstas este fin de semana. Para los que necesiten recursos, revisen la lista de ayuda en mi página y regístrense para recibir alertas de emergencia local por correo electrónico y texto.  http://eshoo.house.gov/constituent-services/storm-preparedness-resources/","link","http://eshoo.house.gov/constituent-services/storm-preparedness-resources/","eshoo.house.gov",75,3,6,2,0,0,0,0
"RepAnnaEshoo","174979964227_10154957462504228","Congresswoman Anna Eshoo","2017-01-10","2017-01-10 22:25:32","Many constituents have contacted me about the President-Elect’s conflicts of interest with his business ties and how this relates to the Emoluments Clause in the U.S. Constitution.  The following video explains it well.  https://www.youtube.com/watch?v=qtVz62r8sSY","video","https://www.youtube.com/watch?v=qtVz62r8sSY",NA,70,29,19,2,0,0,0,4
"RepAnnaEshoo","174979964227_10154968243839228","Congresswoman Anna Eshoo","2017-01-13","2017-01-13 16:44:39","Don’t miss your chance to buy health insurance for 2017! CoveredCA Open Enrollment ends January 31. Find out if you qualify for financial help: http://bit.ly/2dCoQWR","link","http://bit.ly/2dCoQWR","bit.ly",3,10,2,0,0,0,0,0
"RepAnnaEshoo","174979964227_10154977635734228","Congresswoman Anna Eshoo","2017-01-16","2017-01-16 17:37:02","Today is Religious Freedom Day, a time to remember those who lost their lives simply for practicing their religion.  As the daughter of Christians who fled persecution in the Middle East, the importance of religious freedom is interwoven in the history of my family as it is in the history of the United States. The freedom of religion embodied in the First Amendment is one of the most important and foundational rights in our country and it is what makes our nation a shining beacon of freedom and tolerance for the entire world. Freedom of religion is in the interest of our national security and a high value of our democracy.   As President Obama has said before, ""an attack on any faith is an attack on every faith."" We must continue our important work to promote freedom and tolerance. Religious freedom is a value of and a critical underpinning of our democracy.  https://www.whitehouse.gov/the-press-office/2017/01/13/presidential-proclamation-religious-freedom-day-2017","link","https://www.whitehouse.gov/the-press-office/2017/01/13/presidential-proclamation-religious-freedom-day-2017","whitehouse.gov",93,28,14,7,0,1,0,0
"RepAnnaEshoo","174979964227_10154984235899228","Congresswoman Anna Eshoo","2017-01-18","2017-01-18 20:21:59","I’m a thousand percent opposed to Mr. Pruitt’s nomination to run the EPA and I’m urging my colleagues in the Senate to vote against him given his extensive record in opposition to science based sound environmental policy.   http://www.epw.senate.gov/public/index.cfm/2017/1/hearing-on-nomination-of-attorney-general-scott-pruitt-to-be-administrator-of-the-u-s-environmental-protection-agency","link","http://www.epw.senate.gov/public/index.cfm/2017/1/hearing-on-nomination-of-attorney-general-scott-pruitt-to-be-administrator-of-the-u-s-environmental-protection-agency","epw.senate.gov",229,48,17,12,0,0,6,3
"RepAnnaEshoo","174979964227_10154986901459228","Congresswoman Anna Eshoo","2017-01-19","2017-01-19 16:52:27","To all of my constituents who will be attending the inauguration, my office will be open in 241 Cannon Building tomorrow and we welcome you to come by for hot chocolate and croissants.","status",NA,NA,76,19,8,3,1,1,10,9
"RepAnnaEshoo","174979964227_10154987222499228","Congresswoman Anna Eshoo","2017-01-19","2017-01-19 19:27:08","I'm attending the inauguration not to celebrate who is taking the oath, but to live up to mine. And by doing so, I hope to set a good example for all I'm privileged to represent.","status",NA,NA,275,131,13,8,1,1,28,25
"RepAnnaEshoo","174979964227_10154987615624228","Congresswoman Anna Eshoo","2017-01-19","2017-01-19 22:11:05","My office will also be open on Saturday for my constituents participating in events throughout the weekend. Stop by to leave a comment and make your voices heard.","status",NA,NA,76,11,1,0,0,0,0,0
"RepAnnaEshoo","174979964227_10154990606359228","Congresswoman Anna Eshoo","2017-01-20","2017-01-20 22:02:46","Repealing the Affordable Care Act means 32 million Americans would be left uninsured, causing premiums to skyrocket over the next decade.  Read the full report here- https://www.cbo.gov/publication/52371","link","https://www.cbo.gov/publication/52371","cbo.gov",27,8,14,0,1,0,7,10
"RepAnnaEshoo","174979964227_10155006566709228","Congresswoman Anna Eshoo","2017-01-24","2017-01-24 18:09:31","The new FCC chairman has threatened to roll back the important progress we’ve made for consumers over the last eight years. The American people spoke powerfully for a free and open internet, and I will fight any efforts to undo this progress by the FCC’s new leadership.  http://www.latimes.com/business/la-fi-pai-fcc-chairman-20170123-story.html","link","http://www.latimes.com/business/la-fi-pai-fcc-chairman-20170123-story.html","latimes.com",77,23,24,3,1,5,4,46
