"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepBarbaraLee","92190287786_10154047830581372","Congresswoman Barbara Lee","2017-01-12","2017-01-12 17:03:03","Why I’m Boycotting the Inauguration of Donald Trump","status",NA,NA,3733,1013,1737,979,17,25,15,57
"RepBarbaraLee","92190287786_10154116726661372","Congresswoman Barbara Lee","2017-02-07","2017-02-07 16:50:32","Students Deserve Better than Betsy DeVos","status",NA,NA,388,34,49,25,0,1,21,40
"RepBarbaraLee","92190287786_10154711576017787","Congresswoman Barbara Lee","2017-01-03","2017-01-03 21:09:17","On their first day back, House Republicans are doubling down on dysfunction instead of working for American families. Not a promising start to 2017.","link","http://www.reuters.com/article/us-usa-trump-congress-idUSKBN14N0TG","reuters.com",203,49,35,4,4,14,35,123
"RepBarbaraLee","92190287786_10154711809367787","Congresswoman Barbara Lee","2017-01-04","2017-01-04 02:55:00","As Republicans gear up to strip health care from millions of Americans, we must show the true costs of their reactionary policies. I'm looking for stories of how the Affordable Care Act has helped East Bay families, to share on my social media pages and on the House Floor. Share your story in the comments, so we can remind Republicans what's at stake.","photo","https://www.facebook.com/RepBarbaraLee/photos/a.169591542786.120416.92190287786/10154711809367787/?type=3",NA,196,75,100,24,0,1,0,1
"RepBarbaraLee","92190287786_10154714110142787","Congresswoman Barbara Lee","2017-01-04","2017-01-04 21:18:38","Picture day for the Democratic women of the #115thCongress – the most diverse in history! #PeoplesHouse","photo","https://www.facebook.com/RepBarbaraLee/photos/a.169591542786.120416.92190287786/10154714110142787/?type=3",NA,4274,131,1308,882,1,33,0,1
"RepBarbaraLee","92190287786_10154716037857787","Congresswoman Barbara Lee","2017-01-05","2017-01-05 17:22:00","Students should never be afraid to attend school. Proud of Oakland public schools for affirming that campuses are off-limits to immigration officials.","link","https://ww2.kqed.org/news/2017/01/05/pre-inauguration-california-districts-declare-sanctuary-schools/","2.kqed.org",1124,20,181,163,0,6,0,0
"RepBarbaraLee","92190287786_10154716419227787","Congresswoman Barbara Lee","2017-01-05","2017-01-05 22:45:00","House Republicans don’t want you to know what’s happening on the House Floor. Don’t let them get away with it.","link","http://www.motherjones.com/politics/2017/01/house-republicans-are-preemptively-trying-silence-dissent-democrats","motherjones.com",639,65,514,10,3,74,16,458
"RepBarbaraLee","92190287786_10154716450942787","Congresswoman Barbara Lee","2017-01-05","2017-01-05 20:32:29","It’s been our privilege to call you our President. Thank you, President Obama.","photo","https://www.facebook.com/ObamaWhiteHouse/photos/a.158628314237.115142.63811549237/10155115347029238/?type=3",NA,752,18,0,228,0,0,10,0
"RepBarbaraLee","92190287786_10154718669197787","Congresswoman Barbara Lee","2017-01-06","2017-01-06 18:29:27","Why I’m Objecting to the Certification of the Electoral College Votes","status",NA,NA,3860,656,887,822,9,63,6,12
"RepBarbaraLee","92190287786_10154719425412787","Congresswoman Barbara Lee","2017-01-07","2017-01-07 00:42:03","Such a beautiful day to celebrate the McClymonds Warriors Football Team who recently became the first Oakland Athletic League team to win a state championship! #ca13proud","photo","https://www.facebook.com/RepBarbaraLee/photos/a.169591542786.120416.92190287786/10154719425412787/?type=3",NA,828,27,68,111,1,5,0,0
"RepBarbaraLee","92190287786_10154721328172787","Congresswoman Barbara Lee","2017-01-07","2017-01-07 20:36:06","Affordable Care Act Press Conference w/ Leader Pelosi and Congresswoman Jackie Speier","video","https://www.facebook.com/RepBarbaraLee/videos/10154721328172787/",NA,451,238,123,112,1,2,3,7
"RepBarbaraLee","92190287786_10154721571902787","Congresswoman Barbara Lee","2017-01-07","2017-01-07 23:06:40","Today, I joined House Democratic Leader Nancy Pelosi  and Congresswoman Jackie Speier as we fight for the health security for millions of Americans. We must protect the Affordable Care Act and stop Republican plans to #MakeAmericaSickAgain.","photo","https://www.facebook.com/RepBarbaraLee/photos/a.169591542786.120416.92190287786/10154721571902787/?type=3",NA,903,39,71,113,3,0,1,1
"RepBarbaraLee","92190287786_10154725974692787","Congresswoman Barbara Lee","2017-01-09","2017-01-09 20:25:00","Opioid deaths are soaring and patients desperate for treatment are being turned away at over-capacity facilities. If Republicans repeal the Affordable Care Act, this deadly crisis will worsen in every community in America. We can’t let that happen.","link","http://www.usatoday.com/story/news/politics/2017/01/08/obamacare-repeal-jeopardizes-mental-health-addiction-coverage/96199628/","usatoday.com",143,18,56,1,0,3,41,52
"RepBarbaraLee","92190287786_10154726730377787","Congresswoman Barbara Lee","2017-01-10","2017-01-10 02:47:00","Millions of low-income families live in food deserts miles away from the nearest grocery store. For these families, who often have limited transportation, online grocery shopping could be life-changing. For years, I’ve been working with the Department of Agriculture to make online food stamps a reality. This pilot program is an important step forward – now we must bring it to the East Bay!","link","http://www.eater.com/2017/1/9/14211888/usda-food-stamps-online-groceries-delivery","eater.com",1149,48,150,161,0,24,0,0
"RepBarbaraLee","92190287786_10154728221942787","Congresswoman Barbara Lee","2017-01-10","2017-01-10 16:08:52","I'm sitting in Senator Jeff Sessions' confirmation hearing this morning to hold him accountable for his decades-long crusade to roll back civil rights. Millions of marginalized & vulnerable people depend on the Attorney General to uphold justice. Sessions’ nomination is an insult to them.","photo","https://www.facebook.com/RepBarbaraLee/photos/a.169591542786.120416.92190287786/10154728221942787/?type=3",NA,3195,473,534,298,0,17,47,397
"RepBarbaraLee","92190287786_10154728609447787","Congresswoman Barbara Lee","2017-01-10","2017-01-10 20:00:00","Senator Jeff Sessions' record of bigotry & divisiveness should disqualify him from serving as Attorney General. This nomination should alarm anyone committed to the cause of justice.","video","https://www.facebook.com/RepBarbaraLee/videos/10154728609447787/",NA,6163,479,5672,787,8,33,19,174
"RepBarbaraLee","92190287786_10154729010782787","Congresswoman Barbara Lee","2017-01-10","2017-01-10 23:01:40","The Attorney General is expected to uphold justice. Throughout his career, Senator Sessions has shown himself fundamentally unfit for this role.","photo","https://www.facebook.com/RepBarbaraLee/photos/a.169591542786.120416.92190287786/10154729010782787/?type=3",NA,279,45,190,2,0,7,28,214
"RepBarbaraLee","92190287786_10154729169992787","Congresswoman Barbara Lee","2017-01-11","2017-01-11 00:49:08","Tonight is President Obama’s farewell address. For eight years, he has inspired us with his wise & courageous leadership. #ThanksObama","photo","https://www.facebook.com/RepBarbaraLee/photos/a.169591542786.120416.92190287786/10154729169992787/?type=3",NA,534,41,110,115,1,1,26,2
"RepBarbaraLee","92190287786_10154729493282787","Congresswoman Barbara Lee","2017-01-11","2017-01-11 04:25:00","Thank you President Obama for your unending faith in our democracy and the American people.","photo","https://www.facebook.com/RepBarbaraLee/photos/a.169591542786.120416.92190287786/10154729493282787/?type=3",NA,1257,63,173,311,5,2,8,1
"RepBarbaraLee","92190287786_10154731422432787","Congresswoman Barbara Lee","2017-01-12","2017-01-12 00:07:02","House Republicans – who have never once raised an objection to the countless Capitol paintings & statues glorifying slave owners and segregationists – have spent the last week trying to censor high school art. This is bullying, plain and simple. Congressional Republicans need to reread the constitution.","link","https://www.washingtonpost.com/news/powerpost/wp/2017/01/10/house-battle-over-controversial-student-painting-spirals-out-of-control/?utm_term=.4becc6f2ccd5","washingtonpost.com",612,98,209,31,3,17,21,208
"RepBarbaraLee","92190287786_10154736519587787","Congresswoman Barbara Lee","2017-01-13","2017-01-13 00:52:31","Today, I honored Bishop O'Dowd High School and McClymonds High School football teams on the House Floor to commemorate their historic CIF State championship wins. These young athletes truly embody the spirit, passion and sportsmanship of the East Bay!","video","https://www.facebook.com/RepBarbaraLee/videos/10154736519587787/",NA,1489,142,714,242,2,10,0,3
"RepBarbaraLee","92190287786_10154747120467787","Congresswoman Barbara Lee","2017-01-16","2017-01-16 20:19:09","In these challenging times, I'm looking to Dr. King as a guide. I will not be silent in the face of injustice.","photo","https://www.facebook.com/RepBarbaraLee/photos/a.169591542786.120416.92190287786/10154747120467787/?type=3",NA,1197,77,346,246,0,0,0,0
"RepBarbaraLee","92190287786_10154748094862787","Congresswoman Barbara Lee","2017-01-17","2017-01-17 04:32:49","What an exciting day it was celebrating our drum major for peace and justice, Dr. Martin Luther King Jr. Let us continue to stand together and proclaim the values Dr. King fought and died for.","photo","https://www.facebook.com/RepBarbaraLee/photos/a.169591542786.120416.92190287786/10154748094862787/?type=3",NA,366,27,13,52,1,0,0,0
"RepBarbaraLee","92190287786_10154749897892787","Congresswoman Barbara Lee","2017-01-17","2017-01-17 21:23:28","For eight years, Michelle Obama has been a role model for the American people. On her last birthday as First Lady, join me in thanking her for embodying the best in our nation.","photo","https://www.facebook.com/RepBarbaraLee/photos/a.169591542786.120416.92190287786/10154749897892787/?type=3",NA,1058,51,92,267,1,3,1,0
"RepBarbaraLee","92190287786_10154750139367787","Congresswoman Barbara Lee","2017-01-18","2017-01-18 02:00:00","Happy birthday Michelle Obama! It’s been an honor to call you our First Lady.","photo","https://www.facebook.com/RepBarbaraLee/photos/a.169591542786.120416.92190287786/10154750139367787/?type=3",NA,1257,36,97,294,1,0,0,0
"RepBarbaraLee","92190287786_10154752536312787","Congresswoman Barbara Lee","2017-01-18","2017-01-18 19:32:51","Congressman Tom Price is working to take away healthcare from 20+ million people. This alone should disqualify him from leading the Department of Health & Human Services.","photo","https://www.facebook.com/RepBarbaraLee/photos/a.169591542786.120416.92190287786/10154752536312787/?type=3",NA,193,43,103,2,1,8,24,170
"RepBarbaraLee","92190287786_10154757563372787","Congresswoman Barbara Lee","2017-01-20","2017-01-20 16:06:34","Twelve years ago, I had the honor of befriending the junior Senator from Illinois. It’s been an honor and a joy. Thank you, President Obama.","photo","https://www.facebook.com/RepBarbaraLee/photos/a.169591542786.120416.92190287786/10154757563372787/?type=3",NA,2881,70,131,606,3,1,21,0
"RepBarbaraLee","92190287786_10154758142032787","Congresswoman Barbara Lee","2017-01-20","2017-01-20 20:28:30","Live at Huffington Post's 'Watch Us Run' forum discussing the #resistance to Donald Trump's agenda.","video","https://www.facebook.com/HuffPostWomen/videos/1278247835576600/",NA,266,16,0,67,0,0,0,0
"RepBarbaraLee","92190287786_10154758456637787","Congresswoman Barbara Lee","2017-01-20","2017-01-20 22:46:16","Enjoyed participating in this interview with Jana Katsuyama 勝山ジャナ KTVU about the legacy of President Barack Obama. He truly embodied the American dream and navigated the challenges of the White House with grace and poise.  It was the honor of my life to serve alongside him.","link","http://www.ktvu.com/news/230257025-story","ktvu.com",366,20,31,82,0,0,0,0
"RepBarbaraLee","92190287786_10154760400562787","Congresswoman Barbara Lee","2017-01-21","2017-01-21 14:49:09","Great seeing so many East Bay residents in DC this morning—people are fired up!","photo","https://www.facebook.com/RepBarbaraLee/photos/a.169591542786.120416.92190287786/10154760400562787/?type=3",NA,2792,80,103,494,1,6,1,0
"RepBarbaraLee","92190287786_10154767227962787","Congresswoman Barbara Lee","2017-01-23","2017-01-23 21:03:01","President Trump’s policies are an attack on the most vulnerable Americans. We can’t let him #MakeAmericaSickAgain!","link","http://abcnews.go.com/Health/poor-chronically-sick-unemployed-lose-coverage-aca-repealed/story?id=44922934","abcnews.go.com",209,29,106,5,0,3,86,137
"RepBarbaraLee","92190287786_10154772098742787","Congresswoman Barbara Lee","2017-01-24","2017-01-24 18:53:04","Once again, President Trump shows his allegiance is with Big Oil & billionaires, not with American families. But the power of the people has rejected #DAPL and #KeystoneXL before – our efforts can succeed again, if we’re loud enough.","link","http://fusion.net/story/382677/trump-executive-action-dakota-access-dapl-keystone/","fusion.net",356,46,140,7,1,3,63,242
"RepBarbaraLee","92190287786_10154772878302787","Congresswoman Barbara Lee","2017-01-24","2017-01-24 23:08:19","Congressional Republicans first official action under President Trump is rolling back women’s reproductive rights. HR 7 will have devastating consequences on women & families across the country. Shame on them!","video","https://www.facebook.com/RepBarbaraLee/videos/10154772878302787/",NA,721,95,253,34,1,7,84,309
"RepBarbaraLee","92190287786_10154776175357787","Congresswoman Barbara Lee","2017-01-25","2017-01-25 22:27:24","Today, Donald Trump signed an executive order endorsing prejudice. All Americans should speak out against this blatant intimidation & discrimination. #NoBanNoWall","link","http://fusion.net/story/382917/trump-immigration-ban-muslim-syria-wall/","fusion.net",424,50,184,5,0,8,66,386
"RepBarbaraLee","92190287786_10154778344492787","Congresswoman Barbara Lee","2017-01-26","2017-01-26 16:54:15","There’s no room for #AlternativeFacts in science. I will fight any attempts by the Trump Administration to censor the truth and spread propaganda. #DefendScience","link","http://www.theverge.com/2017/1/25/14384958/trump-administration-censor-epa-science-political-review-gag-order","theverge.com",1226,60,116,100,0,3,6,95
"RepBarbaraLee","92190287786_10154779196962787","Congresswoman Barbara Lee","2017-01-27","2017-01-27 02:24:00","Arturo Fernandez is right: we must prioritize courage over comfort. Proud to know my alma mater will defend and support all students, regardless of their immigration status.","link","http://www.berkeleyside.com/2017/01/26/for-undocumented-students-at-uc-berkeley-trump-era-brings-fear-uncertainty/","berkeleyside.com",289,17,22,22,0,5,17,9
