"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepBillJohnson","170477096312258_1580800461946574","Bill Johnson","2017-01-01","2017-01-01 13:03:00","As we enter this New Year, we reflect on the past and look forward to a promising year ahead, with trust in the power of the American spirit and confidence in our purpose. America certainly has some challenges ahead, next year and beyond, but history tells us that by working together, we can overcome any obstacle. I believe our future is very bright!  Thank you for the feedback and input you’ve provided here on my Facebook page. I look forward to keeping these conversations going into the New Year, as well as seeing all of you when I am out and about in Eastern and Southeastern Ohio.  LeeAnn and I wish you and your family a very happy and healthy 2017, and may God Bless you and your loved ones.","status",NA,NA,56,12,2,1,0,0,0,0
"RepBillJohnson","170477096312258_1583688174991136","Bill Johnson","2017-01-03","2017-01-03 15:45:24","Last night, I voted against a change to the rules of the House of Representatives that will place the Office of Congressional Ethics under the jurisdiction of the House Ethics Committee. While I certainly understand the importance of due process, I believe this change is a mistake. It is critically important that all public servants – across the public spectrum – are held to the highest ethical standards.","status",NA,NA,154,23,8,6,0,0,0,0
"RepBillJohnson","170477096312258_1583871498306137","Bill Johnson","2017-01-03","2017-01-03 19:31:24","I am extremely humbled and honored to have been chosen by the hardworking people of Eastern and Southeastern Ohio to serve them in the United States House of Representatives.  The 115th Congress has a historic opportunity to lead and make positive, lasting changes for the American people. It won’t be easy – it never is – but I am committed to the hard work of governing that lies ahead.  It matters little to me whether an idea originated with the Republicans or Democrats; rather, what matters is the impact it will have on those I represent – YOU.    Remember, I work for you – it’s not the other way around. Just as when I was first elected, I will decline the congressional health care plan and pension – as a 26-year Air Force veteran, my family and I will use the same healthcare that our nation’s veterans get – and, I still sleep in my office and return home each weekend; I am a proud resident of Marietta, Ohio, not the Washington D.C. Beltway.   Now, let’s get to work!","link","http://billjohnson.house.gov/news/documentsingle.aspx?DocumentID=399123","billjohnson.house.gov",156,32,5,7,0,0,0,0
"RepBillJohnson","170477096312258_1585511218142165","Bill Johnson","2017-01-05","2017-01-05 13:47:33","ObamaCare is collapsing under its own weight. In a meeting of Congressional Democrats on Wednesday, President Obama said he hasn’t done a good enough job communicating the benefits of his health law, which is why he thinks it is unpopular. I think he has communicated the ins and outs of the law just fine – people just don’t like it and know that it hasn’t lived up to its grand promises. Under Obamacare, healthcare premiums and deductibles are soaring, patient choices are dwindling, healthcare insurance markets are collapsing, and jobs and hours are being cut.  Making excuses like the President is doing is not honestly addressing the law’s failures.   According to a Gallup survey from November, a large majority of Americans want the law either significantly changed or replaced.  House Republicans are working with the Incoming Trump administration on a strategy to do just that.  Yesterday morning we met with the incoming Vice President, Mike Pence, on this topic and many others.","status",NA,NA,121,53,23,4,0,0,1,3
"RepBillJohnson","170477096312258_1586536094706344","Bill Johnson","2017-01-06","2017-01-06 14:46:34","Yesterday, the House passed two important pieces of legislation designed to reclaim the ""power of the purse"" authority for Congress, and protect the American people from a last-minute regulatory onslaught - the Midnight Rules Relief Act of 2017, and the Regulations from the Executive In Need of Scrutiny (REINS) Act of 2017.  I voted YES for both bills.   By passing the Midnight Rules Relief Act (H.R. 21), the House acted to stop the Obama Administration from enacting more radical regulations that would cost the American people billions, and harm families and small businesses, as the moving trucks sit outside the White House.    The REINS Act (H.R. 26) would stop unelected bureaucrats in Washington from implementing job-killing regulations by requiring that Congress must approve any major regulations before they go into effect. The REINS Act would restore the checks and balances, and bring accountability to elected officials.  Remember, if you don't like what your senator or representative has done, you can vote them out of office. But, you can't vote a D.C. bureaucrat out of office.  That's what we're trying to fix.","status",NA,NA,108,28,14,4,0,0,0,0
"RepBillJohnson","170477096312258_1586566261369994","Bill Johnson","2017-01-07","2017-01-07 13:05:00","Best of luck to the Youngstown State University Penguins as they play James Madison for the NCAA Football Championship Subdivision (FCS) National Championship today at noon in Frisco, Texas. A win would give the school its 5th national football title.  The Mahoning Valley is pulling for you!","status",NA,NA,41,3,0,1,0,0,0,0
"RepBillJohnson","170477096312258_1589555691071051","Bill Johnson","2017-01-09","2017-01-09 19:21:13","Last week, I joined my colleagues on the floor of the U.S. House of Representatives to read the Constitution to mark the beginning of the 115th Congress.  Now is as appropriate a time as ever to revisit the genius of our Founding Fathers who created the most powerful nation on earth by limiting the federal government’s power and protecting our individual freedoms, given to us by our Creator.   America’s greatness is derived from our citizens freedom to pursue their dreams and ambitions on their own terms, not a federal government that makes realizing those dreams more difficult.      When I travel around Eastern and Southeastern Ohio, I carry a copy of the Constitution with me in my jacket pocket. If you see me out and about, I'm happy to show it to you.","video","https://youtu.be/MIVw4fPECm8",NA,108,18,3,2,0,0,0,0
"RepBillJohnson","170477096312258_1589691717724115","Bill Johnson","2017-01-09","2017-01-09 21:56:56","Today is National Law Enforcement Appreciation Day. Few professions, other than law enforcement, demand the willingness to sacrifice one’s own life in order to protect the safety and security of others. At a time when there is unrest -- and an increase in violence – directed toward police officers, let’s take a moment to reflect on how their service and sacrifice impact our own lives.  Police officers often work along the jagged line between civilized society and depravity, between order and chaos, protecting us from those who wish to inflict harm on innocent citizens.  It’s a dangerous, difficult, and oftentimes thankless job. America is a nation governed by the rule of law, and it is critically important that those enforcing our laws are respected.  I’ve had the privilege of meeting many brave law enforcement professionals up and down Eastern and Southeastern Ohio. Please join me today in thanking them for their service.","photo","https://www.facebook.com/RepBillJohnson/photos/a.187063331320301.51760.170477096312258/1589691717724115/?type=3",NA,62,4,17,0,0,0,0,0
"RepBillJohnson","170477096312258_1590725934287360","Bill Johnson","2017-01-11","2017-01-11 00:34:39","You may have heard about a controversial painting that is hanging in the U.S. Capitol.  The painting, submitted as part of the annual Congressional Art Competition, depicts police officers as pigs. It is disgusting and has no business hanging in the halls of Congress…it’s actually displayed just a few feet away from where police officers stand to keep those going in and out of the Capitol safe.  I offered some more thoughts in a video I recorded this afternoon:","video","https://www.facebook.com/RepBillJohnson/videos/1590725934287360/",NA,166,51,73,6,0,1,0,14
"RepBillJohnson","170477096312258_1591500277543259","Bill Johnson","2017-01-11","2017-01-11 19:49:34","Yesterday, the House passed legislation designed to spur American innovation. Washington red tape shouldn’t stand in the way of the next great startup company; the federal government should support innovation…not discourage and suppress it! One example is H.R. 79, the HALOS Act. This important legislation would allow “angel investors” to play a larger role in funding startups with more early capital so these new businesses can keep their heads above water and grow.   The House also approved legislation to increase broadband access (especially important in parts of Eastern and Southeastern Ohio), expand STEM education for women, and modernize government technology.","status",NA,NA,32,5,3,0,0,0,0,0
