"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepBobGibbs","191159267565100_1539579676056379","Congressman Bob Gibbs","2017-01-03","2017-01-03 17:14:06","Today marks the beginning of the 115th Congress! For the last 6 years, my office has been located in the Cannon House Office Building. But with construction beginning this month in Cannon, we moved to 2446 Rayburn. If you are visiting DC and want to stop by the office, please come to Rayburn!","video","https://www.facebook.com/RepBobGibbs/videos/1539579676056379/",NA,56,3,4,0,0,0,0,0
"RepBobGibbs","191159267565100_1539688006045546","Congressman Bob Gibbs","2017-01-04","2017-01-04 13:19:00","While 2017 has just begun, let's take a look back at 2016 and some of the accomplishments we achieved. I continued to fight the EPA on their regulatory overreach and voted on legislation to rein in the IRS. Please watch the video below to learn more.","video","https://www.facebook.com/RepBobGibbs/videos/1539688006045546/",NA,40,6,2,0,0,1,0,2
"RepBobGibbs","191159267565100_1539807606033586","Congressman Bob Gibbs","2017-01-03","2017-01-03 21:58:18","When Elie Wiesel passed away last year, a book of letters mourning his death and honoring his legacy was produced. I was honored to contribute to this project. He will be missed but never forgotten, as his work and activism will impact many generations to come.","photo","https://www.facebook.com/RepBobGibbs/photos/a.725571547457200.1073741834.191159267565100/1539802799367400/?type=3",NA,13,0,0,0,0,0,0,0
"RepBobGibbs","191159267565100_1540503509297329","Congressman Bob Gibbs","2017-01-04","2017-01-04 17:19:28","I was happy to speak with The Daily Record, Wooster, OH's Bobby Warren about the start of the 115th Congress and what issues I'm looking forward to tackling with President-elect Trump after he is sworn in on January 20th.","photo","https://www.facebook.com/RepBobGibbs/photos/a.198559586825068.60591.191159267565100/1540503509297329/?type=3",NA,37,18,6,0,0,0,0,0
"RepBobGibbs","191159267565100_1541557039191976","Congressman Bob Gibbs","2017-01-05","2017-01-05 15:41:24","Last year, the United Nations Security Council passed an outrageous resolution that condemns our ally Israel. Shockingly, the United States, which could have prevented the adoption of the resolution by vetoing it, abstained. This allowed the resolution to pass. Today, the House will be voting on a resolution of our own to formally object to the UN Security Council resolution. Israel is an important ally in an unstable region and a democratic nation. Our friends and allies across the world need to know that we will support them.","photo","https://www.facebook.com/RepBobGibbs/photos/a.198559586825068.60591.191159267565100/1541557039191976/?type=3",NA,40,7,4,2,0,0,0,0
"RepBobGibbs","191159267565100_1542631622417851","Congressman Bob Gibbs","2017-01-06","2017-01-06 14:52:29","Earlier this week, my friend and former District Director Darrell Kick was sworn in as State Representative for Ohio's 70th House District. I want to congratulate Darrell on his next adventure and wish him luck in Columbus!","photo","https://www.facebook.com/OHRGOPcaucus/photos/a.190194547679469.25487.182202718478652/928042973894619/?type=3",NA,35,0,0,1,0,0,0,0
"RepBobGibbs","191159267565100_1545656378782042","Congressman Bob Gibbs","2017-01-09","2017-01-09 16:40:14","Please take a minute today to thank the men and women who keep our neighborhoods safe.","photo","https://www.facebook.com/RepBobGibbs/photos/a.198559586825068.60591.191159267565100/1545656378782042/?type=3",NA,42,2,15,6,0,0,0,0
"RepBobGibbs","191159267565100_1547532501927763","Congressman Bob Gibbs","2017-01-11","2017-01-11 13:44:02","Last night, we passed the HALOS Act, which lowers regulatory barriers for start-up companies to connect with angel investors. Companies like Google, Facebook, and Amazon began as startups seeking early investments. New SEC rules currently make it difficult for startups and potential investors to talk at what are called ""demo days"". Government regulations should make it EASIER for new and growing companies to find investors, not harder.","photo","https://www.facebook.com/RepBobGibbs/photos/a.198559586825068.60591.191159267565100/1547532501927763/?type=3",NA,9,1,1,0,0,0,0,0
"RepBobGibbs","191159267565100_1547735855240761","Congressman Bob Gibbs","2017-01-11","2017-01-11 18:18:52","One of the most important things we have to tackle in the 115th Congress is regulatory reform. The rule making power of government bureaucracies has become what I call a hidden branch of government. Reforming not just individual regulations, but the way those rules are developed, finalized, and implemented is critical in unleashing the entrepreneurial and innovative spirit of the American economy. You can read more about what we have done to reduce regulatory burdens in my op-ed at The Daily Caller.","link","http://dailycaller.com/2017/01/11/regulatory-reform-is-essential-to-separation-of-powers/","dailycaller.com",28,7,3,0,0,0,0,0
"RepBobGibbs","191159267565100_1548834571797556","Congressman Bob Gibbs","2017-01-12","2017-01-12 15:28:46","The Ashland University Lady Eagles are ranked #1! One of their players is Alexandra Henning, who was an intern in my office last year. We miss Alex but are proud of her accomplishments on and off the court!","link","https://wmfd.com/local-sports/single.asp?Story=71063","mfd.com",36,2,0,0,0,0,0,0
