"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepBonnie","1398082073827493_130975044100088","Bonnie Watson Coleman","2017-03-21","2017-03-21 21:16:52","The office of Congresswoman Bonnie Watson Coleman, in partnership with the IRS’ Volunteer Income Tax Assistance (VITA) program, will host local partners to inform constituents on federal resources available to assist in filing taxes ahead of the April 18 deadline.   The United Way of Greater Mercer Co., which oversees the VITA program, has invited representatives from AARP, Rutgers University Low Income Tax Clinic and IRS Taxpayer Advocate Service – New Jersey to inform constituents on relevant services available.  The Volunteer Income Tax Assistance (VITA) program of Mercer Co. offers free tax help to people who generally make $65,000 or less, persons with disabilities and limited English speaking taxpayers who need assistance in preparing their own tax returns. IRS-certified volunteers provide free basic income tax return preparation with electronic filing to qualified individuals.  NO RSVP NEEDED","event","https://www.facebook.com/events/130975044100088/",NA,12,6,0,0,0,0,0,0
"RepBonnie","1398082073827493_1630652193903812","Bonnie Watson Coleman","2017-01-01","2017-01-01 05:05:09","Happy New Year!","photo","https://www.facebook.com/RepBonnie/photos/a.1398158090486558.1073741828.1398082073827493/1630652193903812/?type=3",NA,108,9,2,7,0,0,0,0
"RepBonnie","1398082073827493_1634137596888605","Bonnie Watson Coleman","2017-01-01","2017-01-01 13:07:10","I want to wish you and your family a happy, wonderful, and prosperous New Year!  #happynewyear","photo","https://www.facebook.com/RepBonnie/photos/a.1398158090486558.1073741828.1398082073827493/1634137596888605/?type=3",NA,120,7,0,9,0,0,0,0
"RepBonnie","1398082073827493_1634558526846512","Bonnie Watson Coleman","2017-01-02","2017-01-02 12:39:02","""When they go low, we go high."" - First Lady, Michelle Obama","photo","https://www.facebook.com/RepBonnie/photos/a.1398158090486558.1073741828.1398082073827493/1634558526846512/?type=3",NA,195,9,16,27,0,1,0,0
"RepBonnie","1398082073827493_1634914286810936","Bonnie Watson Coleman","2017-01-03","2017-01-03 11:44:09","Today is the first day of the 115th Congress. I am ready to speak up and stand up for what is right. We must not back down. I hope you're all with me.  Don't forget to come by my office between 2PM-4PM for my open house. If you are around, please drop by Longworth 1535 (5th floor) and say hello!","photo","https://www.facebook.com/RepBonnie/photos/a.1398158090486558.1073741828.1398082073827493/1634914286810936/?type=3",NA,213,18,17,22,0,0,0,0
"RepBonnie","1398082073827493_1634957110139987","Bonnie Watson Coleman","2017-01-03","2017-01-03 12:25:37","First day back, and House Republicans are attempting in destroying the Office of Congressional Ethics, preventing it from reviewing anonymous complaints and moving it under the control of the Committee on Ethics. So much for draining the swamp.","link","https://www.washingtonpost.com/news/powerpost/wp/2017/01/02/house-republicans-vote-to-rein-in-independent-ethics-office/","washingtonpost.com",57,29,43,0,0,4,13,89
"RepBonnie","1398082073827493_1634997790135919","Bonnie Watson Coleman","2017-01-03","2017-01-03 14:29:56","Happening Now: the Congressional Black Caucus is holding a ceremonial swearing-in. Tune in.","link","https://www.c-span.org/video/?420914-1%2Fcongressional-black-caucus-holds-ceremonial-swearingin-members&live","c-span.org",53,2,4,5,0,0,0,0
"RepBonnie","1398082073827493_1635049123464119","Bonnie Watson Coleman","2017-01-03","2017-01-03 17:11:22","WATCH LIVE: The opening of the 115th Congress.","video","https://www.facebook.com/CSPAN/videos/10155149556110579/",NA,32,4,0,0,0,0,1,0
"RepBonnie","1398082073827493_1635049803464051","Bonnie Watson Coleman","2017-01-03","2017-01-03 17:15:24","Getting ready to to be sworn into the 115th Congress with my special guest.","photo","https://www.facebook.com/RepBonnie/photos/a.1398158090486558.1073741828.1398082073827493/1635049803464051/?type=3",NA,321,8,7,62,0,2,0,0
"RepBonnie","1398082073827493_1635179446784420","Bonnie Watson Coleman","2017-01-03","2017-01-03 23:56:48","The American people deserve to know what House Republicans' first priority is in the #PeoplesHouse. The radical GOP Rules Package erases accountability by destroying the only independent ethics oversight of their actions; it lays the groundwork for health care repeal and explodes the deficit; and it silences the voices of the American people who want to prevent gun violence. Republicans must be held accountable.","link","https://t.co/YHfIDD8z6o","t.co",58,7,13,2,0,1,0,11
