"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepBrianBabin","355799157925407_624887074349946","Rep. Brian Babin","2017-01-03","2017-01-03 15:37:18","A few days ago, I joined Lou Dobbs Tonight to discuss my bill (H.R. 3314) to stop the refugee influx. I remain hopeful that President-elect Trump will fulfill his campaign promise and make this an immediate priority. It's time we start putting the safety and security of the American people first!","video","https://www.facebook.com/RepBrianBabin/videos/624887074349946/",NA,207,19,22,7,0,0,0,2
"RepBrianBabin","355799157925407_625288977643089","Rep. Brian Babin","2017-01-04","2017-01-04 14:31:21","Upon being sworn into the 115th Congress yesterday, I sent the following letter to President-elect Trump highlighting our shared policy solutions to protect American citizens from our broken refugee program and weak immigration policies. I am hopeful that with his support we can pass into law these two critical bills that I have reintroduced to suspend refugee resettlements (H.R. 80) and expedite the deportation of criminal aliens (H.R. 82).","photo","https://www.facebook.com/RepBrianBabin/photos/a.356109931227663.1073741828.355799157925407/625288977643089/?type=3",NA,68,4,6,1,0,0,0,1
"RepBrianBabin","355799157925407_625371757634811","Rep. Brian Babin","2017-01-04","2017-01-04 17:54:36","It was with a heavy heart today that I spoke on the House floor to mourn the loss of Texas Army National Guard Chief Warrant Officer 2 Lucas Lowe of Daisetta, Texas – a resident of the 36th Congressional District – and Army Chief Warrant Officer 3 Dustin Mortenson of League City, Texas. These two young men gave their lives in service to Texas and the United States when their Apache helicopter crashed in Galveston Bay last week. As a former Texas Guardsman myself, my prayers remain with all those who have been impacted by this terrible tragedy.  And as the U.S. Congressmen for District 36, it is my commitment and duty to the families to see that they get the support they need during this very difficult time. May God bless these two soldiers, their families and all who serve their country.","video","https://www.facebook.com/RepBrianBabin/videos/625371757634811/",NA,389,50,378,67,0,0,135,0
"RepBrianBabin","355799157925407_625471987624788","Rep. Brian Babin","2017-01-05","2017-01-05 00:47:00","The American people cannot bear another year of Obamacare's rising premium costs, loss of coverage and lowered quality of care. The time to repeal is now. Today, I joined my colleagues at the Republican Study Committee to discuss our plan to repeal Obamacare and replace it with an affordable, patient-centered system. This is what the American people need—immediate relief and a backstop replacement plan in its place.","video","https://www.facebook.com/RepBrianBabin/videos/625471987624788/",NA,189,37,28,10,0,1,0,0
"RepBrianBabin","355799157925407_625780354260618","Rep. Brian Babin","2017-01-05","2017-01-05 14:52:10","Excellent start to the new Congress. The Midnight Rules Relief Act allows Congress to wipe out all of Obama's last-minute regulations with one vote. As he leaves office, Obama has been working overtime to issue new, burdensome government regulations. This bill ensures their quick repeal when President-elect Trump takes office.","link","http://thehill.com/homenews/house/312730-house-passes-bill-to-overturn-midnight-regulations-en-masse","thehill.com",649,76,184,83,19,5,0,4
"RepBrianBabin","355799157925407_625824874256166","Rep. Brian Babin","2017-01-05","2017-01-05 17:32:00","Proud to join my colleagues today in reading the U.S. Constitution on the House floor to help kickoff the 115th Congress. A powerful reminder of our nation’s founding document and its principles of freedom and limited government that we have been sworn to defend.","video","https://www.facebook.com/RepBrianBabin/videos/625824874256166/",NA,173,14,9,8,0,0,0,0
"RepBrianBabin","355799157925407_626387220866598","Rep. Brian Babin","2017-01-06","2017-01-06 14:34:43","I was proud to cast my vote in support of the REINS Act to help curb an out-of-control federal bureaucracy that has been working overtime to expand its authority – killing jobs, raising prices and making it even harder for business to compete overseas. This legislation ensures a much-needed check is in place against unelected bureaucrats by requiring Congressional approval of any major federal regulation.","link","http://thehill.com/regulation/legislation/312947-house-passes-bill-to-curb-costly-rules","thehill.com",70,12,7,0,0,0,0,0
"RepBrianBabin","355799157925407_626452804193373","Rep. Brian Babin","2017-01-06","2017-01-06 16:26:18","Great news! Honored to serve with Judge Ted Poe in Congress. #TeamPoe","link","http://www.khou.com/news/health/us-rep-ted-poe-in-remission-from-leukemia/382504908","khou.com",286,22,15,20,0,1,1,0
"RepBrianBabin","355799157925407_626567964181857","Rep. Brian Babin","2017-01-06","2017-01-06 20:50:30","I was proud to stand with Israel yesterday and vote to rebuke the shameful behavior of the Obama Administration at the UN Security Council. Israel is our greatest ally in the Middle East and we should support their efforts at peace and security rather than abandoning them on the world stage. I look forward to working with President-Elect Trump to help restore our great friendship with Israel.","link","http://www.washingtonexaminer.com/house-rebukes-obama-un-over-israel-vote/article/2611037","washingtonexaminer.com",434,26,45,30,1,0,0,2
"RepBrianBabin","355799157925407_626584447513542","Rep. Brian Babin","2017-01-07","2017-01-07 14:18:33","Sam Johnson is truly an American hero. He is a decorated combat veteran who courageously served his country in two wars, including seven years as a prisoner of war in Vietnam – with three of those in solitary confinement. As a Congressman from Texas for nearly three decades, he has been a tireless champion for his constituents and the conservative cause. His wisdom, leadership and passion will be sorely missed.","link","http://thehill.com/blogs/floor-action/house/313004-rep-sam-johnson-to-retire","thehill.com",80,7,1,0,0,0,0,0
