"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepCarolynMaloney","397176447066236_1320572554726616","Rep. Carolyn B. Maloney","2017-06-29","2017-06-29 16:11:07",NA,"photo","https://www.facebook.com/RepCarolynMaloney/photos/a.1320571254726746.1073741831.397176447066236/1320572554726616/?type=3",NA,0,0,3,1,0,0,0,0
"RepCarolynMaloney","397176447066236_1321687174615154","Rep. Carolyn B. Maloney","2017-06-30","2017-06-30 15:53:58","Despite what Senate GOP says, the health care bill doesn't uphold protections for women, in fact, it targets them for the cruelest cuts.","link","https://youtu.be/M9_XLtI0oHY","youtu.be",1,0,1,0,0,0,0,1
"RepCarolynMaloney","397176447066236_1321688417948363","Rep. Carolyn B. Maloney","2017-06-30","2017-06-30 15:55:19","Congrats to Nicole Yoon, NY12's winner of the 2017 Congressional Art Competition. Her exceptional work is now hanging in the Capitol!","photo","https://www.facebook.com/RepCarolynMaloney/photos/a.411171042333443.1073741828.397176447066236/1321688091281729/?type=3",NA,1,0,0,0,0,0,0,0
"RepCarolynMaloney","397176447066236_1321689221281616","Rep. Carolyn B. Maloney","2017-06-30","2017-06-30 15:56:33","Now is the time to finally build a Smithsonian Women's History Museum and tell #HERstory.","link","https://www.usatoday.com/story/news/politics/2017/06/29/womens-museum-majority-house-members-now-back/441238001/","usatoday.com",0,0,1,1,0,0,0,0
"RepCarolynMaloney","397176447066236_1321690464614825","Rep. Carolyn B. Maloney","2017-06-30","2017-06-30 18:08:00","We need to reactivate New York City Fire Department (FDNY) Engine Co. 261! The Long Island City population is growing & residents must know they're safe.","link","http://www.qgazette.com/news/2017-06-28/Front_Page/Call_To_Reactivate_FDNY_Engine_Co_261_In_Dutch_Kil.html","qgazette.com",1,1,0,1,0,0,0,0
"RepCarolynMaloney","397176447066236_1321694574614414","Rep. Carolyn B. Maloney","2017-06-30","2017-06-30 16:02:25","Today, Peter King & I introduced our Corporate Transparency Act to put an end to anonymous shell companies that finance illegal activities.","link","http://maloney.house.gov/media-center/press-releases/reps-maloney-and-king-join-with-law-enforcement-and-advocates-to-call","maloney.house.gov",2,0,2,0,0,0,0,0
"RepCarolynMaloney","397176447066236_1321788651271673","Rep. Carolyn B. Maloney","2017-06-30","2017-06-30 18:05:09","The areas that call for increased spending [by patients] and cut backs of services are women’s issues. They are going back to treating pregnancy as a pre-existing condition. I can’t tell you…before the [Affordable Care Act] how many people came to see me and couldn’t get health insurance because they were pregnant.","link","https://youtu.be/e8pU2oc7bfo","youtu.be",1,4,1,1,0,0,0,0
"RepCarolynMaloney","397176447066236_1321822494601622","Rep. Carolyn B. Maloney","2017-06-30","2017-06-30 19:30:00","Yesterday I announced with Rep. Ed Royce that our bill to create a Smithsonian museum dedicated to American women’s history on the National Mall is now supported by a majority of the House of Representatives.   HR19, the Smithsonian Women's History Museum Act, was named for the 19th Amendment which enshrined a woman's right to vote in the US Constitution.","link","https://youtu.be/yM_vEUqaO2k","youtu.be",6,0,1,0,0,0,0,0
"RepCarolynMaloney","397176447066236_1322077307909474","Rep. Carolyn B. Maloney","2017-07-01","2017-07-01 15:10:00","Alongside the observance of that great historical milestone of #July4th, the day when Declaration of Independence was signed in 1776, boldly proclaiming the revolutionary idea that all men are created equal, I think we should consider some kind of national observance on August 26th.   August 26, 1920 was the day when the other half of this great nation got the right to vote: the women.  On that day, the 19th Amendment, guaranteeing women the right to vote, was signed by the Secretary of State and thus became a part of the Constitution. It said:   ""The right of citizens of the United States to vote shall not be denied or abridged by the United States or by any State on account of sex...Congress shall have power to enforce this article by appropriate legislation.""  But no one was there to see the signing. None of the leaders of the woman suffrage movement who had labored for years for its passage -  were present when the proclamation was signed, and no photographers or film cameras recorded the event.   I think some celebration is a bit overdue. What do you think?  Here’s a brief history.","link","http://www.history.com/topics/womens-history/19th-amendment","history.com",5,0,1,3,0,0,0,0
"RepCarolynMaloney","397176447066236_1322695224514349","Rep. Carolyn B. Maloney","2017-07-01","2017-07-01 17:27:09","Sticking around town this weekend? Need something to do? Here's 10 great ways to spend your weekend thanks to The New York Times.","link","https://nyti.ms/2urDweU","nyti.ms",8,0,3,0,0,0,0,0
"RepCarolynMaloney","397176447066236_1322695901180948","Rep. Carolyn B. Maloney","2017-07-01","2017-07-01 22:09:39","Proud of NY for standing strong against this waste of taxpayer dollars and clear attempt to suppress voters rights.","link","https://mobile.nytimes.com/2017/06/30/us/politics/kris-kobach-states-voter-fraud-data.html","mobile.nytimes.com",6,2,2,1,0,0,0,0
"RepCarolynMaloney","397176447066236_1324129811037557","Rep. Carolyn B. Maloney","2017-07-03","2017-07-03 01:15:52","I'm very disappointed by reports that The White House is closing the Council on Women and Girls. Another reason we need #ERAnow.","link","http://www.politico.com/story/2017/06/30/donald-trump-white-house-council-for-women-and-girls-239979","politico.com",3,1,3,0,0,1,4,7
"RepCarolynMaloney","397176447066236_1324797794304092","Rep. Carolyn B. Maloney","2017-07-03","2017-07-03 17:22:21","What an unbelievable historical find! I'm looking forward to visiting this site once it is restored.","link","http://www.nbcnews.com/news/nbcblk/thomas-jefferson-s-enslaved-mistress-sally-hemings-living-quarters-found-n771261","nbcnews.com",3,0,2,0,0,2,0,0
"RepCarolynMaloney","397176447066236_1324798277637377","Rep. Carolyn B. Maloney","2017-07-03","2017-07-03 18:35:00","#Hope: States, cities & businesses committed to green energy may keep US on track in combating #climatechange","link","https://www.washingtonpost.com/world/europe/un-chief-us-may-meet-paris-climate-goals-despite-exit/2017/07/03/b0277954-5fe9-11e7-80a2-8c226031ac3f_story.html?utm_term=.25d85a97e8d3","washingtonpost.com",3,0,2,2,0,0,0,0
"RepCarolynMaloney","397176447066236_1324798700970668","Rep. Carolyn B. Maloney","2017-07-03","2017-07-03 21:00:00","The new NYC Ferry is already helping commuters across the city, but it's great to see it having a deeper impact too!","link","http://www.sacbee.com/news/business/article159329479.html","sacbee.com",8,0,2,1,0,0,0,0
"RepCarolynMaloney","397176447066236_1324799517637253","Rep. Carolyn B. Maloney","2017-07-03","2017-07-03 22:36:00","We're all excited for tomorrow but you should know how you'll get around! There'll be changes to regular transit schedules. #July4th","link","http://www.amny.com/transit/july-4th-weekend-subway-lirr-metro-north-trains-added-for-holiday-1.11984189","amny.com",1,0,3,0,0,1,0,0
"RepCarolynMaloney","397176447066236_1324805484303323","Rep. Carolyn B. Maloney","2017-07-04","2017-07-04 14:00:00","Wishing everyone a wonderful #4thofJuly. Hope you have a wonderful day with family and friends.","photo","https://www.facebook.com/RepCarolynMaloney/photos/a.411171042333443.1073741828.397176447066236/1324805484303323/?type=3",NA,6,2,1,2,0,0,0,0
