"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepCharlieCrist","935639933233835_1000796396718188","Congressman Charlie Crist","2017-04-10","2017-04-10 22:22:57","Wishing all those celebrating a happy Passover. Chag sameach!","status",NA,NA,20,4,1,0,0,0,0,0
"RepCharlieCrist","935639933233835_1002025119928649","Congressman Charlie Crist","2017-04-12","2017-04-12 17:54:58","Keeping our beaches healthy is critical to protecting people & property along the shoreline. And key economic driver in Pinellas!","link","http://crist.house.gov/news/documentsingle.aspx?DocumentID=177","crist.house.gov",48,4,2,4,0,0,0,0
"RepCharlieCrist","935639933233835_1002764879854673","Congressman Charlie Crist","2017-04-13","2017-04-13 19:15:38","Inspiring story of local veteran, continuing to serve our country and community by helping other area veterans in need! Ì†ºÌ∑∫Ì†ºÌ∑∏","link","https://www.baypines.va.gov/features/20170411.asp","baypines.va.gov",18,3,2,2,0,0,0,0
"RepCharlieCrist","935639933233835_1003471693117325","Congressman Charlie Crist","2017-04-15","2017-04-15 14:40:00","Loving Florida today. Happy Easter weekend to all!","photo","https://www.facebook.com/RepCharlieCrist/photos/a.939104359554059.1073741828.935639933233835/1003471693117325/?type=3",NA,52,7,0,1,0,0,0,0
"RepCharlieCrist","935639933233835_1005817432882751","Congressman Charlie Crist","2017-04-17","2017-04-17 20:23:25","Great tour of the DaVita Pinellas West Shore Dialysis Center. Life-saving treatment for so many patients. Thanks for what you do!","photo","https://www.facebook.com/RepCharlieCrist/photos/a.939104359554059.1073741828.935639933233835/1005817432882751/?type=3",NA,23,3,1,0,0,0,0,0
"RepCharlieCrist","935639933233835_1005824076215420","Congressman Charlie Crist","2017-04-17","2017-04-17 20:43:37","Great meeting with Florida Suncoast Sierra Club. Fighting climate change and protecting our incredible Florida ecosystems. Hope to see everyone at #EarthDayStPete 2017!","photo","https://www.facebook.com/RepCharlieCrist/photos/a.939104359554059.1073741828.935639933233835/1005824076215420/?type=3",NA,51,8,13,5,0,0,0,0
"RepCharlieCrist","935639933233835_1006691532795341","Congressman Charlie Crist","2017-04-18","2017-04-18 20:05:45","Happy National Park Week! Florida is home to 11 National Parks & sites ‚Äì great for the economy, our environment, and the soul! In celebration  admission will be waived at all National Park Service sites on April 22-23. #FindYourPark this week!","status",NA,NA,30,3,6,3,0,0,0,0
"RepCharlieCrist","935639933233835_1008208712643623","Congressman Charlie Crist","2017-04-20","2017-04-20 19:47:44","So honored to have been asked to speak at the Pinellas County Economic Leadership Symposium. It was a great opportunity to bring together community and policy leaders. Thank you to Pinellas County Economic Development, the Pinellas County Planning Department, Forward Pinellas, and St. Petersburg College for hosting this great event! We will all work together to make our region THE destination for good paying jobs!!","photo","https://www.facebook.com/RepCharlieCrist/photos/a.939104359554059.1073741828.935639933233835/1008208712643623/?type=3",NA,35,2,4,1,0,0,0,0
"RepCharlieCrist","935639933233835_1009441425853685","Congressman Charlie Crist","2017-04-22","2017-04-22 17:26:09","Learned a lot today at my tour of Clearwater‚Äôs Honeywell Aerospace Center! Met great people and saw some impressive tech, really cutting edge stuff -  great for FL-13's economy, too! Ì†ΩÌ∏é Ì†ΩÌ∫Ä","photo","https://www.facebook.com/RepCharlieCrist/photos/a.939104359554059.1073741828.935639933233835/1009441425853685/?type=3",NA,50,5,3,1,0,0,0,0
"RepCharlieCrist","935639933233835_1009505802513914","Congressman Charlie Crist","2017-04-22","2017-04-22 19:43:16","Great day attending the March for Science - St. Petersburg / Tampa and St Pete Earth Day! Such an inspiration to see so many people speaking out in defense of scientific integrity and our natural environment. Thank you to everyone who organized, volunteered, and attended!","photo","https://www.facebook.com/RepCharlieCrist/photos/a.939104359554059.1073741828.935639933233835/1009505802513914/?type=3",NA,228,15,39,29,1,0,0,0
"RepCharlieCrist","935639933233835_1010094862455008","Congressman Charlie Crist","2017-04-23","2017-04-23 19:22:41","Can't wait to see what the future holds for Jordan Park! The rededication ceremony yesterday was a great way to kick off $2 million in much-needed repairs, and that's just the beginning! A great day for historic south St. Pete!","photo","https://www.facebook.com/RepCharlieCrist/photos/a.939104359554059.1073741828.935639933233835/1010094862455008/?type=3",NA,31,1,3,1,0,0,0,1
"RepCharlieCrist","935639933233835_1010746165723211","Congressman Charlie Crist","2017-04-24","2017-04-24 21:30:02","On Holocaust Remembrance Day, we remember the 6 million Jews and millions of other victims who were murdered during this horrific genocide. Humbled to participate in the Yom HaShoah commemoration at the Florida Holocaust Museum this morning to ensure we never forget.  #NeverAgain","photo","https://www.facebook.com/RepCharlieCrist/photos/a.939104359554059.1073741828.935639933233835/1010746165723211/?type=3",NA,71,5,4,4,0,0,17,0
"RepCharlieCrist","935639933233835_1011878722276622","Congressman Charlie Crist","2017-04-26","2017-04-26 19:16:18","Another week, another BAD plan to repeal the Affordable Care Act. Here‚Äôs what it would do: Costs on working families ‚Üë Number of people insured ‚Üì Quality of coverage ‚Üì Protections for Americans with pre-existing conditions ‚Üì  More broken promises to the American people. We must work TOGETHER to #ProtectOurCare!","photo","https://www.facebook.com/RepCharlieCrist/photos/a.939104359554059.1073741828.935639933233835/1011878722276622/?type=3",NA,39,21,9,1,1,2,1,4
"RepCharlieCrist","935639933233835_1011932835604544","Congressman Charlie Crist","2017-04-26","2017-04-26 20:31:43","Let's extend school safety to school buses! Buckling up on buses saves lives.","link","https://goo.gl/jLdTwH","goo.gl",61,6,6,3,0,0,0,0
"RepCharlieCrist","935639933233835_1011953032269191","Congressman Charlie Crist","2017-04-26","2017-04-26 21:33:00","Looks like the FCC is clamping down on internet freedom. Bad!","link","http://thehill.com/policy/technology/330703-fcc-head-unveils-plan-to-roll-back-net-neutrality","thehill.com",11,7,5,0,0,0,3,33
"RepCharlieCrist","935639933233835_1011975198933641","Congressman Charlie Crist","2017-04-26","2017-04-26 22:21:00","Trump tax proposal = exploding debt. But we need to reform the tax code and I welcome the debate.","link","https://goo.gl/D25FEi","goo.gl",56,13,2,0,0,0,0,0
"RepCharlieCrist","935639933233835_1012347338896427","Congressman Charlie Crist","2017-04-27","2017-04-27 13:14:39","President Trump promised the American people he would not cut Social Security ‚Äì and that‚Äôs a promise we‚Äôre going to help him keep!","video","https://www.facebook.com/RepCharlieCrist/videos/1012347338896427/",NA,351,74,2311,41,0,2,2,11
"RepCharlieCrist","935639933233835_1012396822224812","Congressman Charlie Crist","2017-04-27","2017-04-27 15:08:00","Innovation is key to our economy & future! Thanks to the St. Petersburg Downtown Partnership for driving transformational development in my hometown!","photo","https://www.facebook.com/RepCharlieCrist/photos/a.939104359554059.1073741828.935639933233835/1012396822224812/?type=3",NA,27,2,0,1,0,0,0,0
"RepCharlieCrist","935639933233835_1012545368876624","Congressman Charlie Crist","2017-04-27","2017-04-27 19:18:00","Environmental champions Everglades Foundation working hard on behalf of Floridians. Moving restoration forward to protect the Everglades for future generations! Also means fighting against efforts to expand seismic testing, drilling & fracking!","photo","https://www.facebook.com/RepCharlieCrist/photos/a.939104359554059.1073741828.935639933233835/1012545368876624/?type=3",NA,42,3,5,4,0,0,0,0
"RepCharlieCrist","935639933233835_1013111128820048","Congressman Charlie Crist","2017-04-28","2017-04-28 16:51:21","NO to offshore drilling expansion efforts that put our coastal communities at risk! People over profits!","link","https://goo.gl/829c3A","goo.gl",120,12,12,12,0,0,1,3
"RepCharlieCrist","935639933233835_1013139852150509","Congressman Charlie Crist","2017-04-29","2017-04-29 14:19:00","We must #ActOnClimate! Inaction would be CATASTROPHIC for Pinellas!","photo","https://www.facebook.com/RepCharlieCrist/photos/a.939104359554059.1073741828.935639933233835/1013139852150509/?type=3",NA,49,6,10,0,0,0,0,0
"RepCharlieCrist","935639933233835_1013183852146109","Congressman Charlie Crist","2017-04-28","2017-04-28 19:49:38","Democrats took over the Financial Services Committee today to fight the Wrong Choice Act gutting vital Wall Street reform. We can‚Äôt afford another financial crisis!","video","https://www.facebook.com/RepCharlieCrist/videos/1013183852146109/",NA,90,17,8,10,0,1,0,1
"RepCharlieCrist","935639933233835_1014950255302802","Congressman Charlie Crist","2017-05-02","2017-05-02 13:07:00","Discussing policies impacting our environment, healthcare, and immigration with Cheddar. Be sure to tune in starting at 10am!","video","https://www.facebook.com/cheddar/videos/1855914064729323/",NA,14,0,0,0,0,0,0,0
"RepCharlieCrist","935639933233835_1014950778636083","Congressman Charlie Crist","2017-05-01","2017-05-01 21:26:40","To the kids involved: you‚Äôre putting your future, your safety, your lives ‚Äì along with the lives of others ‚Äì at serious risk. This NOT who we are as a community!","link","http://www.tampabay.com/news/publicsafety/crime/officials-plan-to-take-action-after-times-series-about-juvenile-car-theft/2322261","tampabay.com",39,4,6,0,0,1,4,0
