"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepChrisSmith","371621772908416_1349946795075904","Congressman Chris Smith","2017-01-04","2017-01-04 20:05:29","The 115th Congress convened this week, and following the time-honored tradition of inviting family members to the swearing in ceremony and the Speaker of the House’s address, two of my five grandchildren accompanied me on the House floor.   I am honored to once again serve New Jersey’s Fourth District in the new Congress and will continue to pursue solutions that ensure a better America for all of our children and grandchildren.","photo","https://www.facebook.com/RepChrisSmith/photos/a.487981704605755.1073741825.371621772908416/1349946795075904/?type=3",NA,95,23,2,11,0,0,0,1
"RepChrisSmith","371621772908416_1352558951481355","Congressman Chris Smith","2017-01-05","2017-01-05 23:20:47","The House will soon vote on H. Res. 11, which will repudiate UN Security Council Resolution 2334. President Obama’s decision to abstain and not veto 2334 seriously undermines the peace process, abandons Israel at a critical hour in its life as a nation, and does serious injury to the historical record. By calling on countries to distinguish between the State of Israel and Israeli settlements, 2334 enables the narrative of the anti-Semitic boycott, divestment, and sanctions movement—or BDS movement—that is aimed at delegitimizing Israel.  Moving forward, we must work to align U.S. policy with the consensus of the American people: that we are and remain committed to Israel’s sovereignty and security. Read my full remarks from the House floor: http://chrissmith.house.gov/news/documentsingle.aspx?DocumentID=400029","link","http://chrissmith.house.gov/uploadedfiles/2017-1-5_un_security_council_resolution_2334lh.pdf","chrissmith.house.gov",74,15,13,4,0,0,0,7
"RepChrisSmith","371621772908416_1361450093925574","Congressman Chris Smith","2017-01-11","2017-01-11 20:35:15","As the US marks Human Trafficking Awareness Day today, we must take the opportunity this spotlight provides to refocus our efforts on ending this horrendous multi-billion dollar industry and modern-day slave trade.  Since 2000, when the Trafficking Victims Protection Act (TVPA) was signed into law, more than 120 countries have enacted anti-trafficking laws and many others have taken steps to prosecute these heinous crimes and assist victims—citing the rankings established by the law as a key factor in their efforts.  This Congress, I plan to introduce legislation reauthorizing TVPA. My bill will build on our current foundation while also ensuring our anti-trafficking strategy keeps pace with new research and new ploys by traffickers. http://bit.ly/2eDVtSQ","link","http://bit.ly/2eDVtSQ","bit.ly",70,11,30,8,0,0,7,1
"RepChrisSmith","371621772908416_1362797780457472","Congressman Chris Smith","2017-01-12","2017-01-12 18:37:26","The Air Force just announced that Joint Base McGuire-Dix-Lakehurst (JB-MDL) has been selected to host the next generation KC-46 refueling tankers.   Today’s decision is a big win for JB-MDL and a monumental step that will help maintain and secure the base—and its economic impact for New Jersey—for decades to come.  Our delegation has worked hard—with our partners in the State, including the Governor, the Lt. Governor Kim Guadagno, and New Jersey National Guard Adjutant General Michael Cunniff—to highlight the Joint Base’s capabilities and strong record of demonstrating its mission-critical value to national security. The Air Force decision validates what we have said: the Joint Base is and will continue to be a critical asset to the Air Force and America’s ability to respond rapidly to humanitarian or military operations across the globe.","link","http://chrissmith.house.gov/news/documentsingle.aspx?DocumentID=400033","chrissmith.house.gov",160,23,60,2,0,0,0,0
"RepChrisSmith","371621772908416_1362929267110990","Congressman Chris Smith","2017-01-12","2017-01-12 21:06:45","New tanker fleet could help prevent Joint Base McGuire-Dix-Lakehurst from closing: http://www.nj.com/politics/index.ssf/2017/01/new_fleet_of_tankers_to_land_at_njs_joint_base.html#comments","link","http://www.nj.com/politics/index.ssf/2017/01/new_fleet_of_tankers_to_land_at_njs_joint_base.html#comments","nj.com",29,4,2,1,0,0,0,0
"RepChrisSmith","371621772908416_1362932690443981","Congressman Chris Smith","2017-01-12","2017-01-12 21:10:29","New tanker aircraft will keep Joint Base alive: http://on.app.com/2illAfJ","link","http://on.app.com/2illAfJ","on.app.com",47,5,4,1,0,0,0,0
"RepChrisSmith","371621772908416_1363814060355844","Congressman Chris Smith","2017-01-13","2017-01-13 15:10:21","January is National Birth Defects Prevention Month and this week in particular we also recognize Folic Acid Awareness Week. Studies have shown that Folic Acid, a B-vitamin, is incredibly effective in preventing various birth defects when taken in the months leading up to and in the beginning stages of pregnancy. Specifically, the risk of Spina Bifida can be reduced by up to 70 percent if women of childbearing age consume 400 mcg of folic acid every day, prior to becoming pregnant. http://bit.ly/2irZ3RG","photo","https://www.facebook.com/RepChrisSmith/photos/a.487981704605755.1073741825.371621772908416/1363814060355844/?type=3",NA,39,32,8,2,0,0,0,2
"RepChrisSmith","371621772908416_1369487793121804","Congressman Chris Smith","2017-01-18","2017-01-18 17:20:23","In case you missed it, Rachael Kanapka of Residents Against Giant Electric makes a thorough case against the proposed JCP&L powerline project in Monmouth County.   If approved, the project could place high-voltage “monopoles” through the heart of several neighborhoods, built close to homes, schools and places of worship in Aberdeen, Hazlet, Holmdel, Middletown and Red Bank. Read Rachael’s ""Be heard at JCP&L power line hearing"" letter on the dangerous impact to the safety and properties of our local community: http://on.app.com/2jkRgUg","link","http://on.app.com/2jkRgUg","on.app.com",20,19,3,0,0,0,0,1
"RepChrisSmith","371621772908416_1376769505726966","Congressman Chris Smith","2017-01-24","2017-01-24 15:17:57","Today’s Asbury Park Press editorial opposes JCP&L powerline proposal. Worth a read. “Here’s what we see as the bottom line: The transmission line isn’t needed. Even if it were, it wouldn’t directly benefit the residents living along or near its route — and it could do them and their neighborhoods severe harm. The project should be rejected outright.” http://on.app.com/2koF0kY","link","http://on.app.com/2koF0kY","on.app.com",30,19,4,0,0,0,0,0
"RepChrisSmith","371621772908416_1377318899005360","Congressman Chris Smith","2017-01-24","2017-01-24 23:57:43","Polling consistently shows that a majority of Americans—61% according to a Marist poll released just yesterday—oppose taxpayer funding of abortion, and 8 in 10 Americans think laws can protect both the well-being of a woman and the health of her unborn child.  Because of the Hyde Amendment, two million survivors have had the opportunity to live and enjoy the first and most basic of all human rights—the right to life, while their mothers benefited from prenatal health care and support . Today the House voted 238-183 to pass the bipartisan No Taxpayer Funding for Abortion Act to make it permanent: http://bit.ly/2kqwMZW","photo","https://www.facebook.com/RepChrisSmith/photos/a.487981704605755.1073741825.371621772908416/1377318899005360/?type=3",NA,255,283,82,39,0,0,1,82
