"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepDanKildee","484166588292670_1408259745883345","Congressman Dan Kildee","2017-01-03","2017-01-03 03:05:20","This is absolutely shameful. One of House Republicans first acts in the new year is to gut the independent ethics panel that acts as Congress' watchdog. So much for ""draining the swamp.""","link","http://www.cnn.com/2017/01/02/politics/office-of-congressional-ethics-oversight-of-ethics-committee-amendment/","cnn.com",172,85,360,1,1,45,19,233
"RepDanKildee","484166588292670_1409882272387759","Congressman Dan Kildee","2017-01-03","2017-01-03 13:34:56","Republicans voting to gut their own independent ethics panel reeks of politics at its worst and is the equivalent of the fox guarding the hen house.   Dismantling your independent watchdog committee isn’t ‘draining the swamp’ – it is Republicans shamefully acting to protect their own interests. http://bit.ly/2j4b2pV","video","https://www.facebook.com/RepDanKildee/videos/1409882272387759/",NA,182,65,237,3,2,6,12,97
"RepDanKildee","484166588292670_1411472858895367","Congressman Dan Kildee","2017-01-03","2017-01-03 23:56:03","It's an incredible honor to continue representing you in Congress. Thank you for your confidence in me. Looking forward to being your voice and fighting for Michigan in the 115th Congress!","photo","https://www.facebook.com/RepDanKildee/photos/a.485907264785269.106597.484166588292670/1411472858895367/?type=3",NA,557,56,13,36,0,1,1,0
"RepDanKildee","484166588292670_1414155001960486","Congressman Dan Kildee","2017-01-04","2017-01-04 18:13:28","Bad deals like NAFTA and TPP have undermined American workers. That's why I continue to oppose new trade deals if they don't give our workers a fair shake.  I'm ready to work with anyone, including President-elect Donald J. Trump, to promote trade policy that puts our workers first.   Read my remarks yesterday about the need for fair -- not free -- trade: http://bit.ly/2iIMTVj","photo","https://www.facebook.com/RepDanKildee/photos/a.485907264785269.106597.484166588292670/1414155001960486/?type=3",NA,118,21,8,3,1,0,0,0
"RepDanKildee","484166588292670_1414180481957938","Congressman Dan Kildee","2017-01-05","2017-01-05 00:15:00","Burying nuclear waste on the Great Lakes just doesn’t make sense and is too much of a risk to take, especially considering nuclear material remains radioactive for thousands of years. http://bit.ly/2iElwcG  Surely in the vast land mass that comprises Canada, there must be a better place to permanently store nuclear waste than on the shores of Lake Huron.","link","http://www.freep.com/story/news/local/michigan/2017/01/04/nuclear-waste-great-lakes/96146376/","freep.com",256,173,1418,3,2,46,23,333
"RepDanKildee","484166588292670_1417709548271698","Congressman Dan Kildee","2017-01-05","2017-01-05 18:14:11","It is frustrating to see Governor Rick Snyder once again have no sense of urgency when it comes to the ongoing Flint water crisis. Right now, a common sense bill that would help prevent another water crisis is sitting on the Governor's desk awaiting action.  The Governor should sign this bill immediately – Michiganders are sick and tired of waiting for him to step up and help fix this man-made crisis he created in the first place. http://bit.ly/2iMlYI6","link","http://nbc25news.com/news/local/congressman-kildee-issues-statement-about-delay-in-signing-flint-water-bill","nbc25news.com",291,64,249,10,1,5,4,61
"RepDanKildee","484166588292670_1419921894717130","Congressman Dan Kildee","2017-01-06","2017-01-06 19:33:37","I am pleased to see Governor Rick Snyder sign this common sense piece of legislation into law today. Thanks for speaking up over the last 24 hours calling for action.  Hopefully today’s action will inspire a greater sense of urgency for both the Governor and the Michigan Legislature to pass additional state aid for the ongoing emergency in my hometown. Congress has acted on federal aid and now the State of Michigan, who created this man-made crisis, needs to step up to do more to help Flint families.   This crisis is not over. http://bit.ly/2iZeGhH","video","https://www.facebook.com/RepDanKildee/videos/1419921894717130/",NA,110,25,21,2,1,0,1,4
"RepDanKildee","484166588292670_1424768157565837","Congressman Dan Kildee","2017-01-09","2017-01-09 23:45:00","Every Michigander should be able to get quality and affordable health insurance to care for their families. That is what the Affordable Care Act set out to accomplish. The law is not perfect, and I’ll work with anyone – Democrats or Republicans – to make necessary changes to the law to provide better care.  What will not provide better or less expensive care, however, is repealing the Affordable Care Act in its entirety. That would do the opposite – raise health insurance costs, kick millions off their health care, and put insurers back in charge of patients’ health care.","photo","https://www.facebook.com/RepDanKildee/photos/a.485907264785269.106597.484166588292670/1424768157565837/?type=3",NA,259,175,1269,4,1,8,52,77
"RepDanKildee","484166588292670_1426449084064411","Congressman Dan Kildee","2017-01-10","2017-01-10 23:45:00","In the richest country in the world, access to clean drinking water should be a right afforded to all, not a privilege for some.","link","http://www.detroitnews.com/story/news/michigan/flint-water-crisis/2017/01/10/flint-epa/96410708/","detroitnews.com",189,10,35,7,0,0,1,3
"RepDanKildee","484166588292670_1428279593881360","Congressman Dan Kildee","2017-01-11","2017-01-11 23:45:00","Last night, President Barack Obama delivered his farewell address to the nation. Today, I spoke on the House floor to thank our President for his steady and strong leadership for our country over the last eight years.  Watch my speech below ↘","video","https://www.facebook.com/RepDanKildee/videos/1428279593881360/",NA,409,44,48,58,5,0,2,3
