"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepDavidKustoff","377575062604136_378565935838382","Congressman David Kustoff","2017-01-04","2017-01-04 15:25:30",NA,"photo","https://www.facebook.com/RepDavidKustoff/photos/a.378565932505049.1073741827.377575062604136/378565935838382/?type=3",NA,9,0,0,0,0,0,0,0
"RepDavidKustoff","377575062604136_378749709153338","Congressman David Kustoff","2017-01-04","2017-01-04 23:49:08","Yesterday, I was sworn into the U.S. House of Representatives. I am honored to serve the people of West Tennessee and eager to get to work.","photo","https://www.facebook.com/RepDavidKustoff/photos/a.378750115819964.1073741828.377575062604136/378749709153338/?type=3",NA,42,5,11,1,0,0,0,0
"RepDavidKustoff","377575062604136_379827265712249","Congressman David Kustoff","2017-01-06","2017-01-06 19:54:31","Israel is our great ally and the strong-hold of democracy in the Middle East. America must continue to approach the conflict through productive, direct negotiations, and the vote today lays the groundwork for the next Administration to move swiftly in correcting the effects of the actions taken by the UN Security Council and the Obama Administration.","link","http://www.foxnews.com/politics/2017/01/05/house-overwhelmingly-votes-to-condemn-uns-anti-israel-resolution.html","foxnews.com",8,0,0,0,0,0,0,0
"RepDavidKustoff","377575062604136_381585458869763","Congressman David Kustoff","2017-01-10","2017-01-10 03:13:12","Fred Thompson was an exceptional talent and a true inspiration to lawyers and lawmakers across America. I was proud to know him and could not think of a better way to honor his dedication to public service and love for the great state of Tennessee. I'm grateful for the opportunity to join this effort in his honor.","link","http://www.commercialappeal.com/story/news/politics/2017/01/09/lawmakers-resume-push-name-courthouse-after-thompson/96361536/","commercialappeal.com",9,0,1,0,0,0,0,0
"RepDavidKustoff","377575062604136_382017752159867","Congressman David Kustoff","2017-01-10","2017-01-10 22:20:00","Glad to join my colleagues on the House Committee on Financial Services today in supporting the #HALOSact which aims to help small businesses and promote job growth. #Jobs4TN","video","https://www.facebook.com/RepDavidKustoff/videos/382017752159867/",NA,70,4,19,2,1,0,0,0
"RepDavidKustoff","377575062604136_383185222043120","Congressman David Kustoff","2017-01-12","2017-01-12 23:48:32","Glad the Greenfields from Memphis visited the office today.","photo","https://www.facebook.com/RepDavidKustoff/photos/a.378750115819964.1073741828.377575062604136/383185222043120/?type=3",NA,14,0,0,0,0,0,0,0
"RepDavidKustoff","377575062604136_383732008655108","Congressman David Kustoff","2017-01-13","2017-01-13 22:38:33","Today’s vote was the first step in repealing the disastrous Obamacare law that has plagued the American people for more than six years.","link","http://cnn.it/2ilW3rj","cnn.it",5,3,0,1,0,0,1,0
"RepDavidKustoff","377575062604136_385270255167950","Congressman David Kustoff","2017-01-16","2017-01-16 16:36:40","I'll be traveling throughout the 8th District to share how I'm rolling up my sleeves to bring West TN values to D.C.  Monday, January 16   Haywood County MLK Day Parade  • Where: Carver High School Gym Brownsville, Tennessee • When: 10:00 - 11:00 a.m. CT  Tuesday, January 17  Crockett County Chamber Event • Where: Crockett County Courthouse 1 South Bells Street Alamo, Tennessee • When: 8:00 – 9:00 a.m. CT  Gibson County Event With Greater Gibson, Milan and Humboldt Chambers • Where: Gibson Chamber of Commerce 111 West Eaton Street  Trenton, Tennessee  • When: 10:00 - 11:00 a.m. CT  Obion County Event • Where: Farm Bureau Insurance 1212 Stad Avenue Union City, Tennessee • When: 12:00 – 1:00 p.m. CT  Weakley County Event • Where: Congressman Kustoff’s Office in Martin 406 Lindell Street Martin, Tennessee • When: 2:00 – 3:00 p.m. CT  Henry County Event • Where: Paris Chamber of Commerce  2508 East Wood Street  Paris, Tennessee • When: 4:00 – 5:00 p.m. CT  Wednesday, January 18  Tipton County Event    • Where: Dyersburg State Community College New Library   3149 Hwy 51 South   Covington, Tennessee • When: 8:00 – 9:00 am. CT  Lauderdale County Event  • Where: Lauderdale County Chamber of Commerce  123 South Jefferson Street Ripley, Tennessee • When: 10:00 – 11:00 a.m. CT  Dyer County Event • Where: Dyer County Chamber of Commerce 2000 Commerce Avenue  Dyersburg, Tennessee • When: 12:00 – 1:00 p.m. CT  Fayette County Event • Where: Main Street Eatery   13075 North Main Street Somerville, Tennessee • When: 2:30 – 3:30 p.m. CT","status",NA,NA,14,2,12,0,0,0,0,0
"RepDavidKustoff","377575062604136_385408501820792","Congressman David Kustoff","2017-01-16","2017-01-16 22:11:59","Today, we celebrate the life of Dr. Martin Luther King Jr., a man who chose love over hate and tirelessly pursued justice for all. I'm so glad I could spend this day honoring his legacy with the great people of Haywood County. #MLKDay","photo","https://www.facebook.com/RepDavidKustoff/photos/a.378750115819964.1073741828.377575062604136/385408011820841/?type=3",NA,24,3,4,0,0,0,0,0
"RepDavidKustoff","377575062604136_385934885101487","Congressman David Kustoff","2017-01-17","2017-01-17 22:23:21",NA,"photo","https://www.facebook.com/RepDavidKustoff/photos/a.378045762557066.1073741826.377575062604136/385934885101487/?type=3",NA,23,5,1,1,0,0,0,0
"RepDavidKustoff","377575062604136_386515851710057","Congressman David Kustoff","2017-01-18","2017-01-18 22:30:12","Had a great time in the 8th District this week. As we prepare for #Inauguration2017, there’s no better time to hear from the people I serve. I look forward to working hard to get the results we need out of Washington.","photo","https://www.facebook.com/RepDavidKustoff/photos/a.386515511710091.1073741829.377575062604136/386515851710057/?type=3",NA,19,4,2,0,0,0,0,0
