"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepDebbieDingell","639796166125261_1041430852628455","Rep. Debbie Dingell","2017-01-03","2017-01-03 17:42:07","It is a great day for manufacturing in Michigan and the United States with Ford Motor Company's announcement that its highest-tech vehicles will continue to be built right here in the U.S. Our challenge now is to continue to do everything we can – together – to keep Michigan at the forefront of innovation and technology and keep manufacturing in the United States.   Today’s announcement demonstrates what can happen when we do work together at the federal, state and local levels with workers and manufacturers to keep jobs in the U.S. This announcement also shows that the American auto industry continues to lead the way in many areas that will define the future of mobility, including autonomous vehicles and electric vehicles. Michigan’s auto workers are the best in the world, and Ford’s investment in the Flat Rock Assembly Plant that will create 700 new jobs illustrates their confidence in the U.S. workforce. This is a great way to start the New Year.","link","https://debbiedingell.house.gov/media-center/press-releases/dingell-applauds-ford-s-announcement-build-autonomous-commercial","debbiedingell.house.gov",232,16,26,12,0,0,0,0
"RepDebbieDingell","639796166125261_1041607049277502","Rep. Debbie Dingell","2017-01-04","2017-01-04 00:01:12","Joined AFL-CIO President Trumka and colleagues today to call on President-elect Trump to live up to his campaign promises and begin renegotiating #NAFTA within his first hundred days of taking office. For too long, trade agreements like NAFTA have failed to level the playing field for American workers, reducing wages and costing hardworking families in Michigan and across the country the opportunity to earn a decent living.   What I hope now is that President-elect Trump will make this issue a priority in his first 100 days and work with Congress on a new approach to trade that will create jobs, grow wages and put American workers first. It is important to note that Canada and Mexico have agreed that NAFTA needs to be revisited and modernized. This should be done on a bipartisan basis and we are here and ready to get to work. #FixNAFTA","link","https://debbiedingell.house.gov/media-center/press-releases/dingell-calls-president-elect-trump-live-promise-renegotiate-nafta","debbiedingell.house.gov",67,11,6,2,0,2,1,0
"RepDebbieDingell","639796166125261_1041617292609811","Rep. Debbie Dingell","2017-01-04","2017-01-04 01:26:00","Great to join my neighbors on the hall - Rep. John Moolenaar and Justin Amash - for our joint Michigan swearing-in open house. Ready to go to work for Michigan in the 115th Congress!","photo","https://www.facebook.com/RepDebbieDingell/photos/a.642145099223701.1073741828.639796166125261/1041617292609811/?type=3",NA,127,12,3,6,0,0,0,0
"RepDebbieDingell","639796166125261_1042304162541124","Rep. Debbie Dingell","2017-01-04","2017-01-04 22:20:43","Pleased that United States Department of Homeland Security Secretary Jeh Johnson today redesignated Yemen for Temporary Protected Status (TPS) for an additional 18 months, from March 4, 2017 through September 3, 2018.   This critical redesignation will provide Yemeni nationals visiting or living in the U.S. relief and a safe haven during the ongoing armed conflict in Yemen. I encourage all who may be eligible to apply or reapply. The deadline for new applicants is July 3 and the deadline for those re-registering is March 6. Details and procedures for how to apply can be found below. My office also stands ready to help those who may need assistance at 313-278-2936.","link","http://www.uscis.gov/tps","uscis.gov",32,2,3,1,0,1,0,1
"RepDebbieDingell","639796166125261_1043640652407475","Rep. Debbie Dingell","2017-01-06","2017-01-06 15:55:09","Honored to be selected to serve on the House Committee on Energy and Commerce in the 115th Congress to be a voice for the Midwest, working families and the issues that drive our economy - promoting manufacturing and job growth, protecting the Great Lakes, building a 21st century auto industry, and providing quality, affordable healthcare for all Americans. I look forward to working with Chairman Greg Walden, Ranking Member Frank Pallone Jr. and members of the committee on policies that will help create jobs, incentivize clean energy technologies, and keep our air clean to breathe and our water safe to drink.","link","https://debbiedingell.house.gov/media-center/press-releases/dingell-appointed-house-committee-energy-commerce","debbiedingell.house.gov",221,13,9,15,0,1,0,0
"RepDebbieDingell","639796166125261_1044468385658035","Rep. Debbie Dingell","2017-01-07","2017-01-07 18:13:47","Today, I joined families, health care providers and labor leaders at Western Wayne Family Health Centers to discuss the impact of the Affordable Care Act on Michigan, and I was struck by the stories I heard. Since the ACA was implemented, 695,000 hardworking people in Michigan have gained health coverage and thousands more have benefited from the law, no matter where they get their coverage.   Thanks to the ACA, preventative services like flu shots, cancer screenings and mammograms are now covered free of charge. People are no longer denied coverage because of a pre-existing condition, there are no more caps on lifetime benefits, and young people can stay on their parents’ plan until age 26. Hearing from today’s participants has reinforced for me that we cannot afford to go backwards. I will fight tooth and nail to protect the health care coverage that 695,000 people in Michigan and 20 million Americans rely upon.","link","https://debbiedingell.house.gov/media-center/press-releases/dingell-joins-families-health-care-providers-labor-leaders-highlight","debbiedingell.house.gov",105,8,11,10,0,0,0,0
"RepDebbieDingell","639796166125261_1045952325509641","Rep. Debbie Dingell","2017-01-09","2017-01-09 22:16:18","At auto show today, lots of talk about the future of the industry and what will happen in the next four years. If President-elect Trump wants to renegotiate NAFTA and work to ensure we have a strong, healthy, viable auto industry, then I am open to working with him. But as I told the Free Press today, ""if he wants to privatize Medicare and Social Security, or if he’s going to try and create a Muslim registry, I’ll fight him tooth and nail, and he will hit a buzz saw like one he’s never met. I can be very Donald Trumpish too.'""","link","http://www.freep.com/story/news/politics/2017/01/09/trump-talk-auto-show-politicians-take-glitz/96347066/","freep.com",96,12,10,15,0,0,0,0
"RepDebbieDingell","639796166125261_1046625825442291","Rep. Debbie Dingell","2017-01-10","2017-01-10 22:01:36","It was an honor to be able to tour the auto show with Vice President Biden today, and thank him personally for the work that he and President Obama did to save this industry I love. What the Vice President saw on the floor today is a direct result of their leadership and the hard work and determination of the American auto worker.   As I told MLive.com, ""Joe Biden did a lot for this industry, and I am so happy that he accepted the invitation and came and visited this as one of the last things he did. This industry owes him and president Obama a lot, he saved it.""","link","http://www.mlive.com/news/detroit/index.ssf/2017/01/majority_of_vehicles_are_going.html","mlive.com",131,6,13,18,1,0,0,0
"RepDebbieDingell","639796166125261_1048044945300379","Rep. Debbie Dingell","2017-01-12","2017-01-12 17:54:14","Today Congressman Dave Trott and I introduced legislation demanding a comprehensive study of Enbridge Line 5 under the Straits of Mackinac. If ruptured, the Line 5 Pipeline poses a serious threat to the entire #GreatLakes region, our environment and our economy. A University of Michigan Graham Sustainability Institute study found last year that more than 700 miles of shoreline in Lake Michigan and Lake Huron are potentially vulnerable to an oil spill in the Straits, jeopardizing the Great Lakes ecosystem and hundreds of thousands of jobs.   This legislation would allow the Department of Transportation to thoroughly study the condition and integrity of the underwater pipes and facilities in the Straits of Mackinac. If PHMSA finds the conditions of the pipes to be a significant risk to the environment and public health, the operations of Line 5 will be shut down.","link","http://www.freep.com/story/news/local/michigan/2017/01/12/trott-dingell-mackinac-pipeline-bill/96485410/","freep.com",222,19,70,16,0,4,2,0
"RepDebbieDingell","639796166125261_1048773631894177","Rep. Debbie Dingell","2017-01-13","2017-01-13 15:45:35","Last night, I spoke on the House floor about what the #ACA means to working families in my district and how important it is to protect the health care coverage 695,000 Michiganders rely upon. Anyone who votes to repeal the ACA should be able to look these people in the eye and tell them why they want to take their health care away.","video","https://www.facebook.com/RepDebbieDingell/videos/1048773631894177/",NA,328,60,48,33,0,0,1,14
"RepDebbieDingell","639796166125261_1050066038431603","Rep. Debbie Dingell","2017-01-15","2017-01-15 00:33:37","Nearly two decades ago, John Dingell and members of the community had a vision for an international wildlife refuge that would be a place to gather, learn and protect the wildlife and natural resources that make our region unique. This has been John's passion since before I met him, and today the Detroit River International Wildlife Refuge visitor center was named in his honor. As the author of some of the nation's most important environmental laws, there could not be a more fitting tribute. The new visitor center will be a place for the community to enjoy the outdoors just as he has. We are so thankful to all of our friends and are truly touched by this celebration of his accomplishments.","link","http://www.detroitnews.com/story/news/local/wayne-county/2017/01/14/wildlife-refuge-visitor-center-named-john-dingell/96590920/","detroitnews.com",499,23,36,73,0,2,0,0
"RepDebbieDingell","639796166125261_1051232881648252","Rep. Debbie Dingell","2017-01-16","2017-01-16 14:15:44","Today we honor a man whose bravery and determination helped break down barriers, lift up communities and create a more equal and just future for every American. Dr. King’s advocacy for justice, equality, service and love inspired people across this nation, regardless of race, to stand up and fight for a better, more tolerant future.  The enduring power of his example guides us still today. The fight for freedom and justice is never finished, but as Dr. King once stated, ""the arc of the moral universe is long, but it bends towards justice."" Today, as we celebrate his life, may we rededicate ourselves to the ideals of equality and opportunity that he taught, and may we all work together as Americans to help bend the arc towards justice.","photo","https://www.facebook.com/RepDebbieDingell/photos/a.642145099223701.1073741828.639796166125261/1051232881648252/?type=3",NA,76,6,4,7,0,0,0,0
"RepDebbieDingell","639796166125261_1051307238307483","Rep. Debbie Dingell","2017-01-16","2017-01-16 16:26:36","I am deeply concerned about reports of water in a number of the downriver communities looking, smelling and tasting ""yucky"". I have been in contact with local leaders, and many cities are doing their own independent testing. The Great Lakes Water Authority is assuring people the water is safe to drink. Unfortunately, after Flint, communities are rightfully anxious and concerned and need to ask questions. I will work closely with municipal and state leaders to ensure they have access to all appropriate federal resources to monitor, test, and report on water quality. We must remain vigilant in ensuring our water is safe. No chances should be taken with public health.","link","http://www.fox2detroit.com/news/local-news/229337021-story","fox2detroit.com",152,35,65,1,1,18,7,14
