"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepDonBacon","1684399788539695_1711069079206099","Congressman Don Bacon","2017-01-03","2017-01-03 18:00:00","This is the oath we take today, the first day of the 115th Congress: to support and defend the Constitution against all enemies; foreign and domestic.  It is my honor to serve you.","photo","https://www.facebook.com/RepDonBacon/photos/a.1711069172539423.1073741826.1684399788539695/1711069079206099/?type=3",NA,54,5,3,3,0,0,0,0
"RepDonBacon","1684399788539695_1711070719205935","Congressman Don Bacon","2017-01-03","2017-01-03 18:00:00","It is an honor to serve the people of Nebraska as the Congressman for the Second Congressional District. I will serve as an honest broker on all issues while being loyal to the Constitution and our constituents; work to tackle the decline in U.S. military readiness and support our veterans; help lift the weight of regulations on small businesses; and represent the hard-working taxpayers of Nebraska with honor and integrity.","photo","https://www.facebook.com/RepDonBacon/photos/a.1711069172539423.1073741826.1684399788539695/1711070719205935/?type=3",NA,28,5,3,4,0,0,0,0
"RepDonBacon","1684399788539695_1711110875868586","Congressman Don Bacon","2017-01-06","2017-01-06 16:22:55",NA,"photo","https://www.facebook.com/RepDonBacon/photos/a.1711110985868575.1073741828.1684399788539695/1711110875868586/?type=3",NA,38,2,1,2,0,0,0,0
"RepDonBacon","1684399788539695_1712604182385922","Congressman Don Bacon","2017-01-09","2017-01-09 20:27:17","Today, we mark Law Enforcement Appreciation Day—an opportunity to express our gratitude for the men and women who protect us. Below is a message from Rep. Dave Reichert (WA-08), who served in law enforcement for 33 years, about the sacrifices officers make every day in the line of duty:  Last Friday, after a senseless act of violence, law enforcement officers at the Fort Lauderdale, Florida international airport acted without hesitation to secure the area and usher civilians to safety.  In 2016, we lost 135 members of law enforcement. That is a 10 percent increase over 2015. Even more alarming, there was a 56 percent increase in firearm–related officer fatalities last year and one-third of shooting deaths were ambush-style attacks— the highest total in more than two decades.  You may not know one of the 135 brothers, sisters, mothers, fathers, friends, and colleagues we lost, but they are the reason our children feel safe on the playground, the reason your local hardware store owner can leave his shelves stocked knowing his merchandise will be there the next morning, and the reason the freedoms our country was founded on are more than ink on paper.  But this security comes at a cost.  Tacoma Police Officer Jake Gutierrez from my home state of Washington lost his life in the line of duty just last month while trying to protect a woman from a domestic abuser.  Gutierrez was supposed to exchange wedding vows with his fiancé only a few weeks later. Instead, she and his three daughters and granddaughter attended his funeral and tried to picture a life without their husband, father, and grandfather.  This feeling of loss is one that I am all too familiar with.  In 1982, my partner and best friend, Sergeant Sam Hicks, was shot to death when attempting to arrest a homicide suspect. Sam left behind a wife who no longer has a husband and five children who no longer have a father. That was over 30 years ago, but loss is a pain time cannot erase.  I tell these stories not to dampen your spirits, but to remind you that those who work across the law enforcement community—the police officers, sheriff’s deputies, corrections officers, FBI agents, border patrol agents, and all of our brave men and women—do not have a job like the rest of us.  They have a calling. A calling that can result in grave danger and sometimes the ultimate sacrifice. But with the heart of a servant and love for their community, they respond to the call to serve anyway. They leave their homes everyday knowing they might not return.   At a time when we are seeing examples of unrest toward law enforcement, we must stop and think about just how much their daily acts of bravery impact our own lives.  I ask that on National Law Enforcement Appreciation Day, we do just that—show appreciation for our law enforcement. A request that should not be reserved for a holiday, but should be honored each and every day.  So please join me in saying thank you—whether that means displaying a blue light in your windowsill or shaking the hand of a local law enforcement officer.  A small gesture for those who are willing to give their life on our behalf.  #SupportBlue #TaketheLEAD2017 #ThankACop #LawEnforcementAppreciationDay","photo","https://www.facebook.com/RepDonBacon/photos/a.1711069172539423.1073741826.1684399788539695/1712604182385922/?type=3",NA,21,1,3,0,0,0,0,0
"RepDonBacon","1684399788539695_1712662325713441","Congressman Don Bacon","2017-01-09","2017-01-09 23:32:15","Today, I signed-on to co-sponsor H.J.Res 6 introduced by Congressman Ron DeSantis (FL-06).  H.J. Res 6 would propose an amendment to the U.S. Constitution that would limit House members to 3 terms and Senators to 2 terms.","status",NA,NA,184,19,13,13,0,0,0,0
"RepDonBacon","1684399788539695_1713083759004631","Congressman Don Bacon","2017-01-10","2017-01-10 22:51:11","Rep. Bacon Named to House Armed Services Committee","status",NA,NA,144,17,14,8,0,0,0,0
"RepDonBacon","1684399788539695_1713390655640608","Congressman Don Bacon","2017-01-11","2017-01-11 14:22:17","Yesterday, I supported HR 5, the Regulatory Accountability Act of 2017, helping to restore the separation of powers, and lifting the burden that has been put on our small businesses and farmers.","link","https://www.c-span.org/video/?c4643841%2Fcongressman-bacons-floor-speech-11017","c-span.org",25,1,3,0,0,0,0,0
"RepDonBacon","1684399788539695_1713459482300392","Congressman Don Bacon","2017-01-11","2017-01-11 16:16:05","Yesterday afternoon I met with Amy Behnke of the Health Center Association of Nebraska (HCAN).  Amy and her colleagues at HCAN play a critical role in providing quality medical care to low-income Nebraskans.  Last year I had the opportunity to visit the Charles Drew Health Center and I look forward to visiting the OneWorld Community Health Center in the near future.","photo","https://www.facebook.com/RepDonBacon/photos/a.1711069172539423.1073741826.1684399788539695/1713459482300392/?type=3",NA,34,6,1,0,0,0,0,0
"RepDonBacon","1684399788539695_1713521208960886","Congressman Don Bacon","2017-01-11","2017-01-11 18:13:58","Rep. Bacon Named to House Agriculture Committee","status",NA,NA,21,0,3,0,0,0,0,0
"RepDonBacon","1684399788539695_1713539042292436","Congressman Don Bacon","2017-01-11","2017-01-11 18:47:24","As a member of the House Armed Services Committee I will be a strong advocate for our military to ensure that America's total force of Active Duty, National Guard and Reserve have the personnel, equipment, and training necessary to defend our interests around the world.   As a fellow Nebraskan I am especially proud of Lieutenant General Tim Kadavy's distinguished service to our nation and look forward to doing everything I can to support the soldiers and military families he represents.","photo","https://www.facebook.com/RepDonBacon/photos/a.1711069172539423.1073741826.1684399788539695/1713539042292436/?type=3",NA,95,4,1,8,0,0,0,0
"RepDonBacon","1684399788539695_1713544858958521","Congressman Don Bacon","2017-01-11","2017-01-11 18:53:59","It was great to meet with veterans advocates on the hill today like George and Michael. I am committed to honoring the promises we made to those who have served in our military.","photo","https://www.facebook.com/RepDonBacon/photos/a.1711069172539423.1073741826.1684399788539695/1713544858958521/?type=3",NA,28,1,0,2,0,0,0,0
"RepDonBacon","1684399788539695_1713587838954223","Congressman Don Bacon","2017-01-11","2017-01-11 20:42:01","It was good to meet with representatives from Werner Enterprises this afternoon.  Recently, Werner announced that they hired their 25,000th military veteran!","photo","https://www.facebook.com/RepDonBacon/photos/a.1711069172539423.1073741826.1684399788539695/1713587838954223/?type=3",NA,41,0,3,0,0,0,0,0
"RepDonBacon","1684399788539695_1713781815601492","Congressman Don Bacon","2017-01-12","2017-01-12 03:38:00","Representing the agriculture interests is important for Nebraska and I’m going to work my hardest at it.","link","http://www.omaha.com/news/politics/don-bacon-who-represents-the-mostly-urban-and-suburban-nd/article_07e4fe3c-816f-5091-a3ff-75865b3a714a.html","omaha.com",65,4,0,0,0,0,0,0
"RepDonBacon","1684399788539695_1714209868892020","Congressman Don Bacon","2017-01-12","2017-01-12 21:50:09","Rep. Bacon Named to  House Small Business Committee","status",NA,NA,17,0,3,3,0,0,0,0
"RepDonBacon","1684399788539695_1714235012222839","Congressman Don Bacon","2017-01-12","2017-01-12 23:05:53","I had the opportunity this morning to meet with several bright young students from Nebraska who benefited from Deferred Action for Childhood Arrivals (DACA).  I look forward to being a leader and work to find a solution to fix our immigration system.","photo","https://www.facebook.com/RepDonBacon/photos/a.1711069172539423.1073741826.1684399788539695/1714235012222839/?type=3",NA,21,1,0,0,0,0,0,0
