"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepDonYoung","7476269851_10155949190314852","Don Young","2017-01-04","2017-01-04 04:25:25","Today, after being sworn into the 115th Congress, I hit the ground running by introducing 38 pieces of legislation – many of which saw great promise and support in the U.S. House, but ultimately fell victim to Congressional gridlock and unwilling partners in the White House.   It’s an honor to serve as your Representative and I am humbled by the support Alaskans have shown me. I remain committed to ensuring the federal government and our federal agencies are more responsive to the needs of Alaskans and respect the rights of our people.","video","https://www.facebook.com/RepDonYoung/videos/10155949190314852/",NA,123,24,19,3,2,0,0,2
"RepDonYoung","7476269851_10155952186479852","Don Young","2017-01-04","2017-01-04 23:51:10","My signed Oath of Office of Representative in the Congress of the United States.","photo","https://www.facebook.com/RepDonYoung/photos/a.370893064851.205426.7476269851/10155952185924852/?type=3",NA,141,20,7,9,0,0,0,2
"RepDonYoung","7476269851_10155952232109852","Don Young","2017-01-05","2017-01-05 00:07:13","The Midnight Rules Relief Act, which passed in the House today, gives Congress the tools and resources to push back against politically driven, overly burdensome rules and regulations announced in the final days of a presidency.","link","http://www.rollcall.com/news/politics/house-gop-poised-undo-obama-midnight-regulations","rollcall.com",95,16,10,8,2,0,0,2
"RepDonYoung","7476269851_10155954611744852","Don Young","2017-01-05","2017-01-05 17:32:40","Getting ready to go live on the Rick Rydell Show.  Have a listen --  https://www.iheart.com/live/650-keni-3014/?autoplay=true&pname=608&campid=header&cid=%2Fonair%2Frick-rydell-3140%2F","photo","https://www.facebook.com/RepDonYoung/photos/a.370893064851.205426.7476269851/10155954611744852/?type=3",NA,26,4,3,0,0,0,0,1
"RepDonYoung","7476269851_10155956298604852","Don Young","2017-01-06","2017-01-06 02:54:31","The U.S. House recently passed the REINS Act, which would require Congressional approval for all major rules resulting in an annual effect on the economy of $100 million or more. The legislation represents a longstanding effort by Congress to curb the massive expansion of unnecessary and overly burdensome regulatory law that continues to stifle growth and eliminate opportunities for the American people.","video","https://www.facebook.com/RepDonYoung/videos/10155956298604852/",NA,61,20,14,2,0,0,0,1
"RepDonYoung","7476269851_10155959676119852","Don Young","2017-01-06","2017-01-06 23:16:24","Ending the prohibition against oil and gas development in ANWR is the answer many Alaskans and Americans have been looking for; additional jobs for our economy, energy security for our nation and new opportunities for our people.   With a changing Administration and partners in the Senate, this week I introduced legislation that would open portions of the ANWR Coastal Plain for responsible resource development.  I look forward to laying out a comprehensive energy strategy and moving this legislation to the President’s desk.","link","http://www.alaskapublic.org/2017/01/06/alaskas-congressional-leaders-renew-push-to-allow-anwr-drilling/","alaskapublic.org",96,19,26,6,0,0,0,9
"RepDonYoung","7476269851_10155959802389852","Don Young","2017-01-07","2017-01-07 00:05:07","It’s truly disturbing that President Obama would move forward with this plan; it’s akin to putting glue in the locks before returning the keys. This, along with a number of atrocious actions taken in Alaska, will be added to the laundry list of items we’ll be working to overturn come January 20th.  Read my full statement here: http://bit.ly/2iNB3GU","link","http://www.newsminer.com/news/alaska_news/obama-plan-for-million-acres-in-interior-alaska-maintains-mining/article_1264bc18-d43e-11e6-9b76-07f1b009699c.html","newsminer.com",62,34,25,2,0,6,3,29
"RepDonYoung","7476269851_10155979655174852","Don Young","2017-01-11","2017-01-11 23:53:18","Today, Lisa Murkowski, Senator Dan Sullivan and I met with the nominee for Secretary of Interior, Representative Ryan Zinke (R-MT), to discuss a number of priorities important to Alaska, including the need to restore Alaska’s trust and confidence in the Department responsible for managing more than 60% of lands within our state.   Beyond issues of responsible resource development, including in ANWR and the NPR-A, and the approval of King Cove’s life-saving road, I emphasized the importance of properly managing federal lands – for multiple use – something this Administration has failed to do time and time again.","photo","https://www.facebook.com/RepDonYoung/photos/a.370893064851.205426.7476269851/10155979655174852/?type=3",NA,88,6,12,4,1,0,0,3
"RepDonYoung","7476269851_10155979757099852","Don Young","2017-01-12","2017-01-12 00:22:35","For too long, the lives of Alaskans and Americans have been ruled by regulatory law – never passed by Congress or supported by the people. This type of regulatory sprawl – ‘death by regulation’ for small businesses and the American economy – must be reformed in order to simplify the process, create stability across numerous sectors of the economy, and ensure regulations are working in the best interest of people and not Washington, D.C. bureaucrats.   Today, the House passed legislation that would accomplish those goals and ensure regulators implement federal law in a manner that limits the burdens placed upon the American people and economy.","link","http://donyoung.house.gov/news/documentsingle.aspx?DocumentID=398825","donyoung.house.gov",38,12,4,2,1,0,0,4
"RepDonYoung","7476269851_10155989260484852","Don Young","2017-01-14","2017-01-14 00:06:48","Those adamantly opposed to resource development, including our current Interior Secretary, have attempted to sell the Alaskan and American people on the idea that Alaska’s energy sector is on its last legs. I fundamentally disagree!  Today’s announcement by ConocoPhillips – a discovery in the NPR-A that  could yield 300 million barrels of oil – is living proof that Alaska’s abundant energy sector is alive and well. Although we face many challenges, many at the hands of an unwilling federal partner, there is great hope that we will once again fill the Trans-Alaska pipeline, provide high-paying/quality jobs for our workforce and reignite an industry which has provided so much for our state.   As we move forward, I will continue to work with our federal officials – including the next Interior Secretary – to ensure development within the NPR-A, an area set aside precisely for resource development, is encouraged and not met with endless roadblocks.","link","http://www.alaskajournal.com/2017-01-13/conocophillips-announces-big-find-north-slope#.WHlrSFUrKUk","alaskajournal.com",158,17,40,7,1,0,0,11
"RepDonYoung","7476269851_10155989298389852","Don Young","2017-01-14","2017-01-14 00:20:29","For years, this Administration has done its best to convince the American people that the President’s healthcare law is working and is in fact affordable. However, in Alaska and across the nation we’ve seen the exact opposite. The facts speak for themselves. Year after year, Alaskans have faced skyrocketing premiums and soaring deductibles – pricing hardworking individuals and families out of access to healthcare entirely. The promise for increased competition and lower prices represents another major failure in this law, as insurers flee the individual marketplace and leave Alaska and more than one third of U.S. counties with just one insurer in 2017.  Simply put, the real world application of this government-knows-best mandate has resulted in broken promises, inadequate results and a demand for change from the American people.   In many ways, we are at a fundamental crossroads – a law on the verge of collapse and a unique opportunity, granted by the American people, to transition towards a more stable healthcare system. Given the numerous consequences of the law, I have chosen, without reservation, to move forward with a process to repeal and replace this unworkable law. This budget resolution represents the first step in an effort to transition away from Obamacare, and move towards a system that gives American consumers the choice and flexibility they need and deserve.","link","http://donyoung.house.gov/news/documentsingle.aspx?DocumentID=398828","donyoung.house.gov",69,52,12,7,0,0,0,18
"RepDonYoung","7476269851_10156012095584852","Don Young","2017-01-19","2017-01-19 17:28:45","I'm going live on the Rick Rydell Show to talk about tomorrow's Inauguration. Listen in:   https://www.iheart.com/live/650-keni-3014/?autoplay=true&pname=608&campid=header&cid=%2Fonair%2Frick-rydell-3140%2F","photo","https://www.facebook.com/RepDonYoung/photos/a.370893064851.205426.7476269851/10156012095584852/?type=3",NA,35,9,3,0,1,0,0,1
"RepDonYoung","7476269851_10156012979834852","Don Young","2017-01-19","2017-01-19 22:20:34","I recently spoke to C-SPAN’s American History TV about the importance of the Inauguration and the peaceful transition of power.  As I’ve done nine times before, I will proudly attend tomorrow’s Inauguration to show respect to the nation and the Office of the President of the United States.","link","https://www.c-span.org/video/?421777-2%2Frepresentative-don-young-inaugural-recollections","c-span.org",73,15,8,5,0,2,1,2
"RepDonYoung","7476269851_10156013083799852","Don Young","2017-01-19","2017-01-19 22:53:34","Thank you to all the Alaskans who attended today's Inauguration Welcome Reception hosted by the delegation. It's always nice seeing so many friendly and families faces in Washington, D.C.","photo","https://www.facebook.com/RepDonYoung/photos/a.370893064851.205426.7476269851/10156013080634852/?type=3",NA,73,13,1,4,0,0,0,4
"RepDonYoung","7476269851_10156039421889852","Don Young","2017-01-25","2017-01-25 00:51:29","I recently shared my view on a number of executive actions by the Trump Administration – including the ACA, infrastructure development and the Trans-Pacific Partnership.","link","http://donyoung.house.gov/news/documentsingle.aspx?DocumentID=398830","donyoung.house.gov",57,34,8,4,0,0,1,18
"RepDonYoung","7476269851_10156052604919852","Don Young","2017-01-27","2017-01-27 23:38:53","As the only airborne brigade in the Pacific – and the only brigade in the U.S. military trained to perform joint forcible operations in extreme, cold weather environments – JBER's 4-25 is truly one of a kind. I proudly fought alongside our congressional delegation against its proposed reduction and continue to work to defend Alaska’s unique military value in the Asia-Pacific and Arctic regions.  Watch as JBER’s 4-25 highlights its cold weather training during an airborne operation last week, with temperatures at -17 degrees.","video","https://www.facebook.com/SpartanBrigade/videos/1228222340547366/",NA,37,7,0,12,0,1,0,2
"RepDonYoung","7476269851_10156063552419852","Don Young","2017-01-30","2017-01-30 23:11:34","Over the past three days, I have closely reviewed the President’s actions on immigration. As many will agree, I believe the roll-out of this order was flawed. It left those tasked with implementing this policy with inadequate information and little direction, and resulted in what many believe to be the wrongful detention of certain lawful residents of the United States. The White House and the Department of Homeland Security are working to clarify this language, including a clear exception for green card holders, to ensure its implementation is consistent with its intent.  This administration has made it very clear – throughout the election cycle and since entering office – they are focused on protecting the American people from foreign and emerging threats. Ultimately, I support the goals of increased security, additional screening and added layers of safety. I believe we must do everything in our power to ensure our immigration system is complete, thorough and capable of examining threats – particularly from some of the most dangerous regions of the globe. This temporary pause allows our nation to review its vetting process and begin addressing some of the many national security holes identified by those in our intelligence and counter-terrorism community.","link","http://donyoung.house.gov/news/documentsingle.aspx?DocumentID=398831","donyoung.house.gov",145,75,26,5,1,0,2,33
"RepDonYoung","7476269851_10156063930244852","Don Young","2017-01-31","2017-01-31 00:50:48","Each and every year I take great pride in nominating an exceptional group of Alaskan students to our nation’s service academies. These students represent some of the best and brightest our state has to offer – dedicated and committed to serving others, our many communities and a cause much greater than their own. I have no question these 47 talented students will proudly represent the state of Alaska and humbly serve as our nation’s next generation of leaders. I wish them all the best in the academy appointment process and look forward to their many successes.","link","http://donyoung.house.gov/news/documentsingle.aspx?DocumentID=398832","donyoung.house.gov",35,22,5,2,0,0,0,13
"RepDonYoung","7476269851_10156071468939852","Don Young","2017-02-01","2017-02-01 22:26:36","I’m moving forward with efforts in Congress to overturn two Alaska specific rules issued by our federal agencies – one relating to the massive overreach of the Fish and Wildlife Service upon Alaska lands (a violation of ANILCA and the Alaska Statehood Compact) and another having to do with crippling new restrictions for resource development in the OCS.  These actions represent a collective effort in Congress to overturn costly and often politically charged rules – issued in the final months of the Obama Administration – through the use of the Congressional Review Act (CRA). This powerful tool allows Congress to disapprove of new federal regulations through an expedited legislative process, requiring a simple majority in both Chambers and the signature of the President.","link","http://donyoung.house.gov/news/documentsingle.aspx?DocumentID=398835","donyoung.house.gov",130,65,18,13,0,0,2,147
"RepDonYoung","7476269851_10156075619269852","Don Young","2017-02-02","2017-02-02 23:36:25","Sadly, the Obama administration’s war on coal manifested into some of the worst rule making I’ve seen in years – debilitating new regulations focused on destroying the coal mining industry and regulating hardworking Americans right out of their livelihoods.  Today, the House and Senate sent a resolution of disapproval to the President’s desk that would overturn the Department of Interior’s “Stream Buffer Rule”, a thinly veiled political move that jeopardizes any and all coal development in Alaska through a patchwork of duplicative and conflicting regulatory requirements.","link","http://donyoung.house.gov/news/documentsingle.aspx?DocumentID=398836","donyoung.house.gov",80,149,13,5,0,0,5,129
"RepDonYoung","7476269851_10156091271424852","Don Young","2017-02-07","2017-02-07 01:21:25","The House just passed legislation to update and modernize a decades-old law pertaining to the collection and search of digital evidence in criminal investigations. Because these laws were written long before the regular use of the internet or email, they currently contain glaring holes – giving the government the ability to access emails and other digital communication 180 days old or older without a warrant.  Today’s actions represent an importation step to fixing this violation of privacy by passing the Email Privacy Act. This bill ensures our electronic communication laws contain important 4th Amendment protections and our law enforcement agencies follow uniform warrant standards when conduction criminal investigations.","link","http://thehill.com/policy/cybersecurity/318162-house-passes-bill-requiring-warrants-for-digital-data","thehill.com",51,23,9,0,0,1,0,21
