"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepEliotLEngel","103355984852_10154920284314853","Eliot Engel","2017-01-01","2017-01-01 05:13:22","Wishing everyone a very happy and healthy New Year!","status",NA,NA,604,20,6,1,0,0,0,0
"RepEliotLEngel","103355984852_10154929696254853","Eliot Engel","2017-01-04","2017-01-04 01:25:44","Today House Republicans took aim at unraveling the Constitution on the same day they swore an oath to protect it. After flirting this morning with the idea of destroying the Office of Congressional Ethics – until finally backing away from that ill-conceived plan – the House GOP then attacked the First Amendment and our nation’s very right to freedom of speech. Imposing unconstitutional fines upon Members who try to bring light to the efforts and conduct of the proceedings on the House floor is an outrage. The American people deserve better.  http://thehill.com/blogs/floor-action/312578-house-gop-passes-rules-aimed-at-preventing-lawmaker-sit-ins-protests","link","http://thehill.com/blogs/floor-action/312578-house-gop-passes-rules-aimed-at-preventing-lawmaker-sit-ins-protests","thehill.com",97,9,10,1,0,0,3,12
"RepEliotLEngel","103355984852_10154937700519853","Eliot Engel","2017-01-06","2017-01-06 21:13:44","There is no doubt that Russia interfered illegally in our election to boost Donald Trump’s campaign.  The American people have accepted the findings of our Intelligence and Law Enforcement Communities, and Republican leaders should do the same.  Now we need to build on the Intelligence Community’s report with a thorough bipartisan investigation in Congress.  The Foreign Affairs Committee should help lead this effort.  The United States also needs to respond to this attack.  We cannot allow Putin’s aggression to go unanswered. Next week, I’ll reintroduce legislation to impose tough sanctions in response to illegal foreign interference in our elections.  I hope House leadership will commit to quick action on this measure.  Lastly, it’s time for the President-elect to face facts about this assault on our democracy and stop attacking our Intelligence Community.  Our intelligence officials are courageous public servants whose work protects Americans and enhances our country’s security.  Instead of siding with Putin and convicted criminal hacker Julian Assange, Mr. Trump should be listening to our Intelligence Community leaders and heeding their counsel.","status",NA,NA,233,5,2,2,0,1,0,2
"RepEliotLEngel","103355984852_10154937794899853","Eliot Engel","2017-01-06","2017-01-06 21:59:26","As the first Member of Congress to call for the closing of the Indian Point Power Plant many years ago, I am encouraged by reports that an agreement has been reached by Entergy and the State to close this dangerous nuclear facility by 2021. The risks associated with Indian Point have always been obvious and pronounced. From its close proximity to New York City, to its near constant maintenance issues, to the fact that it is built at the intersection of two active seismic fault lines, this plant has always been marred by inadequate planning and structural deficiencies. Add in the possible threats posed to the plant by terrorists agents and you have a potential powder keg waiting to erupt at any moment, threatening the health and well-being of millions of New Yorkers. Closing Indian Point will not only make our region safer, it will also encourage the continued implementation of newer, safer and more cost-effective sources of renewable energy. I look forward to the finalization of this agreement and I applaud Governor Cuomo, Attorney General Schneiderman, and their teams for making this plant closure a reality.   http://www.nytimes.com/2017/01/06/nyregion/indian-point-nuclear-power-plant-shutdown.html?rref=collection%2Fsectioncollection%2Fnyregion&action=click&contentCollection=nyregion&region=stream&module=stream_unit&version=latest&contentPlacement=4&pgtype=sectionfront","link","http://www.nytimes.com/2017/01/06/nyregion/indian-point-nuclear-power-plant-shutdown.html?rref=collection%2Fsectioncollection%2Fnyregion&action=click&contentCollection=nyregion&region=stream&module=stream_unit&version=latest&contentPlacement=4&pgtype=sectionfront","nytimes.com",135,3,7,3,0,1,0,0
"RepEliotLEngel","103355984852_10154951383939853","Eliot Engel","2017-01-11","2017-01-11 16:25:05","I’m pleased to welcome Representatives Titus, Torres, Schneider, Suozzi, and Espaillat to the Foreign Affairs Committee. These members bring a wealth of experience and knowledge to the Committee, and I look forward to working with them on good legislation and effective oversight that will enhance our country’s security.","status",NA,NA,76,2,0,0,0,0,0,0
"RepEliotLEngel","103355984852_10154951391299853","Eliot Engel","2017-01-11","2017-01-11 16:28:50","STATEMENT OF KOSOVO PRESIDENT HASHIM THACI & RANKING MEMBER ENGEL  “We believe that Serbia's abuse of the Interpol Red Notice system leading to the detention of Ramush Haradinaj is outrageous. We urge France to expeditiously process the case and return him to his home in Kosovo as soon as possible.  “The United States and the European Union must hold Serbia accountable for its abuse of Interpol. In Europe, Serbia's accession process must be halted until it continues with its obligation to normalize relations with Kosovo. Likewise, the United States should let Belgrade know that relations will suffer unless it returns to a constructive path.”","status",NA,NA,601,34,43,13,0,4,0,0
"RepEliotLEngel","103355984852_10154956788319853","Eliot Engel","2017-01-12","2017-01-12 21:29:49","Congratulations to my friend Joe Biden on receiving the Presidential Medal of Freedom. There is a no more deserving honoree. Thank you for all your years of incredible public service!","status",NA,NA,485,17,6,6,0,0,0,0
"RepEliotLEngel","103355984852_10154959629789853","Eliot Engel","2017-01-13","2017-01-13 18:29:21","ENGEL & CONNOLLY OFFER SANCTIONS BILL TO PUNISH ELECTION INTERFERENCE   More than 50 Cosponsors Support Measure Responding to Russia's Hacking   WASHINGTON—Representative Eliot L. Engel (NY), Ranking Member of the House Committee on Foreign Affairs, and Representative Gerald E. Connolly (VA) are leading a group of more than 50 lawmakers to offer legislation that would punish illegal foreign interference in an American election. The SECURE Our Democracy Act would sanction any foreign individual or entity found to have unlawfully meddled with a federal election, and would bar entry to the United States and freeze U.S.-based assets of anyone involved in such interference.    “Our intelligence and law enforcement communities are unanimous in their assessment that Russia worked to rig our election. This is an attack on our country, and it cannot go unanswered. If the criminals who interfered with our election get away with it, what’s to stop our enemies from doing the same thing the next time Americans cast their votes? This bill would mete out tough penalties to those who tried to undermine our democracy, and it would put any other would-be meddlers on notice: stay out of our business or face the consequences,” said Rep. Engel. “Every member of the House should cosponsor this bill. I hope in the days ahead, we build the sort of bipartisan support around this issue we're seeing in the Senate under the leadership of Senators McCain and Graham.”   “The U.S. Intelligence Community recently shared an unclassified report detailing an unprecedented, deliberate, and multi-faceted campaign by Russia to interfere in the 2016 U.S. presidential election. That should trouble every American,” said Rep. Connolly. “One of our most cherished institutions, democratic elections free of foreign interference, was attacked. Congress must come together in a bipartisan fashion to demonstrate that there is a cost to such attacks on American democratic institutions.    “I am glad to join with Ranking Member Engel to introduce legislation that would publicly identify and authorize sanctions against foreign persons and governments that unlawfully interfere in U.S. federal elections. I applaud the Obama Administration for releasing this intelligence assessment. Our bill seeks to standardize this transparency measure because exposing these tactics is the best way to nullify them.”   Among the bill's cosponsors are Ranking Members Nita Lowey (NY) of the Appropriations Committee; Adam Smith (WA) of the Armed Services Committee; Bennie Thompson (MS) of the Homeland Security Committee; Adam Schiff (CA) of the Permanent Select Intelligence Committee; John Conyers, Jr. (MI) of the Judiciary Committee; and Elijah Cummings (MD) of the Oversight and Government Reform Committee. Click here for a complete list of the bill’s original cosponsors.   The SECURE Our Democracy Act would require the Secretary of State to compile and regularly update a public list of foreign persons and entities who, at any time since January 1, 2015, unlawfully interfered in U.S. elections for federal office. Those on the list would be barred from entering the United States and have their financial assets in this country frozen. Similar sanctions have won strong bipartisan support and have been used successfully against terrorists, drug traffickers, and human rights violators. The bill would also require the Secretary to submit a report to Congress after each federal election summarizing any foreign interference in the previous cycle, offering the American people an official report.  The SECURE Our Democracy Act would cost zero taxpayer dollars.","status",NA,NA,56,2,2,0,0,0,0,0
"RepEliotLEngel","103355984852_10154965889979853","Eliot Engel","2017-01-15","2017-01-15 17:27:33","This week, I spoke out on the House floor against Republicans’ plot to repeal the Affordable Care Act.   The Affordable Care Act was a real step forward for families in NY-16. But that progress would be destroyed if we allow the Republicans to push through their #MakeAmericaSickAgain agenda.   Repeal of the Affordable Care Act would put more than 300,000 people in the Bronx at risk of losing their insurance coverage, along with more than 91,000 in Westchester County. On top of that, a report prepared by the nonpartisan Commonwealth Fund and George Washington University’s Milken Institute School of Public Health found that ACA repeal would cause New York to lose 130,700 jobs in 2019 alone.  The families of NY-16 deserve better —that’s why I’m fighting to protect health care reform.","video","https://www.facebook.com/RepEliotLEngel/videos/10154965889979853/",NA,203,0,4,5,0,0,0,0
"RepEliotLEngel","103355984852_10154968409889853","Eliot Engel","2017-01-16","2017-01-16 13:25:14","This Martin Luther King Day, as we watch the Obama Administration wind down, I wanted to reflect on the progress we’ve made as a country throughout his Presidency and think about what it means for our work going forward these next few years.   Dr. King talked throughout his life about racial and economic equality. He talked about expanding voting rights, and making sure that working people got a fair shake. Of course, he also talked about the injustice and violence facing the black community, and the need for true civil rights for all Americans. He said, ‘The goal of America is freedom,’ but he sadly wrote those words from a Birmingham jail cell.   We can all be proud of some of the ways we’ve reached for Dr. King’s goal together in the last eight years. We achieved nationwide marriage equality for our LGBT family and friends. We made lifesaving healthcare available to millions who couldn’t afford it before. We lifted American families away from the threat of a second Great Depression and created more than 11 million jobs. And we saw one of Dr. King’s dreams realized when we elected an African-American to be President of the United States.    It’s strange to think that President Obama is more optimistic now than he was in January 2009, as he said in Chicago last week. But this was part of the point of Dr. King’s letter from that Birmingham jail: when we come up against enormous obstacles, the solution is to work even harder, and have faith that our work can change things.   I am committed to pressing forward this Congress with an ambitious agenda to make America’s elections fairer, safer, and more open; reform the justice system; expand access to healthcare; protect America from cyber threats; reduce carbon emissions; and safeguard America’s values, both at home and abroad. And when need be, I will fight as hard as I can to protect the advances we’ve made so that our country can continue moving forward rather than back. President Obama’s mounting optimism is a testament to our ability to get these things done – to get closer to Dr. King’s goal – if we all work together.","status",NA,NA,153,15,7,7,0,0,0,0
