"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepEliseStefanik","788498101216380_1228197767246409","Rep. Elise Stefanik","2017-01-02","2017-01-02 00:25:55",NA,"link","http://buff.ly/2iCjxoX","buff.ly",69,10,0,0,0,0,0,0
"RepEliseStefanik","788498101216380_1229438007122385","Rep. Elise Stefanik","2017-01-03","2017-01-03 15:59:07","Today Congress opens the 115th session. Looking forward to continuing our hard work on behalf of #NY21:","link","https://medium.com/@RepStefanik/serving-the-north-country-in-the-114th-congress-bbda7d0a2b8a#.m6l0tlrr4","medium.com",28,8,1,0,0,0,0,0
"RepEliseStefanik","788498101216380_1229555803777272","Rep. Elise Stefanik","2017-01-03","2017-01-03 18:31:37","I strongly believe that Members of Congress should serve as a model to the public for ethical and accountable behavior. This is why I am a leader in Congress when it comes to transparency and accountability, including posting my votes publicly to Facebook and releasing my personal financial information. I oppose the ethics amendment to the House rules and believe it should be removed from the rules package. I believe there need to be reforms to the ethics process but that they should be implemented on a bipartisan basis.","status",NA,NA,250,52,14,11,3,0,0,1
"RepEliseStefanik","788498101216380_1230413540358165","Rep. Elise Stefanik","2017-01-04","2017-01-04 18:15:41","Pleased to welcome Captain Michael Frey of Buffalo, NY to the team as our 2017 Military Fellow. Captain Frey served 4 years at U.S. Army Fort Drum & 10th Mountain Division as an Infantry Officer.  His years of service, in-depth knowledge of our nation's military and tremendous skill set will be of great benefit to New York's 21st Congressional District and my work on the House Armed Services Committee Republicans.","photo","https://www.facebook.com/RepEliseStefanik/photos/a.789386871127503.1073741828.788498101216380/1230413540358165/?type=3",NA,205,5,2,2,0,0,0,0
"RepEliseStefanik","788498101216380_1230581530341366","Rep. Elise Stefanik","2017-01-05","2017-01-05 00:15:00","Yesterday I voted in support of H.Res. 5 - Adopting Rules for the One Hundred Fifteenth Congress. This resolution formally adopts the legislative rules for the next session of Congress. Critically, this resolution removed the amendment relating to the Office of Congressional Ethics and passed by a vote of 234-193.  Additionally, with my support, the House passed H.R. 27 – the Ensuring VA Employee Accountability Act, and H.R. 28 – the Biological Implant Tracking and Veteran Safety Act with strong bipartisan support.  Today I voted in support of H.R. 21 – the Midnight Rules Relief Act of 2017. This important legislation provides accountability and transparency to the American people. “Midnight Rules” are regulations, often high-cost or politically-driven, that are rushed into place in the last days and months of a presidential administration. This legislation provides Congress with the tools and flexibility to disapprove of poorly conceived rules that were put in place in the lame duck session of the Obama Administration, and paves the way for comprehensive regulatory reform. This legislation passed by a vote of 238-184.  Additionally, with my support, the House today passed six pieces of legislation with strong bipartisan support, including H.J.Res. 3 – a resolution approving the location of a memorial to commemorate and honor the members of the Armed Forces who served on active duty in support of Operation Desert Storm or Operation Desert Shield; H.R. 71 – the Taxpayers Right-To-Know Act; H.R. 73 – the Presidential Library Donation Reform Act; H.R. 70 – the Federal Advisory Committee Act Amendments of 2017; H.R. 72 – the GAO Access and Oversight Act; and H.R. 69 – the Thoroughly Investigating Retaliation Against Whistleblowers Act. All of these measures passed with strong bipartisan support.","status",NA,NA,48,35,3,3,0,0,0,1
"RepEliseStefanik","788498101216380_1231198736946312","Rep. Elise Stefanik","2017-01-05","2017-01-05 15:17:08","The Medical Device Tax is a burdensome tax that creates undue harm to an industry that not only creates jobs, but also improves our health and well-being. Last Congress I fought hard to secure a delay in this tax that harms employers across our district and I'm proud to support permanently repealing this harmful tax on North Country medical device manufacturers.","link","http://poststar.com/blogs/all_politics_is_local/stefanik-co-sponsors-legislation-to-permanently-repeal-medical-device-tax/article_8dfdc6f2-4993-57b9-b5bd-0904b01ef5ad.html","poststar.com",87,16,4,1,0,1,0,0
"RepEliseStefanik","788498101216380_1231619573570895","Rep. Elise Stefanik","2017-01-06","2017-01-06 01:15:51","Today I voted in support of H.R. 26, the Regulations from the Executive in Need of Scrutiny (REINS) Act. When I visit businesses across the North Country, one of the top concerns I hear about is the negative effects burdensome regulations from Washington have on their ability to grow and create jobs. The REINS Act pushes back against overregulation by federal bureaucrats and gives power back to the people by requiring that Congress vote on any major rule or regulation coming from the executive branch. This is a commonsense step for transparent and accountable government that will help grow our economy and create jobs for North Country families. This legislation passed the House by a vote of 237-187.  Additionally, today I voted in support of H. Res. 11, a bipartisan resolution objecting to United Nations Security Council Resolution 2334 as an obstacle to Israeli-Palestinian peace. Recently, in its’ waning days, the Obama Administration failed to uphold longstanding U.S. policy to oppose and veto any one-sided and anti-Israel resolutions at the UN Security Council. The U.S. has no greater ally in the region than Israel, and this UN resolution is biased against Israel, does not call upon the Palestinian Authority to fulfill their obligations to negotiations, and contributes to the boycott, divestment, and sanctions movement against Israel. This resolution calls for UN Security Council Resolution 2334 to be repealed or fundamentally altered so that it is no longer anti-Israel and it allows final status issues for a two-state solution to be resolved through direct bilateral negotiations between the Israelis and Palestinians. This resolution passed by a bipartisan vote of 342-80.","status",NA,NA,56,47,6,1,0,0,0,12
"RepEliseStefanik","788498101216380_1232214860178033","Rep. Elise Stefanik","2017-01-06","2017-01-06 18:00:08","Congratulations to Canton native Jordan Greenway and the rest of the USA Hockey Junior Team on winning the 2017 IIHF World Junior Championship gold medal last night in Montreal! #TeamUSA","link","http://www.usatoday.com/story/sports/hockey/2017/01/05/team-usa-canada-world-junior-championships-final/96231636/","usatoday.com",174,3,16,6,0,1,0,0
"RepEliseStefanik","788498101216380_1234553973277455","Rep. Elise Stefanik","2017-01-09","2017-01-09 16:13:07","Today is National Law Enforcement Appreciation Day -- a day to honor and thank our brave men and women in uniform who risk their lives to protect us.","photo","https://www.facebook.com/RepEliseStefanik/photos/a.789386871127503.1073741828.788498101216380/1234553973277455/?type=3",NA,171,8,105,6,0,0,0,0
"RepEliseStefanik","788498101216380_1235317003201152","Rep. Elise Stefanik","2017-01-10","2017-01-10 15:55:14","Proud to cosponsor legislation again this Congress to ensure our Blue Water Vietnam Vets get the care they need and deserve. As the representative of more veterans than any Congressional district in New York State, I am proud to support this critical bill to ensure that we never leave behind our veterans who have served heroically. Read more about this here:","link","http://poststar.com/blogs/all_politics_is_local/stefanik-co-sponsor-blue-water-vets-law/article_a2c6c79f-b2f9-53fc-a739-24851dff45e4.html","poststar.com",49,7,4,3,0,0,0,0
