"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepEspaillat","1808068199405179_1808068789405120","Congressman Adriano Espaillat","2017-01-05","2017-01-05 14:34:08",NA,"photo","https://www.facebook.com/RepEspaillat/photos/a.1808068609405138.1073741825.1808068199405179/1808068622738470/?type=3",NA,6,0,0,1,0,0,0,1
"RepEspaillat","1808068199405179_1808068929405106","Congressman Adriano Espaillat","2017-01-05","2017-01-05 14:34:34",NA,"photo","https://www.facebook.com/RepEspaillat/photos/a.1808068609405138.1073741825.1808068199405179/1808068929405106/?type=3",NA,3,0,0,1,0,0,0,1
"RepEspaillat","1808068199405179_1808069062738426","Congressman Adriano Espaillat","2017-01-05","2017-01-05 14:34:53",NA,"photo","https://www.facebook.com/RepEspaillat/photos/a.1808068609405138.1073741825.1808068199405179/1808069062738426/?type=3",NA,6,0,0,1,0,0,0,0
"RepEspaillat","1808068199405179_1808069579405041","Congressman Adriano Espaillat","2017-01-05","2017-01-05 14:37:01",NA,"photo","https://www.facebook.com/RepEspaillat/photos/a.1808068609405138.1073741825.1808068199405179/1808069579405041/?type=3",NA,11,0,2,1,0,0,0,1
"RepEspaillat","1808068199405179_1808078052737527","Congressman Adriano Espaillat","2017-01-05","2017-01-05 15:06:03",NA,"photo","https://www.facebook.com/RepEspaillat/photos/a.1808078042737528.1073741827.1808068199405179/1808077879404211/?type=3",NA,21,3,4,1,0,0,0,1
"RepEspaillat","1808068199405179_1808088609403138","Congressman Adriano Espaillat","2017-01-05","2017-01-05 15:34:04","Republicans’ obsession with an ACA repeal is a threat to Americans' health coverage nationwide. Americans will not simply stand by and watch as their premiums skyrocket, health care costs go through the roof, and their local hospitals are damaged by this Republican crusade. Join me in rejecting Speaker Ryan's bid to #MakeAmericaSickAgain.","photo","https://www.facebook.com/RepEspaillat/photos/a.1808088626069803.1073741828.1808068199405179/1808088609403138/?type=3",NA,0,1,1,0,0,0,0,0
"RepEspaillat","1808068199405179_1808116952733637","Congressman Adriano Espaillat","2017-01-05","2017-01-05 16:38:31",NA,"link","http://nbcnews.to/2j3x2kS","nbcnews.to",8,0,0,0,0,0,0,0
"RepEspaillat","1808068199405179_1808137586064907","Congressman Adriano Espaillat","2017-01-05","2017-01-05 17:47:16","""The Affordable Care Act (ACA) is a promise to the American people that we must keep. It guarantees access to affordable, high-quality healthcare as a right for all Americans. Backing out of this commitment is irresponsible, inexcusable, and reprehensible. As a Member of a Congressional District that houses some of the largest hospitals in the country, health is a crucial issue for my constituents. Under the ACA, millions of Americans now have access to affordable healthcare through marketplaces and Medicaid expansion. Children in New York can remain on their parents’ plans through age 29. And insurance companies cannot discriminate against patients with pre-existing conditions. Repeal will be detrimental to our health care systems and medical research communities. Without a plan to replace the ACA, Republicans are openly gambling with the health care of millions. Many who will be affected, like the elderly and disabled, cannot afford to return to the old system of skyrocketing costs. I will fight for those Americans who rely on the ACA and I urge my colleagues to do the same."" - Rep. Adriano Espaillat (NY13)","photo","https://www.facebook.com/RepEspaillat/photos/a.1808088626069803.1073741828.1808068199405179/1808137586064907/?type=3",NA,28,3,0,0,0,0,0,0
"RepEspaillat","1808068199405179_1808196346059031","Congressman Adriano Espaillat","2017-01-05","2017-01-05 20:49:13",NA,"photo","https://www.facebook.com/RepEspaillat/photos/a.1808088626069803.1073741828.1808068199405179/1808196346059031/?type=3",NA,9,0,0,0,1,0,0,0
"RepEspaillat","1808068199405179_1808226472722685","Congressman Adriano Espaillat","2017-01-05","2017-01-05 22:52:09","http://politica.entravision.com/2017/01/04/nuevos-latinos-en-el-congreso-hacen-historia/","link","http://politica.entravision.com/2017/01/04/nuevos-latinos-en-el-congreso-hacen-historia/","politica.entravision.com",32,2,6,3,0,0,0,0
"RepEspaillat","1808068199405179_1808495886029077","Congressman Adriano Espaillat","2017-01-06","2017-01-06 15:34:03",NA,"photo","https://www.facebook.com/RepEspaillat/photos/a.1808088626069803.1073741828.1808068199405179/1808495886029077/?type=3",NA,2,0,0,0,0,0,0,0
"RepEspaillat","1808068199405179_1808522326026433","Congressman Adriano Espaillat","2017-01-06","2017-01-06 16:57:33","Happy to participate in El Museo Del Barrio's 40th annual 3 kings day parade!","photo","https://www.facebook.com/RepEspaillat/photos/a.1808088626069803.1073741828.1808068199405179/1808522326026433/?type=3",NA,37,0,0,0,0,0,0,0
"RepEspaillat","1808068199405179_1808523069359692","Congressman Adriano Espaillat","2017-01-06","2017-01-06 17:01:26","Proud to march in today's 3 Kings Day Parade with Mayor De Blasio, Speaker Melissa Mark-Viverito, NY state senator José M. Serrano!","photo","https://www.facebook.com/RepEspaillat/photos/a.1808088626069803.1073741828.1808068199405179/1808523069359692/?type=3",NA,6,0,0,0,0,0,0,0
"RepEspaillat","1808068199405179_1808566462688686","Congressman Adriano Espaillat","2017-01-06","2017-01-06 19:57:36","Congresista Adriano Espaillat se une a los Miembros de la Cámara de Representantes de los EE.UU. para pedir una Comisión Independiente para Investigar Interferencia Extranjera en Elecciones Estadounidenses - http://bit.ly/2iKBp3n","link","http://bit.ly/2iKBp3n","bit.ly",5,0,0,0,0,0,0,0
"RepEspaillat","1808068199405179_1808610119350987","Congressman Adriano Espaillat","2017-01-06","2017-01-06 23:24:41","Oramos por los individuos muertos en el ataque sin sentido de hoy en el aeropuerto de Fort Lauderdale, y rezamos por una rápida y completa recuperación de todos los heridos en esta tragedia.","link","http://cnn.it/2iK2iUW","cnn.it",10,0,0,0,0,0,4,0
"RepEspaillat","1808068199405179_1808610372684295","Congressman Adriano Espaillat","2017-01-06","2017-01-06 23:26:29","No foreign government should ever have an adverse impact on American democracy nor on our democratic processes. I'm proud to join with my colleagues in Congress to call for an independent Commission to investigate reports of foreign interference in U.S. elections. Specifically, new reports that Russian President Vladimir Putin ""ordered"" an influence campaign in 2016 aimed at effecting the U.S. presidential election. This is a modern day Watergate moment for president-elect Trump.","link","http://a.msn.com/01/en-us/BBxZbvk?ocid=sf","a.msn.com",14,1,2,0,0,0,0,0
"RepEspaillat","1808068199405179_1808875672657765","Congressman Adriano Espaillat","2017-01-07","2017-01-07 17:35:13","The National Action Network (NAN) is one of the leading civil rights organizations in the country. I was honored to speak at today's House of Justice meeting with Rev. Al Sharpton.","photo","https://www.facebook.com/RepEspaillat/photos/a.1808088626069803.1073741828.1808068199405179/1808875672657765/?type=3",NA,8,0,0,0,0,0,0,0
