"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepEsty","292076514228382_1000621850040508","Elizabeth Esty","2017-08-02","2017-08-02 15:37:16","My bill to overhaul the appeals process at the VA has now passed both the House and Senate! When the brave men and women of our military return home from their service, they shouldn't have to wait years to receive the benefits they've earned. This bill will help us finally cut down on the backlog.","link","https://www.stripes.com/news/us/senate-passes-va-appeals-reform-bill-1.481029#.WYHxDnWGOUk","stripes.com",177,12,23,7,0,1,0,0
"RepEsty","292076514228382_1001665449936148","Elizabeth Esty","2017-08-03","2017-08-03 17:53:58","Great news for those of us who need clean air to live.","link","https://www.washingtonpost.com/news/energy-environment/wp/2017/08/03/reversing-course-trump-administration-will-not-delay-an-obama-ozone-rule/?utm_term=.e59890e51ca4","washingtonpost.com",157,10,20,11,0,1,0,0
"RepEsty","292076514228382_1005116196257740","Elizabeth Esty","2017-08-07","2017-08-07 20:00:24","Our mission in the Problem Solvers Caucus is simple: getting Congress to stop the blame games and start working on fixing things. I joined Richard Lui on MSNBC over the weekend to talk about our bipartisan ideas for improving the Affordable Care Act.","video","https://www.facebook.com/RepEsty/videos/1005116196257740/",NA,116,17,18,8,0,0,0,0
"RepEsty","292076514228382_1005146012921425","Elizabeth Esty","2017-08-07","2017-08-07 22:16:00","Next stop: the President’s desk","link","http://wlad.com/local-headlines/316506","lad.com",35,7,1,2,0,0,0,1
"RepEsty","292076514228382_1005727182863308","Elizabeth Esty","2017-08-08","2017-08-08 16:21:04","I've worked with Republicans to pass four laws to help more Americans break into high-paying, high-tech careers. It wouldn't have been possible without our Connecticut STEM Advisory Board. Yesterday we met at Belimo in Danbury to discuss what more we can do to meet the needs of Connecticut's workforce and the small businesses that depend on it.","link","http://www.newstimes.com/business/article/Advisory-board-Continued-training-is-key-to-11739973.php","newstimes.com",40,2,2,0,0,0,0,0
"RepEsty","292076514228382_1005736259529067","Elizabeth Esty","2017-08-08","2017-08-08 18:30:00","New Fairfield dad Joel Colindres fled violence in Guatemala to come to the United States 13 years ago. He provides for his two American-born children, ages six and two. He has no criminal record. He's employed, pays taxes, and contributes to his community. And yet he's been ordered to leave the country by the end of next week.  Senator Richard Blumenthal, Chris Murphy, and I are standing with the Colindres family and urging immigration authorities to find a just solution to the Colindreses' case that allows this family to stay together -- and allows this hardworking, tax-paying father and husband - whose life would be at risk back in Guatemala - to continue on his path to American citizenship.","video","https://www.facebook.com/RepEsty/videos/1005736259529067/",NA,252,142,75,10,1,7,71,61
"RepEsty","292076514228382_1006860836083276","Elizabeth Esty","2017-08-09","2017-08-09 21:15:33","Most of you probably aren't riveted by my frequent updates about the clean-up of contaminated industrial properties... BUT it's actually a really big deal for our state. Every acre of ""brownfields"" redevelopment creates about 10 jobs, and we have hundreds of acres of these sites throughout Connecticut. I visited one of these properties in Plymouth a few days ago, and my bill to help communities redevelop brownfields sites is making progress in Congress.","link","http://www.rep-am.com/news/news-local/2017/08/03/esty-tours-plymouth-brownfield-site/","rep-am.com",125,11,7,5,0,0,1,1
"RepEsty","292076514228382_1007528936016466","Elizabeth Esty","2017-08-10","2017-08-10 20:02:05","I'm holding a town hall meeting in Torrington on Saturday morning. Hope to see you there!","photo","https://www.facebook.com/RepEsty/photos/a.292109944225039.47251.292076514228382/1007527429349950/?type=3",NA,28,7,12,0,0,0,0,0
"RepEsty","292076514228382_1007550332680993","Elizabeth Esty","2017-08-10","2017-08-10 20:48:40","CCARC provides valuable services to folks with intellectual disabilities and their families. It's one of many local organizations that depend on Medicaid to serve the public, which is just one of the reasons the GOP health care bill was so devastating for Connecticut. We need a bipartisan health care plan that actually fixes the problems in our health care system -- one that doesn't take care away from those who most need help just to finance giant tax cuts for the wealthiest Americans.","link","http://www.newbritainherald.com/NBH-General+News/296646/esty-assuages-fears-of-medicaid-cuts-during-visit-to-ccarc","newbritainherald.com",47,14,2,5,0,0,0,0
"RepEsty","292076514228382_1008838655885494","Elizabeth Esty","2017-08-12","2017-08-12 14:12:48","Live stream of our town hall meeting in Torrington","video","https://www.facebook.com/RepEsty/videos/1008838655885494/",NA,109,57,13,8,0,0,0,0
"RepEsty","292076514228382_1009159872520039","Elizabeth Esty","2017-08-12","2017-08-12 22:43:43","Racism and the white supremacy movement have no place in our great country.  What's occurring in Virginia is designed to terrorize fellow citizens. We must reject the actions of these violent extremists in the strongest possible terms. I'm praying for the victims of today's horrific events, and for a swift restoration of peace.","link","https://www.washingtonpost.com/local/fights-in-advance-of-saturday-protest-in-charlottesville/2017/08/12/155fb636-7f13-11e7-83c7-5bd5460f0d7e_story.html?hpid=hp_hp-top-table-main_no-name%3Ahomepage%2Fstory&utm_term=.3eacd9c24ef6","washingtonpost.com",299,41,45,5,1,5,108,59
"RepEsty","292076514228382_1010666485702711","Elizabeth Esty","2017-08-14","2017-08-14 19:27:24","Nazism, the KKK, domestic terrorism — these things have no place in our nation, and we have a responsibility to speak out against them. But our responsibility goes beyond that. We need to stand up for the values that unite us as Americans, and then get to work living those values every day.","video","https://www.facebook.com/RepEsty/videos/1010666485702711/",NA,445,67,51,41,1,1,0,1
