"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepFredUpton","212027388827797_1362543760442815","Fred Upton","2017-01-02","2017-01-02 17:43:26","Row the Boat! Wishing our Bronco football team luck today as they face a tough Wisconsin team in the Cotton Bowl Classic. Here's hoping to a great finish to what has been a historic season!","photo","https://www.facebook.com/RepFredUpton/photos/a.252749638088905.66817.212027388827797/1362543760442815/?type=3",NA,203,0,2,3,0,0,0,0
"RepFredUpton","212027388827797_1363714616992396","Fred Upton","2017-01-03","2017-01-03 23:45:01","As the 114th Congress officially comes to a close, we pause to take a quick look back at the last six years that I had the honor of serving as Chairman of the House Committee on Energy and Commerce. Six years with the gavel. It goes by pretty fast. But a brief glimpse in the rear view mirror reveals that we left nothing on the table. Our 562 hearings produced a lot. And historically, we excelled. And even with all six years occurring with a divided government, we got the job done.   Multi-year, multi-Congress efforts paid off in the form of landmark chemical safety updates and mental health reforms. Public health was a beacon of much of our success, with dozens of laws now on the books to help all Americans, including the capstone legislation to deliver #CuresNow.   Because of the work and dedication of all of our members, we defied the wisdom that Washington was broken and passed 354 bills and provisions through the House with 202 bills and provisions being signed into law. Pretty impressive for a Congress that's not supposed to function. We had big ideas. And through hard work and determination, we had big results.","photo","https://www.facebook.com/RepFredUpton/photos/a.252749638088905.66817.212027388827797/1363714616992396/?type=3",NA,41,15,5,3,0,2,0,0
"RepFredUpton","212027388827797_1366716620025529","Fred Upton","2017-01-06","2017-01-06 23:28:06","Today it was announced that I have been selected to lead the Subcommittee on Energy, a powerful panel with jurisdiction over national energy policy, in the 115th Congress!   Here in Michigan we’ve become a national leader in promoting 21st century energy policies, having just enacted long-term, bipartisan energy legislation. We must work to do the same at the federal level. Energy solutions have long been a priority of mine and we must continue to promote “all-of-the-above” strategies. Whether it be assuring families have access to affordable energy, updating standards and safety for pipelines, providing appropriate security for our electric grid, developing safer technologies for emerging energy productions, or using energy as part of our diplomatic arsenal.   America’s energy future is bright and I’m excited to get to work. Learn more below:","link","http://upton.house.gov/news/documentsingle.aspx?DocumentID=398739","upton.house.gov",203,36,14,5,0,1,0,2
"RepFredUpton","212027388827797_1368414046522453","Fred Upton","2017-01-08","2017-01-08 16:47:12","Pleasure to be at Lake Michigan College for the FIRST Robotics kickoff event! Cannot wait to see what our local students come up with this year.","photo","https://www.facebook.com/RepFredUpton/photos/a.252749638088905.66817.212027388827797/1368413136522544/?type=3",NA,38,4,1,0,0,0,0,0
"RepFredUpton","212027388827797_1369588289738362","Fred Upton","2017-01-09","2017-01-09 22:53:19","In observance of National Law Enforcement Appreciation Day we are displaying these blue lights in my office window. To the thousands of men and women law enforcements officers across the country we say thank you for the difficult work you do to keep our nation safe every single day. #lawenforcementappreciationday","photo","https://www.facebook.com/RepFredUpton/photos/a.252749638088905.66817.212027388827797/1369588289738362/?type=3",NA,69,4,7,2,0,0,0,0
"RepFredUpton","212027388827797_1370504039646787","Fred Upton","2017-01-10","2017-01-10 23:25:37","Was honored to receive recognition from the Bipartisan Policy Center for our work on the 21st Century Cures Act. It was a true bipartisan victory for patients, families, and job-creators not only here in Southwest Michigan but across the country!","photo","https://www.facebook.com/RepFredUpton/photos/a.252749638088905.66817.212027388827797/1370504039646787/?type=3",NA,79,21,6,3,0,0,0,0
"RepFredUpton","212027388827797_1372521909445000","Fred Upton","2017-01-12","2017-01-12 22:23:45","Ibrahim is a model immigrant and should be allowed to stay here in America where he has raised a family, runs a successful small business, and has become part of the fabric of our community. Our work continues...","link","http://www.mlive.com/news/kalamazoo/index.ssf/2017/01/upton_parlak.html#incart_2box_news_kalamazoo","mlive.com",141,19,8,9,0,0,0,0
"RepFredUpton","212027388827797_1376681862362338","Fred Upton","2017-01-16","2017-01-16 23:54:04","Today is a day that embraces the very best we can offer as members of our community. The opportunity to serve others in meaningful ways, to bond and open dialogue with folks we might not otherwise interact with, and to celebrate the enduring legacy of Dr. Martin Luther King, Jr. A legacy of bringing people closer together.   To that end, I was grateful to take part in several important community events. One was the Lake Michigan College MLK breakfast where we had a record turnout. And another was the Kalamazoo Ecumenical Senior Center's 23rd annual MLK birthday celebration. #MLKDAY","photo","https://www.facebook.com/RepFredUpton/photos/a.252749638088905.66817.212027388827797/1376678975695960/?type=3",NA,36,14,2,0,0,0,0,0
"RepFredUpton","212027388827797_1377478952282629","Fred Upton","2017-01-17","2017-01-17 23:58:01","Always great to be with fellow Rotarians here in Kalamazoo. Gave a brief update on the 21st Century Cures Act (now law!) and the priorities of the new Congress. Great dialogue and great questions.","photo","https://www.facebook.com/RepFredUpton/photos/a.252749638088905.66817.212027388827797/1377478952282629/?type=3",NA,41,10,0,1,0,0,0,2
"RepFredUpton","212027388827797_1378396792190845","Fred Upton","2017-01-18","2017-01-18 21:37:35","Great day in Kalamazoo!","photo","https://www.facebook.com/RepFredUpton/photos/a.252749638088905.66817.212027388827797/1378396065524251/?type=3",NA,48,13,0,0,0,0,0,0
"RepFredUpton","212027388827797_1383907641639760","Fred Upton","2017-01-23","2017-01-23 23:01:54","These are four common-sense, bipartisan bills that will encourage job creation, increase accountability, and improve safety and affordability for consumers. As the new Congress gets underway, we will continue to advance solutions that ensure affordable energy for all American families.","link","http://upton.house.gov/news/documentsingle.aspx?DocumentID=398743","upton.house.gov",43,14,9,1,0,1,0,0
"RepFredUpton","212027388827797_1387145024649355","Fred Upton","2017-01-26","2017-01-26 16:14:04","You don't look a day over 170...Happy 180th Birthday to our great state of Michigan!","photo","https://www.facebook.com/RepFredUpton/photos/a.252749638088905.66817.212027388827797/1387145024649355/?type=3",NA,346,25,54,17,1,0,0,0
"RepFredUpton","212027388827797_1388335504530307","Fred Upton","2017-01-27","2017-01-27 18:31:03","It was an honor to be recognized this week at the “Frontier of Mental Health and Addiction” reception with Patrick Kennedy and U.S. Rep. Joe Kennedy, D-Massachusetts. Mental health is an issue that impacts every community, and so many families, in one way or another. For far too long, mental health was a subject left in the shadows. Thankfully, it has emerged into the light and issues are better understood.  As part of the landmark 21st Century Cures Act, we advanced the most significant reforms to our nation’s mental health programs in decades. Our work will make a real difference and help families in mental health crisis here in Michigan and across the country.   This is an issue that deserves a strong voice and bipartisan support. We will continue to fight for common-sense policies that stress treatment not tragedy.","photo","https://www.facebook.com/RepFredUpton/photos/a.252749638088905.66817.212027388827797/1388334527863738/?type=3",NA,67,31,29,7,0,0,0,0
"RepFredUpton","212027388827797_1391629127534278","Fred Upton","2017-01-30","2017-01-30 23:31:58","I fully support strengthening our screening processes and securing our borders, but this Executive Order needs to be scaled back. It has created real confusion for travelers and those who enforce the laws. I have heard from a number of local folks with valid concerns for themselves or loved ones as well from global companies that have legitimate worries relating to the international travel of their employees. A wiser course would have been to work with Congress to ensure that all visitors to our nation are properly vetted with appropriate documentation. Moving forward, I will continue to advocate for common-sense, bipartisan policies that protect America but also stay true to our values.","link","http://upton.house.gov/news/documentsingle.aspx?DocumentID=398748","upton.house.gov",503,192,90,32,0,0,0,14
"RepFredUpton","212027388827797_1392688777428313","Fred Upton","2017-01-31","2017-01-31 23:05:30","Tomorrow morning the subcommittee on energy will hold it's first hearing of 2017 focused on what the electricity sector is currently doing to prepare and respond to cybersecurity threats. Here in Michigan and across the country, electricity enables telecommunications, financial transactions, the transport and delivery of energy, food.  It powers the infrastructure that delivers our drinking water. It enables business and industry to make and provide the goods and services of our modern society.  It powers our hospitals, our households. So cyber threats to reliability deserve our constant examination, especially as new risks rapidly emerge.   You can tune in tomorrow by clicking the link below:","link","https://energycommerce.house.gov/hearings-and-votes/hearings/electricity-sectors-efforts-respond-cybersecurity-threats","energycommerce.house.gov",39,9,4,1,0,0,0,0
"RepFredUpton","212027388827797_1392877944076063","Fred Upton","2017-02-01","2017-02-01 02:38:50","I carefully watched President Trump's announcement tonight and was pleased and vastly impressed with Judge Gorsuch's credentials and gracious remarks. I have no doubt that he will serve our country with distinction and uphold our Constitution. I urge my colleagues in the Senate to quickly confirm him as they did unanimously before.","status",NA,NA,193,96,10,14,0,0,0,30
"RepFredUpton","212027388827797_1393843843979473","Fred Upton","2017-02-01","2017-02-01 22:35:08","Was great to meet today with passionate advocates from Michigan’s chapter of the National Federation of the Blind!","photo","https://www.facebook.com/RepFredUpton/photos/a.252749638088905.66817.212027388827797/1393843843979473/?type=3",NA,105,4,8,3,0,0,0,0
"RepFredUpton","212027388827797_1395992453764612","Fred Upton","2017-02-03","2017-02-03 22:52:02","Medicaid is meant to help the most vulnerable amongst us – not high-dollar Lotto winners.","link","http://upton.house.gov/news/documentsingle.aspx?DocumentID=398750","upton.house.gov",121,55,10,2,2,1,0,5
"RepFredUpton","212027388827797_1400581216639069","Fred Upton","2017-02-08","2017-02-08 13:05:25","Spectacular video of our Lake Michigan!","video","https://www.facebook.com/NatesDronography/videos/317004745364036/",NA,76,18,0,8,0,1,0,0
"RepFredUpton","212027388827797_1402678126429378","Fred Upton","2017-02-10","2017-02-10 21:01:39","Had a great few days back home meeting and discussing issues with folks living in Benton Harbor/St. Joe, up to Allegan, around Kalamazoo and everywhere in between. Check out a few pictures below!","photo","https://www.facebook.com/RepFredUpton/photos/a.252749638088905.66817.212027388827797/1402676856429505/?type=3",NA,105,118,20,3,1,1,1,8
"RepFredUpton","212027388827797_1403402516356939","Fred Upton","2017-02-11","2017-02-11 17:08:04","Growing up on the shores of Lake Michigan instilled in me a deep appreciation for our Great Lakes. I have always worked in a responsible, bipartisan manner to improve the health and beauty of these precious natural resources. I appreciate the new administration’s willingness to engage on these important issues and look forward to working with them to promote, strengthen, and preserve our Great Lakes.","link","http://woodtv.com/2017/02/10/congressional-task-force-encourages-trump-to-focus-on-great-lakes/","oodtv.com",96,52,10,6,0,1,1,0
