"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepFrenchHill","727280547367245_10155203318303891","Congressman French Hill","2017-08-01","2017-08-01 15:10:47","Given the ongoing debate about how to fix our broken health care system and being distracted by the cable television negativity, lots of fellow citizens have asked what Congress has gotten done in the first half of 2017. Take a look and visit didyouknow.gop.","video","https://www.facebook.com/RepFrenchHill/videos/10155203318303891/",NA,27,34,4,1,5,0,1,12
"RepFrenchHill","727280547367245_10155350968358891","Congressman French Hill","2017-09-27","2017-09-27 19:02:42","Today, House Republicans unveiled a pro-growth, pro-family tax code to bring prosperity to Arkansans and Americans → fairandsimple.gop.","video","https://www.facebook.com/RepFrenchHill/videos/10155350968358891/",NA,51,35,11,5,1,0,1,6
"RepFrenchHill","727280547367245_1174941255934503","Congressman French Hill","2017-01-01","2017-01-01 18:53:48","I want to wish everyone a safe and happy New Year. As your congressman, many of the best memories I have of 2016 are from traveling throughout central Arkansas and meeting with you all. I look forward to similar visits in the coming year and continuing to work in support of your interests in Washington.  2017 will be a great year for our Nation and our State, and I am excited to be a part of a Congress that will lead on behalf of the American people and advance policies that grow our economy, support our national security, and effectively manage and solve the problems facing our great Nation. Please remember that my staff and I are here to serve you, and never hesitate to reach out to us if you are need of our assistance.","photo","https://www.facebook.com/RepFrenchHill/photos/a.730497693712197.1073741828.727280547367245/1174938742601421/?type=3",NA,21,2,2,0,0,0,0,0
"RepFrenchHill","727280547367245_1176535705775058","Congressman French Hill","2017-01-03","2017-01-03 19:21:23","Last night, I voted against Chairman Goodlatte’s proposed amendment to H. Res 5. While I do believe the Office of Congressional Ethics is flawed and poorly designed and needs to be reformed to protect members’ constitutional rights, I also believe those reforms need to play out in a more open and bipartisan manner. Members of congress must be held to strict, high ethical standards, but members also deserve the same essential due process protections that all Americans enjoy. I am pleased my colleagues changed course this afternoon and scrapped the amendment so we can begin this Congress free of any unnecessary noise that diverts us away from accomplishing the things the American people have tasked us with doing, like fixing healthcare, reforming the tax code, securing the border, growing the economy, and strengthening national security.","status",NA,NA,140,29,14,5,0,0,0,0
"RepFrenchHill","727280547367245_1176583619103600","Congressman French Hill","2017-01-03","2017-01-03 20:39:35","This morning my family and I attended the Bipartisan Prayer Service commemorating the beginning of the 115th Congress. I was moved by the words of Father Patrick Conroy, as he reminded us the importance of the oath we will take today to protect and defend our Constitution. Representing the people of central Arkansas in Congress is an honor, and I look forward to continue to work on behalf of you and our beloved Nation.","photo","https://www.facebook.com/RepFrenchHill/photos/a.730497693712197.1073741828.727280547367245/1176583369103625/?type=3",NA,47,3,6,1,0,0,0,0
"RepFrenchHill","727280547367245_1176629339099028","Congressman French Hill","2017-01-03","2017-01-03 22:16:44","It is an honor to continue to serve the citizens of central Arkansas and to again affirm my allegiance to our Nation and our beloved Constitution. The next two years present us with a unique opportunity to create good common sense solutions to the many challenges we are facing. Fixing our broken health care system, reforming the tax code, increasing access to credit for consumers and small businesses, growing our economy, securing our border, and defeating our enemies across the globe will be the metric for success in the 115th Congress.","link","https://hill.house.gov/media-center/press-releases/hill-statement-beginning-115th-congress","hill.house.gov",124,10,8,0,0,0,0,0
"RepFrenchHill","727280547367245_1177376395690989","Congressman French Hill","2017-01-04","2017-01-04 19:20:27","Last night, the House passed legislation that would keep admonishments given to poorly performing VA employees on that individuals record for the duration of their time at VA. With a new administration coming to Washington, I am optimistic that we can finally end the culture of corruption at VA that has sullied the reputation of the many hardworking men and women who work there and provide the veterans with the care they deserve. The next VA Secretary needs to be someone of action and must have demanding standards for those who work at the department.","link","http://www.newser.com/article/62a89b8893324a5aa47af9b770f53524/the-latest-house-bill-makes-va-employees-more-accountable.html","newser.com",10,2,0,0,0,0,0,0
"RepFrenchHill","727280547367245_1177501582345137","Congressman French Hill","2017-01-04","2017-01-04 22:41:36","The entire Obama Administration is the recipient of the Golden Fleece Award for January. A recent report from the American Action Forum found that the administration’s last minute environmental and other regulations would cost the U.S. economy $6 billion.  Fortunately, the administration that has actively imposed billions in unnecessary regulatory costs on hardworking Americans is now taking its final breaths. Today, we voted on an important measure to prevent similar actions in the future, and with an estimated $6 billion cost for the U.S. economy, this last-ditch rulemaking effort must be opposed, reviewed, and rescinded by the new administration to ensure that we put an end to these types of last ditch efforts by a departing administration.","link","https://hill.house.gov/media-center/press-releases/hill-issues-first-golden-fleece-2017","hill.house.gov",20,7,2,0,1,0,1,3
"RepFrenchHill","727280547367245_1178230048938957","Congressman French Hill","2017-01-05","2017-01-05 19:55:43","The Republican Study Committee proposal would repeal Obamacare and replace it with free-market ideas to increase and expand access to insurance, spur competition, and encourage innovation, representing an important step forward toward real, patient-centered health care reforms that Americans need and deserve.  Between solutions outlined in our Better Way Agenda, including Medicare and Medicaid reforms, and the RSC proposal, House Republicans are working to fix one of the greatest blunders of the Obama Administration—its failed healthcare policy. Obamacare has gone from bad to worse. Vice President-elect Mike Pence came to the Capitol yesterday to outline the president-elect’s commitment to repealing and replacing Obamacare. They are committed to working with Congress to create a plan that will actually accomplish what the previous administration promised, such as lower premiums and deductibles and increased access to care.","link","https://hill.house.gov/media-center/press-releases/hill-statement-rsc-obamacare-repeal-and-replace-proposal","hill.house.gov",10,5,3,0,0,0,0,0
"RepFrenchHill","727280547367245_1178360885592540","Congressman French Hill","2017-01-06","2017-01-06 00:07:38","Tonight, the House passed H. Res. 11 to condemn the anti-Israel UN resolution that the Obama Administration failed to veto last month. Prior to its passage, I spoke on the House Floor about the importance of restoring our decades-long relationship with Israel.","video","https://www.facebook.com/RepFrenchHill/videos/1178360885592540/",NA,38,4,11,2,0,0,0,0
