"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepGutierrez","91052833204_10154887152348205","Congressman Luis V. Gutierrez","2017-01-04","2017-01-04 19:00:17","Summer Internship Deadline for Congressional Hispanic Caucus Institute is coming up: Friday, January 20, 2017!    Visit http://bit.ly/2iILa2u for details and please share on FB.  CHCI is seeking full-time undergraduate students who are interested in participating in the CHCI Summer Congressional Internship Program. Selected individuals will receive an unmatched experience, learning first-hand about our nation’s legislative process while working for a member of Congress and receiving weekly leadership programming from CHCI.","link","http://bit.ly/2iILa2u","bit.ly",307,14,48,12,0,0,0,0
"RepGutierrez","91052833204_10154889415893205","Congressman Luis V. Gutierrez","2017-01-05","2017-01-05 14:10:19","My wife Soraida and I are looking forward to joining the Women's March on January 21 in Washington.  As a Member of the House Judiciary Committee, I have witnessed the parade of hearings and bills attacking women's health, families, basic rights and core American values so I plan to stand with women, join arms with allies, and face the future knowing we are not alone. I hope to see you there.","link","https://www.facebook.com/womensmarchonwash/","facebook.com",374,14,0,38,0,0,0,0
"RepGutierrez","91052833204_10154890201088205","Congressman Luis V. Gutierrez","2017-01-05","2017-01-05 19:15:52","I proudly stand with the Pro-Choice Caucus in calling on Republicans to #ProtectOurCare.","photo","https://www.facebook.com/RepGutierrez/photos/a.481704813204.267861.91052833204/10154890201088205/?type=3",NA,688,21,31,32,1,2,6,0
"RepGutierrez","91052833204_10154890300383205","Congressman Luis V. Gutierrez","2017-01-05","2017-01-05 20:11:18","Taking health care coverage away from 20 million Americans is no laughing matter, so we are asking Republicans to #ProtectOurCare and not to #MakeAmericaSickAgain Please share if you agree!","photo","https://www.facebook.com/RepGutierrez/photos/a.481704813204.267861.91052833204/10154890300383205/?type=3",NA,426,41,221,8,1,8,54,96
"RepGutierrez","91052833204_10154890420973205","Congressman Luis V. Gutierrez","2017-01-05","2017-01-05 21:16:20","Friday is Oscar Lopez Rivera's birthday and let's make sure this is the last one he has to celebrate in federal prison.  Please watch the video, produced by OurRevolution.com, with clips of Rene 'Residente' of Calle 13, Bernie Sanders, San Juan Mayor Carmen Yulin and Oscar's daughter Clarisa, among others.  Take Action.  Share the video.  Make your voice heard before President Obama leaves office.","video","https://www.facebook.com/RepGutierrez/videos/10154890420973205/",NA,797,30,494,63,1,11,13,3
"RepGutierrez","91052833204_10154890882523205","Congressman Luis V. Gutierrez","2017-01-06","2017-01-06 00:11:00","Why I oppose HRes 11 related to Israeli-Palestinian peace (from today's floor debate): ""I know in my heart that the best path to peace is to have two separate, sovereign states that peacefully coexist.  The two-state solution is at the heart of American foreign policy – and every President and every Congress since I got here – put the two state solution at the heart of what America wants for her friend, Israel. As I said on this floor on December 6, 'If we are ever going to achieve the permanent peace that allows Israel to exist without fear and Palestine to exist without occupation, we must continue to fight for the two state solution.'""  ""But under their current strongman government in Israel, all pretenses and illusions are being stripped away.  From settlements to water to restricting the Muslim call-to-prayer in Jerusalem, it seems that anything goes now in Israeli politics. And today, as America embarks on its own experiment with strongman politics, this Congress is falling in line.""","video","https://www.facebook.com/RepGutierrez/videos/10154890882523205/",NA,462,22,55,26,0,6,1,0
"RepGutierrez","91052833204_10154893084478205","Congressman Luis V. Gutierrez","2017-01-06","2017-01-06 19:34:37","THE FORWARD: 5 Startling Shifts in Pro-Israel Politics After Vote by Congress (by Matt Guttman, 01/06/17):  #3 Progressive Democrats are taking on Netanyahu Delivering perhaps the most scathing indictment against the resolution was Illinois Democrat Luis Gutierrez, who decried the “strongman” government in Israel and reminded listeners of Benjamin Netanyahu’s speech to Congress against the Iran deal. “This Congress that allowed our chamber to be used for an Israeli campaign rally and TV commercial is bending to pressure from abroad and pressure at home,” he said.  Democrats’ anger over Netanyahu’s speech has been mitigated in the past year with their wish to avoid a harmful clash with the Israeli government which would only make things more difficult for President Obama. Now they are free to vent, and have made clear Thursday they did not forget the speech, nor have they forgiven Netanyahu.","link","http://bit.ly/2ikuGKv","bit.ly",115,5,9,2,0,0,0,0
"RepGutierrez","91052833204_10154893416053205","Congressman Luis V. Gutierrez","2017-01-06","2017-01-06 22:15:18","I could not look at my wife, my daughters or my grandson in the eye if I sat there and attended as if everything that candidate Donald Trump had said about women, Latinos, African Americans, Muslims, the disabled, or any of the other things he said in his speeches and Tweets – that any of that is OK or erased from my memory.","link","http://bit.ly/2hYxiS6","bit.ly",7132,465,1009,982,16,18,205,17
"RepGutierrez","91052833204_10154895720173205","Congressman Luis V. Gutierrez","2017-01-07","2017-01-07 18:14:19","Stopped by Wendy's on the way to visit my mom and took a picture with the crew! Thanks guys!","photo","https://www.facebook.com/RepGutierrez/photos/a.481704813204.267861.91052833204/10154895720173205/?type=3",NA,2882,57,42,162,0,11,0,1
"RepGutierrez","91052833204_10154901450628205","Congressman Luis V. Gutierrez","2017-01-09","2017-01-09 16:41:15","EXCERPT: Rep. Gutierrez has been an outspoken critic of President-elect's harsh language against immigrants, particularly in the Mexican-American community. Rep. Gutierrez is Puerto Rican and his district is almost 72 percent Hispanic.  VIDEO: Congressman Waves Bag of Skittles at House Hearing http://www.nbcnews.com/video/congressman-waves-bag-of-skittles-at-house-hearing-770280515827 via @nbcnews 1:23  Rep. Gutierrez mocked Donald Trump Jr., the President-elect's son, in Congress when he used a bag of Skittles to take aim at Trump Jr. son for comparing refugees to the candy.  -Staff","link","http://nbcnews.to/2jlro9G","nbcnews.to",2749,118,268,293,17,9,1,2
"RepGutierrez","91052833204_10154902499518205","Congressman Luis V. Gutierrez","2017-01-10","2017-01-10 01:33:00","Erasing DACA means erasing jobs in Illinois: Removing 35,893 DACA workers from the workforce could cost the state $2.24 billion in annual GDP according to a new report out today from the Center for American Progress: https://www.americanprogress.org/issues/immigration/news/2017/01/09/296125/ending-daca-will-cost-states-billions-of-dollars/","photo","https://www.facebook.com/RepGutierrez/photos/a.481704813204.267861.91052833204/10154902499518205/?type=3",NA,393,12,36,24,0,9,6,3
"RepGutierrez","91052833204_10154902522858205","Congressman Luis V. Gutierrez","2017-01-09","2017-01-09 23:29:13","Eliminar a DACA eliminará trabajos. En Illinois, despidiendo 35,893 trabajadores con DACA le costaría al estado $2.24 billones en GDP. Center for American Progress: https://www.americanprogress.org/issues/immigration/news/2017/01/09/296125/ending-daca-will-cost-states-billions-of-dollars/ (in English)","photo","https://www.facebook.com/RepGutierrez/photos/a.481704813204.267861.91052833204/10154902522858205/?type=3",NA,631,18,95,24,0,10,48,4
