"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepHakeemJeffries","118349138343701_703367023175240","Congressman Hakeem Jeffries","2017-01-03","2017-01-03 03:03:18","House Republicans return to DC, immediately vote to castrate the independent ethics office. Did you really think they meant #DrainTheSwamp?  http://mobile.nytimes.com/2017/01/02/us/politics/with-no-warning-house-republicans-vote-to-hobble-independent-ethics-office.html","link","http://mobile.nytimes.com/2017/01/02/us/politics/with-no-warning-house-republicans-vote-to-hobble-independent-ethics-office.html","mobile.nytimes.com",32,11,41,0,0,8,0,23
"RepHakeemJeffries","118349138343701_703745176470758","Congressman Hakeem Jeffries","2017-01-03","2017-01-03 21:58:51","House Republicans seek to destroy America's social safety net on Day One #BackOff","video","https://www.facebook.com/RepHakeemJeffries/videos/703745176470758/",NA,94,4,21,7,2,3,1,3
"RepHakeemJeffries","118349138343701_704080606437215","Congressman Hakeem Jeffries","2017-01-04","2017-01-04 16:24:25","Powerful meeting between congressional Democrats and OUR President #YesWeCan #YesWeDid","photo","https://www.facebook.com/RepHakeemJeffries/photos/a.181696898675591.1073741828.118349138343701/704080606437215/?type=3",NA,43,3,3,7,1,0,0,0
"RepHakeemJeffries","118349138343701_704196936425582","Congressman Hakeem Jeffries","2017-01-04","2017-01-04 21:12:23","RSVP today to attend Rep. Jeffries' State of the District address on Thursday, January 26 at Long Island University!  https://jeffriesforms.house.gov/forms/form/?ID=11","photo","https://www.facebook.com/RepHakeemJeffries/photos/a.181696898675591.1073741828.118349138343701/704196936425582/?type=3",NA,49,3,12,3,0,0,0,0
"RepHakeemJeffries","118349138343701_705132176332058","Congressman Hakeem Jeffries","2017-01-06","2017-01-06 17:02:35","Honored to be included on this list.  http://observer.com/2017/01/top-of-the-heap-new-yorks-political-winners-of-2016/","link","http://observer.com/2017/01/top-of-the-heap-new-yorks-political-winners-of-2016/","observer.com",36,7,1,4,0,0,0,1
"RepHakeemJeffries","118349138343701_705228376322438","Congressman Hakeem Jeffries","2017-01-06","2017-01-06 21:58:45","#ACAworks to fight a history of poor access to care in minority communities. I refuse to allow @HouseGOP to #MakeAmericaSickAgain!","status",NA,NA,38,6,3,2,0,0,0,0
"RepHakeemJeffries","118349138343701_706131342898808","Congressman Hakeem Jeffries","2017-01-08","2017-01-08 16:12:38","http://newyork.cbslocal.com/2017/01/07/new-york-democratic-lawmakers-rally-to-defend-obamacare/","link","http://newyork.cbslocal.com/2017/01/07/new-york-democratic-lawmakers-rally-to-defend-obamacare/","newyork.cbslocal.com",55,1,3,7,0,0,0,0
"RepHakeemJeffries","118349138343701_707013449477264","Congressman Hakeem Jeffries","2017-01-10","2017-01-10 10:27:00","http://www.seattletimes.com/nation-world/harriet-tubman-national-historical-park-becomes-reality/","link","http://www.seattletimes.com/nation-world/harriet-tubman-national-historical-park-becomes-reality/","seattletimes.com",25,1,5,1,0,0,0,0
"RepHakeemJeffries","118349138343701_707122662799676","Congressman Hakeem Jeffries","2017-01-10","2017-01-10 15:02:07","Joined Congressional Black Caucus on House floor last evening to oppose nomination of Jeff Sessions. Dept. of Injustice?","video","https://www.facebook.com/RepHakeemJeffries/videos/707122662799676/",NA,252,30,95,32,0,0,0,2
"RepHakeemJeffries","118349138343701_707213009457308","Congressman Hakeem Jeffries","2017-01-10","2017-01-10 17:32:25","https://www.youtube.com/watch?v=1rVfcwc3-6M","video","https://www.youtube.com/watch?v=1rVfcwc3-6M",NA,24,1,5,1,0,0,0,0
