"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepHuffman","200227780116038_1013687538770054","Congressman Jared Huffman","2017-05-08","2017-05-08 19:28:04","Even though the House rushed to vote on #TrumpCare last week, we still don’t have the Congressional Budget Office “score” to tell us the effects. But it’s clear based on earlier versions of the plan that it will take away health coverage from millions of Americans, gut coverage of essential benefits, lead to higher costs, and once again allow discrimination against Americans with pre-existing conditions.   In Del Norte County, you can see the personal impacts of this TrumpCare bill: more than 3,000 of my constituents rely on the health care they receive through the MediCal expansion under the Affordable Care Act and another 600+ have their health costs subsidized by the Affordable Care Act. All of that is at risk from TrumpCare. It’s for these families, and for the seniors whose premiums who would go up, that I voted NO on TrumpCare last week. I’ll keep fighting to protect the health care of my constituents.","link","http://www.triplicate.com/news/5284938-151/healthcare-district-board-members-ahca-would-hurt-del?referrer=fpblob","triplicate.com",58,18,10,1,0,0,7,9
"RepHuffman","200227780116038_1041769795961828","Congressman Jared Huffman","2017-05-10","2017-05-10 15:55:14","Thanks for everyone who came out last night for this lively and vital discussion! If you weren’t able to make it last night, I hope to see you at a town hall soon. Subscribe to my newsletter at huffman.house.gov to stay in the loop on upcoming community events.","link","http://www.marinij.com/article/NO/20170509/NEWS/170509772","marinij.com",121,24,5,8,1,0,2,0
"RepHuffman","200227780116038_1043697059102435","Congressman Jared Huffman","2017-05-10","2017-05-10 20:23:47","The President’s abrupt firing of FBI Director Comey yesterday certainly appears to be an attempt to derail an ongoing investigation, which is just the latest in a series of highly suspicious events surrounding Trump-Russia ties. This bombshell dropped just before my latest town hall yesterday, on the importance of holding the White House accountable, so I was glad to have the opportunity to talk about the news with our panelists and attendees.   When the House reconvenes, we must be allowed to vote on HR 356 – the Protect Our Democracy Act - to create an outside, independent commission to investigate. Now more than ever, we need a special prosecutor and an independent commission with the objectivity to get to the bottom of the Trump-Russia connection.","link","http://www.ktvu.com/news/253687615-story","ktvu.com",277,61,28,11,2,1,2,6
"RepHuffman","200227780116038_1064241823714625","Congressman Jared Huffman","2017-05-12","2017-05-12 14:37:12","We need to do more for our struggling fisherman. They support our coastal economy and help put food on our table. I’m calling on Congress to look beyond the partisan deadlock and aid a community in need — the state and federal governments have already acknowledged that these people and businesses deserve federal support. The issue won’t just go away, and we’re not going to give up the fight until we get it done.","link","http://www.northbaybusinessjournal.com/northbay/sonomacounty/6984161-181/salmon-relief-bills-seek-140-million?artslide=0","northbaybusinessjournal.com",103,8,5,5,0,0,1,0
"RepHuffman","200227780116038_1066865430118931","Congressman Jared Huffman","2017-05-12","2017-05-12 22:03:00","Today’s news that President Trump and Scott Pruitt are trying to revive the environmentally and economically devastating Pebble Mine is the latest in their egregious handouts to extractive industry, at the expense of the environment, local jobs, and surrounding communities. Nearly two-thirds of Alaskans, and four out of five Bristol Bay residents, Native communities, and commercial fishermen oppose Pebble Mine for the damaging effects it would have on salmon fisheries, fishing jobs, and the entire watershed. That’s why the Obama administration put a stop to it, and it’s why the Trump administration is wrong to re-open the idea.","link","https://www.washingtonpost.com/news/energy-environment/wp/2017/05/12/obama-blocked-this-controversial-alaskan-gold-mine-trump-just-gave-it-new-life/?utm_term=.d12545c14042","washingtonpost.com",49,37,45,0,1,2,23,114
"RepHuffman","200227780116038_1082038778601596","Congressman Jared Huffman","2017-05-15","2017-05-15 15:48:48","Hugo Mejia is an exemplary father, neighbor, employee, and a tax-paying member of the Marin community -- who is now facing a summary deportation. He’s exactly kind of person that Donald Trump once said he would not summarily deport. Our community is banding together to send a clear message that this is wrong. ICE should release Mr. Mejia, period. He is an upstanding family man with no criminal record and is owed due process.   That’s why I’m joining Venetia Valley School Family Center, the Rodef Shalom Congregation, Centro Legal de la Raza, and the larger Marin community in holding a gathering of support for Hugo Mejia at 5 p.m. at the Rodef Shalom Synagogue. Hope to see everyone there.","link","http://www.marinij.com/social-affairs/20170511/marin-rallies-to-help-san-rafael-father-detained-by-ice","marinij.com",117,20,32,2,0,1,18,16
"RepHuffman","200227780116038_1096657660473041","Congressman Jared Huffman","2017-05-18","2017-05-18 18:55:49","Check Out The Arcata High Student’s Digital Art Piece That Won This Year’s Congressional Art Competition Congrats to Maximiliano Gambin of Arcata High School for winning this year’s art competition for the second Congressional district. I’m excited that I’ll be able to see this creative piece in the U.S. Capitol every day. We received so many outstanding submissions this year, and I can’t wait for next year’s competition.","link","https://lostcoastoutpost.com/2017/may/16/arcata-high-student-wins-congressional-art-competi/","lostcoastoutpost.com",107,6,25,14,0,2,0,0
"RepHuffman","200227780116038_1096661130472694","Congressman Jared Huffman","2017-05-18","2017-05-18 20:08:00","Just announced: $5 million in state funding, an important step towards a long-term solution for Last Chance Grade.","link","https://www.northcoastjournal.com/NewsBlog/archives/2017/05/17/5m-awarded-for-last-chance-grade-studies","northcoastjournal.com",66,6,9,4,0,3,0,0
"RepHuffman","200227780116038_1099277093544431","Congressman Jared Huffman","2017-05-19","2017-05-19 16:51:22","Have you heard of the vaquita? It’s the world’s smallest and most rare marine mammal and is only found in the upper Gulf of California. Due entirely to human-related causes, the vaquita is on the verge of extinction with less than 30 remaining in the wild. Thanks to the cooperative efforts of nonprofit organizations working with the United States and Mexico, a “vaquita CPR” plan is underway, but it may not be enough.   Among other things, Vaquitas die from entanglement in illegal gillnets that are used to capture another endangered animal – the totoaba fish. Without a permanent and effective gillnet ban, this species will likely go extinct by 2018.  https://www.nytimes.com/2017/04/27/world/americas/only-captivity-will-save-the-vaquita-experts-say.html","photo","https://www.facebook.com/RepHuffman/photos/a.243274549144694.1073741827.200227780116038/1099277093544431/?type=3",NA,47,8,14,4,0,1,3,1
"RepHuffman","200227780116038_1107096992762441","Congressman Jared Huffman","2017-05-22","2017-05-22 20:19:46","This weekend, I went to check on my constituent, Hugo Mejia, an upstanding community member who is being unfairly held in a prison facility far away from his family. Thank you to everyone in the community who has signed the petition or called my office in support of Mr. Mejia.  We need to keep this pressure up on ICE to provide him with his due process rights.","link","http://www.abc10.com/news/local/sacramento/i-am-an-american-northern-california-ice-detainee-pleas-for-release/441548588","abc10.com",172,41,27,4,2,1,44,31
"RepHuffman","200227780116038_1110526375752836","Congressman Jared Huffman","2017-05-24","2017-05-24 14:08:38","President Trump’s budget will have deeply negative effects on working families on the North Coast, and on public health and the environment.   The President’s budget slashes the Earned Income Tax Credit and Child Tax Credit by $40 billion dollars, takes more than $9 billion from public schools, and cuts hundreds of billions from the Children’s Health Insurance Program. And it targets key coastal programs for elimination, too, including several of NOAA’s coast & ocean research efforts, the Pacific Coastal Salmon Recovery Fund, and the Marine Mammal Commission. The list of cuts goes on and on, all to pay for defense spending and tax cuts for the wealthy.","link","https://thinkprogress.org/broken-promises-trump-budget-47e91f5dd59e","thinkprogress.org",33,31,29,1,2,2,3,86
"RepHuffman","200227780116038_1124974370974703","Congressman Jared Huffman","2017-06-02","2017-06-02 14:08:43","President Trump's decision to withdraw the U.S. from the #ParisAgreement is a devastating abdication of America's leadership role in fighting global climate change and allows others nations to lead on clean energy and job creation.   We cannot take this fight lying down. That's why I joined with Earl Blumenauer, Suzan DelBene, and other West coast members of Congress this week in urging our governors to form a ""green wall"" to maintain climate leadership in the country- and Gov. Brown has already answered this call and made a commitment to not back down in his efforts to combat climate change. If the Trump administration won't lead, our states must.","link","http://www.cnn.com/2017/06/01/politics/west-coast-leaders-green-wall/index.html","cnn.com",434,35,55,63,3,1,0,2
"RepHuffman","200227780116038_1127674027371404","Congressman Jared Huffman","2017-06-05","2017-06-05 23:53:18","Did you miss my “Holding the President Accountable” town hall last month? If so, please check out this week’s episode of “Off the Cuff w. Rep. Huffman” to hear me talk with Rep. John Sarbanes (D-MD) about how Congress, the courts, and the public can respond to the White House’s recklessness and the President’s conflicts of interest.   Hope you enjoy the discussion! https://medium.com/@RepHuffman/new-episode-holding-the-president-accountable-w-rep-sarbanes-965a1c970789","link","https://medium.com/@RepHuffman/new-episode-holding-the-president-accountable-w-rep-sarbanes-965a1c970789","medium.com",79,14,10,0,0,0,1,1
"RepHuffman","200227780116038_1141993729272767","Congressman Jared Huffman","2017-06-08","2017-06-08 16:00:51","Happy #WorldOceansDay! Protecting our oceans means protecting jobs, tourism, and recreation – not to mention healthy fish and wildlife. That’s why I wrote the West Coast Ocean Protection Act to permanently protect the California, Oregon, and Washington coasts from the dangers of offshore oil drilling, safeguarding the $44 billion coastal economies of the region that support nearly 650,000 jobs. Read more about this effort – supported by many of my West Coast congressional colleagues -- here: http://huffman.house.gov/media-center/press-releases/rep-huffman-introduces-legislation-to-permanently-ban-offshore-drilling.","photo","https://www.facebook.com/RepHuffman/photos/a.243274549144694.1073741827.200227780116038/1141993729272767/?type=3",NA,98,9,14,11,0,0,0,0
"RepHuffman","200227780116038_1149689101836563","Congressman Jared Huffman","2017-06-09","2017-06-09 20:27:25","I’m glad to represent Phyllis Gould in Congress- she has continued to fight tenaciously for Rosie the Riveters across the country. Over the past three years, at Phyllis’ urging, I led my colleagues from across the aisle — and in both the House and the Senate — to propose a National Rosie the Riveter Day to honor the inspiring women who helped the United States win World War II. The changing roles of women in the workforce during the war forced us to look at child care and health care in a new way, and increased the momentum toward equal rights — a fight that continues today. We owe the Rosies a great debt, and must continue to recognize them as the American heroes that they are, which is why I’m so excited that we prevailed in the Senate this year.   Take a listen to my podcast episode with Phyllis here: https://medium.com/@RepHuffman/new-episode-honoring-equal-pay-day-with-phyllis-gould-5473f74b3523","video","https://www.facebook.com/548490151931030/videos/1296421913804513/",NA,67,7,0,12,0,1,0,0
"RepHuffman","200227780116038_1164317730373700","Congressman Jared Huffman","2017-06-12","2017-06-12 21:45:48","JUST IN:  Interior Dept. Secretary Ryan Zinke has recommended that President Trump shrink the Bears Ears National Historic Monument – an unprecedented effort to remove protections that were put in place just last year.   The Antiquities Act, the 1906 law that allows Presidents to protect National Monuments, has long enjoyed widespread and bipartisan public support with good reason: parks and public lands mean business for surrounding communities, drawing tourists from all over the world.  Now that the Trump administration has started to erode those protections, we need to act fast. Check out my column on the importance of National Monuments here:","link","http://www.pressdemocrat.com/opinion/closetohome/7079085-181/close-to-home-dont-dismantle?artslide=0","pressdemocrat.com",35,17,19,1,0,0,8,41
"RepHuffman","200227780116038_1170804883058318","Congressman Jared Huffman","2017-06-15","2017-06-15 20:00:18","I’m looking forward to tonight’s Congressional baseball game, where I will be playing for the Democratic team and proudly wearing the Navy blue uniform of the San Rafael Pacifics. But this week’s awful shooting at the Republican team’s daily practice gave us an abrupt reminder that all of us in public service should strive to be playing on the same team, with a higher level of bipartisanship and generosity of spirit than is typical in our politics. We are sending our well wishes and thoughts to Rep. Steve Scalise and others who were injured, and our gratitude to the Capitol Police officers who served heroically yesterday, as they do every single day.   http://www.pressdemocrat.com/news/7098930-181/rep-jared-huffman-reflects-on?artslide=0","photo","https://www.facebook.com/RepHuffman/photos/a.243274549144694.1073741827.200227780116038/1170804883058318/?type=3",NA,418,27,14,34,0,0,0,0
"RepHuffman","200227780116038_1172294379576035","Congressman Jared Huffman","2017-06-16","2017-06-16 18:01:02","Last night was a good win for the Dems, but more importantly it was a too-rare demonstration that we can set aside our political differences for an evening of bipartisanship and good sportsmanship. Thanks to all who attended and helped raise funds for charity, thanks to my fellow players and coaches, and thanks again to the Capitol Police for all that they do every single day.","link","http://time.com/4821112/democrats-win-congress-baseball/","time.com",166,7,8,12,0,0,0,0
"RepHuffman","200227780116038_1178361122302694","Congressman Jared Huffman","2017-06-20","2017-06-20 15:09:14","Congratulations to Alexandra Weitman, who earned the Congressional Award Silver Medal for her service to our community. She has volunteered for over 300 hours, working with children and their families to make sure they had lunches over the weekends. She hopes to one day raise money to fund a preschool in Nicaragua. Thanks for setting such a great example!","photo","https://www.facebook.com/RepHuffman/photos/a.243274549144694.1073741827.200227780116038/1178361122302694/?type=3",NA,178,3,4,22,0,1,0,0
