"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepHuizenga","145764842143763_1186064951447075","Rep. Bill Huizenga","2017-01-01","2017-01-01 01:54:46","As 2016 comes to a close, I will remember it to be a year filled with surprise, joy, and unfortunately loss. As we celebrate and welcome 2017 surrounded by friends and loved ones, I wish you a safe, fun, and very Happy New Year !!!","status",NA,NA,81,10,0,2,0,0,0,0
"RepHuizenga","145764842143763_1188135017906735","Rep. Bill Huizenga","2017-01-03","2017-01-03 14:59:25","Good morning! To kick off the start of the 115th Congress, my staff and I are hosting an ""Open House"" from 10 AM until 1 PM for West Michigan residents to come tour the Second District's new home at 2232 in the Rayburn House Office Building. Come join us for  refreshments and meet the team working hard to make Washington more like West Michigan!","photo","https://www.facebook.com/rephuizenga/photos/a.150595614994019.34636.145764842143763/1188135017906735/?type=3",NA,76,13,4,0,0,0,0,0
"RepHuizenga","145764842143763_1188391537881083","Rep. Bill Huizenga","2017-01-03","2017-01-03 20:07:03","About to be sworn into congress","video","https://www.facebook.com/rephuizenga/videos/1188391537881083/",NA,224,27,9,10,0,0,1,0
"RepHuizenga","145764842143763_1188408027879434","Rep. Bill Huizenga","2017-01-03","2017-01-03 20:25:51","Live from the Rotunda in DC","video","https://www.facebook.com/rephuizenga/videos/1188408027879434/",NA,124,27,3,9,0,0,0,0
"RepHuizenga","145764842143763_1188472807872956","Rep. Bill Huizenga","2017-01-03","2017-01-03 22:26:13","It is an honor to represent Michigan's Second District in Congress. Thank you for affording me this incredible opportunity West Michigan!","photo","https://www.facebook.com/rephuizenga/photos/a.150595614994019.34636.145764842143763/1188472807872956/?type=3",NA,300,26,6,13,0,0,0,0
"RepHuizenga","145764842143763_1189167984470105","Rep. Bill Huizenga","2017-01-04","2017-01-04 20:53:57","It was great to have the Hemmeke family from Zeeland stop by the office in Washington D.C. today! We discussed how the fiduciary rule will negatively impact families and consumers, like the Hemmeke's, in West Michigan and why I am working to eliminate it through my role on the House Committee on Financial Services.","photo","https://www.facebook.com/rephuizenga/photos/a.150595614994019.34636.145764842143763/1189167984470105/?type=3",NA,95,11,3,0,0,0,0,0
"RepHuizenga","145764842143763_1190094981044072","Rep. Bill Huizenga","2017-01-06","2017-01-06 02:36:10","By failing to veto the UN resolution President Obama sealed his failed foreign policy legacy by walking away from Israel, our closest ally in the Middle East. Today, I was proud to support a strong bipartisan vote to reject this deeply flawed UN resolution and the misguided policies of the Obama Administration that threaten Israel. #StandWithIsrael","link","http://clerk.house.gov/evs/2017/roll011.xml","clerk.house.gov",191,31,12,13,0,0,0,7
"RepHuizenga","145764842143763_1190755694311334","Rep. Bill Huizenga","2017-01-06","2017-01-06 22:47:42","I am excited and honored to announce that I will Chair the House Committee on Financial Services Capital Markets Subcommittee for the 115th Congress! Capital Markets has jurisdiction over an enormous amount of legislation impacting our economy. I want to thank Chairman Jeb Hensarling for this incredible opportunity, and I look forward to working to ensure all Americans have access to economic opportunity. To learn more about the Capital Markets Subcommittee click the link below!","link","http://huizenga.house.gov/news/documentsingle.aspx?DocumentID=398375","huizenga.house.gov",184,24,6,2,1,0,0,0
"RepHuizenga","145764842143763_1192939487426288","Rep. Bill Huizenga","2017-01-10","2017-01-10 00:05:34","Tonight I have a blue light shining in my window to honor the men and women in law enforcement. Thank you to the officers, deputies, and law enforcement officials who work tirelessly and risk their lives to keep our neighborhoods and communities safe!  #LawEnforcementAppreciationDay","photo","https://www.facebook.com/rephuizenga/photos/a.150595614994019.34636.145764842143763/1192939487426288/?type=3",NA,170,4,8,17,0,0,0,0
"RepHuizenga","145764842143763_1193451477375089","Rep. Bill Huizenga","2017-01-10","2017-01-10 16:20:29","No state understands the pristine beauty and importance of the Great Lakes more than Michigan. I am honored to be elected to lead the fight to preserve and protect the Great Lakes while promoting economic growth across the region.","link","http://www.hollandsentinel.com/news/20170109/huizenga-elected-co-chair-of-great-lakes-task-force","hollandsentinel.com",130,17,3,3,0,0,0,0
