"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepJackieWalorski","466876036704525_10155492152903891","Rep. Jackie Walorski","2017-11-22","2017-11-22 15:01:19","The House passed the Tax Cuts & Jobs Act, and we are one step closer to delivering REAL tax relief to hardworking Hoosiers.","video","https://www.facebook.com/RepJackieWalorski/videos/10155492152903891/",NA,125,76,7,11,0,1,2,43
"RepJackieWalorski","466876036704525_1352941431431310","Rep. Jackie Walorski","2017-01-01","2017-01-01 05:01:18","Happy New Year! I hope you and your family have a happy, healthy, and prosperous 2017.","photo","https://www.facebook.com/RepJackieWalorski/photos/a.466889670036495.103949.466876036704525/1352941431431310/?type=3",NA,143,18,3,4,0,0,0,0
"RepJackieWalorski","466876036704525_1354554804603306","Rep. Jackie Walorski","2017-01-02","2017-01-02 17:05:51","With Dr. Tom Price as our next HHS secretary, the future of health care will be in good hands. Throughout his time in Congress, Dr. Price has been a vital resource and a leading voice in our efforts to make health care about patients and their doctors, not government bureaucrats. He has the experience, expertise, and dedication the job requires, and I look forward to working with him to fix our broken health care system.","status",NA,NA,76,12,5,3,0,0,0,1
"RepJackieWalorski","466876036704525_1354667904591996","Rep. Jackie Walorski","2017-01-02","2017-01-02 19:15:47","Congratulations to our next State Auditor, Tera Klutz. As the first certified public accountant to serve in this position in Indiana’s history, Tera will be an effective advocate for Hoosier taxpayers. She brings years of experience in public service and the private sector, and I’m confident she’ll do great work to keep our state strong.","link","http://www.wibc.com/news/local-news/holcomb-taps-allen-county-auditor-fill-same-post-state","wibc.com",20,0,3,1,0,0,0,0
"RepJackieWalorski","466876036704525_1355567721168681","Rep. Jackie Walorski","2017-01-03","2017-01-03 16:09:33","The American people sent us here to work for them, and we need to be fully focused on repealing and replacing Obamacare, reforming the tax code, and making sure businesses can create jobs. While I voted against the amendment regarding the Office of Congressional Ethics, I am confident the House Ethics Committee and the Office of Congressional Complaint Review will continue to hold Members of Congress to the high ethical standards the American people expect.","status",NA,NA,78,29,2,2,2,0,0,0
"RepJackieWalorski","466876036704525_1355655221159931","Rep. Jackie Walorski","2017-01-03","2017-01-03 17:56:37","President-elect Trump is right -- the terrorists remaining in Gitmo are the worst of the worst. Releasing any more detainees will put American lives at risk.","link","https://twitter.com/realDonaldTrump/status/816333480409833472","twitter.com",99,8,9,3,0,0,0,0
"RepJackieWalorski","466876036704525_1355876391137814","Rep. Jackie Walorski","2017-01-03","2017-01-03 22:40:55","The 115th Congress is in session! It's an honor and a privilege to fight for Hoosiers, and I'm excited to get back to work.","photo","https://www.facebook.com/RepJackieWalorski/photos/a.466889670036495.103949.466876036704525/1355876391137814/?type=3",NA,192,16,3,9,1,0,1,0
"RepJackieWalorski","466876036704525_1356900427702077","Rep. Jackie Walorski","2017-01-04","2017-01-04 19:27:39","We made a promise to the American people, and we're going to keep it. We will repeal #Obamacare and replace it with real reforms.","video","https://www.facebook.com/RepJackieWalorski/videos/1356900427702077/",NA,282,57,77,27,0,0,2,5
"RepJackieWalorski","466876036704525_1357875087604611","Rep. Jackie Walorski","2017-01-05","2017-01-05 15:50:24","I am honored to join the House Ways and Means Committee and eager to tackle some of our nation’s biggest challenges. We have a historic opportunity to enact lasting economic reforms that will benefit all Americans. I look forward to working with Chairman Brady and our colleagues to fix our broken tax code, repeal and replace Obamacare, help individuals and families lift themselves out of poverty, and expand opportunities for businesses to grow and create good jobs for American workers. Indiana’s 2nd District is a vital center of manufacturing, agriculture, and innovation, and I am grateful the hardworking Hoosiers I represent will have a voice in these critical debates.","link","https://waysandmeans.house.gov/brady-welcomes-new-ways-means-committee-republican-members/","aysandmeans.house.gov",177,23,13,17,0,0,0,0
"RepJackieWalorski","466876036704525_1357968637595256","Rep. Jackie Walorski","2017-01-05","2017-01-05 21:00:00","ICYMI: I was named to the House Ways & Means Committee, which will be at the center of tax reform, repealing and replacing Obamacare, and promoting economic growth and job creation. Learn more here: http://walorski.house.gov/walorski-named-to-house-ways-means-committee/","video","https://www.facebook.com/RepJackieWalorski/videos/1357968637595256/",NA,262,43,21,22,0,0,0,2
"RepJackieWalorski","466876036704525_1358188260906627","Rep. Jackie Walorski","2017-01-05","2017-01-05 23:00:00","In the final days of the Obama presidency, the administration is once again disregarding the safety and security of the American people by setting free some of the world’s most dangerous terrorists. The administration should honor President-elect Trump’s request to leave such critical national security decisions to the incoming administration.","link","http://www.washingtonexaminer.com/obama-transfers-4-guantanamo-prisoners-bringing-the-population-down-to-55/article/2611011","washingtonexaminer.com",23,11,10,0,0,4,0,21
"RepJackieWalorski","466876036704525_1358316530893800","Rep. Jackie Walorski","2017-01-06","2017-01-06 01:02:46","I stand with America's friend and ally #Israel in opposition to the #UNSC's shameful anti-Israel resolution.","link","http://thehill.com/blogs/floor-action/house/312956-house-votes-to-rebuke-un-vote-on-israel","thehill.com",156,14,13,7,1,0,0,3
"RepJackieWalorski","466876036704525_1358387617553358","Rep. Jackie Walorski","2017-01-06","2017-01-06 02:46:17","In America, the people are supposed to have the final say, not federal bureaucrats. Tonight the House put power back in the hands of the people by passing the REINS Act, which requires congressional approval before costly, job-killing regulations can take effect. Passing this bill is a key step toward changing the way Washington works and getting our economy growing again.","photo","https://www.facebook.com/RepJackieWalorski/photos/a.466889670036495.103949.466876036704525/1358387617553358/?type=3",NA,28,4,4,2,0,0,0,1
"RepJackieWalorski","466876036704525_1359266927465427","Rep. Jackie Walorski","2017-01-06","2017-01-06 19:21:25","My staff will be available at locations throughout the 2nd District this month to assist with federal agency casework and other official business. Check out the schedule to find out when someone will be in your area!","link","http://walorski.house.gov/contact/offices/#staff-office-hours","alorski.house.gov",2,0,2,0,0,0,0,0
"RepJackieWalorski","466876036704525_1359365280788925","Rep. Jackie Walorski","2017-01-06","2017-01-06 21:16:54","Praying for the victims in Ft. Lauderdale, their families, and the first responders working to keep everyone safe.","status",NA,NA,71,3,0,3,0,0,10,1
"RepJackieWalorski","466876036704525_1362096913849095","Rep. Jackie Walorski","2017-01-09","2017-01-09 17:07:00","Congratulations to the 51st Governor of Indiana, Governor Eric Holcomb, and our new Lt. Governor, Suzanne Crouch! They take office at a pivotal time for Indiana, and I know they are ready to get to work to keep our state the best place in the nation for families to live and work. I look forward to working with Gov. Holcomb and Lt. Gov. Crouch to grow our economy and make it so businesses can create good jobs for Hoosiers.","status",NA,NA,110,6,1,2,0,0,0,0
"RepJackieWalorski","466876036704525_1362437050481748","Rep. Jackie Walorski","2017-01-09","2017-01-09 23:23:53","I'm proudly shining a blue light in my office window on #LawEnforcementAppreciationDay to honor those who serve and protect. #BackTheBlue","photo","https://www.facebook.com/RepJackieWalorski/photos/a.466889670036495.103949.466876036704525/1362437050481748/?type=3",NA,120,5,8,12,0,0,0,0
"RepJackieWalorski","466876036704525_1365405043518282","Rep. Jackie Walorski","2017-01-12","2017-01-12 14:41:20","Regulations coming out of Washington cost our economy $1.89 trillion every year and make it harder for businesses to create good jobs. It’s time to get bureaucrats under control and give power back to the people, which is why we just passed the Regulatory Accountability Act. This bill reforms the way federal agencies operate and increases transparency in the rulemaking process so the American people have real input.","link","http://giphy.com/gifs/regulation-1iZSSBkGRCjSkNsk","giphy.com",44,1,5,2,0,0,0,0
"RepJackieWalorski","466876036704525_1365868060138647","Rep. Jackie Walorski","2017-01-12","2017-01-12 22:31:37","Veterans risked life and limb to keep America safe and free, but too often the VA has let them down and failed to provide the quality, timely care they earned. Today I reintroduced the VA Scheduling Accountability Act to ensure every facility follows the VA’s scheduling rules. Passing this bill would be an important, common-sense step as Congress and the incoming administration get to work fixing the VA so it works for veterans.","link","http://walorski.house.gov/reintroduces-va-scheduling-accountability-bill/","alorski.house.gov",50,9,7,4,0,0,0,0
"RepJackieWalorski","466876036704525_1365869330138520","Rep. Jackie Walorski","2017-01-14","2017-01-14 13:00:00","As we work to fix the VA so it works for our veterans, this is a common-sense step we can take to make sure veterans get the care they earned.","link","http://walorski.house.gov/reintroduces-va-scheduling-accountability-bill/","alorski.house.gov",28,5,2,3,0,0,0,1
"RepJackieWalorski","466876036704525_1366723240053129","Rep. Jackie Walorski","2017-01-13","2017-01-13 17:04:48","With rising premiums, higher deductibles, and fewer options, Obamacare has failed. We are working to repeal this broken law and replace it with patient-centered reforms. That was our promise to the American people, and we’re going to keep it.","photo","https://www.facebook.com/RepJackieWalorski/photos/a.466889670036495.103949.466876036704525/1366723240053129/?type=3",NA,100,35,19,3,0,0,0,5
"RepJackieWalorski","466876036704525_1366922683366518","Rep. Jackie Walorski","2017-01-13","2017-01-13 20:48:26","I just voted to take the first step toward keeping our promise to repeal Obamacare and replace it with real reforms that put patients first. Obamacare is a failed law that is hurting people right now with skyrocketing premiums and dwindling options. Today we set the stage for repeal and a stable transition period toward a better health care system with lower costs, more choices, and strong protections for patients.","link","http://walorski.house.gov/first-step-repeal-replace-obamacare/","alorski.house.gov",341,87,18,34,0,1,4,33
"RepJackieWalorski","466876036704525_1366926360032817","Rep. Jackie Walorski","2017-01-13","2017-01-13 22:00:00","Obamacare is a failed law, and it’s hurting people right now. We have a better way, and we are one step closer to providing relief to families and individuals and enacting reforms that will lower costs, protect patients, and give you back control over your health care.","video","https://www.facebook.com/RepJackieWalorski/videos/1366926360032817/",NA,327,159,85,35,3,0,1,42
"RepJackieWalorski","466876036704525_1368855789839874","Rep. Jackie Walorski","2017-01-15","2017-01-15 15:57:48","ICYMI: Last week I introduced a bill to ensure VA facilities follow their own rules when it comes to scheduling appointments for veterans. Learn more here: http://walorski.house.gov/reintroduces-va-scheduling-accountability-bill/","video","https://www.facebook.com/RepJackieWalorski/videos/1368855789839874/",NA,54,7,2,2,0,0,0,2
"RepJackieWalorski","466876036704525_1368951039830349","Rep. Jackie Walorski","2017-01-15","2017-01-15 20:00:00","This year we have a historic opportunity to put our nation on a stronger path. In the first weeks of the 115th Congress, we have already started working to deliver real solutions for the American people. For updates, sign up for my newsletter here: http://walorski.house.gov/newsletter/","video","https://www.facebook.com/RepJackieWalorski/videos/1368951039830349/",NA,63,11,5,5,0,1,1,6
"RepJackieWalorski","466876036704525_1368952136496906","Rep. Jackie Walorski","2017-01-16","2017-01-16 11:00:00","Today we celebrate the life and legacy of Dr. Martin Luther King Jr., and we renew our commitment to fulfilling his vision. He demanded the full realization of our nation’s promise – equality and justice, truly for all. Our challenge each day is to carry on his legacy and follow his example – to serve our communities, to treat each other with respect, to be voices for the vulnerable, and to keep our hearts open to the spirit of love upon which his dream was built.","photo","https://www.facebook.com/RepJackieWalorski/photos/a.466889670036495.103949.466876036704525/1368952136496906/?type=3",NA,47,5,13,2,1,0,0,0
"RepJackieWalorski","466876036704525_1369976503061136","Rep. Jackie Walorski","2017-01-16","2017-01-16 18:02:50","‪Thanks to all who came out to celebrate the life and legacy of Dr. Martin Luther King Jr. at Elkhart Community Baptist Church this morning!","photo","https://www.facebook.com/RepJackieWalorski/photos/a.466889670036495.103949.466876036704525/1369976503061136/?type=3",NA,29,0,0,1,0,0,0,0
"RepJackieWalorski","466876036704525_1370495526342567","Rep. Jackie Walorski","2017-01-17","2017-01-17 03:46:45","Congratulations to Culver Academies’ Black Horse Troop and Equestriennes, who will be marching in the Presidential Inaugural Parade on Friday. This will be the 17th Inauguration for the Black Horse Troop since their first in 1913. These talented students will do a great job representing Hoosiers in the parade!","photo","https://www.facebook.com/RepJackieWalorski/photos/a.466889670036495.103949.466876036704525/1370495143009272/?type=3",NA,177,6,19,12,0,0,0,1
"RepJackieWalorski","466876036704525_1371350149590438","Rep. Jackie Walorski","2017-01-17","2017-01-17 23:46:02","President Obama’s disgraceful decision puts American lives at risk by sending a clear message that traitors will not be held accountable for undermining our national security, aiding our enemies, and endangering our troops, intelligence officers, diplomats, and allies around the world.","link","http://www.weeklystandard.com/obama-commutes-sentence-of-chelsea-manning-whose-leak-aided-bin-laden/article/2006345","weeklystandard.com",152,51,56,0,0,3,11,88
"RepJackieWalorski","466876036704525_1373772596014860","Rep. Jackie Walorski","2017-01-19","2017-01-19 18:26:21","More than 30 students from Mishawaka, Penn High, and La Porte High Schools have arrived in DC for tomorrow’s Presidential Inauguration. I’m so honored to have helped them get tickets to make sure they have a great view of this historic event.","link","http://wsbt.com/news/local/local-high-school-students-head-to-washington-dc-for-the-presidential-inauguration","sbt.com",424,16,35,33,0,3,0,0
"RepJackieWalorski","466876036704525_1373789062679880","Rep. Jackie Walorski","2017-01-19","2017-01-19 21:00:00","Students from Culver Academies' Black Horse Troop and Equestriennes will be making Hoosiers proud tomorrow as they march in the Inaugural Parade. Good luck, and have fun!","video","https://www.facebook.com/RepJackieWalorski/videos/1373789062679880/",NA,116,1,20,6,0,0,0,1
"RepJackieWalorski","466876036704525_1374076745984445","Rep. Jackie Walorski","2017-01-20","2017-01-20 11:00:00","I am so excited for this historic day! #Inauguration","video","https://www.facebook.com/RepJackieWalorski/videos/1374076745984445/",NA,280,25,23,26,0,0,0,3
"RepJackieWalorski","466876036704525_1374981232560663","Rep. Jackie Walorski","2017-01-20","2017-01-20 18:55:39","With President Donald Trump and Vice President Mike Pence in the White House, the American people have leaders who will fight for them. The new Republican government is unified around a positive vision for a stronger America and laser-focused on jobs, national security, and our veterans.  We have an historic opportunity to change the status quo in Washington and deliver real solutions that make a difference in people’s lives. I couldn’t be more excited to work with my colleagues and the Trump administration to support American jobs, keep our nation safe, and get veterans the care they earned.   Dean and I wish President Trump, Vice President Pence, and their families all the best on this historic day.","status",NA,NA,257,25,9,19,1,0,0,8
"RepJackieWalorski","466876036704525_1375221935869926","Rep. Jackie Walorski","2017-01-20","2017-01-20 23:48:34","Our view of President Trump's historic Inauguration today.","photo","https://www.facebook.com/RepJackieWalorski/photos/a.466889670036495.103949.466876036704525/1375220165870103/?type=3",NA,600,37,20,49,0,3,2,1
"RepJackieWalorski","466876036704525_1379165888808864","Rep. Jackie Walorski","2017-01-24","2017-01-24 03:43:24","Another key member of President Trump’s national security team has been sworn in. With Defense Sec. James Mattis, DHS Sec. John Kelly, and CIA Director Mike Pompeo on the job, the American people can be certain their safety and security is in good hands.","link","http://www.cbsnews.com/news/mike-pompeo-confirmed-by-the-senate-as-new-cia-director/","cbsnews.com",82,6,2,7,0,0,0,1
"RepJackieWalorski","466876036704525_1379683938757059","Rep. Jackie Walorski","2017-01-24","2017-01-24 12:08:55","Congress and President Trump are united in our efforts to protect the unborn and stop taxpayer dollars from funding the destruction of life. Yesterday the president restored the “Mexico City Policy,” which blocks foreign aid to organizations that provide or promote abortions. And today the House will vote on H.R. 7, the No Taxpayer Funding for Abortion Act, a bill I co-sponsored to prohibit taxpayer funding for abortions.","link","https://pjmedia.com/news-and-politics/2017/01/23/trump-reinstates-mexico-city-policy-banning-ngo-abortion-funds/","pjmedia.com",221,69,21,23,0,1,0,10
"RepJackieWalorski","466876036704525_1380290715363048","Rep. Jackie Walorski","2017-01-24","2017-01-24 22:27:09","Good news in the fight to protect life! The House just passed H.R. 7, the No Taxpayer Funding for Abortion Act, which protects the unborn by expanding and making permanent the ban on using taxpayer dollars to fund the destruction of life.","video","https://www.facebook.com/RepJackieWalorski/videos/1380290715363048/",NA,414,72,105,73,0,0,3,8
"RepJackieWalorski","466876036704525_1380478582010928","Rep. Jackie Walorski","2017-01-25","2017-01-25 11:00:00","The American people were repeatedly promised that if they liked their doctor and their health care plan they could keep them, but these promises were repeatedly broken. I’ve heard from too many Hoosiers facing higher costs and fewer choices under Obamacare, including one resident of Starke County whose plan was cancelled and who was forced to choose from options that don’t cover his doctors. This is why we are working to repeal Obamacare and replace it with a stable transition to a health care system that is better for patients.","video","https://www.facebook.com/RepJackieWalorski/videos/1380478582010928/",NA,140,70,25,11,0,0,1,8
"RepJackieWalorski","466876036704525_1382420608483392","Rep. Jackie Walorski","2017-01-25","2017-01-25 23:08:29","Our immigration system is broken, and today’s announcement is an important step toward securing our borders, strengthening our national security, and upholding the rule of law. I applaud President Trump for taking swift action and look forward to working with the administration on long-term solutions to keep the American people safe.","link","http://www.foxnews.com/politics/2017/01/25/trump-orders-construction-border-wall-targets-sanctuary-cities.html","foxnews.com",231,48,21,23,1,0,3,34
"RepJackieWalorski","466876036704525_1383489631709823","Rep. Jackie Walorski","2017-01-26","2017-01-26 18:37:14","Great to hear from President Trump about how we can work together for the American people and keep our nation safe!","photo","https://www.facebook.com/RepJackieWalorski/photos/a.466889670036495.103949.466876036704525/1383489631709823/?type=3",NA,92,28,4,4,2,0,0,0
"RepJackieWalorski","466876036704525_1383710555021064","Rep. Jackie Walorski","2017-01-26","2017-01-26 21:10:21","Enjoyed catching up with my friend, Second Lady Karen Pence, and hearing from Vice President Pence today.","photo","https://www.facebook.com/RepJackieWalorski/photos/a.466889670036495.103949.466876036704525/1383710555021064/?type=3",NA,386,19,7,30,0,0,0,1
