"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepJasonLewis","1835350816705932_1835358073371873","Rep. Jason Lewis","2017-01-02","2017-01-02 22:03:33",NA,"photo","https://www.facebook.com/RepJasonLewis/photos/a.1835358043371876.1073741826.1835350816705932/1835358050038542/?type=3",NA,5,1,1,1,0,0,0,0
"RepJasonLewis","1835350816705932_1835358446705169","Rep. Jason Lewis","2017-01-02","2017-01-02 22:05:10",NA,"photo","https://www.facebook.com/RepJasonLewis/photos/a.1835358440038503.1073741827.1835350816705932/1835358420038505/?type=3",NA,3,0,0,0,0,0,0,0
"RepJasonLewis","1835350816705932_1835360656704948","Rep. Jason Lewis","2017-01-02","2017-01-02 22:14:13",NA,"photo","https://www.facebook.com/RepJasonLewis/photos/a.1835358440038503.1073741827.1835350816705932/1835360600038287/?type=3",NA,8,4,1,0,0,0,0,0
"RepJasonLewis","1835350816705932_1835377983369882","Rep. Jason Lewis","2017-01-02","2017-01-02 23:38:03","Getting ready for swearing-in tomorrow! Hope to welcome lots of you from Minnesota's 2nd over the coming weeks- it's a little warmer here!","status",NA,NA,2,4,0,0,0,0,0,0
"RepJasonLewis","1835350816705932_1835708536670160","Rep. Jason Lewis","2017-01-03","2017-01-03 15:03:28","As we get up and running today, our website and phones will go live. Call our toll free number for the district office on 1-888-216-4934 to get in touch.","status",NA,NA,6,13,1,0,0,0,0,0
"RepJasonLewis","1835350816705932_1835795066661507","Rep. Jason Lewis","2017-01-03","2017-01-03 19:03:02","Opening the new office- can't wait to have visitors from #MN02 as we get started!","video","https://www.youtube.com/attribution_link?a=O99Zmks5C7c&u=%2Fwatch%3Fv%3D8prCXyMNHuc%26feature%3Dshare",NA,12,0,0,0,0,0,0,0
"RepJasonLewis","1835350816705932_1835878139986533","Rep. Jason Lewis","2017-01-03","2017-01-03 23:03:14","Sworn in! Thanks to Speaker Paul Ryan #MN02 #115thCongress","photo","https://www.facebook.com/RepJasonLewis/photos/a.1835878166653197.1073741828.1835350816705932/1835878139986533/?type=3",NA,39,3,16,0,0,0,0,1
"RepJasonLewis","1835350816705932_1835879196653094","Rep. Jason Lewis","2017-01-03","2017-01-03 23:06:53","Thanks for stopping by Amy Klobuchar! I'm looking forward to working with you for Minnesotans #MN02 #115thCongress","photo","https://www.facebook.com/RepJasonLewis/photos/a.1835878166653197.1073741828.1835350816705932/1835879196653094/?type=3",NA,10,3,1,0,0,0,0,0
"RepJasonLewis","1835350816705932_1835882263319454","Rep. Jason Lewis","2017-01-03","2017-01-03 23:21:35","If anyone in #MN02 needs assistance with a federal agency, my team will be holding Mobile Constituent Services TOMORROW in Savage!  Details are below and don't forget to call 888-216-4934 with any questions.  Date: Wednesday, January 4th Time: 12:00PM to 2:00PM Location: The Oxford Room Savage City Hall 6000 McColl Dr. Savage, MN 55378","status",NA,NA,7,1,1,0,0,0,0,0
"RepJasonLewis","1835350816705932_1835944679979879","Rep. Jason Lewis","2017-01-04","2017-01-04 02:17:26","I am honored to have joined the 115th Congress today. I cast my first votes to restore decorum and strong leadership to the House, and in the coming days I'm ready to move on reducing over-regulation and fixing the healthcare crisis. Let the reforms begin!","status",NA,NA,33,18,0,1,0,0,0,1
"RepJasonLewis","1835350816705932_1836802953227385","Rep. Jason Lewis","2017-01-05","2017-01-05 20:31:57","Great to see some of our first visitors from #MN02!","photo","https://www.facebook.com/RepJasonLewis/photos/a.1835878166653197.1073741828.1835350816705932/1836802953227385/?type=3",NA,38,5,0,0,0,0,0,0
"RepJasonLewis","1835350816705932_1836867933220887","Rep. Jason Lewis","2017-01-06","2017-01-06 01:17:33","Here's my statement tonight after I voted to reduce burdensome regulations and stand with our ally Israel.  “I’m proud that the House started to work on key priorities this week by restoring Congressional oversight and reining in the federal bureaucracy. We cannot allow unelected and unaccountable bureaucrats to run rampant and release a deluge of last-minute regulations that hurt our small businesses and stifle economic growth.    It’s also completely inappropriate for the United Nations to dictate terms of peace to a sovereign nation like our ally Israel. The only true path to a two state solution and peace is through direct negotiations between Israel and the Palestinians. I look forward to continuing to get to work for my constituents”.","status",NA,NA,32,9,3,4,0,0,0,5
"RepJasonLewis","1835350816705932_1837146456526368","Rep. Jason Lewis","2017-01-06","2017-01-06 15:09:10","Don't forget- call my district team on 888-216-4934 if you need assistance with a federal agency! As our website gets up and running (jasonlewis.house.gov), you can pop in and see my team on Monday in Lakeville.   Date: Monday, January 9 Time: 8:30AM to 10:30AM Where: Lakeville City Council Chambers Address: 20195 Holyoke Ave, Lakeville, MN 55044","status",NA,NA,20,4,8,0,0,0,0,0
"RepJasonLewis","1835350816705932_1838523069722040","Rep. Jason Lewis","2017-01-09","2017-01-09 19:57:27","Our cops put their lives on the line each and every day as they serve us and keep our communities safe. It’s important that we recognize their hard work and self-sacrifice. Join me in thanking our law enforcement officers today! #BackTheBlue #MN02","photo","https://www.facebook.com/RepJasonLewis/photos/a.1835878166653197.1073741828.1835350816705932/1838523069722040/?type=3",NA,17,1,0,1,0,0,0,0
"RepJasonLewis","1835350816705932_1838552529719094","Rep. Jason Lewis","2017-01-09","2017-01-09 21:56:08","Thank you Carol and our friends from Dakota County for coming by! More of my team's Mobile Constituent Services coming shortly- watch this space.","photo","https://www.facebook.com/RepJasonLewis/photos/a.1835878166653197.1073741828.1835350816705932/1838552529719094/?type=3",NA,24,12,2,0,0,0,0,0
"RepJasonLewis","1835350816705932_1838556599718687","Rep. Jason Lewis","2017-01-09","2017-01-09 22:15:24","I'll be doing my first Chair on the House Floor tonight after the first vote series- approx. 7 p.m. EST/ 6(c). Tune into C-Span https://www.c-span.org/networks/?channel=c-span","link","https://www.c-span.org/networks/?channel=c-span","c-span.org",14,0,4,0,0,0,0,0
"RepJasonLewis","1835350816705932_1838577399716607","Rep. Jason Lewis","2017-01-09","2017-01-09 23:59:30","It's #LawEnforcementAppreciationDay, and the blue lights in my office window recognize these brave men and women. Take a moment to thank an officer!","photo","https://www.facebook.com/RepJasonLewis/photos/a.1835878166653197.1073741828.1835350816705932/1838577266383287/?type=3",NA,22,1,0,1,0,0,0,0
"RepJasonLewis","1835350816705932_1838582669716080","Rep. Jason Lewis","2017-01-10","2017-01-10 00:26:10","Chairing the House Floor- video live tomorrow on clerk.house.gov","photo","https://www.facebook.com/RepJasonLewis/photos/a.1835878166653197.1073741828.1835350816705932/1838582669716080/?type=3",NA,31,1,1,0,0,0,0,0
"RepJasonLewis","1835350816705932_1838961639678183","Rep. Jason Lewis","2017-01-10","2017-01-10 18:27:00","I'm honored to have been named Senior Freshman on the House Budget Committee.   I look forward to keeping my promise to repeal and replace Obamacare to make healthcare truly accessible and affordable for all Americans.   I'm excited to get to work to return fiscal responsibility to our government and tackle the $20 trillion national debt that threatens our children’s future.  #MN02","status",NA,NA,94,64,6,6,0,1,0,17
"RepJasonLewis","1835350816705932_1839494936291520","Rep. Jason Lewis","2017-01-11","2017-01-11 23:22:50","Voting tonight to make government regulations more accountable and to stop imposing unnecessary costs on our businesses, especially small businesses and start-ups.   We need to reduce red tape in government so businesses can hire new employees and give hard-working Minnesotans a raise rather than spending money to comply with burdensome DC rules.","status",NA,NA,50,25,0,1,0,0,0,1
"RepJasonLewis","1835350816705932_1840059299568417","Rep. Jason Lewis","2017-01-12","2017-01-12 21:33:34","I gave my first speech on the House Floor today. I'm so proud to represent Minnesota's 2nd District and introduce my bill - the REG Act- to make government more transparent.   Watch on this link! https://youtu.be/Jjjf3rxAJT0","video","https://youtu.be/Jjjf3rxAJT0",NA,58,17,13,5,0,0,0,4
"RepJasonLewis","1835350816705932_1840411142866566","Rep. Jason Lewis","2017-01-13","2017-01-13 14:55:53","Healthcare reform is important to bring high-quality, truly affordable care to #MN02. Look at MNsure problems- will act to fix this today and restore universal access to healthcare.   Watch me speak shortly http://bit.ly/2inA2no","link","http://bit.ly/2inA2no","bit.ly",15,19,0,0,0,0,0,4
"RepJasonLewis","1835350816705932_1840421032865577","Rep. Jason Lewis","2017-01-13","2017-01-13 15:16:23","Joined over 100 colleagues, Republican and Democrat, in supporting HR 512 to help veterans get their benefits faster.  If you're a veteran in #MN02: Thank you for your service. If you're having an problem with the VA, call my office to see if we can help. The number is 888-216-4934.","status",NA,NA,15,5,1,1,0,0,0,0
"RepJasonLewis","1835350816705932_1840480179526329","Rep. Jason Lewis","2017-01-13","2017-01-13 17:54:05","My next Mobile Constituent Service hours will be next Wednesday, January 18, in Red Wing!   Come see my team from 1-4pm at: Mississippi River Room Red Wing City Hall 315 W 4th St Red Wing, MN 55066","status",NA,NA,14,8,12,0,0,0,0,0
"RepJasonLewis","1835350816705932_1840552369519110","Rep. Jason Lewis","2017-01-13","2017-01-13 21:12:03","We need an affordable, accessible alternative to the ACA.   It's time to get to work fixing these tough problems to deliver quality healthcare for our families and get a full replacement plan for Minnesotans in place with increased portability, lower premiums, and lower deductibles. #MN02","status",NA,NA,44,101,3,3,0,0,0,15
"RepJasonLewis","1835350816705932_1842044062703274","Rep. Jason Lewis","2017-01-16","2017-01-16 19:59:08","""Darkness cannot drive out darkness; only light can do that. Hate cannot drive out hate; only love can do that"".  Thank you, Dr. King, for your example. #MLKDay","status",NA,NA,39,15,3,4,0,0,0,0
"RepJasonLewis","1835350816705932_1842528705988143","Rep. Jason Lewis","2017-01-17","2017-01-17 21:52:03","It was an honor to spend time with Brigadier General Jensen and Colonel Wickman of the National Guard’s 34th Red Bull Infantry today. Thank you for your service, and thank you to all who are serving.","photo","https://www.facebook.com/RepJasonLewis/photos/a.1835878166653197.1073741828.1835350816705932/1842528705988143/?type=3",NA,41,6,2,0,0,0,0,0
"RepJasonLewis","1835350816705932_1842851755955838","Rep. Jason Lewis","2017-01-18","2017-01-18 14:56:55","Government should work for you, not against you.   One-size-fits-all rules and regulations have become a problem- here's how I'm tackling that and working for universal access to quality healthcare, which we don't have currently.  http://www.startribune.com/u-s-rep-jason-lewis-we-ve-begun-to-treat-our-nation-s-regulatory-disease/411002965/","link","http://www.startribune.com/u-s-rep-jason-lewis-we-ve-begun-to-treat-our-nation-s-regulatory-disease/411002965/","startribune.com",28,36,1,3,1,0,1,0
