"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepJeffDenham","133714040028137_1034145290053880","Representative Jeff Denham","2017-04-28","2017-04-28 19:15:26","Held in conjunction with Senator Anthony Cannella & Assemblyman Adam Gray’s offices at Housing Authority of Stanislaus County.  Mobile office hours provide an opportunity for constituents to meet with representatives from my district staff for assistance with variety of services and issues, including Medicare, Veteran’s Affairs, Social Security, Internal Revenue Services and matters regarding federal legislation.  For more information: Call my Modesto district office at (209) 579-5458 Visit http://denham.house.gov/contact/mobile-district-office-hours.htm","event","https://www.facebook.com/events/1034145290053880/",NA,1,2,0,0,0,0,0,0
"RepJeffDenham","133714040028137_1068571286621125","Representative Jeff Denham","2017-03-10","2017-03-10 14:46:19","Held in conjunction with Senator Cathleen Galgiani & Assemblyman Heath Flora’s offices at the Ripon Chamber of Commerce  Mobile office hours provide an opportunity for constituents to meet with representatives from my district staff for assistance with variety of services and issues, including Medicare, Veteran’s Affairs, Social Security, Internal Revenue Services and matters regarding federal legislation.  For more information: Call my Modesto district office at (209) 579-5458 Visit http://denham.house.gov/contact/mobile-district-office-hours.htm","event","https://www.facebook.com/events/1068571286621125/",NA,3,0,0,0,0,0,0,0
"RepJeffDenham","133714040028137_1209039905885213","Representative Jeff Denham","2017-04-28","2017-04-28 19:12:24","Held in conjunction with Senator Tom Berryhill & Assemblyman Heath Flora’s offices at State Senator Tom Berryhill's Office.  Mobile office hours provide an opportunity for constituents to meet with representatives from my district staff for assistance with variety of services and issues, including Medicare, Veteran’s Affairs, Social Security, Internal Revenue Services and matters regarding federal legislation.  For more information: Call my Modesto district office at (209) 579-5458 Visit http://denham.house.gov/contact/mobile-district-office-hours.htm","event","https://www.facebook.com/events/1209039905885213/",NA,1,0,0,0,0,0,0,0
"RepJeffDenham","133714040028137_1217511351692903","Representative Jeff Denham","2017-07-31","2017-07-31 13:57:34","Held in conjunction with Senator Anthony Cannella & Assemblyman Adam Gray's offices at State Senator Anthony Cannella's Office.  2561 Third Street, Suite A Ceres, CA 95307  Mobile office hours provide an opportunity for constituents to meet with representatives from my district staff for assistance with variety of services and issues, including Medicare, Veteran's Affairs, Social Security, Internal Revenue Services and matters regarding federal legislation.  For more information: Call my Modesto district office at (209) 579-5458 Visit http://denham.house.gov/contact/mobile-district-office-hours.htm","event","https://www.facebook.com/events/1217511351692903/",NA,9,1,0,0,0,0,0,0
"RepJeffDenham","133714040028137_122270895065883","Representative Jeff Denham","2017-07-31","2017-07-31 13:27:47","Held in conjunction with Senator Cathleen Galgiani & Assemblyman Heath Flora's offices at Escalon City Hall.  2600 McHenry Avenue Escalon, CA 95320  Mobile office hours provide an opportunity for constituents to meet with representatives from my district staff for assistance with variety of services and issues, including Medicare, Veteran's Affairs, Social Security, Internal Revenue Services and matters regarding federal legislation.  For more information: Call my Modesto district office at (209) 579-5458 Visit http://denham.house.gov/contact/mobile-district-office-hours.htm","event","https://www.facebook.com/events/122270895065883/",NA,8,7,0,0,1,0,1,1
"RepJeffDenham","133714040028137_125317741338439","Representative Jeff Denham","2017-03-30","2017-03-30 15:36:12","Held in conjunction with Senator Tom Berryhill & Assemblyman Heath Flora’s offices at the Turlock Chamber of Commerce Conference Room.  Mobile office hours provide an opportunity for constituents to meet with representatives from my district staff for assistance with variety of services and issues, including Medicare, Veteran’s Affairs, Social Security, Internal Revenue Services and matters regarding federal legislation.  For more information: Call my Modesto district office at (209) 579-5458 Visit http://denham.house.gov/contact/mobile-district-office-hours.htm","event","https://www.facebook.com/events/125317741338439/",NA,3,1,0,0,0,0,0,0
"RepJeffDenham","133714040028137_1264837336915796","Representative Jeff Denham","2017-01-01","2017-01-01 08:01:01","Happy New Year! Wishing you & your family a joyful, prosperous & healthy 2017!","photo","https://www.facebook.com/RepJeffDenham/photos/a.135725576493650.27770.133714040028137/1264837336915796/?type=3",NA,48,4,0,2,0,0,0,0
"RepJeffDenham","133714040028137_1267640933302103","Representative Jeff Denham","2017-01-03","2017-01-03 16:37:54","Today is #DayOne of the 115th Congress and I'm excited to get to work! In this week's #MorningMailbag, I took some time to preview what Congress will tackle and ask what you think we should be working on. Please email me here: http://denham.house.gov/contact-me, or call my DC (202) 225-4540 or Modesto (202) 579-5458 offices to let me know!","video","https://www.facebook.com/RepJeffDenham/videos/1267640933302103/",NA,60,21,5,0,0,0,0,0
"RepJeffDenham","133714040028137_1267986043267592","Representative Jeff Denham","2017-01-04","2017-01-04 01:16:23","There is no greater act of patriotism than serving your country in the armed forces. In this spirit, tonight I re-introduced my ENLIST Act to allow young undocumented immigrants brought here by their parents the ability to earn legal status in the country they consider to be home. Immigrants have served honorably in our armed forces for decades, and this would be a positive step forward for our nation as we seek a collective solution to immigration reform. More: http://bit.ly/2ixc1Os","link","http://bit.ly/2ixc1Os","bit.ly",80,18,12,6,0,1,0,0
"RepJeffDenham","133714040028137_1268548116544718","Representative Jeff Denham","2017-01-04","2017-01-04 17:44:14","Start off the new year by seeking assistance with federal agencies that you're having issues with at #DenhamMDOs! My staff will be in Tracy, Manteca, Waterford & Oakdale to help & answer questions.","photo","https://www.facebook.com/RepJeffDenham/photos/a.135725576493650.27770.133714040028137/1268548116544718/?type=3",NA,8,2,4,0,0,0,0,0
