"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepJimBanks","1424903461138156_1625693784392455","Congressman Jim Banks","2017-01-03","2017-01-03 14:27:46",NA,"photo","https://www.facebook.com/RepJimBanks/photos/a.1428212420807260.1073741827.1424903461138156/1625693784392455/?type=3",NA,51,3,1,0,0,0,0,0
"RepJimBanks","1424903461138156_1625694357725731","Congressman Jim Banks","2017-01-03","2017-01-03 14:29:36",NA,"photo","https://www.facebook.com/RepJimBanks/photos/a.1428212664140569.1073741829.1424903461138156/1625694357725731/?type=3",NA,51,1,0,4,0,0,0,0
"RepJimBanks","1424903461138156_1625804324381401","Congressman Jim Banks","2017-01-03","2017-01-03 22:37:57","Today it was an honor to be with my family, especially my Dad, as I was sworn into the 115th Congress. I look forward to representing Indiana's Third District in Washington and fighting for conservative values.   Thank you for giving me the opportunity to be your Congressman.","photo","https://www.facebook.com/RepJimBanks/photos/a.1625804394381394.1073741830.1424903461138156/1625804324381401/?type=3",NA,125,13,5,11,0,0,0,0
"RepJimBanks","1424903461138156_1625983844363449","Congressman Jim Banks","2017-01-04","2017-01-04 13:25:45","I joined four fellow freshmen Congressmen with military backgrounds to outline why we support General Mattis.","link","http://fxn.ws/2hQNLaU","fxn.ws",36,2,3,2,0,0,0,2
"RepJimBanks","1424903461138156_1626051107690056","Congressman Jim Banks","2017-01-04","2017-01-04 17:39:54","Some highlights from day one of the 115th Congress.","link","http://www.journalgazette.net/news/local/local-politics/Banks--Young-sworn-in-17104710","journalgazette.net",54,4,5,5,0,0,0,0
"RepJimBanks","1424903461138156_1626095487685618","Congressman Jim Banks","2017-01-04","2017-01-04 20:42:53","Getting ready for my first video update from my official YouTube account. Link here → bit.ly/JimBanksYouTube","photo","https://www.facebook.com/RepJimBanks/photos/a.1625804394381394.1073741830.1424903461138156/1626095487685618/?type=3",NA,58,5,6,2,0,0,0,0
"RepJimBanks","1424903461138156_1626139711014529","Congressman Jim Banks","2017-01-05","2017-01-05 00:56:31","Looking forward to working with my fellow Hoosier Representative Trey Hollingsworth in the 115th Congress.","photo","https://www.facebook.com/RepJimBanks/photos/a.1625804394381394.1073741830.1424903461138156/1626139711014529/?type=3",NA,39,0,0,0,0,0,0,0
"RepJimBanks","1424903461138156_1626328917662275","Congressman Jim Banks","2017-01-05","2017-01-05 14:41:28","Obamacare is the definition of government overreach, and Congress finally has a chance to repeal it. The American people spoke when they elected a Republican Congress and White House, and they don’t want a modified version or a partial repeal. My constituents have been loud and clear: they want to get rid of Obamacare altogether. I strongly support a full repeal of this unaffordable law and believe Congress must strike while the iron is hot.","status",NA,NA,62,22,11,4,0,0,0,4
"RepJimBanks","1424903461138156_1626413457653821","Congressman Jim Banks","2017-01-05","2017-01-05 21:02:24","Dan Coats is an excellent choice for Director of National Intelligence, there's no question. He is respected on both sides of the aisle and has worked on national security issues throughout his career in public service. It is exciting to have another Hoosier in close proximity to the next President.","link","http://www.indystar.com/story/news/politics/2017/01/05/reports-coats-could-trumps-intelligence-director/96210618/","indystar.com",63,1,3,5,0,0,0,0
"RepJimBanks","1424903461138156_1626451250983375","Congressman Jim Banks","2017-01-06","2017-01-06 00:30:14","Tonight I voted for H. Res. 11, a resolution condemning the anti-Israel action taken last month by the United Nations Security Council.  Israel is a cherished ally and a beacon of freedom in a troubled region. This resolution strongly condemns the misguided action taken by the U.N. Security Council last month and expresses strong support for our friends in Israel. America must stand with Israel.","photo","https://www.facebook.com/RepJimBanks/photos/a.1625804394381394.1073741830.1424903461138156/1626451250983375/?type=3",NA,100,2,9,5,0,0,0,0
