"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepJimCosta","166497040064181_1207968549250353","Congressman Jim Costa","2017-01-01","2017-01-01 21:55:00","Happy New Year! Wishing you and your loved ones all the best in 2017.","status",NA,NA,74,5,0,6,0,0,0,0
"RepJimCosta","166497040064181_1209134585800416","Congressman Jim Costa","2017-01-03","2017-01-03 14:33:59","Today marks the first day of the 115th Congress. I look forward to continuing my work to make our San Joaquin Valley a better place and improve opportunities for you, the people of the Valley. Below is a link to a comprehensive overview of some of the highlights of what my colleagues and I accomplished over the past two years for the Valley, California, and our entire nation.   As Congress begins the 115th Congress, I will continue my efforts to: - improve water reliability, security and quality for all   Californians; - advocate for increased investment in our nation’s transportation and infrastructure systems; - work to fix a broken immigration system to make it more reliable and fair; - reform our tax system to make it less complex and ensure that everyone pays their fair share; - and reform entitlement programs, like Social Security and Medicare, in a responsible way, so we can protect the promise made to those currently dependent on these programs and ensure their long-term solvency for future generations.  Thank you for allowing me the opportunity to serve you in our nation’s capital. Please contact my Fresno, Merced, or Washington, D.C. offices, if we can ever be of assistance.","link","http://costa.house.gov/sites/costa.house.gov/files/Two-Year%20Report%20-%20Serving%20the%20People%20of%20the%20San%20Joaquin%20Valley%20-%20Dec.%202016.pdf","costa.house.gov",102,18,4,1,0,0,0,0
"RepJimCosta","166497040064181_1210047709042437","Congressman Jim Costa","2017-01-04","2017-01-04 20:09:00","I applaud the House passage of the Taxpayers' Right to Know Act. This bipartisan legislation would save tax payer dollars and eliminate government waste within federal agencies. Today, the national debt is approaching $20 trillion dollars, which is approximately $61,350 per U.S. citizen, and ensuring a robust 21st century U.S. economy will require Congress to get our fiscal house in order. As a co-chair of the Blue Dog Coalition, I will continue supporting fiscally sustainable policies that will grow our Valley and U.S. economy.","status",NA,NA,16,0,0,0,0,0,0,0
"RepJimCosta","166497040064181_1211319478915260","Congressman Jim Costa","2017-01-06","2017-01-06 15:08:25","Finally, the Valley is getting much needed rain in the Valley and snow in the mountains. However, capturing that water is directly reliant upon our ability to create additional water storage, like building Temperance Flat Dam, which I have long supported. Most recent scientific reports indicate that temperatures are rising, creating a decline in the snow pack that we have historically relied upon as natural water storage.  As a result, runoff will increase during the fall and winter months, requiring us to increase California’s water storage to ensure that farmers, farm workers, and farming communities are equipped with an adequate water supply in future dry years. This morning, the San Joaquin Valley Water Infrastructure Authority is holding a press conference to call attention to this very important matter.","link","http://www.sacbee.com/news/local/article124863269.html","sacbee.com",53,4,2,2,0,0,0,0
"RepJimCosta","166497040064181_1213562812024260","Congressman Jim Costa","2017-01-09","2017-01-09 17:17:04","My heart is broken for the family of Master Sgt. Debra Clayton and the people of Florida. This morning, Master Sgt. Clayton was shot and killed, and an Orange County Sheriff Deputy was killed in a car accident while searching for the suspect.   These horrific tragedies happened to take place on #NationalLawEnforcementAppreciationDay. Now, more than ever, we must come together as a nation to show our support and appreciation for our law enforcement officers. That means thanking law enforcement for keeping our communities safe, and it also means being vigilant and reporting crimes if we witness something that is wrong.   Today and every day, my thoughts and prayers are with the men and women in blue, especially with the loved ones of Master Sgt. Debra Clayton and the Orange County Sheriff Deputy.","status",NA,NA,6,1,2,1,0,0,6,0
"RepJimCosta","166497040064181_1213579085355966","Congressman Jim Costa","2017-01-09","2017-01-09 17:45:11","As parts of the county continue to experience flood conditions, I encourage all Madera County residents to sign up for the Madera County Emergency Warning System.","link","http://www.mcalert.org/","mcalert.org",8,0,0,0,0,0,0,0
"RepJimCosta","166497040064181_1214543215259553","Congressman Jim Costa","2017-01-10","2017-01-10 23:03:25","The House just passed the HALOS Act, bipartisan legislation that would eliminate unnecessary and burdensome regulations and would open more pathways for #startups to seek investment opportunities. As the nation’s leaders in #innovation and #technology, startups have an important role in the U.S. economy, and ensuring that they have the necessary capital to continue generating new ideas is crucial to the success of the industry.","status",NA,NA,16,0,0,0,0,0,0,0
"RepJimCosta","166497040064181_1215144765199398","Congressman Jim Costa","2017-01-11","2017-01-11 18:12:38","After over five years of record breaking drought conditions, we welcome the above-average rain and snow, and also hope that it does not cause destructive flooding. Regrettably, to reduce potential flooding, water is being released out to the ocean. That precious water could be used to replenish groundwater aquifers that were depleted during the drought or could be carried over in above ground storage for use in dry years. That water could help ensure that our farming communities will not continue to deal with double digit unemployment numbers.   The WIIN Act, which was enacted in December, provides funding for water storage and groundwater banking projects. It is my sincere hope that both surface storage and groundwater recharge projects, like raising the gates at New Exchequer Dam, and building Sites Reservoir and Temperance Flat Dam, and others, like the Los Banos Creek Reservoir and raising San Luis Reservoir, are advanced as rapidly as possible, so we can begin to capture the much-needed water that comes from these storms. Fixing California’s broken water system requires a multi-pronged approach, and focusing on how we improve our water infrastructure and storage capacity will be imperative as we work to update California’s water system so it can meet the growing demands of the 21st century. #CAstorm #CAflood","video","https://www.facebook.com/RepJimCosta/videos/1215144765199398/",NA,60,6,1,2,0,0,0,0
"RepJimCosta","166497040064181_1216137165100158","Congressman Jim Costa","2017-01-12","2017-01-12 20:38:59","Proud of the residents in Planada who came together to paint these beautiful murals and are helping to make the community a better place.","video","https://www.youtube.com/watch?v=BZ0Kh28KGfA",NA,8,1,1,2,0,0,0,0
"RepJimCosta","166497040064181_1216814595032415","Congressman Jim Costa","2017-01-13","2017-01-13 16:48:45","The rain from recent storms is welcomed by all of us in the San Joaquin Valley. The WIIN Act, enacted into law in December, provides funding for CA water storage projects, so we can capture more water during storm events for the dry years.","link","http://mercedid.org/default/assets/File/1-12-17%20Storm%20Storage%20Update.pdf","mercedid.org",26,1,0,0,0,0,0,0
