"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepJimmyGomez","154054825137425_168838983659009","Rep. Jimmy Gomez","2017-07-12","2017-07-12 22:32:33",NA,"photo","https://www.facebook.com/RepJimmyGomez/photos/a.168838980325676.1073741826.154054825137425/168838983659009/?type=3",NA,8,0,1,2,0,0,0,0
"RepJimmyGomez","154054825137425_168839100325664","Rep. Jimmy Gomez","2017-07-12","2017-07-12 22:33:12",NA,"photo","https://www.facebook.com/RepJimmyGomez/photos/a.168839206992320.1073741827.154054825137425/168839100325664/?type=3",NA,7,0,0,2,0,0,0,0
"RepJimmyGomez","154054825137425_168892876986953","Rep. Jimmy Gomez","2017-07-13","2017-07-13 02:57:39",NA,"link","https://www.washingtonpost.com/politics/federal_government/democrat-jimmy-gomez-sworn-in-to-house-seat-from-california/2017/07/11/77c091b4-6691-11e7-94ab-5b1f0ff459df_story.html?utm_term=.07749f1f1206","washingtonpost.com",7,2,0,1,0,0,0,0
"RepJimmyGomez","154054825137425_168898480319726","Rep. Jimmy Gomez","2017-07-13","2017-07-13 03:14:37",NA,"photo","https://www.facebook.com/RepJimmyGomez/photos/a.168839206992320.1073741827.154054825137425/168898480319726/?type=3",NA,8,0,0,2,0,0,0,0
"RepJimmyGomez","154054825137425_168916663651241","Rep. Jimmy Gomez","2017-07-13","2017-07-13 13:30:08","ICYMI: My speech from the House floor delivered after I was sworn into the 115th Congress. Proud to represent my family & everyone in #CA34!  ""I am truly honored to be here. As the son of immigrants who believes in this country, and everything it promises, I am a living embodiment of that promise.""","video","https://www.facebook.com/RepJimmyGomez/videos/168916663651241/",NA,21,2,10,4,0,0,0,0
"RepJimmyGomez","154054825137425_168976313645276","Rep. Jimmy Gomez","2017-07-13","2017-07-13 09:02:52","Congratulations to the Los Angeles Dodgers very own Vin Scully on being awarded the ICON award at last night Espys. Well deserved!","video","https://www.facebook.com/ESPN/videos/1711718188874930/",NA,4,0,0,2,0,0,0,0
"RepJimmyGomez","154054825137425_169231063619801","Rep. Jimmy Gomez","2017-07-14","2017-07-14 00:35:17","My statement on yesterday's Congressional Hispanic Caucus (CHC) disturbing meeting with DHS Secretary Kelly.","note","https://www.facebook.com/notes/rep-jimmy-gomez/rep-gomez-issues-statement-on-chc-meeting-with-dhs-secretary-kelly/169226460286928/",NA,7,0,0,1,0,0,0,0
"RepJimmyGomez","154054825137425_169497763593131","Rep. Jimmy Gomez","2017-07-14","2017-07-14 16:58:54","I'm proud to join over 200 of my fellow Members of Congress in SUING Donald Trump for his flagrant and ongoing violation of the Emoluments Clause of the United States Constitution. Donald Trump is #NotAboveTheLaw. If this lawsuit succeeds, it will prevent him from continuing to accept payments and benefits from foreign governments.","note","https://www.facebook.com/notes/rep-jimmy-gomez/rep-jimmy-gomez-joins-lawsuit-against-trump-for-foreign-conflicts-of-interest-ca/169496363593271/",NA,9,1,0,0,0,0,0,0
"RepJimmyGomez","154054825137425_169853023557605","Rep. Jimmy Gomez","2017-07-15","2017-07-15 14:08:42","#TeamMueller","link","http://www.latimes.com/opinion/op-ed/la-oe-litman-the-special-counselor-is-already-getting-the-truth-out-20170714-story.html","latimes.com",9,2,0,0,0,0,0,0
"RepJimmyGomez","154054825137425_170815040128070","Rep. Jimmy Gomez","2017-07-18","2017-07-18 01:47:25","#Trumpcare is dead FOR NOW...we must not stop! Today is a victory for everyone who made calls, marched, told their story and were just plain loud! Keep It Going!","link","http://www.politicususa.com/2017/07/17/latest-version-trumpcare-officially-dead-gop-senators-declare-opposition.html","politicususa.com",17,0,4,1,0,0,0,0
