"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepJoeBarton","15617630596_10158007163515597","Congressman Joe Barton","2017-01-03","2017-01-03 14:30:52",NA,"photo","https://www.facebook.com/RepJoeBarton/photos/a.10150261497555597.532438.15617630596/10158007163515597/?type=3",NA,31,33,1,0,10,1,0,3
"RepJoeBarton","15617630596_10158008033860597","Congressman Joe Barton","2017-01-03","2017-01-03 17:30:42","It's hard not to see a brighter future ahead for America, particularly in Texas.","link","http://www.star-telegram.com/news/business/article124257964.html","star-telegram.com",30,5,2,0,0,0,0,0
"RepJoeBarton","15617630596_10158008875180597","Congressman Joe Barton","2017-01-03","2017-01-03 21:11:09","Today, we begin with 115th Congress in Washington. I am as excited today as I was when I entered my first term. We have a historic opportunity in front of us that will help all Americans. This is a responsibility and privilege I do not take lightly.","photo","https://www.facebook.com/RepJoeBarton/photos/a.134172685596.226301.15617630596/10158008875180597/?type=3",NA,82,17,1,1,0,0,0,0
"RepJoeBarton","15617630596_10158013674070597","Congressman Joe Barton","2017-01-04","2017-01-04 20:19:22","2nd Lieutenant Riley Curnutt dropped by today with his beautiful fiance Beth Allen. Riley was one of my nominees to the Air Force Academy a few years back and graduated last year.","photo","https://www.facebook.com/RepJoeBarton/photos/a.134172685596.226301.15617630596/10158013674070597/?type=3",NA,39,1,1,1,0,0,0,0
"RepJoeBarton","15617630596_10158023161615597","Congressman Joe Barton","2017-01-06","2017-01-06 14:37:40","Huge news! The US energy sector will only continue to grow, this is in no small part due to lifting the ban on crude oil exports - a measure I led in the House last Congress. #Yes2Energy","link","http://www.reuters.com/article/us-eia-oil-outlook-idUSKBN14P24L","reuters.com",21,6,1,3,0,0,0,0
"RepJoeBarton","15617630596_10158023931350597","Congressman Joe Barton","2017-01-06","2017-01-06 17:27:09","Rep. Barton announced as Vice-Chairman of the Energy and Commerce Committee.   Chairman Greg Walden announced today that Rep. Joe Barton will serve as Vice-Chairman of the Committee on Energy and Commerce for the 115th Congress. Barton has previously held the positions of Chairman and Chairman Emeritus for the committee.   “I am honored to be chosen by Chairman Walden to serve on the committee leadership team as the Vice-Chairman for the full committee,” stated Barton. “This Congress has a historic opportunity to enhance the lives of all Americans and that begins in the Energy and Commerce Committee. I look forward to the work ahead.”   Chairman Walden commented on the appointment, “Joe is a principled conservative with a wealth of knowledge and experience who has become a trusted voice on our committee. As a previous Chairman, he has a solid understanding of the inner workings of our committee and will be a valued asset as we undertake many important policies in the new year. I look forward to having him serve as our Vice-Chairman and know he will do an excellent job.”  The Committee on Energy and Commerce, the oldest standing legislative committee in the U.S. House of Representatives, is vested with the broadest jurisdiction of any congressional authorizing committee. The Energy and Commerce Committee will be one of two committees in the House to work on the repeal and replacement of the Affordable Care Act.","photo","https://www.facebook.com/RepJoeBarton/photos/a.134172685596.226301.15617630596/10158023931350597/?type=3",NA,41,18,4,2,0,0,0,0
"RepJoeBarton","15617630596_10158038200585597","Congressman Joe Barton","2017-01-09","2017-01-09 16:08:31","Special thanks to all law enforcement officers today for all they do to keep our communities safe. #LawEnforcementAppreciationDay","photo","https://www.facebook.com/RepJoeBarton/photos/a.134172685596.226301.15617630596/10158038200585597/?type=3",NA,5,0,0,2,0,0,0,0
"RepJoeBarton","15617630596_10158039370640597","Congressman Joe Barton","2017-01-01","2017-01-01 17:00:00",NA,"photo","https://www.facebook.com/RepJoeBarton/photos/a.10151484316605597.828280.15617630596/10158039370640597/?type=3",NA,7,7,1,0,2,0,0,0
"RepJoeBarton","15617630596_10158039456490597","Congressman Joe Barton","2017-01-09","2017-01-09 21:05:33","Rep. Barton Hosts Taiwan President Tsai Ing-wen  Washington: Rep. Joe Barton (R-TX) on Saturday hosted Her Excellency, Tsai Ing-wen, President of the Republic of China (Taiwan) in Houston, Texas. Congressman Barton introduced President Tsai at the M.D. Anderson Cancer Center and the Houston Museum of Fine Arts.  “Last fall, President Tsai graciously invited me to her home. I was grateful to return the favor in Texas. A continued, open dialogue between Taiwan and the United States will help advance both nations,” stated Barton. “I thank President Tsai for visiting Texas and look forward to our continued friendship.”  駐美國台北經濟文化代表處 Taipei Economic and Cultural Representative Office in the US蔡英文 Tsai Ing-wenMD Anderson Cancer Center #Taiwan","link","http://joebarton.house.gov/news/documentsingle.aspx?DocumentID=342","joebarton.house.gov",20,1,1,1,0,0,0,0
"RepJoeBarton","15617630596_10158043031390597","Congressman Joe Barton","2017-01-10","2017-01-10 13:45:05","What a great game last night, and an early wake up for many of us! Congrats to the Clemson Tigers!","link","http://www.star-telegram.com/sports/college/football/article125567829.html","star-telegram.com",10,1,0,0,0,0,0,0
"RepJoeBarton","15617630596_10158043380465597","Congressman Joe Barton","2017-01-10","2017-01-10 14:52:00","One hundred and sixteen years ago, the Spindletop oil field came to life in Jefferson County. The Texas oil industry was born!","photo","https://www.facebook.com/RepJoeBarton/photos/a.134172685596.226301.15617630596/10158043380465597/?type=3",NA,31,6,5,1,0,0,0,0
"RepJoeBarton","15617630596_10158044652920597","Congressman Joe Barton","2017-01-10","2017-01-10 20:35:27","Congrats Chairwoman Kay Granger! Kay will serve our military well at the helm of Defense Appropriations Subcommittee.","link","http://www.dallasnews.com/news/politics/2017/01/10/fort-worth-rep-kay-granger-will-lead-powerful-panel-defense-spending","dallasnews.com",40,0,1,0,0,0,0,0
"RepJoeBarton","15617630596_10158049492055597","Congressman Joe Barton","2017-01-11","2017-01-11 21:39:06","All signs looking positive for our repeal and replace measures. The House will take a big first step this week.","link","http://www.foxnews.com/politics/2017/01/11/gop-senate-to-move-forward-on-obamacare-repeal.html","foxnews.com",25,8,0,3,0,0,0,4
