"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepJohnLarson","6352928631_10154816194488632","John Larson","2017-01-04","2017-01-04 21:13:53","Coverage Matters. Before the Affordable Care Act, Americans were denied coverage based on pre-existing conditions.   Women were even denied for being women.  Please share your story in the comments about how #ACAWorks","status",NA,NA,47,8,7,4,0,0,0,0
"RepJohnLarson","6352928631_10154819048993632","John Larson","2017-01-05","2017-01-05 18:46:07","The Affordable Care Act has been life changing for many. Prior to the #ACA, people were denied coverage because of pre-existing conditions, including their age and gender.  Please share below about how the #ACA has worked for you. #ACAWorks","status",NA,NA,45,15,5,2,0,0,0,0
"RepJohnLarson","6352928631_10154821767488632","John Larson","2017-01-06","2017-01-06 17:16:42","Hope to see you tomorrow at ShopRite for Congress on Your Corner.   Looking forward to speaking with you on the work we have ahead of us in the new session of Congress.   https://www.facebook.com/events/361989057496059/","event","https://www.facebook.com/events/361989057496059/",NA,0,1,0,0,0,0,0,0
"RepJohnLarson","6352928631_10154822067413632","John Larson","2017-01-06","2017-01-06 18:41:00","There is no “good” reason for discrimination based on pre-existing conditions. But that doesn’t stop the House GOP from trying to gut #ACA.   Share your #ACA story here: https://larson.house.gov/share-your-story","link","https://larson.house.gov/share-your-story","larson.house.gov",27,6,3,0,0,0,0,0
"RepJohnLarson","6352928631_10154824722843632","John Larson","2017-01-07","2017-01-07 16:32:25","Thank you to everyone who came out to Congress on Your Corner! It was a pleasure speaking with you.","photo","https://www.facebook.com/RepJohnLarson/photos/a.10151868659808632.1073741829.6352928631/10154824719473632/?type=3",NA,52,7,5,0,0,0,0,0
"RepJohnLarson","6352928631_10154833217588632","John Larson","2017-01-10","2017-01-10 18:12:20","Health care isn’t a game — millions of lives are on the line. We must fight back against the GOP’s threats against #ACA. Tell us why you need the #ACA here: https://larson.house.gov/share-your-story","link","https://larson.house.gov/share-your-story","larson.house.gov",19,3,2,0,0,0,0,0
"RepJohnLarson","6352928631_10154836858513632","John Larson","2017-01-11","2017-01-11 23:35:44","Honored to be named the lead Democrat on the Ways and Means Social Security Subcommittee.   I will continue to fight for America’s insurance program by leading the charge to expand Social Security and make the system solvent for generations to come.  https://larson.house.gov/media-center/press-releases/larson-named-lead-democrat-social-security","link","https://larson.house.gov/media-center/press-releases/larson-named-lead-democrat-social-security","larson.house.gov",222,28,12,17,0,0,0,0
"RepJohnLarson","6352928631_10154841526218632","John Larson","2017-01-12","2017-01-12 23:25:38","We had a very constructive conversation today at the Build America Bureau Workshop, that I held in coordination with the US DOT . We discussed the I-84/I-91 tunnel plan and financing options. Thank you to everyone who attended and participated.   https://larson.house.gov/media-center/press-releases/larson-convenes-meeting-us-dot-commissioner-redeker-and-state","link","https://larson.house.gov/media-center/press-releases/larson-convenes-meeting-us-dot-commissioner-redeker-and-state","larson.house.gov",29,2,4,0,0,0,0,0
"RepJohnLarson","6352928631_10154858905288632","John Larson","2017-01-18","2017-01-18 21:03:12","52 million adults under the age of 65 have a pre-existing condition that would leave them ineligible for coverage in the individual market, if the ACA is repealed. http://kff.org/health-reform/issue-brief/pre-existing-conditions-and-medical-underwriting-in-the-individual-insurance-market-prior-to-the-aca/  Share your ACA story here: https://larson.house.gov/share-your-story","link","http://kff.org/health-reform/issue-brief/pre-existing-conditions-and-medical-underwriting-in-the-individual-insurance-market-prior-to-the-aca/","kff.org",49,14,31,0,0,2,15,14
"RepJohnLarson","6352928631_10154861915843632","John Larson","2017-01-19","2017-01-19 23:49:07","The announcement of today’s jobs grant for Hartford’s youth is just one of several investments made in the North End since the Promise Zone designation. This designation allows Hartford’s poorest neighborhood to have preferential access to federal aid and assistance.   I will soon be reintroducing the Promise Zone Creation Act, which will create tax credits to incentivize the hiring of Promise Zone residents and will encourage businesses to invest in these communities and further the support we’re offering them.   I will continue to fight for additional resources for the Promise Zone which includes the 06120, Hartford’s poorest zip code. And, I look forward to forming new partnerships with members of the community and hearing their thoughts on how we can build on this progress.   https://larson.house.gov/media-center/press-releases/larson-blumenthal-and-murphy-announce-federal-jobs-grant-promise-zones","link","https://larson.house.gov/media-center/press-releases/larson-blumenthal-and-murphy-announce-federal-jobs-grant-promise-zones","larson.house.gov",38,0,4,2,0,0,0,0
"RepJohnLarson","6352928631_10154863441458632","John Larson","2017-01-20","2017-01-20 15:22:13","Today I am honored to be with President Barack Obama, the First Lady, Former President Bill Clinton and Former Secretary of State Hillary Clinton. They epitomize the peaceful transition of power in our great democracy. President Obama and the First Lady have brought dignity upon this office each and every day over the past eight years. President Obama has seized this opportunity to ask his fellow Americans to rise above politics and move the country forward.   President-elect Trump will be sworn in as the 45th President today, and this is his day. He has our prayers and best wishes. It is my sincere hope that we can work together on issues that matter to my constituents in the First District, such as infrastructure and Social Security. Where we can work together, we will.    After the swearing in, the real work begins. We will stand up and fight for Social Security, Medicare, healthcare and people’s civil rights. Tomorrow, I will be joined by over 4,000 people from Connecticut to protest a number of the policies President-elect Trump has put forth in his campaign and rhetoric prior to taking the oath of office. It is my sincere hope that we can move the country forward.","status",NA,NA,117,13,1,6,0,0,6,1
"RepJohnLarson","6352928631_10154867182988632","John Larson","2017-01-21","2017-01-21 18:02:23","I am proud to be standing up for Women's Rights with over 4,000 people from Connecticut.","photo","https://www.facebook.com/RepJohnLarson/photos/a.10151868659808632.1073741829.6352928631/10154867172593632/?type=3",NA,310,10,6,33,0,2,0,0
"RepJohnLarson","6352928631_10154867720388632","John Larson","2017-01-21","2017-01-21 21:08:34","Here are some of the pictures I took yesterday.","photo","https://www.facebook.com/RepJohnLarson/photos/a.10151868659808632.1073741829.6352928631/10154867715298632/?type=3",NA,150,11,4,8,0,2,1,0
"RepJohnLarson","6352928631_10154879158068632","John Larson","2017-01-24","2017-01-24 15:01:06","We can make Social Security solvent for generations to come without making harmful benefit cuts on the backs of seniors.  The Social Security 2100 Act will make it solvent, increase benefits, and cut taxes for seniors. I am looking forwarding to reintroducing it in the upcoming weeks.  http://www.cnbc.com/2017/01/24/social-security-can-survive-without-benefit-cuts.html","link","http://www.cnbc.com/2017/01/24/social-security-can-survive-without-benefit-cuts.html","cnbc.com",75,6,19,9,0,0,0,0
"RepJohnLarson","6352928631_10154881423028632","John Larson","2017-01-25","2017-01-25 01:52:39","Appalling that the House Republicans pass this bill, just days after the Women’s March. Instead of working on bills to improve access to healthcare and reduce costs, they’ve chosen to pass for the 3rd time a bill that restricts access to healthcare.   https://larson.house.gov/media-center/press-releases/larson-condemns-attack-womens-health-benefits","link","https://larson.house.gov/media-center/press-releases/larson-condemns-attack-womens-health-benefits","larson.house.gov",109,33,31,1,0,1,2,72
"RepJohnLarson","6352928631_10154883127828632","John Larson","2017-01-25","2017-01-25 14:07:36","Hope to see everyone tonight!","event","https://www.facebook.com/events/1775743512743622/",NA,10,2,0,1,0,0,0,0
"RepJohnLarson","6352928631_10154884685193632","John Larson","2017-01-26","2017-01-26 01:00:19","Thank you to everyone who came out to the forum to learn more about I-84 and I-91 Tunnel Proposal. I appreciate your input.","photo","https://www.facebook.com/RepJohnLarson/photos/a.412500218631.190518.6352928631/10154884682638632/?type=3",NA,31,2,1,0,0,0,0,0
"RepJohnLarson","6352928631_10154889164303632","John Larson","2017-01-27","2017-01-27 16:41:44","Hope to see you tomorrow!","event","https://www.facebook.com/events/580570175480518/",NA,5,0,0,0,0,0,0,0
"RepJohnLarson","6352928631_10154890010723632","John Larson","2017-01-27","2017-01-27 22:26:39","Today, I had the privilege of presenting Rocky Hill Korean War Veteran, Gilbert McCusker, with the Korean Medal of Gratitude alongside his family and friends.   Thank you for your service.","photo","https://www.facebook.com/RepJohnLarson/photos/a.10151868659808632.1073741829.6352928631/10154890009493632/?type=3",NA,32,1,0,0,0,0,0,0
"RepJohnLarson","6352928631_10154892084948632","John Larson","2017-01-28","2017-01-28 17:54:28","Enjoyed hearing your thoughts on the I-84 and I-91 Tunnel Proposal today in East Hartford.","photo","https://www.facebook.com/RepJohnLarson/photos/a.412500218631.190518.6352928631/10154892084948632/?type=3",NA,18,3,1,1,0,0,0,0
"RepJohnLarson","6352928631_10154892483518632","John Larson","2017-01-28","2017-01-28 20:55:56","Please read my statement on the recent Executive Orders   https://larson.house.gov/media-center/press-releases/larson-statement-presidents-immigration-and-refugee-executive-orders","link","https://larson.house.gov/media-center/press-releases/larson-statement-presidents-immigration-and-refugee-executive-orders","larson.house.gov",168,38,25,19,0,0,0,0
"RepJohnLarson","6352928631_10154901584898632","John Larson","2017-01-31","2017-01-31 19:41:24","The Executive Orders signed Friday are un-American. I am an original co-sponsor of the SOLVE Act, to overturn this cruel and unnecessary ban.   https://larson.house.gov/media-center/press-releases/connecticut-house-delegation-cosponsors-legislation-repeal-executive","link","https://larson.house.gov/media-center/press-releases/connecticut-house-delegation-cosponsors-legislation-repeal-executive","larson.house.gov",252,28,44,30,2,2,0,1
"RepJohnLarson","6352928631_10154910170593632","John Larson","2017-02-03","2017-02-03 20:33:50","I will be holding a forum with religious leaders in the community to discuss President Trump’s Executive Order this Saturday from 5 to 7 PM at the Mark Twain House. Please come by and join us in this important discussion.","link","https://larson.house.gov/about/events/community-discussion-religious-leaders","larson.house.gov",81,8,17,4,0,0,0,0
"RepJohnLarson","6352928631_10154910571693632","John Larson","2017-02-03","2017-02-03 23:42:38","Keeping the eagle flying with the most capable engineers and machinists, from East Hartford to the rest of the world.","link","https://larson.house.gov/media-center/press-releases/larson-rooney-statement-lockheed-s-f-35-announcement","larson.house.gov",27,2,0,0,0,0,0,0
"RepJohnLarson","6352928631_10154919059153632","John Larson","2017-02-06","2017-02-06 23:55:44","The country is only as strong as our communities. That is why, especially in the most difficult of times,  it is important that we all come together and keep faith in one another. Saturday's forum gave me a lot hope for the future. I thank our religious leaders for their tremendous contribution and everyone who came out.","photo","https://www.facebook.com/RepJohnLarson/photos/a.412500218631.190518.6352928631/10154919052953632/?type=3",NA,37,0,1,0,0,0,0,0
"RepJohnLarson","6352928631_10154920639748632","John Larson","2017-02-07","2017-02-07 16:47:17","Proud to serve as ranking Democrat on the Social Security Subcommittee - Social Security is the nation's insurance program. Simply put, it is the most essential program that citizens have paid into in an insurance contract that is backed by the full faith and credit of the United States Government.","photo","https://www.facebook.com/RepJohnLarson/photos/a.412500218631.190518.6352928631/10154920639748632/?type=3",NA,68,6,8,3,1,0,0,0
"RepJohnLarson","6352928631_10154926041723632","John Larson","2017-02-09","2017-02-09 14:24:46","Tune in now to FB Live where I am discussing how to improve the lives of seniors in The United States!","video","https://www.facebook.com/SeniorsTaskForce/videos/1342271995796134/",NA,25,5,0,0,0,0,0,0
"RepJohnLarson","6352928631_10154939932668632","John Larson","2017-02-14","2017-02-14 16:46:31",NA,"video","https://www.facebook.com/NationalCommittee/videos/10154965443141704/",NA,18,0,0,1,0,1,0,0
"RepJohnLarson","6352928631_10154940028358632","John Larson","2017-02-14","2017-02-14 17:20:53","I am committed to enhancing Social Security for generations to come.","photo","https://www.facebook.com/RepJohnLarson/photos/a.412500218631.190518.6352928631/10154940028358632/?type=3",NA,81,1,5,5,0,0,0,0
"RepJohnLarson","6352928631_10154940847798632","John Larson","2017-02-14","2017-02-14 23:08:42","Around 6:30 pm, tune in here, I’ll be speaking at the Voices for National Service reception about ACTION","photo","https://www.facebook.com/RepJohnLarson/photos/a.412500218631.190518.6352928631/10154940847798632/?type=3",NA,16,1,1,0,1,1,0,0
"RepJohnLarson","6352928631_10154940906313632","John Larson","2017-02-14","2017-02-14 23:39:12","Here at Union Station at the Friends of National Service Awards ceremony accepting my Outstanding Service Advocacy Award. Rep. John Lewis and my bill, ACTION for national service will boost the Americorps programs, get a million volunteers serving at one time, make going to college affordable for those who serve in a volunteer capacity and have that education award be the tax free.  (I speak at minute 12:50)","video","https://www.facebook.com/RepJohnLarson/videos/10154940906313632/",NA,34,5,2,3,0,0,0,0
"RepJohnLarson","6352928631_10154943449763632","John Larson","2017-02-15","2017-02-15 20:23:02","The Russian spy ship discovered patrolling 30 miles from the Groton, CT US Navy Sub Base is just the latest in a series of provocative actions from President Putin.    We’ve seen this before, Russia is testing the Trump Administration just as it does with every new administration.  It was naïve when President Bush complimented Putin and famously said “I looked the man in the eye. I found him very straight-forward and trustworthy – I was able to get a sense of his soul.""   It is time for the current administration to learn from the past and recognize that Russia is a threat to global security.   This is a stark reminder of why we need a full account of Russia’s influence in the White House and meddling in our elections.","link","http://abc7ny.com/news/russian-spy-ship-30-miles-from-connecticut-navy-sub-base/1756138/","abc7ny.com",224,124,775,5,7,43,2,71
