"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepJoseSerrano","273446508512_10154198728548513","Congressman José E. Serrano","2017-01-02","2017-01-02 14:21:45","Wishing everyone a 2017 full of peace, good health and happiness. -------Deseandole a todos un 2017 lleno de paz, buena salud y felicidad.","photo","https://www.facebook.com/RepJoseSerrano/photos/a.300710048512.143284.273446508512/10154198728548513/?type=3",NA,80,11,3,3,0,0,0,0
"RepJoseSerrano","273446508512_10154202346738513","Congressman José E. Serrano","2017-01-03","2017-01-03 17:48:51","Today I will be sworn in to my 27th year in congress & 43rd year as an elected official. Thanks to the people of the Bronx for this honor.","photo","https://www.facebook.com/RepJoseSerrano/photos/a.300710048512.143284.273446508512/10154202346738513/?type=3",NA,309,42,17,25,0,0,0,2
"RepJoseSerrano","273446508512_10154204697318513","Congressman José E. Serrano","2017-01-04","2017-01-04 15:08:41","Getting ready to join our #Senate colleagues as @POTUS Obama discusses our strategy to stop republicans  from destroying the #ACA","photo","https://www.facebook.com/RepJoseSerrano/photos/a.300710048512.143284.273446508512/10154204697318513/?type=3",NA,108,9,8,3,0,0,0,1
"RepJoseSerrano","273446508512_10154205138708513","Congressman José E. Serrano","2017-01-04","2017-01-04 19:01:39","Video of my speech during Adriano Espaillat swearing-in yesterday. Congressman Espaillat is the first Dominican to be elected to the U.S. Congress.  ------------------------------------------------------------------------------------------ Video de mi mensaje en la juramentación de Adriano Espaillat. El Congresista Espaillat es el primer dominicano en ser electo al Congreso de los Estados Unidos.","video","https://www.facebook.com/RepJoseSerrano/videos/10154205138708513/",NA,31,1,11,0,0,0,0,0
"RepJoseSerrano","273446508512_10154205954493513","Congressman José E. Serrano","2017-01-05","2017-01-05 17:41:04","A bittersweet moment for @HouseDemocrats. Always exciting to hear our @POTUS but  faced  with the realization that it's the last time.--------Un momento agridulce esta mañana para nosotros los demócratas.  @Barack Obama se dirigió a nosotros por última vez como nuestro Presidente. Gracias Señor Presidente por su labor, su visión y su amor a nuestra nación.","photo","https://www.facebook.com/RepJoseSerrano/photos/a.300710048512.143284.273446508512/10154205954493513/?type=3",NA,40,3,2,1,0,0,0,0
"RepJoseSerrano","273446508512_10154210148233513","Congressman José E. Serrano","2017-01-06","2017-01-06 21:38:52","Feliz Día de Los 3 Reyes.  Paz!!!","photo","https://www.facebook.com/RepJoseSerrano/photos/a.300710048512.143284.273446508512/10154210148233513/?type=3",NA,41,5,0,2,0,0,0,0
"RepJoseSerrano","273446508512_10154219467003513","Congressman José E. Serrano","2017-01-10","2017-01-10 20:50:10",NA,"photo","https://www.facebook.com/RepJoseSerrano/photos/a.300710048512.143284.273446508512/10154219467003513/?type=3",NA,69,9,20,4,0,0,0,0
"RepJoseSerrano","273446508512_10154221466573513","Congressman José E. Serrano","2017-01-11","2017-01-11 18:36:30","‪The Serrano Report for this week with information about our work in congress & the Bronx is available online at: http://go.usa.gov/x95mu‬ ‪ ‬","photo","https://www.facebook.com/RepJoseSerrano/photos/a.300710048512.143284.273446508512/10154221466573513/?type=3",NA,26,3,3,0,0,0,0,0
"RepJoseSerrano","273446508512_10154222423703513","Congressman José E. Serrano","2017-01-11","2017-01-11 22:31:23","‪W/colleagues from the @CHCI for the inauguration of our Caucus officers. Dedicated to work on issues that affect all communities in U.S.A. ‬","photo","https://www.facebook.com/RepJoseSerrano/photos/a.300710048512.143284.273446508512/10154222423703513/?type=3",NA,26,6,3,0,0,0,0,0
"RepJoseSerrano","273446508512_10154226290313513","Congressman José E. Serrano","2017-01-12","2017-01-12 21:09:37","I will not attend the #inauguration2017 next week- cannot celebrate the inauguration of a man who has no regard for my constituents. #Bronx","photo","https://www.facebook.com/RepJoseSerrano/photos/a.300710048512.143284.273446508512/10154226290313513/?type=3",NA,440,155,168,72,0,1,3,4
