"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepJoyceBeatty","656884781042633_1347384418659329","Joyce Beatty","2017-01-01","2017-01-01 22:26:17","Happy New Year! Wishing you a happy and healthy 2017. I’m looking forward to continuing to work with you to strengthen our community, the State of Ohio and this great nation.","status",NA,NA,142,14,1,8,0,0,0,0
"RepJoyceBeatty","656884781042633_1348873918510379","Joyce Beatty","2017-01-03","2017-01-03 18:04:19",NA,"photo","https://www.facebook.com/RepJoyceBeatty/photos/a.1348873895177048.1073741884.656884781042633/1348873918510379/?type=3",NA,366,15,23,70,0,1,0,0
"RepJoyceBeatty","656884781042633_1349021615162276","Joyce Beatty","2017-01-03","2017-01-03 21:42:57","It is an honor to be officially sworn in to the #115thCongress.   Now is the time for us to roll up our sleeves and get to work for the people of Ohio and all Americans. #PeoplesHouse","photo","https://www.facebook.com/RepJoyceBeatty/photos/a.695591710505273.1073741833.656884781042633/1349021615162276/?type=3",NA,630,35,55,78,0,0,0,0
"RepJoyceBeatty","656884781042633_1349796898418081","Joyce Beatty","2017-01-04","2017-01-04 19:42:42","We are the 65 smart, vibrant, strong House Democratic Congresswomen, and we are ready for the 115th Congress! #PeoplesHouse","photo","https://www.facebook.com/RepJoyceBeatty/photos/a.695591710505273.1073741833.656884781042633/1349796898418081/?type=3",NA,298,17,32,72,0,0,0,0
"RepJoyceBeatty","656884781042633_1350580181673086","Joyce Beatty","2017-01-05","2017-01-05 18:39:47","Are you surprised? #SurveySaysNo","link","http://www.politico.com/story/2017/01/donald-trump-conflict-of-interest-233161","politico.com",26,13,9,0,0,1,7,19
"RepJoyceBeatty","656884781042633_1351493044915133","Joyce Beatty","2017-01-06","2017-01-06 18:37:41","The American people know that repealing the Affordable Care Act will #MakeAmericaSickAgain. House Republicans should listen to them.","link","http://n.pr/2jjtRFT","n.pr",98,9,40,4,0,0,1,9
"RepJoyceBeatty","656884781042633_1351521078245663","Joyce Beatty","2017-01-06","2017-01-06 20:30:00","We must protect the sanctity of our electoral process! That is why I have cosponsored the Protecting Our Democracy Act. #RussianHacking","link","http://beatty.house.gov/media-center/announcements/beatty-joins-more-than-170-members-of-house-of-representatives-in-effort","beatty.house.gov",125,18,16,10,0,0,0,1
"RepJoyceBeatty","656884781042633_1354021457995625","Joyce Beatty","2017-01-09","2017-01-09 20:16:48","Congratulations on 100 years of selling cookies Girl Scouts! Here's to 100 more years of amazing experiences for girls.","link","http://bit.ly/2cwJIM7","bit.ly",36,1,4,2,0,0,0,0
"RepJoyceBeatty","656884781042633_1354696171261487","Joyce Beatty","2017-01-10","2017-01-10 17:08:29","The Congressional Black Caucus women are watching and listening. #AttorneyGeneral #Confirmation","photo","https://www.facebook.com/RepJoyceBeatty/photos/a.695591710505273.1073741833.656884781042633/1354696171261487/?type=3",NA,116,13,7,18,1,0,0,0
"RepJoyceBeatty","656884781042633_1354775207920250","Joyce Beatty","2017-01-10","2017-01-10 19:12:17","Last night, I went to the House Floor to speak out on President-elect Donald Trump's ""Cabinet of Cronies.""","video","https://www.facebook.com/RepJoyceBeatty/videos/1354775207920250/",NA,412,57,320,91,0,2,0,0
"RepJoyceBeatty","656884781042633_1354845681246536","Joyce Beatty","2017-01-10","2017-01-10 21:27:38","Betsy DeVos, President-elect Donald Trump's nominee for Secretary of Education, owes $5.3 million in fines to the State of Ohio for breaking state campaign finance laws eight years ago. Yet, she still hasn't paid the first penny.  If you ask me, it's loooooong past time she repay the fines owed for her reckless and illegal actions!","video","https://www.facebook.com/RepJoyceBeatty/videos/1354845681246536/",NA,1150,119,1451,105,6,136,4,58
"RepJoyceBeatty","656884781042633_1355519161179188","Joyce Beatty","2017-01-11","2017-01-11 17:06:36","On National Human Trafficking Awareness Day, and every day, I pledge to continue working tirelessly to end the scourge of human trafficking and ensure that the federal government leads the way in the ongoing battle against these inhumane and criminal acts.","link","http://bit.ly/2jvJXbB","bit.ly",80,1,12,10,0,0,0,0
"RepJoyceBeatty","656884781042633_1356734131057691","Joyce Beatty","2017-01-12","2017-01-12 18:35:33","More than 50 million Americans rely on #Medicare for their healthcare.  Everyday I serve in Congress, I am fighting to protect Medicare for them: my constituents, seniors all across the nation, and future generations of Americans.","video","https://www.facebook.com/RepJoyceBeatty/videos/1356734131057691/",NA,178,21,45,22,0,0,0,0
"RepJoyceBeatty","656884781042633_1357783327619438","Joyce Beatty","2017-01-13","2017-01-13 21:15:24","Today, I voted against the Republicans’ reckless ‘repeal and run’ plan to strip healthcare coverage from the more than 20 million newly-insured Americans, including 664,000 Ohioans.","link","http://beatty.house.gov/media-center/press-releases/beatty-statement-on-republican-maneuver-to-repeal-the-affordable-care","beatty.house.gov",313,45,37,42,0,1,1,2
