"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepJuanVargas","176942192453747_769766023171358","Congressman Juan Vargas","2017-01-01","2017-01-01 20:41:00","Happy New Year, CA-51! Thank you for your continued support this past year. Wishing you all a wonderful 2017! #HappyNewYear","photo","https://www.facebook.com/RepJuanVargas/photos/a.192908534190446.1073741829.176942192453747/769766023171358/?type=3",NA,55,4,0,1,0,0,0,0
"RepJuanVargas","176942192453747_775793712568589","Congressman Juan Vargas","2017-01-03","2017-01-03 16:26:25","This shouldn't be the House Republicans' first priority in the #PeoplesHouse. The GOP Rules Package erases accountability by destroying the only independent ethics oversight of their actions; it lays the groundwork for health care repeal and explodes the deficit; and it silences the voices of the American people. We must hold them accountable.","link","http://www.npr.org/2017/01/02/507955013/house-gop-votes-to-strip-independence-from-congressional-ethics-office","npr.org",42,7,8,0,0,4,0,14
"RepJuanVargas","176942192453747_775902815891012","Congressman Juan Vargas","2017-01-03","2017-01-03 23:00:00","Honored to have been sworn-in today to continue serving CA-51 in the 115th Congress. I'm ready to keep fighting for the needs of our district in the People's House.  Watch the Swearing-In Ceremony:","link","https://www.c-span.org/video/?c4640853%2Fswearing-in-115th-congress","c-span.org",165,17,4,4,0,1,0,0
"RepJuanVargas","176942192453747_776363589178268","Congressman Juan Vargas","2017-01-04","2017-01-04 21:44:00","Chicano Park is a center of cultural history in San Diego and we should continue to advocate for it. That's why I reintroduced the Chicano Park Preservation Act on the first day of the 115th Congress. #ChicanoPark","link","http://vargas.house.gov/media-center/press-releases/rep-vargas-continues-efforts-to-designate-chicano-park-as-a-national","vargas.house.gov",124,8,11,9,0,1,0,1
"RepJuanVargas","176942192453747_776826082465352","Congressman Juan Vargas","2017-01-05","2017-01-05 17:53:06","This morning, I read the U.S. Constitution on the House Floor along with my colleagues in Congress. I swore to uphold and defend our Constitution, and will always stand by that duty.","link","https://www.c-span.org/video/?420996-1%2Fus-house-members-read-us-constitution&vod","c-span.org",124,18,13,5,0,0,0,0
"RepJuanVargas","176942192453747_777358815745412","Congressman Juan Vargas","2017-01-06","2017-01-06 21:00:00","With 38 Latino members serving in Congress, Latinos have made history! I welcome the new members and look forward to working hard for our communities with the Congressional Hispanic Caucus.","photo","https://www.facebook.com/RepJuanVargas/photos/a.192908534190446.1073741829.176942192453747/777358815745412/?type=3",NA,158,11,19,12,0,1,0,0
"RepJuanVargas","176942192453747_778929225588371","Congressman Juan Vargas","2017-01-09","2017-01-09 17:41:09","I condemn yesterday's terror attack on Israelis in Jerusalem. My prayers are with the victims, with those who were wounded, and with everyone affected by this horrific act. The U.S. must remain committed to strengthening Israel's security.","status",NA,NA,63,7,5,4,0,0,7,0
"RepJuanVargas","176942192453747_779984365482857","Congressman Juan Vargas","2017-01-11","2017-01-11 19:30:29","Great news for our community, today the U.S. Department of the Interior has named Chicano Park a National Historic Landmark! I am extremely proud of today’s announcement recognizing the historical significance of Chicano Park.","link","https://www.doi.gov/pressreleases/interior-department-announces-24-new-national-historic-landmarks","doi.gov",148,7,41,22,0,2,0,0
"RepJuanVargas","176942192453747_780049125476381","Congressman Juan Vargas","2017-01-11","2017-01-11 22:00:00","The designation of Chicano Park as a National Historic Landmark is incredible news for the community of Barrio Logan in San Diego, the future of the park, and the many activists who throughout the years have advocated for a space where families can gather and where people can celebrate their shared cultural heritage. Read my full statement:","link","http://vargas.house.gov/media-center/press-releases/rep-vargas-statement-on-chicano-park-designation-as-a-national-historic","vargas.house.gov",145,14,30,22,0,0,0,0
"RepJuanVargas","176942192453747_782071788607448","Congressman Juan Vargas","2017-01-15","2017-01-15 17:56:54","This morning, I was a guest on Good Morning San Diego. Before my segment, the Helen Woodward Animal Center talked about the importance of adopting a pet and giving lovely animals, like this puppy, a new home! #adoptapet","photo","https://www.facebook.com/RepJuanVargas/photos/a.192908534190446.1073741829.176942192453747/782071788607448/?type=3",NA,133,15,5,9,1,0,0,0
"RepJuanVargas","176942192453747_782590265222267","Congressman Juan Vargas","2017-01-16","2017-01-16 18:45:42","Today, we remember the remarkable life and legacy of Dr. Martin Luther King, Jr.. Let's continue to honor him by working to achieve true justice and equality for all. #MLKDay","photo","https://www.facebook.com/RepJuanVargas/photos/a.192908534190446.1073741829.176942192453747/782590265222267/?type=3",NA,49,15,2,4,0,0,0,0
