"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepJudyChu","41228315130_10158528378585131","Judy Chu","2017-01-02","2017-01-02 17:38:39","I wish everyone a happy new year from the 2017 #RoseParade! I'm so proud to represent Pasadena, the home of the Tournament of Roses - Rose Parade. Congratulations to all the organizers and creative minds behind this year's floats!","photo","https://www.facebook.com/RepJudyChu/photos/a.10150183086090131.429080.41228315130/10158528368410131/?type=3",NA,303,10,8,13,0,0,0,0
"RepJudyChu","41228315130_10158533597070131","Judy Chu","2017-01-03","2017-01-03 17:34:57","Earlier today, I called the House GOP’s decision to gut the independent Office of Congressional Ethics indefensible. With so many others speaking out, it seems the Republicans reached the same conclusion. Our voices can make the difference!","link","http://www.politico.com/story/2017/01/gop-congress-ethics-office-233123","politico.com",435,46,52,28,0,4,0,1
"RepJudyChu","41228315130_10158535225770131","Judy Chu","2017-01-03","2017-01-03 23:48:04","The Republican plan to repeal and delay a replacement of the Affordable Care Act will cause tens of millions of people to lose their health coverage and millions more will be paying more for their insurance. Share how you and your family have benefited from the #ACA in the comments below, so we can remind Republicans what is at stake. #ACAWorks #CoverageMatters","photo","https://www.facebook.com/RepJudyChu/photos/a.225385020130.282208.41228315130/10158535225770131/?type=3",NA,13,9,3,0,0,1,0,1
"RepJudyChu","41228315130_10158538604030131","Judy Chu","2017-01-04","2017-01-04 17:37:01","Relieved that DOD is doing the right thing for 15,000+ veterans and stopping bonus clawback.","link","http://www.latimes.com/nation/la-na-bonus-repayments-20170103-story.html?utm_source=Politics&utm_campaign=98383a38b1-EMAIL_CAMPAIGN_2016_12_12&utm_medium=email&utm_term=0_db59b9bd47-98383a38b1-78715497","latimes.com",39,1,1,0,0,0,0,0
"RepJudyChu","41228315130_10158538905180131","Judy Chu","2017-01-04","2017-01-04 18:14:53","Thanks to the Affordable Care Act, more than 16 million Californians with pre-existing conditions have been able to see a doctor and get the treatment they need. That includes people like Kalwis Lo, whose story I shared on the House floor today. We have to protect the law that is saving more American lives than ever. Republicans want to repeal the ACA without offering a replacement. We cannot let them #MakeAmericaSickAgain","video","https://www.facebook.com/RepJudyChu/videos/10158538905180131/",NA,180,16,60,22,0,2,0,0
"RepJudyChu","41228315130_10158540596515131","Judy Chu","2017-01-05","2017-01-05 00:43:18","If Republicans want to take away our right to an abortion, make being a woman a preexisting condition again, or prevent equal pay for equal work, then they’re going to have to go through us, the Democratic Women of the 115th Congress!","photo","https://www.facebook.com/RepJudyChu/photos/a.225385020130.282208.41228315130/10158540596515131/?type=3",NA,858,31,76,153,0,5,2,0
"RepJudyChu","41228315130_10158545286655131","Judy Chu","2017-01-05","2017-01-05 22:29:15","Before the ACA, domestic violence could be considered a preexisting condition. But not anymore! That's why today, I joined with fellow Democrats, Cecile Richards from Planned Parenthood Action, and Ilyse Hogue from NARAL Pro-Choice America to stand up for access to health insurance. We want the women of America worried about losing their insurance or access to birth control to know that we are here to #ProtectOurCare!","photo","https://www.facebook.com/RepJudyChu/photos/a.225385020130.282208.41228315130/10158545286655131/?type=3",NA,98,5,12,13,0,2,0,1
"RepJudyChu","41228315130_10158550136090131","Judy Chu","2017-01-06","2017-01-06 21:21:16","The intel is clear: Russia worked subtly and overtly to undermine one candidate’s chances. This is not a Democratic or Republican issue, it’s about the integrity of our elections. That is why, this week, I joined with over 170 other Members of Congress to introduce the ""Protecting Our Democracy Act"" which would create an independent commission to investigate foreign interference in our elections. I will continue to work with the intelligence community and members from both sides of the aisle to make sure that nobody – whether it’s Russia, China, or others – has the ability to interfere in our democratic process.","link","http://www.pbs.org/newshour/rundown/russian-president-vladimir-putin-ordered-campaign-influence-u-s-election-report-finds/","pbs.org",199,37,49,5,0,3,2,47
"RepJudyChu","41228315130_10158559829145131","Judy Chu","2017-01-08","2017-01-08 22:07:48","A highlight of this weekend was the Chinese American Citizens Alliance of Los Angeles Officer Installation event. Congrats to all the new Board Members!","photo","https://www.facebook.com/RepJudyChu/photos/a.10150183086090131.429080.41228315130/10158559828900131/?type=3",NA,67,1,3,2,0,0,0,0
"RepJudyChu","41228315130_10158564473205131","Judy Chu","2017-01-09","2017-01-09 21:36:00","Last week, I was one of many Democrats who took to the floor to speak about the dangers of repealing the Affordable Care Act without a replacement.","video","https://www.youtube.com/watch?v=wnalpFYk2nM&feature=youtu.be",NA,44,14,0,2,0,0,0,0
