"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepKarenBass","190867440939405_1686119621414172","Congressmember Karen Bass","2017-01-03","2017-01-03 14:03:18","Join me live for the official swearing in of the Congressional Black Caucus in the 115th Congress at 9 AM EST! #CBC115  cbcfinc.org/live","link","http://cbcfinc.org/live","cbcfinc.org",34,3,2,0,0,0,0,0
"RepKarenBass","190867440939405_1686229881403146","Congressmember Karen Bass","2017-01-03","2017-01-03 15:01:37","House Republicans have started the new year off by destroying the only independent ethics oversight of Congress. As Members of Congress, we must hold ourselves to the highest standards of conduct and this move is doing the exact opposite of that.     http://www.nytimes.com/2017/01/02/us/politics/with-no-warning-house-republicans-vote-to-hobble-independent-ethics-office.html?_r=0","link","http://www.nytimes.com/2017/01/02/us/politics/with-no-warning-house-republicans-vote-to-hobble-independent-ethics-office.html?_r=0","nytimes.com",28,10,22,0,1,5,1,27
"RepKarenBass","190867440939405_1686548074704660","Congressmember Karen Bass","2017-01-03","2017-01-03 17:31:45","U.S. House: Opening session of the #115thCongress","video","https://www.facebook.com/CSPAN/videos/10155149556110579/",NA,32,6,0,1,1,0,1,4
"RepKarenBass","190867440939405_1686611788031622","Congressmember Karen Bass","2017-01-03","2017-01-03 17:57:15","I am happy to see House Republicans reverse their controversial move to weaken to the Office of Congressional Ethics. Republican’s attempt destroy this independent office is very telling of what’s to come and reveals their intentions to further their special interest agenda, and limit transparency.   http://www.politico.com/story/2017/01/gop-congress-ethics-office-233123","link","http://www.politico.com/story/2017/01/gop-congress-ethics-office-233123","politico.com",230,19,35,6,0,5,1,3
"RepKarenBass","190867440939405_1687174257975375","Congressmember Karen Bass","2017-01-04","2017-01-04 03:11:01","As this Congress moves forward, I plan to work diligently with my democratic colleagues to ensure that we shape and implement an agenda that works for all citizens of this country instead of a select few.  https://bass.house.gov/media-center/press-releases/rep-bass-sworn-fourth-term","link","https://bass.house.gov/media-center/press-releases/rep-bass-sworn-fourth-term","bass.house.gov",144,10,4,13,0,0,0,0
"RepKarenBass","190867440939405_1688753254484142","Congressmember Karen Bass","2017-01-04","2017-01-04 14:38:56","Despite their pledge to “repeal and replace” the ACA, Republicans in Congress are offering no health care plan to the American people and instead actually dismantling Medicare and Medicaid and the ACA.   Democratic Leader Chuck Schumer and House Democratic Leader Nancy Pelosi will hold a press conference this morning at 10:30 AM EST. Watch live here: http://bit.ly/2hQhkVf","video","http://bit.ly/2hQhkVf",NA,22,8,9,0,0,1,1,10
"RepKarenBass","190867440939405_1688892847803516","Congressmember Karen Bass","2017-01-04","2017-01-04 19:16:00","Today, I met with President Obama, House Democratic Leader Nancy Pelosi, and my House Democratic colleagues to discuss Republican efforts to destroy Obamacare. As we face down a new Congress and new Administration, House Democrats are making a solemn pledge to the American people that when Republicans attempt to eliminate healthcare for millions, Democrats will stand our ground and fight for the American people with every ounce of our strength.","photo","https://www.facebook.com/RepKarenBass/photos/a.192730957419720.55596.190867440939405/1688892847803516/?type=3",NA,118,16,9,12,0,0,0,0
"RepKarenBass","190867440939405_1689422997750501","Congressmember Karen Bass","2017-01-04","2017-01-04 21:24:18","Good transit systems work well when they are inclusive. This $1.5 billion federal investment into communities across L.A. County serves as a great example of our city's commitment to creating a system that will increase the interconnectedness of our citizens.  The Purple Line extension will ease traffic from downtown to the west side and will help improve transit access to educational centers, jobs, and other opportunities in West Los Angeles, all while making our city more attractive in our bid to host the 2024 Olympic games. I thank Mayor Garcetti, and Secretary Foxx for getting this project closer to the finish line, and look forward to the third phase of the plan that will bring the Purple Line to the Veteran's Administration Hospital.","photo","https://www.facebook.com/RepKarenBass/photos/a.192730957419720.55596.190867440939405/1689422997750501/?type=3",NA,29,0,4,1,0,0,0,0
"RepKarenBass","190867440939405_1691375680888566","Congressmember Karen Bass","2017-01-05","2017-01-05 14:51:45","Obamacare isn’t just a healthcare plan, it’s also a jobs plan. If Republicans destroy the ACA, they are not only abandoning millions of Americans with new health benefits, they are also abandoning those jobs. Thank you to those you who flooded my offices with calls yesterday to share your stories. Know that I hear you and will stand to protect Medicare and Obamacare. Watch my interview from last night on MSNBC below.","video","https://www.facebook.com/RepKarenBass/videos/1691375680888566/",NA,133,7,36,14,0,1,0,1
"RepKarenBass","190867440939405_1691943727498428","Congressmember Karen Bass","2017-01-06","2017-01-06 01:23:00","It's not just the racist past of Sen. Sessions that makes him unfit to be Attorney General, it's his stance on current issues like immigration and police misconduct. It's about whether or not he would appropriately prosecute civil rights violations. See more of my interview from this afternoon below.","video","https://www.facebook.com/RepKarenBass/videos/1691943727498428/",NA,52,10,6,4,0,0,0,0
