"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepKathleenRice","383876861779688_682988781868493","Rep. Kathleen Rice","2017-01-03","2017-01-03 20:58:07","Honored to be sworn in today to represent #NY04 in the 115th Congress, and excited to announce that we've moved to a new, more accessible District Office on Long Island. Stop in and see us at 229 7th Street, Suite #300, Garden City, NY 11530!","status",NA,NA,117,16,1,5,0,0,0,0
"RepKathleenRice","383876861779688_683451151822256","Rep. Kathleen Rice","2017-01-04","2017-01-04 18:49:15","Thanks to all those who spoke out yesterday against the ridiculous House Republican plan to gut the Office of Congressional Ethics. Never been more important for all of us to work together and ensure that public officials remain fully accountable to the people they serve.","status",NA,NA,58,5,0,2,0,0,0,0
"RepKathleenRice","383876861779688_684953288338709","Rep. Kathleen Rice","2017-01-07","2017-01-07 16:59:54","Det. Steven McDonald is an extraordinary human being and an inspiration to all who know him. Please keep him, Malverne Mayor Patti McDonald and their family in your prayers this weekend.","link","http://www.newsday.com/long-island/nassau/paralyzed-nypd-detective-from-long-island-suffers-heart-attack-1.12878470","newsday.com",40,0,1,5,0,0,5,0
"RepKathleenRice","383876861779688_685559621611409","Rep. Kathleen Rice","2017-01-08","2017-01-08 22:34:53","Praying for all those in Jerusalem after the despicable attack today that left four young Israeli soldiers dead and several wounded. This was an act of terrorism and cowardice, not heroism and courage. The U.S. will continue to stand with Israel as they work to protect the Israeli people and pursue lasting peace.","link","http://www.nytimes.com/2017/01/08/world/middleeast/jerusalem-truck-attack.html","nytimes.com",21,0,1,0,0,0,3,0
"RepKathleenRice","383876861779688_686482294852475","Rep. Kathleen Rice","2017-01-10","2017-01-10 20:10:02","New York lost an extraordinary human being today. Blessed to have known him. Praying for Mayor McDonald, their son Conor, all their loved ones and all of Det. McDonald's brothers and sisters in the NYPD. Rest in peace.","link","http://www.newsday.com/long-island/steven-mcdonald-paralyzed-nypd-officer-dies-police-officials-say-1.12917873","newsday.com",26,5,4,2,0,0,25,0
"RepKathleenRice","383876861779688_690647027769335","Rep. Kathleen Rice","2017-01-17","2017-01-17 18:35:04","Merrick #NY04 native Noah Rubin takes on Roger Federer tonight in the second round of the Australian Open! Congratulations and good luck!!!","link","http://www.newsday.com/sports/tennis/australian-open-long-island-s-noah-rubin-to-face-roger-federer-in-second-round-1.12962567","newsday.com",23,0,2,0,0,1,0,0
"RepKathleenRice","383876861779688_694111520756219","Rep. Kathleen Rice","2017-01-23","2017-01-23 21:34:55","Expecting continued heavy rain and high winds tonight on Long Island. Urge everyone to be safe, follow updates and stay off the roads if you can.","link","http://www.newsday.com/news/weather/long-island-weather-nor-easter-bringing-strong-wind-heavy-rain-1.12998764","newsday.com",11,2,0,0,0,0,0,0
"RepKathleenRice","383876861779688_695228580644513","Rep. Kathleen Rice","2017-01-25","2017-01-25 18:35:11","Republicans and Democrats should be working together to help create jobs and strengthen security. Instead, first major House vote under President Trump was on anti-choice bill that will make reproductive health care services less accessible and less affordable.","link","http://www.vox.com/identities/2017/1/24/14370748/taxpayer-funded-abortion-house-passed-permanent-hyde-amendment","vox.com",29,10,8,0,0,0,0,39
"RepKathleenRice","383876861779688_697017723798932","Rep. Kathleen Rice","2017-01-28","2017-01-28 21:44:05","This executive order betrays basic American values for the sake of nationalistic, fearmongering campaign promises. Refugees are already vetted more exhaustively than anyone who’s admitted to this country, and we should always be looking for ways to keep strengthening all of our security procedures. But that’s not what this order is about. President Trump wants to keep Muslims out, as he’s said himself, and he wants us to turn our backs on the most vulnerable people in the world in the midst of a global refugee crisis. This is what President Trump calls ""America First,"" and it’s the very definition of un-American.","link","https://www.nytimes.com/2017/01/28/us/politics/a-sweeping-order-unlikely-to-reduce-terrorist-threat.html?ref=politics&_r=0","nytimes.com",84,27,20,1,0,0,5,12
"RepKathleenRice","383876861779688_698137520353619","Rep. Kathleen Rice","2017-01-31","2017-01-31 03:40:39","Tonight, Acting Attorney General Sally Yates is leaving the Department of Justice on a high note, demonstrating the courage and integrity that have characterized her entire career. President Trump’s executive order is legally and morally indefensible, and I thank Acting AG Yates for doing the right thing despite the consequences.  As a former federal prosecutor, I served under both Democratic and Republican presidents, and I believe the DOJ should always be independent, objective, and non-partisan. Right now, President Trump is making the DOJ look like a joke. He’s making every federal prosecutor in the country feel like a joke. The so-called ‘law and order candidate’ has no regard for law and order, and that’s a threat to every pillar of our democracy.","link","https://www.nytimes.com/2017/01/30/us/politics/trump-immigration-ban-memo.html?_r=0","nytimes.com",170,37,29,14,7,0,0,3
"RepKathleenRice","383876861779688_698532096980828","Rep. Kathleen Rice","2017-01-31","2017-01-31 21:46:30","I’m honored to have the opportunity to lead the Democratic members on the Counterterrorism and Intelligence Subcommittee. This Subcommittee has an important responsibility right now to provide effective oversight of DHS, continue to make our intelligence-sharing efforts more efficient across all levels of government and law enforcement, and ensure that the men and women who keep us safe have the information and resources they need. I look forward to working with Chairman King and I hope we can fulfill that responsibility in a constructive, bipartisan way.","link","http://kathleenrice.house.gov/news/documentsingle.aspx?DocumentID=359","kathleenrice.house.gov",187,18,14,10,0,1,0,0
"RepKathleenRice","383876861779688_699219110245460","Rep. Kathleen Rice","2017-02-02","2017-02-02 02:41:39","Time for President Trump to Twitter-shame another U.S. company (and, again, also release his tax returns, divest, etc.)","link","https://www.washingtonpost.com/local/virginia-politics/trump-vineyard-seeks-labor-department-approval-to-hire-foreign-workers/2016/12/22/f320bea8-c86a-11e6-8bee-54e800ef2a63_story.html?utm_term=.07c6cd1eca4d","washingtonpost.com",82,8,38,2,8,3,1,11
"RepKathleenRice","383876861779688_700653256768712","Rep. Kathleen Rice","2017-02-04","2017-02-04 16:00:07","Unacceptable.","link","https://www.nytimes.com/2017/02/03/us/politics/donald-trump-business.html?hp&action=click&pgtype=Homepage&clickSource=story-heading&module=first-column-region&region=top-news&WT.nav=top-news","nytimes.com",43,14,7,0,0,1,2,24
