"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepKayGranger","49640749719_10154836762514720","Kay Granger","2017-01-03","2017-01-03 13:31:39","I am looking forward to today's start of the 115th Congress. It is a privilege to serve the people of the 12th District of Texas. #ConfidentAmerica","photo","https://www.facebook.com/speakerryan/photos/a.927749670606893.1073741828.924244934290700/1218294534885737/?type=3",NA,94,19,0,3,0,0,2,0
"RepKayGranger","49640749719_10154837687719720","Kay Granger","2017-01-03","2017-01-03 20:13:46","Thank you for your phone calls this morning expressing your thoughts about the proposed change to the Office of Congressional Ethics. I wanted you to know I voted against it. The change will not be included in today’s vote on the House Rules.","status",NA,NA,134,26,9,3,0,1,0,0
"RepKayGranger","49640749719_10154840556024720","Kay Granger","2017-01-05","2017-01-05 00:21:00","Today I was presented the U.S. Navy Distinguished Public Service Award. This award, established in 1951, is the highest recognition presented to civilians by the Secretary of the Navy for “specific courageous or heroic acts or exceptionally outstanding service of substantial and long-term benefit to the Navy, Marine Corps, or Department of the Navy as a whole.” I am humbled by this incredible honor. In my work in Congress, nothing is more important than national defense. It has been the honor of my lifetime to help fund and support the men and women in uniform and their families. It is me who is grateful for their outstanding service.","photo","https://www.facebook.com/RepKayGranger/photos/a.450595444719.238608.49640749719/10154840556024720/?type=3",NA,166,26,6,10,0,0,0,0
"RepKayGranger","49640749719_10154844973779720","Kay Granger","2017-01-06","2017-01-06 13:37:00","I recently personally purchased a carved longhorn skull to display in my D.C. office so that constituents can feel right at home when they visit. Many thanks to constituents from the 12th District, Cameron from Weatherford, Texas and Rylie from Fort Worth, Texas, whose artistic skills created this amazing piece right in Fort Worth.","photo","https://www.facebook.com/RepKayGranger/photos/a.450595444719.238608.49640749719/10154844973779720/?type=3",NA,192,20,14,14,0,4,0,0
"RepKayGranger","49640749719_10154854169104720","Kay Granger","2017-01-09","2017-01-09 17:46:36","The men and women who serve in law enforcement put their lives on the line to keep our communities safe and protect our families from crime. On this Law Enforcement Appreciation Day, and every day, we thank them.","photo","https://www.facebook.com/RepKayGranger/photos/a.450595444719.238608.49640749719/10154854169104720/?type=3",NA,93,6,22,2,0,0,0,0
"RepKayGranger","49640749719_10154857736904720","Kay Granger","2017-01-10","2017-01-10 23:59:00","I am honored to be asked to serve as Chairwoman of the Defense Appropriations Subcommittee. The challenges facing our nation are serious—terrorism remains a global threat and our military has been reduced during the Obama years.  To be safe, we must be strong.  I will work with my colleagues to rebuild America’s military.  Now is the time to invest in our military and ensure it is stronger than ever.","link","http://kaygranger.house.gov/press-release/granger-named-chair-powerful-house-appropriations-defense-subcommittee","kaygranger.house.gov",214,29,16,12,0,2,0,0
"RepKayGranger","49640749719_10154864407304720","Kay Granger","2017-01-12","2017-01-12 15:19:50","During a surprise naming ceremony in Weatherford, Texas earlier this week, the Parker County Jail was renamed the Sheriff Larry Fowler Law Enforcement Center. Sheriff Fowler has served as Sheriff of Parker County since 2005 and is rightfully one of the most well-respected citizens in the county.","photo","https://www.facebook.com/RepKayGranger/photos/a.450595444719.238608.49640749719/10154864407304720/?type=3",NA,51,5,5,2,0,0,0,0
"RepKayGranger","49640749719_10154864565709720","Kay Granger","2017-01-16","2017-01-16 13:42:01","""Faith is taking the first step even when you don't see the whole staircase."" #MLKDay2017","photo","https://www.facebook.com/RepKayGranger/photos/a.450595444719.238608.49640749719/10154864565709720/?type=3",NA,83,8,14,3,0,0,0,0
"RepKayGranger","49640749719_10154880623354720","Kay Granger","2017-01-17","2017-01-17 18:14:03","I hear from constituents every day who have lost their health insurance plans and seen their costs go up. To read my most recent e-newsletter on this topic, please visit the link below. #ConfidentAmerica","link","http://kaygranger.house.gov/my-take-four-questions-about-your-health-insurance","kaygranger.house.gov",32,28,7,1,0,0,1,0
"RepKayGranger","49640749719_10154883760389720","Kay Granger","2017-01-18","2017-01-18 18:15:01","My DC office was pleased to welcome a group of students from All Saints' Episcopal School and Hill School this morning. These bright students are in the nation's capital this week as part of their civic education experience. During their meeting, students talked and asked questions about the legislative process and being active citizens in our democracy.","photo","https://www.facebook.com/RepKayGranger/photos/a.450595444719.238608.49640749719/10154883760389720/?type=3",NA,104,8,22,7,0,0,0,0
