"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepKennyMarchant","6349487899_10154719473667900","Kenny Marchant","2017-01-04","2017-01-04 23:30:27","President Obama violated the will of the electorate when he forced through countless lame-duck regulations.   When this bill passes the Senate and is signed into Law by President-elect Donald Trump, Congress will be able to overturn  multiple ""midnight regulations"" en masse with a joint resolution of disapproval.","link","http://thehill.com/homenews/house/312730-house-passes-bill-to-overturn-midnight-regulations-en-masse","thehill.com",271,32,60,16,6,0,0,3
"RepKennyMarchant","6349487899_10154722076437900","Kenny Marchant","2017-01-06","2017-01-06 00:07:30","The Administration should have vetoed this resolution – In light of that, the House passed a Resolution to Object to United Nations Security Council Resolution 2334 as an obstacle to Israeli-Palestinian peace.   Israel remains our strongest ally in the Middle-East; reversing course on decades of established foreign policy was unwarranted and irresponsible.","link","http://www.usatoday.com/videos/news/nation/2017/01/05/house-votes-rebuke-un-israel-resolution/96213788/","usatoday.com",108,10,10,7,1,0,0,0
"RepKennyMarchant","6349487899_10154732489182900","Kenny Marchant","2017-01-09","2017-01-09 20:22:44","Today is Law Enforcement Appreciation Day. We cannot say “thank you” enough to our law enforcement officers.   Take a moment from your day to honor all the brave men and women who selflessly protect us. They protect our properties, businesses, and families with honor and distinction. #BackTheBlue","photo","https://www.facebook.com/RepKennyMarchant/photos/a.58208107899.65340.6349487899/10154732489182900/?type=3",NA,60,5,10,3,0,0,0,0
"RepKennyMarchant","6349487899_10154735206627900","Kenny Marchant","2017-01-10","2017-01-10 19:31:19","This weekend my office conducted interviews with over 40 students from across the district hoping to serve as our nation’s next generation of Soldiers, Sailors, Airmen, and Marines. I want to thank our Academy Review Board as well as give a special thanks to each and every one of our outstanding applicants!","photo","https://www.facebook.com/RepKennyMarchant/photos/a.58208107899.65340.6349487899/10154735206627900/?type=3",NA,59,13,2,0,0,0,0,0
"RepKennyMarchant","6349487899_10154746163317900","Kenny Marchant","2017-01-13","2017-01-13 21:27:11","Congress now can pass a reconciliation bill, repealing all of the budgetary components of Obamacare after President-Elect Trump assumes office.","link","http://www.cnn.com/2017/01/13/politics/house-obamacare-repeal-vote/","cnn.com",96,37,6,3,0,0,2,7
"RepKennyMarchant","6349487899_10154758141177900","Kenny Marchant","2017-01-17","2017-01-17 23:17:10","Outrageous.","link","https://www.nytimes.com/2017/01/17/us/politics/obama-commutes-bulk-of-chelsea-mannings-sentence.html","nytimes.com",61,34,24,0,0,11,3,57
"RepKennyMarchant","6349487899_10154760095367900","Kenny Marchant","2017-01-18","2017-01-18 17:23:45","Wishing you a speedy recovery Mr. President!","link","http://www.foxnews.com/politics/2017/01/18/former-president-george-h-w-bush-reportedly-hospitalized.html","foxnews.com",90,5,1,4,0,0,7,0
"RepKennyMarchant","6349487899_10154766832582900","Kenny Marchant","2017-01-21","2017-01-21 01:57:07","Congratulations to our 45th President, Donald J. Trump!","photo","https://www.facebook.com/RepKennyMarchant/photos/a.58208107899.65340.6349487899/10154766832582900/?type=3",NA,167,14,4,14,0,1,3,0
"RepKennyMarchant","6349487899_10154781207297900","Kenny Marchant","2017-01-24","2017-01-24 17:58:04","Congress long-fought for these projects to provide Americans with energy resources and job opportunities.President Trump took a stand, reversing the previous administration's damaging order, and provided for greater energy security and thousands of new American jobs.","link","http://www.cbsnews.com/news/trump-signs-executive-actions-advancing-dakota-access-and-keystone-xl-pipelines/","cbsnews.com",141,32,13,11,0,0,1,19
"RepKennyMarchant","6349487899_10154782320922900","Kenny Marchant","2017-01-25","2017-01-25 00:38:22","Congress seized the opportunity to make the Hyde Amendment permanent and protect our most defenseless and vulnerable population. Our nation must restore its sense of morality, and the swift passage of H.R. 7 serves as a starting point to that restoration.","link","https://www.lifesitenews.com/news/breaking-u.s.-house-votes-to-permanently-ban-taxpayer-funding-of-abortion","lifesitenews.com",681,62,159,83,1,2,7,7
"RepKennyMarchant","6349487899_10154785851077900","Kenny Marchant","2017-01-26","2017-01-26 00:15:40","Congress has advocated for a more secure border for years. Today the President acted. This is about keeping Americans safe and upholding our laws. We must continue to work to stop the influx of illegal immigration along the southern border and protect our country.","link","https://www.washingtonpost.com/politics/trump-pledges-to-start-work-on-border-wall-within-months/2017/01/25/dddae6ee-e31e-11e6-ba11-63c4b4fb5a63_story.html?utm_term=.b9e31c0c907b","washingtonpost.com",176,46,17,9,0,0,5,3
"RepKennyMarchant","6349487899_10154790860302900","Kenny Marchant","2017-01-27","2017-01-27 16:52:53","This is a time to renew hope as Americans continue to advocate for the respect of all human life. Hundreds of thousands of people from across the Nation and North Texas will march from The National Mall to the Supreme Court.   Congress must continue to stand for legislation that defends the right to life, without which all other rights are impossible.","link","https://www.lifesitenews.com/news/watch-the-march-for-life-live-right-here","lifesitenews.com",112,34,7,10,1,0,1,2
