"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepKinzinger","187811174579106_1591592804200929","Rep. Adam Kinzinger","2017-01-01","2017-01-01 16:44:45","Happy New Year, #IL16! Wishing you all a happy, healthy, and positive year forward. Here's to 2017.","photo","https://www.facebook.com/RepKinzinger/photos/a.188031487890408.53931.187811174579106/1591592804200929/?type=3",NA,97,11,0,5,0,0,0,0
"RepKinzinger","187811174579106_1592675540759322","Rep. Adam Kinzinger","2017-01-02","2017-01-02 18:40:12","On my way back to D.C. today! I'm looking forward to representing #IL16 as we kick off the 115th Congress tomorrow. I'm optimistic about what we can accomplish for the American people. Together, we will build a more confident America.","status",NA,NA,193,41,0,7,2,0,0,0
"RepKinzinger","187811174579106_1593768483983361","Rep. Adam Kinzinger","2017-01-03","2017-01-03 23:31:02","It's official: today I was sworn-in to the 115th Congress by Speaker Paul Ryan. Thank you to the people of #IL16 for the honor and privilege to serve as your Congressman.","photo","https://www.facebook.com/RepKinzinger/photos/a.188031487890408.53931.187811174579106/1593768483983361/?type=3",NA,901,78,18,48,5,0,0,2
"RepKinzinger","187811174579106_1594741407219402","Rep. Adam Kinzinger","2017-01-04","2017-01-04 22:46:25","We have a bipartisan opportunity to uphold our Constitutional oaths and defend the greatest democracy in the world.","video","https://www.facebook.com/RepKinzinger/videos/1594741407219402/",NA,146,27,12,6,1,0,0,0
"RepKinzinger","187811174579106_1595806693779540","Rep. Adam Kinzinger","2017-01-05","2017-01-05 22:15:49","Today, the House will reject the dangerous UNSC anti-Israel resolution and call for its repeal. We need Israel, and it’s important we remind the world that America stands for democracy and freedom – and that we stand with our allies. http://fxn.ws/2hW9nhn","link","http://fxn.ws/2hW9nhn","fxn.ws",93,18,4,7,2,0,0,0
"RepKinzinger","187811174579106_1596762723683937","Rep. Adam Kinzinger","2017-01-06","2017-01-06 21:19:14","A quick look back at 2016 as we hit the ground running in 2017.   #TeamKinzinger is here to serve you. Our doors are always open to the folks from Illinois' 16th Congressional District and we look forward to hearing from you. Please visit KINZINGER.HOUSE.GOV to learn more.","photo","https://www.facebook.com/RepKinzinger/photos/a.188031487890408.53931.187811174579106/1596762723683937/?type=3",NA,117,23,8,3,0,2,0,0
"RepKinzinger","187811174579106_1599471480079728","Rep. Adam Kinzinger","2017-01-09","2017-01-09 18:15:00","Thank you to our local law enforcement in #IL16. Thank you for putting your lives on the line to serve and protect our communities.   This morning, two officers were killed in the line of duty.  My heartfelt condolences are with these fallen heroes, their families, the Orlando Police Department & community, and to all of our men and women in blue.    On this National Law Enforcement Appreciation Day, I ask you to join me in saying ‘thank you’ to our local law enforcement. These heroes in blue risk their lives, serving and sacrificing, to stand between order and chaos for the sake of our community, our security, our safety. The #ThinBlueLine needs our support today and every day.","photo","https://www.facebook.com/RepKinzinger/photos/a.188031487890408.53931.187811174579106/1599471480079728/?type=3",NA,59,6,11,5,0,0,12,0
"RepKinzinger","187811174579106_1600514593308750","Rep. Adam Kinzinger","2017-01-10","2017-01-10 19:49:46","In 2014, I visited the Syrian border in Turkey and spoke about a post-Assad world… thinking that this tyrant could not possibly be allowed to continue bombing his own people.  While much has changed since then, one thing remains: thousands of innocent men, women, and children have had their lives taken at the hands of the brutal dictator, Bashar al Assad and it’s well past the time for action.  For some in Syria, and for those holding onto hope for freedom, it’s not too late.","video","https://www.facebook.com/RepKinzinger/videos/1600514593308750/",NA,130,33,20,5,0,1,9,0
"RepKinzinger","187811174579106_1601617746531768","Rep. Adam Kinzinger","2017-01-11","2017-01-11 21:05:31","Today, I spoke on the House floor about the threats we face from ISIS and other foreign enemies. The last few weeks have seen the decline and failure of U.S. global leadership under the Obama presidency come to a head.  What we need right now – now more than ever – is renewed American leadership.","video","https://www.facebook.com/RepKinzinger/videos/1601617746531768/",NA,188,55,19,8,0,0,0,1
"RepKinzinger","187811174579106_1603361323024077","Rep. Adam Kinzinger","2017-01-12","2017-01-12 23:15:00","The current Administration's attempt to fix our healthcare system - #Obamacare - has failed, and it's only going to get worse. Health care prices went up, premiums have gone up double digits, and choices have gone down. House Republicans will make a stable transition to a better system, and we have a plan in progress for a 21st Century, patient-centered health care system. Here are some of our #BetterWay ideas: http://abetterway.speaker.gov/_assets/pdf/ABetterWay-HealthCare-Snapshot.pdf","photo","https://www.facebook.com/RepKinzinger/photos/a.188031487890408.53931.187811174579106/1603361323024077/?type=3",NA,71,129,21,1,0,4,0,22
"RepKinzinger","187811174579106_1604521322908077","Rep. Adam Kinzinger","2017-01-13","2017-01-13 20:00:01","The countdown is on! One week until the 58th Presidential Inauguration here at the United States Capitol. I look forward to seeing everyone next week, and handing out these tickets to my constituents from the 16th Congressional District of Illinois. #Inauguration2017","photo","https://www.facebook.com/RepKinzinger/photos/a.188031487890408.53931.187811174579106/1604521322908077/?type=3",NA,118,61,3,3,1,1,5,12
"RepKinzinger","187811174579106_1606677556025787","Rep. Adam Kinzinger","2017-01-15","2017-01-15 19:38:31","‪An art competition should not incite violence. This offensive depiction of our men and women in blue has no place in the United States Capitol - where officers serve to protect and defend our freedoms each and every day.   http://www.washingtontimes.com/news/2017/jan/14/controversial-painting-depicting-cops-animals-viol/‬ via The Washington Times","link","http://www.washingtontimes.com/news/2017/jan/14/controversial-painting-depicting-cops-animals-viol/","washingtontimes.com",112,41,5,3,3,1,0,1
"RepKinzinger","187811174579106_1609999452360264","Rep. Adam Kinzinger","2017-01-18","2017-01-18 22:30:13","Special thank you to the Pecatonica Rotary Club #3085 District 6420 for inviting me to join their luncheon at the Stone Wall Cafe. Enjoyed our talk, and I'm truly grateful for all that you do to support our community.","photo","https://www.facebook.com/RepKinzinger/photos/a.188031487890408.53931.187811174579106/1609999452360264/?type=3",NA,59,16,1,2,0,0,0,0
"RepKinzinger","187811174579106_1611873322172877","Rep. Adam Kinzinger","2017-01-20","2017-01-20 18:07:49","Today, we celebrate the inauguration of our 45th President of the United States, Donald J. Trump. Today, we celebrate our democracy.   It was an honor to be here at the United States Capitol with my esteemed colleagues, watching this peaceful transfer of power.   I'm optimistic about our bright future, and look forward to working with President Trump as we renew our great nation.","photo","https://www.facebook.com/RepKinzinger/photos/a.188031487890408.53931.187811174579106/1611873322172877/?type=3",NA,236,52,3,19,2,1,17,6
"RepKinzinger","187811174579106_1615616248465251","Rep. Adam Kinzinger","2017-01-23","2017-01-23 19:36:10","Decreasing regulations, making it easier for businesses to create jobs and build factories here in the U.S. – that’s great news for the manufacturing industry, especially in my district of #IL16. I’m encouraged by this priority and encourage the President to protect American manufacturing, our workers and our free market. cc: Regional Agriculture Economic Development Centre (RAEDC), WREX-TV","link","http://www.wrex.com/story/34294260/2017/01/19/rep-adam-kinzinger-says-hes-excited-for-economic-growth-during-visit-to-rockford","wrex.com",116,45,3,0,1,0,1,5
"RepKinzinger","187811174579106_1615797465113796","Rep. Adam Kinzinger","2017-01-24","2017-01-24 15:08:01","The WELCOME mat was laid out last week to folks from #IL16 visiting D.C. to attend the Inauguration ceremonies. Big thank you to everyone who came by the office.","photo","https://www.facebook.com/RepKinzinger/photos/a.188031487890408.53931.187811174579106/1615797465113796/?type=3",NA,57,12,0,1,0,1,0,1
"RepKinzinger","187811174579106_1617014521658757","Rep. Adam Kinzinger","2017-01-24","2017-01-24 19:30:00","The 115th Congress is in full swing. The House Foreign Affairs Committee met this morning to set our agenda for the year, and our #1 priority is, and always will be, National Security for all Americans. http://kinzinger.house.gov/news/documentsingle.aspx?DocumentID=399471","photo","https://www.facebook.com/RepKinzinger/photos/a.188031487890408.53931.187811174579106/1617014521658757/?type=3",NA,161,57,6,12,0,2,0,1
"RepKinzinger","187811174579106_1618412764852266","Rep. Adam Kinzinger","2017-01-29","2017-01-29 16:45:00","#IL16 Announcement for This Week:  Members of my staff will be holding traveling office hours from January 30 through February 2. Please visit my website to find the location most convenient for you: http://kinzinger.house.gov/news/documentsingle.aspx?DocumentID=399472","photo","https://www.facebook.com/RepKinzinger/photos/a.188031487890408.53931.187811174579106/1618412764852266/?type=3",NA,33,35,12,0,1,0,0,0
"RepKinzinger","187811174579106_1618908081469401","Rep. Adam Kinzinger","2017-01-26","2017-01-26 00:15:00","To say I’m disgusted would be an understatement.  By meeting with the mass murderer of Syria, Bashar al-Assad, Tulsi Gabbard has legitimized his dictatorship and in turn, legitimized his genocide against the Syrian people - the murdering of 50,000+ innocent children among the nearly half million total slaughtered by his regime. A whole generation of Syrian children that could have been police officers, teachers, or doctors, but whose lives were cut short by barrel bombs and airstrikes.   It is beyond reprehensible and cannot possibly be justified.","video","https://www.facebook.com/RepKinzinger/videos/1618908081469401/",NA,655,469,432,53,11,4,109,47
"RepKinzinger","187811174579106_1620864724607070","Rep. Adam Kinzinger","2017-01-27","2017-01-27 17:30:00","Feeling optimistic as I leave Philadelphia today. We're building an agenda that bring jobs to the American people, to the hard-working people of Illinois, with the goal of helping folks reach their full potential.  I believe in the American dream, and I'll always speak up to protect and defend our principles, our values, and our democracy on behalf of my community and my country.","video","https://www.facebook.com/RepKinzinger/videos/1620864724607070/",NA,72,48,2,3,0,0,0,3
"RepKinzinger","187811174579106_1621079334585609","Rep. Adam Kinzinger","2017-01-27","2017-01-27 22:15:40","Billions of dollars spent and millions of kids received little to no benefit from failing schools being flooded with money, despite being promised better.  The Obama Administration’s strategy failed on many levels, but the worst reality is that their policy failed our children.    Children and their parents deserve better from the taxpayer funding being spent on our public education system. No matter their zip code or background, every child deserves the opportunity to succeed.","link","http://wpo.st/1-AW2","po.st",92,105,10,0,1,1,7,12
"RepKinzinger","187811174579106_1624875360872673","Rep. Adam Kinzinger","2017-01-30","2017-01-30 18:46:15","We made a promise to the #Iraqi soldiers who served alongside our U.S. military. I support Secretary Mattis and join him in standing up for our allies, keeping our promises, and leaving no men behind. http://www.washingtonexaminer.com/mattis-requesting-iraqi-interpreters-pilots-be-exempted-from-trumps-travel-ban/article/2613346","video","https://www.facebook.com/RepKinzinger/videos/1624875360872673/",NA,261,44,21,15,0,1,0,1
"RepKinzinger","187811174579106_1627260977300778","Rep. Adam Kinzinger","2017-02-01","2017-02-01 21:10:00","Our national security is paramount, and the safety of the American people is the President's chief responsibility. But as a veteran and as a Member of Congress, I believe the United States has a mission to serve as an example in a world drowning in chaos, and that the promises made to our allies should always transcend borders.   This morning, I took to Crain's Chicago Business to voice my concerns and speak up for what’s right.   http://www.chicagobusiness.com/article/20170201/OPINION/170139956/rep-kinzinger-trump-immigration-order-cause-for-grave-concern","link","http://www.chicagobusiness.com/article/20170201/OPINION/170139956/rep-kinzinger-trump-immigration-order-cause-for-grave-concern","chicagobusiness.com",178,65,25,21,0,0,0,5
"RepKinzinger","187811174579106_1627266720633537","Rep. Adam Kinzinger","2017-02-01","2017-02-01 17:32:50","941… That’s the number of #HumanTrafficking cases reported in Illinois since 2007.   This morning, I was joined  by my colleagues Congressman Steve Cohen,  U.S. Rep. Tony Cárdenas, Ann Wagner, U.S. Senator Susan Collins in reintroducing the Stop, Observe, Ask and Respond (SOAR) to Health and Wellness Act for the 115th Congress to provide proper training to healthcare professionals on how to identify and treat victims of human trafficking. We must #EndHumanTrafficking here at home and around the world.","photo","https://www.facebook.com/RepKinzinger/photos/a.188031487890408.53931.187811174579106/1627266720633537/?type=3",NA,77,6,10,2,0,0,0,0
"RepKinzinger","187811174579106_1628639503829592","Rep. Adam Kinzinger","2017-02-02","2017-02-02 20:50:00","American farmers are the backbone of our rural communities. They feed and fuel the country, and represent the hard-working principles our nation was founded upon. This program, Homegrown by Heroes, is helping our Illinois farmers and those working in the agriculture industry who have also served our country in uniform. Proud to see this partnership to advance our economy and create greater opportunitis for our Illinois Heroes. https://www.agr.state.il.us/homegrown-by-heroes-illinois-products-logo","link","https://www.agr.state.il.us/homegrown-by-heroes-illinois-products-logo","agr.state.il.us",59,8,6,0,0,0,0,0
"RepKinzinger","187811174579106_1629716160388593","Rep. Adam Kinzinger","2017-02-03","2017-02-03 20:22:49","Today, I reintroduced a resolution that assures our President has the authorization for use of military force (AUMF) against ISIS. Special thanks to my colleagues who joined me in this effort: Congressman Jody Hice, Congressman Duncan Hunter, Representative Martha Roby, U.S. Representative Bradley Byrne, Brad Wenstrup, and Rep. Carlos Curbelo.  http://kinzinger.house.gov/news/documentsingle.aspx?DocumentID=399479","photo","https://www.facebook.com/RepKinzinger/photos/a.188031487890408.53931.187811174579106/1629716160388593/?type=3",NA,79,76,13,2,1,2,2,18
"RepKinzinger","187811174579106_1631960170164192","Rep. Adam Kinzinger","2017-02-06","2017-02-06 01:09:11","A very special moment to kickoff Super Bowl LI tonight. Great to see our 41st President George H. W. Bush and former First Lady Barbara Bush take part in the coin toss, and feeling better following their recent hospitalization. Wishing them both good health and a great evening!","video","https://www.facebook.com/NFL/videos/10154807469941263/",NA,662,18,0,117,0,0,0,0
"RepKinzinger","187811174579106_1632685390091670","Rep. Adam Kinzinger","2017-02-06","2017-02-06 22:15:00","Ronald Reagan was the first President I can remember from childhood, and he has become the person I compare all great leaders to, in both my personal and professional life. Today we celebrate his birthday, and his legacy of optimism.  The America that Reagan imagined – the ‘shining city on a hill’ – was one of patriotic grit and greatness.  Sharing in our Midwestern roots, I am inspired by Reagan’s statesmanship, perseverance and strength in standing up for what’s right.   Ronald Reagan will be remembered as one of the greatest presidents in our nation’s history. And today, in his honor, we remember his words and use them as guidance for ourselves and for future generations:","photo","https://www.facebook.com/RepKinzinger/photos/a.188031487890408.53931.187811174579106/1632685390091670/?type=3",NA,140,51,13,19,3,1,0,0
"RepKinzinger","187811174579106_1634180703275472","Rep. Adam Kinzinger","2017-02-07","2017-02-07 22:25:00","According to a report by Amnesty International, the Syrian government executed as many as 13,000 civilians in underground cells at Saydnaya prison. It’s horrific and must be condemned at the highest levels. This is genocide and the Assad regime must be held accountable for their war crimes.   We need to find ways to help the people of Syria, not go behind the backs of our government and meet with the enemy. The time for strong U.S. leadership is now – for the freedoms of the Syrian people, for a more secure environment across Europe, and greater safety for the United States as we continue to fight terrorism.   More from my oped on The Hill here: http://thehill.com/blogs/congress-blog/foreign-policy/316616-strong-us-leadership-needed-in-syria-not-political-stunts","link","http://thehill.com/blogs/congress-blog/foreign-policy/316616-strong-us-leadership-needed-in-syria-not-political-stunts","thehill.com",155,51,30,2,0,3,23,13
"RepKinzinger","187811174579106_1635270009833208","Rep. Adam Kinzinger","2017-02-08","2017-02-08 23:40:00","Answering the call of a fellow veteran. Here’s to James – to his service, his sacrifice, and honoring his humble request. http://insider.foxnews.com/2017/02/07/veteran-hospital-asks-letters-final-days","photo","https://www.facebook.com/RepKinzinger/photos/a.188031487890408.53931.187811174579106/1635270009833208/?type=3",NA,57,6,3,2,0,0,0,0
"RepKinzinger","187811174579106_1636164083077134","Rep. Adam Kinzinger","2017-02-09","2017-02-09 19:02:00","As General Nicholson said today at the United States Senate Committee on Armed Services hearing, Afghanistan has the highest concentration of terror groups in the world. We must refocus our attention and continue the fight. We cannot give up, we cannot give in. The future of #Afghanistan remains important to the future security of America.   http://thehill.com/blogs/congress-blog/foreign-policy/304945-why-the-future-of-afghanistan-still-matters via The Hill","link","http://thehill.com/blogs/congress-blog/foreign-policy/304945-why-the-future-of-afghanistan-still-matters","thehill.com",24,14,2,1,0,0,0,0
"RepKinzinger","187811174579106_1637105256316350","Rep. Adam Kinzinger","2017-02-10","2017-02-10 18:15:00","This pictures encapsulates the support of military families, friends, and loved ones for our Armed forces. Thank you Major Greendyke for allowing me to be a part of this special moment, and asking me to administer the oath of your promotion in the United States Air Force. To say I was honored would be an understatement. Congratulations, and aim high! #FlyFightWin","photo","https://www.facebook.com/RepKinzinger/photos/a.188031487890408.53931.187811174579106/1637105256316350/?type=3",NA,96,6,0,4,0,0,0,0
"RepKinzinger","187811174579106_1637219676304908","Rep. Adam Kinzinger","2017-02-12","2017-02-12 16:02:00","Today is Abraham Lincoln’s birthday. As a proud native of Illinois, the Land of Lincoln, we will celebrate his life and legacy several times this month. But today, I want to share these words from our 16th President as they were given during his Second Inaugural Address in 1865.","photo","https://www.facebook.com/RepKinzinger/photos/a.188031487890408.53931.187811174579106/1637219676304908/?type=3",NA,132,26,25,12,0,0,0,0
"RepKinzinger","187811174579106_1637449666281909","Rep. Adam Kinzinger","2017-02-11","2017-02-11 01:30:26","February is African American History Month, an opportunity to celebrate the achievements, and pay tribute to the generations of African Americans who helped make the United States what it is today. The Library of Congress is hosting a collaborated effort to showcase this national recognition on their website: http://africanamericanhistorymonth.gov/","link","http://africanamericanhistorymonth.gov/","africanamericanhistorymonth.gov",52,14,3,1,0,0,0,0
"RepKinzinger","187811174579106_1640391439321065","Rep. Adam Kinzinger","2017-02-13","2017-02-13 23:01:15","We cannot underestimate the threats that disinformation and the spreading of ‘fake news’ can have on our democracy.    Last week, Congressman Eliot Engel and I sent a letter to social media company CEOs asking what is being done to combat this activity and encouraging them to counter the damaging effects. You can read our letter here: http://kinzinger.house.gov/news/documentsingle.aspx?DocumentID=399486","link","http://kinzinger.house.gov/news/documentsingle.aspx?DocumentID=399486","kinzinger.house.gov",119,68,11,3,4,2,0,1
"RepKinzinger","187811174579106_1640459995980876","Rep. Adam Kinzinger","2017-02-14","2017-02-14 00:46:29","What's happening in #Aleppo and across #Syria is genocide. Incendiary bombs, chlorine gas attacks and mass murders by Assad and Putin undoubtedly targeted civilians.   Tonight, I join a panel to discuss the dire situation and how best we can solve the problems in Syria.","video","https://www.facebook.com/gupolitics/videos/718879278290090/",NA,88,31,0,2,0,0,11,0
"RepKinzinger","187811174579106_1641345472558995","Rep. Adam Kinzinger","2017-02-14","2017-02-14 20:43:19","It’s Valentine’s Day and an opportunity to show our heart some love. Let’s all commit to doing more to stay heart healthy.  Wishing you all a happy Valentine’s and a very happy American Heart Month.   Follow the link for 3 conversation starters and tips to learn how to lower the risk of heart disease: https://millionhearts.hhs.gov/news-media/events/heart-month.html","photo","https://www.facebook.com/RepKinzinger/photos/a.188031487890408.53931.187811174579106/1641345472558995/?type=3",NA,43,22,1,7,0,0,0,0
