"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepLaMalfa","1502597423327057_1777484479171682","Rep. Doug LaMalfa","2017-01-01","2017-01-01 21:00:01","Potentially the biggest development of 2016 was the election of Donald Trump on November 8th. With a new ally in the oval office this year, I look forward to a reinvigorated conservative brand of government that will enable us to accomplish many things in 2017, including rewriting our broken tax code, repealing Obamacare, fixing the nation's crumbling infrastructure, cutting back government waste and misuse of Executive power, expanding our economy, protecting America and our allies such as Isreal through a strong defense as well as having the determination to defeat radical Islamist terrorism. I look forward to achieving big things with our new Administration in 2017, and I wish you all a Happy New Year.","photo","https://www.facebook.com/RepLaMalfa/photos/a.1504039719849494.1073741828.1502597423327057/1777484479171682/?type=3",NA,468,134,33,35,2,1,7,30
"RepLaMalfa","1502597423327057_1779128552340608","Rep. Doug LaMalfa","2017-01-03","2017-01-03 23:26:01","Today, I was sworn in for my third term as a United States Congressman representing California’s 1st district. I am excited to get back to work on behalf of the great people of the North State and I look forward to accomplishing big things for our area in 2017.","photo","https://www.facebook.com/RepLaMalfa/photos/a.1504039719849494.1073741828.1502597423327057/1779128552340608/?type=3",NA,531,86,14,26,0,1,2,8
"RepLaMalfa","1502597423327057_1779474742305989","Rep. Doug LaMalfa","2017-01-04","2017-01-04 18:27:44","While Congress and the President-elect are working on putting Americans back to work and moving our country forward at the start of the 115th Congress, the California legislature’s decision to hire former U.S. Attorney General Eric Holder proves they are truly out of touch. Holder was the first Cabinet member in history to be officially held in contempt by Congress in 2012 for withholding information on an investigation – a matter I do not take lightly. This move reeks of desperation in the face of true and substantial change, and it won’t stop us from getting America and California back on the right path. I will work tirelessly with President Trump to reduce burdensome regulations, rebuild American infrastructure and re-institute the rule of law.","link","http://www.nytimes.com/2017/01/04/us/california-eric-holder-donald-trump.html?_r=0","nytimes.com",208,135,146,4,20,9,7,94
"RepLaMalfa","1502597423327057_1779852488934881","Rep. Doug LaMalfa","2017-01-05","2017-01-05 15:57:09","I'm joining my colleagues on the House floor momentarily for the reading of the Constitution. Follow along here:","link","https://www.c-span.org/video/?420996-1%2Fus-house-members-read-us-constitution&live","c-span.org",138,42,13,17,1,0,1,0
"RepLaMalfa","1502597423327057_1780051385581658","Rep. Doug LaMalfa","2017-01-06","2017-01-06 01:18:01","Since Election Day on November 8, 2016, the Obama Administration has introduced 145 new regulations that classify as ""midnight rules"" totaling $21.7 billion. Today, I supported the Regulations from the Executive in Need of Scrutiny (REINS) Act, and yesterday, I voted for the Midnight Rules Relief Act. Together, these bills give Congress more authority to limit and remove harmful regulations issued by the President. The Midnight Rules Relief Act allows Congress to disapprove of last-minute midnight rules issued by the President at the eleventh hour, while the REINS Act gives Congress the final say by allowing us to vote on any new major regulations before they can be implemented. Now, Congress and President-elect Trump will start with a clean slate when working to get Americans back to work.","link","http://lamalfa.house.gov/media-center/press-releases/lamalfa-votes-to-reform-regulations-in-congress","lamalfa.house.gov",238,73,40,15,1,2,0,18
"RepLaMalfa","1502597423327057_1781660485420748","Rep. Doug LaMalfa","2017-01-10","2017-01-10 00:00:00","Far too often in 2016, the brave men and women who enforce the law across the country didn’t make it home to their families. We lost 135 officers last year, 11 from California with 1, Sheriff Deputy Jack Hopkins, from the first district in Modoc County. I just want to say thank you to all who take the oath to protect and serve. I’ve placed a blue light in my office window to honor #LawenforcementappreciationDay.","photo","https://www.facebook.com/RepLaMalfa/photos/a.1504039719849494.1073741828.1502597423327057/1781660172087446/?type=3",NA,129,4,16,11,0,0,6,1
"RepLaMalfa","1502597423327057_1782085928711537","Rep. Doug LaMalfa","2017-01-11","2017-01-11 00:30:01","Yesterday, I spoke on the House floor in support of our Nation's law enforcement officers to honor Law Enforcement Appreciation Day.","video","https://www.youtube.com/watch?v=TCB3ieAXfV0",NA,129,10,10,2,2,0,0,1
"RepLaMalfa","1502597423327057_1782924251961038","Rep. Doug LaMalfa","2017-01-12","2017-01-12 21:58:31","Last night, as my friends in the Senate voted to get the ball rolling on Obamacare repeal, I spoke on the House floor to offer my thoughts on why we should repeal and replace this disastrous law.","video","https://www.youtube.com/watch?v=UCnCLVGqKys",NA,241,228,39,7,0,1,5,96
"RepLaMalfa","1502597423327057_1785577201695743","Rep. Doug LaMalfa","2017-01-18","2017-01-18 20:13:29","I want to wish George H.W. Bush a speedy recovery. My thoughts and prayers are with the Bush family right now.","link","http://www.politico.com/story/2017/01/george-h-w-bush-hospitalized-233745","politico.com",221,30,14,15,1,0,45,0
"RepLaMalfa","1502597423327057_1786535171599946","Rep. Doug LaMalfa","2017-01-20","2017-01-20 21:02:10","I was very happy to attend the Presidential inauguration ceremonies today to welcome the Trump family to Washington, D.C. and the White House. I look forward to the opportunity to work with President Trump and Vice President Pence to accomplish big things for California and for all of America. We will work together to bring back jobs, improve our nation’s infrastructure, replenish our military and defense capabilities, and provide better and truly affordable health care options for all Americans.","photo","https://www.facebook.com/RepLaMalfa/photos/a.1504039719849494.1073741828.1502597423327057/1786531831600280/?type=3",NA,510,107,25,42,1,3,3,25
