"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepLarryBucshon","135670516492974_10155418517048891","Rep. Larry Bucshon","2017-10-24","2017-10-24 15:55:01","A fair and simple tax code is just the break that Hoosier families have been waiting for → fairandsimple.gop","video","https://www.facebook.com/RepLarryBucshon/videos/10155418517048891/",NA,101,61,7,3,6,1,1,26
"RepLarryBucshon","135670516492974_10155446387878891","Rep. Larry Bucshon","2017-11-04","2017-11-04 14:12:46","Here’s the problem, our current tax code is BROKEN. Here’s the solution, the Tax Cuts & Jobs Act. https://fairandsimple.gop","video","https://www.facebook.com/RepLarryBucshon/videos/10155446387878891/",NA,48,46,8,1,9,0,1,21
"RepLarryBucshon","135670516492974_1275363985856949","Rep. Larry Bucshon","2017-01-02","2017-01-02 20:21:46","As we begin our work in the new Congress, I wanted to share the 2017 House Legislative Calendar that outlines when the House will be in session this year. Take a look here: https://goo.gl/Fy8K5Y.","link","https://goo.gl/Fy8K5Y","goo.gl",31,4,7,0,0,0,0,0
"RepLarryBucshon","135670516492974_1275381679188513","Rep. Larry Bucshon","2017-01-02","2017-01-02 22:58:00","Over the weekend, Senator Cory Gardner delivered the GOP Weekly Address, which highlighted our accomplishments over the past year and the focus of our new, unified Republican government. We will hit the ground running to offer a new direction that will deliver more opportunities and a more secure and prosperous America. I encourage you to take a look.","video","https://www.youtube.com/watch?v=jSw_GUq6ato",NA,13,4,1,0,0,0,0,1
"RepLarryBucshon","135670516492974_1276266802433334","Rep. Larry Bucshon","2017-01-03","2017-01-03 16:55:16","One of the legislative proposals the House will consider this week is a measure condemning the anti-Israel resolution passed by the United Nations right before Christmas, which President Obama could have vetoed but did not.","link","http://www.washingtonexaminer.com/gop-sets-thursday-vote-to-oppose-uns-israel-resolution/article/2610726#.WGvB9o773TU.twitter","washingtonexaminer.com",58,10,4,4,0,0,0,2
"RepLarryBucshon","135670516492974_1276465915746756","Rep. Larry Bucshon","2017-01-03","2017-01-03 20:59:39","Earlier today I took the oath of office to be your representative - your voice - in Congress. As we begin the new year, our country is presented with an unprecedented and exciting opportunity to make real changes that deliver a stronger, more prosperous America for everyone. The gravity of the job ahead is not lost on me. It's truly an honor and privilege to serve you.","video","https://www.facebook.com/RepLarryBucshon/videos/1276465915746756/",NA,113,21,3,1,1,1,0,1
"RepLarryBucshon","135670516492974_1277164319010249","Rep. Larry Bucshon","2017-01-04","2017-01-04 14:25:19","ICYMI: Yesterday - the first day of the new Congress - the House and Senate took first steps on the path to repeal ObamaCare. #OpeningDay","photo","https://www.facebook.com/RepLarryBucshon/photos/a.140575839335775.25952.135670516492974/1277164319010249/?type=3",NA,31,11,2,5,0,0,0,3
"RepLarryBucshon","135670516492974_1277982492261765","Rep. Larry Bucshon","2017-01-05","2017-01-05 14:38:49","We had a great meeting with Vice President-elect Mike Pence yesterday to discuss our plans to bring American families relief from ObamaCare.   In contrast, the Democrats scrambled together at the Capitol with President Obama in desperation to devise a political strategy to somehow convince the American people that ObamaCare is working. I hope the Democrats will ditch these efforts to put the president’s legacy above the well-being of patients, and partner with us to deliver real reforms that drive down the cost of healthcare, increase the quality of care, and expand access.","link","https://bucshon.house.gov/media-center/press-releases/dr-bucshon-s-statement-meeting-vice-president-elect-pence","bucshon.house.gov",91,18,9,1,0,0,0,0
"RepLarryBucshon","135670516492974_1278891412170873","Rep. Larry Bucshon","2017-01-06","2017-01-06 16:16:00","Here's a flashback to a special moment earlier this week. Surrounded by my family and hand on the bible, I was sworn in as your representative in Congress by Speaker Paul Ryan.","video","https://www.facebook.com/RepLarryBucshon/videos/1278891412170873/",NA,110,12,9,6,0,0,0,0
"RepLarryBucshon","135670516492974_1278948635498484","Rep. Larry Bucshon","2017-01-06","2017-01-06 17:04:14",NA,"link","https://bucshon.house.gov/media-center/press-releases/dr-bucshon-us-will-not-waiver-its-support-israel","bucshon.house.gov",52,3,4,2,0,0,0,0
