"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepLeeZeldin","386192271549563_691776704324450","Congressman Lee Zeldin","2017-01-04","2017-01-04 03:23:14","Honored to be sworn in today for a second term in the United States House of Representatives. Thank you all for your amazing support! Looking forward to a great two years ahead.","photo","https://www.facebook.com/RepLeeZeldin/photos/a.387918101376980.1073741828.386192271549563/691776704324450/?type=3",NA,299,43,40,24,0,0,0,0
"RepLeeZeldin","386192271549563_692186624283458","Congressman Lee Zeldin","2017-01-04","2017-01-04 21:57:23","Today, New York State Governor Andrew Cuomo released a statement regarding the Affordable Care Act, AKA Obamacare, and health care in New York. The Governor's press release fails to state absolutely any acknowledgment whatsoever that the Affordable Care Act, otherwise known as Obamacare, is flawed. Nothing at all is included about any of the lost doctors, cancelled policies, higher premiums or higher deductibles that New Yorkers are now facing.   There is no acknowledgment whatsoever that New York's Health Exchange had just one co-op, Health Republic of New York, that collapsed, because the state picked an entity to run it, the Freelancers Union, which had no idea how to create a health care plan so they rented a health plan’s network. They didn't know how to sell the policies so they marked them down and when they realized that their math didn't add up and went to New York State regulators asking for permission to raise their rates, New York told them to make it work, which resulted in (just in time for the 2015 holiday season) a collapse that left over 200,000 New Yorkers without health insurance and providers on the hook with six, seven and eight figures worth of money still owed to them. Many of those impacted New Yorkers who switched policies received the 2016 version of this disaster of a holiday gift repeat as they were notified that their providers were no longer going to honor their new policies.  There is no acknowledgment whatsoever of the cost of the Governor's debacle trying to convert New Yorkers to Managed Long Term Care. In 2011, when a Wall Street Journal article revealed that the New York State Office of the Medicaid Inspector General (OMIG) was investigating Visiting Nurse Services (VNS) for overbilling New York taxpayers by $224 million in illegal Medicaid claims in 2004-2005, the Governor actually fired the Inspector General at OMIG of all people, while also choosing to promote the CEO of VNS, Carol Raphael, to become his new co-chair of his new Medicaid Redesign Team. Then, with the assumption that all for-profits are evil without exception and all not for profits are doing heroic work without exception, the Medicaid Redesign Team started pushing New Yorkers into Managed Long Term Care and only offered medallions for these services to not for profits. Then, when the New York Times exposed the abuse of this new cronyism as VNS was targeting and signing up healthy people in order to milk the system, the Governor didn't just suspend VNS to cover himself, he suspended the entire signup system so that when the suspension was lifted, VNS would still have enough healthy people left to sign up to game the system, albeit more discreetly.   New York State spends more money on Medicaid than Illinois, Texas and Florida combined. New York has the same population as Florida, but spends more money on Medicaid costs than Florida spends on its entire state budget.  If Governor Cuomo's New Year's Resolution is to start caring more about health care costs, efficiency, and oversight, then he should hunker down in Albany with his budget wizards, and he actually has some extremely talented people like Robert Mujica, to clean this mess, because health care costs in New York are way beyond out of control. He may have his private political contracts with 1199 SEIU to protect him politically, but he wasn't elected Governor of New York to preserve his own political career at any cost even if that means selling out the rest of New York State to cut special deals with his buddies at 1199.  Obamacare is going to be repealed and replaced. If Governor Cuomo has a good idea that productively contributes to the future of health care then I'm totally open to listening. In the meantime, he is not part of the solution by conspiring with allies to cook up half baked numbers to scare people about a particular course of action that is divorced from reality. Health care in America must work better and become more affordable, relieving taxpayers of the financial burdens under this failed policy, and give patients more choices, while still continuing to cover Americans with pre-existing conditions and allowing children to stay on their parent's policy. This is an ongoing process and I am willing to work with anyone on either side of the aisle to strike an appropriate balance not only for Long Island and New York, but for all Americans.   In the meantime, Governor Cuomo needs to dedicate way more of his time getting his own house in order, because it's a house of cards right now that is filling Albany's swamp rather than draining it.","status",NA,NA,146,78,40,7,2,2,1,12
"RepLeeZeldin","386192271549563_692759310892856","Congressman Lee Zeldin","2017-01-06","2017-01-06 00:31:05","I spoke on the House floor tonight in support of House Resolution 11, which just passed the House, and opposes United Nations Security Council (UNSC) Resolution 2334;  an anti-Israel, anti-Jewish attempt on behalf of Pro-Palestinian nations to delegitimize Israel and ethnically cleanse East Jerusalem and Judea and Samaria of the Jewish people. Israel is one of America’s greatest allies and a beacon of freedom and liberty in a very dark region of the world. President Obama lit a menorah this year at the White House and he reflected on Hanukkah as a celebration of the Maccabees’ fight for freedom. The Maccabees lived, prayed and fought on the land that this Security Council resolution calls illegally occupied territory and yet this resolution was passed the day before the start of Hanukkah. The Obama administration, by allowing this resolution to pass, is attempting a dangerous shift in American foreign policy that cannot be allowed to stand. The Israelis have long been willing to compromise large swaths of land in this region in pursuit of a two state solution. It has been the Palestinians who have time and again declined real offers on the table for their own state. Just think about this reality…if the Israelis agreed right now to make all of the concessions this UN Security Council resolution calls for, there would still not be peace. A viable two state solution isn’t just about Israel recognizing the Palestinians right to exist, it’s also about the Palestinians recognizing Israel’s right to exist. It is the Palestinians who financially reward terrorists for murdering innocent Americans and innocent Israelis. The United States should suspend foreign aid to the Palestinian Authority, move the U.S. embassy to Jerusalem and recognize Jerusalem as the capital of Israel. It is the Palestinians who if they had an election today, Hamas would win. This is an entity that has committed not to rest unless Israel is wiped off the map. In 2015, I was in Ramallah and met with the Prime Minister of the Palestinian Authority who said to me without exception or hesitation that he would never recognize Israel as a Jewish state. These are just some of the realities Israel are up against. As for me, I stand for freedom and America should stand strong, shoulder to shoulder, with Israel.  https://www.youtube.com/watch?v=Ybp-mQgAlcw&feature=youtu.be","video","https://www.youtube.com/watch?v=Ybp-mQgAlcw&feature=youtu.be",NA,152,14,31,11,0,0,0,0
"RepLeeZeldin","386192271549563_693356404166480","Congressman Lee Zeldin","2017-01-06","2017-01-06 21:10:33","I voted in favor of the Regulations From the Executive in Need of Scrutiny (REINS) Act (H.R. 26), which passed the House this week, and ensures that every major rule or regulation with an economic effect of $100 million or more annually would be required to be specifically approved by the House and Senate, in addition to the President, before the rule takes effect.  In Congress, I have constantly heard from business owners on Long Island sharing stories about how various examples of bureaucratic red tape out of Washington has made it increasingly difficult to create more good paying, private sector jobs. The REINS Act, which is about smart policy and balance of power, is needed to help shut-down job killing red tape hurting our small businesses. I proudly supported passage of this bill, and will continue working to advance the REINS Act to help grow our economy and ensure that Congress is provided more oversight over the most broad and harmful regulations being implemented by federal agencies.  https://zeldin.house.gov/media-center/press-releases/regulations-executive-need-scrutiny-reins-act-passes-house","link","https://zeldin.house.gov/media-center/press-releases/regulations-executive-need-scrutiny-reins-act-passes-house","zeldin.house.gov",48,9,7,2,0,0,0,4
"RepLeeZeldin","386192271549563_694654590703328","Congressman Lee Zeldin","2017-01-09","2017-01-09 16:18:23","Today, I released a statement outlining my legislative priorities for the 115th Congress, which you can view in the link below. With a new President and Congress, there are many opportunities and much work ahead in the coming weeks and months. I will continue doing everything in my power to bring home more victories for our congressional district to better our community, state and nation. It is an honor and privilege to represent the First Congressional District, and I'm looking forward to a strong start in 2017.   https://zeldin.house.gov/media-center/press-releases/congressman-lee-zeldin-outlines-legislative-priorities-115th-congress","link","https://zeldin.house.gov/media-center/press-releases/congressman-lee-zeldin-outlines-legislative-priorities-115th-congress","zeldin.house.gov",78,16,9,5,0,0,0,0
"RepLeeZeldin","386192271549563_694742460694541","Congressman Lee Zeldin","2017-01-09","2017-01-09 20:57:58","Today is Law Enforcement Appreciation Day. Please take a moment today to honor our brave men and women in blue who put their lives on the line every single day to protect us. We must never forget the sacrifices of our officers and their loved ones. To show my support for law enforcement, I will be joining with my colleagues in Congress and keep a blue light shining out my office window throughout the night. Thank you to every member of law enforcement for your service and commitment to keeping our communities safe.","photo","https://www.facebook.com/RepLeeZeldin/photos/a.387918101376980.1073741828.386192271549563/694742460694541/?type=3",NA,75,11,24,12,0,0,0,0
"RepLeeZeldin","386192271549563_694748210693966","Congressman Lee Zeldin","2017-01-10","2017-01-10 00:00:01","As 2017 begins, new members of Congress are sworn into office, and a new president prepares to enter the Oval Office, it is critically important that we as a nation re-evaluate our position in the global community. It's time to embrace allies like Israel ... and treat our enemies like enemies. Read my latest op-ed here: https://www.conservativereview.com/commentary/2017/01/its-time-to-embrace-allies-like-israel-and-treat-our-enemies-like-enemies","link","https://www.conservativereview.com/commentary/2017/01/its-time-to-embrace-allies-like-israel-and-treat-our-enemies-like-enemies","conservativereview.com",78,5,7,2,0,0,0,0
"RepLeeZeldin","386192271549563_695777483924372","Congressman Lee Zeldin","2017-01-11","2017-01-11 20:42:29","Today, President-elect Donald Trump nominated Dr. David Shulkin as the next Secretary of Veterans Affairs. The Department of Veterans Affairs desperately needs so many reforms on multiple fronts to improve the standard of care for veterans. After several opportunities to interact with Dr. Shulkin these past two years, I'm confident that he is fully aware of the many challenges that currently exist. What I am eager to be assured of though is that he is actually going to do everything that needs to be done about it. The President-elect has constantly committed over and over again towards reforming the Department of Veterans Affairs and has shown a solid understanding of what needs to be fixed at the VA, while consistently reaffirming his commitment towards actually making those much needed changes. I would hope and expect that the President, Congress, media and American public will hold Dr. Shulkin's feet to the fire to ensure he follows through and does not fail in any capacity whatsoever with this new mission. He certainly wasn't my number one pick to be the next Secretary of Veterans Affairs, but I'll be the first in line to shake his hand and say thank you if he seizes this opportunity and makes the absolute most of it in the best interests of Long Island's veterans, the Northport VA and the entire community nationally of all America's sons and daughters who answered the call to serve our great country in defense of our freedoms and liberties.","link","https://zeldin.house.gov/media-center/press-releases/rep-zeldin-statement-president-elect-trump-s-secretary-va-nomination","zeldin.house.gov",68,8,11,5,0,0,0,0
"RepLeeZeldin","386192271549563_696568550511932","Congressman Lee Zeldin","2017-01-12","2017-01-12 21:22:22","This afternoon, approximately 30 constituents gathered outside my office regarding the repeal of Obamacare. Some in favor of repeal. Others opposed. I appreciate them bringing attention to this important issue. I have consistently remained in favor of repeal and have never been more sure of this urgent necessity.  Obamacare has been nothing short of a disaster for countless hardworking families and our economy. The system has failed and it’s only going to get worse. Obamacare has resulted in higher premiums, higher deductibles, lost doctors, and cancelled policies, among many other challenges. Businesses on Long Island and across the nation have been forced  to reduce their workforce, cut hours, and even go out of business. Even worse, roughly one third of the counties in the U.S. have only one choice within the exchange, meaning there is no competition in the marketplace whatsoever. With the collapse of Health Republic in New York, which left over 200,000 individuals and businesses in New York without insurance coverage unexpectedly, as well as the collapse of dozens of other co-ops across the country, it has become increasingly clear that this law is deeply flawed.   In order to fix healthcare in America, we must repeal this flawed law, stabilize skyrocketing premiums and provide relief to hardworking Americans. There should be a stable transition to a new reality that will work better and make healthcare costs affordable, relieving taxpayers of the financial burdens under this failed policy, and give patients more choices, while still continuing to cover Americans with pre-existing conditions and allowing children to stay on their parent's policy. This is a multi-step process which is expected to begin this week. While moving to patient centered healthcare that gives Americans access to quality affordable care, I, along with my Republican colleagues, remain committed to providing relief to those struggling with the effects of Obamacare.","status",NA,NA,163,89,19,15,1,0,0,22
"RepLeeZeldin","386192271549563_697217633780357","Congressman Lee Zeldin","2017-01-16","2017-01-16 16:30:01","This morning, I spoke at the 32nd Annual Martin Luther King, Jr. Breakfast hosted by the First Baptist Church of Riverhead. These were my prepared remarks:  “Thank you Rev. Liggon and Rev. Coverdale, and thank you to everyone here to celebrate Martin Luther King Day; honoring one of the greatest heroes in the history of our nation.    Dr. King dedicated his life to the pursuit of justice, freedom and opportunity for all Americans - peacefully fighting social injustice and spreading the message of love and respect across our country.   He said that 'Our lives begin to end the day we become silent about things that matter.' Dr. King encouraged fierce but peaceful protest of injustice, and acted selflessly in the fight against hate and intolerance. He taught us that nonviolence can be our greatest weapon in the struggle against prejudice.    With racial tensions high in our country today, we must not only reflect on Dr. King’s message of unity and respect, but also recommit ourselves to doing our part.    Across our country, hostility and deadly clashes have taken place all too often between citizens and fellow citizens, as well as citizens and law enforcement. We cannot allow this to tear our nation apart.   Challenges exist, but so do solutions, community, unity, prayer and common purpose. Dr. King believed that violence begets violence, and that racial tensions could only be truly overcome through peaceful discussion. All Americans, regardless of race, gender, socioeconomic status, or religion, must bind together in these trying times for our nation to move forward stronger.    Our nation is fractured, but it does not always have to be this way. I know that we can enter a new day where no one is targeted because of the color of their skin, or for their uniform. We owe it to Dr. King to see his dream of a society unburdened by racism and prejudice become a reality.   Thank you again, Reverends, for allowing me to join you on this day.    Today, we honor you Dr. King, we thank you, one of the greatest Americans of all time, whose powerful message of love and unity inspires me, inspires everyone else in attendance here this morning and all others paying tribute to you today and everyday all across the land of this country that may not have been the greatest nation in the world if not for you.”","photo","https://www.facebook.com/RepLeeZeldin/photos/a.387918101376980.1073741828.386192271549563/697217633780357/?type=3",NA,71,9,9,1,0,0,0,0
