"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepLoisFrankel","138220153003017_708023686022658","Rep. Lois Frankel","2017-01-02","2017-01-02 14:40:06","Happy New Year from my family to yours.","photo","https://www.facebook.com/RepLoisFrankel/photos/a.143396882485344.32797.138220153003017/708023686022658/?type=3",NA,135,22,2,11,0,0,0,0
"RepLoisFrankel","138220153003017_708611992630494","Rep. Lois Frankel","2017-01-03","2017-01-03 20:52:15","In speaking with WPBF 25 News today, I discussed that Democrats have a clear goal for the 115th Congress: look for commonality, but pledge to stand our ground and fight for the American people.","photo","https://www.facebook.com/RepLoisFrankel/photos/a.143396882485344.32797.138220153003017/708611992630494/?type=3",NA,94,18,6,9,0,0,0,0
"RepLoisFrankel","138220153003017_708922979266062","Rep. Lois Frankel","2017-01-04","2017-01-04 14:01:34","On the House floor, my Democratic colleagues and I protested Republicans attempt to silence calls for action on gun violence.","photo","https://www.facebook.com/RepLoisFrankel/photos/a.143396882485344.32797.138220153003017/708922979266062/?type=3",NA,167,20,14,6,0,0,0,1
"RepLoisFrankel","138220153003017_708936395931387","Rep. Lois Frankel","2017-01-05","2017-01-05 14:03:02","The Republican plan to ""repeal and replace"" the Affordable Care Act will cause tens of millions of people to lose their health coverage. We can't let this happen. Share how you and your family have benefited from the #ACA in the comments below or at http://bit.ly/D21ACA, so we can remind Republicans what is at stake. #ACAWorks #CoverageMatters","photo","https://www.facebook.com/RepLoisFrankel/photos/a.143396882485344.32797.138220153003017/708936395931387/?type=3",NA,18,29,12,0,0,0,2,1
"RepLoisFrankel","138220153003017_708944895930537","Rep. Lois Frankel","2017-01-04","2017-01-04 14:55:10","Always an incredible honor to hear from President Obama, especially when speaking about how we must save the Affordable Care Act. As he said today, ""there is nothing more noble than fighting for the American people."" #ACAWorks #ThanksObama","photo","https://www.facebook.com/RepLoisFrankel/photos/a.143396882485344.32797.138220153003017/708944895930537/?type=3",NA,23,5,1,0,0,0,0,0
"RepLoisFrankel","138220153003017_708967789261581","Rep. Lois Frankel","2017-01-04","2017-01-04 16:03:59","Did you know that Medicare beneficiaries from my state of Florida save nearly $1,000 on prescription drugs? Republicans want to increase costs & #MakeAmericaSickAgain.","photo","https://www.facebook.com/RepLoisFrankel/photos/a.143396882485344.32797.138220153003017/708967789261581/?type=3",NA,17,6,3,0,0,1,0,0
"RepLoisFrankel","138220153003017_709496599208700","Rep. Lois Frankel","2017-01-05","2017-01-05 18:28:01","I'm standing with Nancy Pelosi and the Pro-Choice Caucus to raise awareness of what ACA repeal means for women. We will stand our ground and fight for women's access to healthcare -- we will not go back. Watch live: http://dems.gov/live #ProtectOurCare","link","http://dems.gov/live","dems.gov",40,7,5,3,0,0,0,0
"RepLoisFrankel","138220153003017_709673489191011","Rep. Lois Frankel","2017-01-06","2017-01-06 02:27:45","So thrilled to serve as Co-Chair of the Bipartisan Congressional Women's Caucus! Tonight the gavel was passed to me and my fellow co-chair, Rep Susan Brooks. I look forward to working with my colleagues on finding common ground and advocating issues important to the advancement of women and girls.","photo","https://www.facebook.com/RepLoisFrankel/photos/a.143396882485344.32797.138220153003017/709673489191011/?type=3",NA,63,9,6,6,0,0,0,0
"RepLoisFrankel","138220153003017_711629242328769","Rep. Lois Frankel","2017-01-09","2017-01-09 17:46:04","Attention District 21: Are you attending the Women's March on Washington on January 21? If so, please let my office know! Contact us at 561-998-9045.","status",NA,NA,39,25,11,2,0,0,0,0
"RepLoisFrankel","138220153003017_712118918946468","Rep. Lois Frankel","2017-01-10","2017-01-10 20:23:44","Health care isn’t a game — millions of lives are on the line. We must fight back against threats to the Affordable Care Act.   I'm hosting an event on Sunday, January 15 at 2pm in West Palm Beach in support of the ACA. Will you join me? Contact my office for RSVP information: 561-998-9045.","photo","https://www.facebook.com/RepLoisFrankel/photos/a.143396882485344.32797.138220153003017/712118918946468/?type=3",NA,19,16,11,2,0,0,1,1
