"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepLouCorrea","1801742833410767_1729638920659831","Rep. Lou Correa","2017-04-18","2017-04-18 21:02:20","Join Congressman Lou Correa and Immigration legal experts for an informative Town Hall on Wednesday, April 19 at 6:00 pm at Carr Intermediate School Auditorium - 2120 W Edinger Ave, Santa Ana, CA 92704.  This is a free event, and everyone is welcome. Free parking is avaible.   Topic covered will include a DACA Legislative Update from Congressman Correa, several presentations by legal experts, and a Q&A session.  ---  Acompañen al Congresista Lou Correa y a expertos de inmigración para una sesión informativa.  El evento es gratuito y está abierto al público. Hay estacionamiento gratuito disponible.   Los temas que serán discutidos incluyen el programa de DACA y desarrollo de proyectos de ley por el Congresista Correa, varios expertos de leyes, acompañado por una sesión de preguntas.","event","https://www.facebook.com/events/1729638920659831/",NA,20,1,0,0,0,0,0,0
"RepLouCorrea","1801742833410767_1801751810076536","Rep. Lou Correa","2017-01-03","2017-01-03 15:44:00",NA,"photo","https://www.facebook.com/RepLouCorrea/photos/a.1801751723409878.1073741825.1801742833410767/1801751730076544/?type=3",NA,21,3,2,0,0,0,0,0
"RepLouCorrea","1801742833410767_1801765080075209","Rep. Lou Correa","2017-01-03","2017-01-03 16:19:11",NA,"photo","https://www.facebook.com/RepLouCorrea/photos/a.1801765073408543.1073741827.1801742833410767/1801764726741911/?type=3",NA,24,1,0,0,0,0,0,0
"RepLouCorrea","1801742833410767_1802582169993500","Rep. Lou Correa","2017-01-05","2017-01-05 20:06:44","Proud to stand with my fellow Congressional Hispanic Caucus members.","photo","https://www.facebook.com/RepLouCorrea/photos/a.1802584039993313.1073741828.1801742833410767/1802582169993500/?type=3",NA,76,2,1,8,0,0,0,0
"RepLouCorrea","1801742833410767_1802658983319152","Rep. Lou Correa","2017-01-06","2017-01-06 01:32:03","For my first appearance on the Floor, I thought I’d read the Constitution.","video","https://www.facebook.com/RepLouCorrea/videos/1802658983319152/",NA,78,8,2,7,0,0,0,1
"RepLouCorrea","1801742833410767_1804064086511975","Rep. Lou Correa","2017-01-09","2017-01-09 17:35:44","I am appalled by the terrorist attack in Jerusalem. Our thoughts and prayers are with the victims and their families. As Israel’s strongest ally, we must continue to work together to defeat the terrorists intent on destroying both of our nations.","status",NA,NA,16,0,1,0,0,0,1,0
"RepLouCorrea","1801742833410767_1804160656502318","Rep. Lou Correa","2017-01-10","2017-01-10 01:30:48","As National Law Enforcement Apperception Day comes to a close let us take a moment to remember the law enforcement officers who protect us everyday. Thank you to all our law enforcement officers and their families.","photo","https://www.facebook.com/RepLouCorrea/photos/a.1802584039993313.1073741828.1801742833410767/1804160656502318/?type=3",NA,27,0,1,2,0,0,0,0
"RepLouCorrea","1801742833410767_1804521693132881","Rep. Lou Correa","2017-01-10","2017-01-10 23:45:15","Proud to join my fellow CHCI members in congratulating our new Chair Congressman Joaquin Castro!","photo","https://www.facebook.com/RepLouCorrea/photos/a.1802584039993313.1073741828.1801742833410767/1804521693132881/?type=3",NA,33,0,2,2,0,0,0,0
"RepLouCorrea","1801742833410767_1804546789797038","Rep. Lou Correa","2017-01-11","2017-01-11 00:42:47","For nearly 40 years, the Congressional Hispanic Caucus Institute has connected young Latinos with opportunities to become leaders to better their communities and their country. CHCI has empowered generations of Latinos to seek leadership. I am honored to be a member of CHCI and help future generations succeed.","photo","https://www.facebook.com/RepLouCorrea/photos/a.1804546799797037.1073741829.1801742833410767/1804544876463896/?type=3",NA,18,0,1,0,0,0,0,0
"RepLouCorrea","1801742833410767_1804808713104179","Rep. Lou Correa","2017-01-11","2017-01-11 15:37:01","We must defend the ACA and protect healthcare for 30 million Americans.","video","https://www.facebook.com/repcardenas/videos/1542789765732020/",NA,22,1,0,1,0,0,0,0
