"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepLowenthal","392631677490897_1238628839557839","Representative Alan Lowenthal","2017-01-01","2017-01-01 15:14:11","Here's to a wonderful year ahead. Wishing everyone a happy and healthy New Year!","photo","https://www.facebook.com/RepLowenthal/photos/a.394937957260269.97304.392631677490897/1238628839557839/?type=3",NA,39,2,0,0,0,0,0,0
"RepLowenthal","392631677490897_1240429306044459","Representative Alan Lowenthal","2017-01-03","2017-01-03 23:22:10","Are you interested in visiting the National Museum of African American History and Culture? If so go to nmaahc.si.edu tomorrow to reserve your pass for April 2017. #NMAAHC","status",NA,NA,7,0,1,0,0,0,0,0
"RepLowenthal","392631677490897_1241018005985589","Representative Alan Lowenthal","2017-01-04","2017-01-04 17:53:35","Yesterday I took my oath of office and was sworn in as a member of the 115th Congress. As I begin my third term as your Representative in Congress, I wanted to share that it is truly an honor to represent the 47th District as your member of congress. I know our nation faces some of the greatest challenges we have ever seen and please know I am ready to make tough decisions and compromise when appropriate to keep us on the right path.","photo","https://www.facebook.com/RepLowenthal/photos/a.394937957260269.97304.392631677490897/1241018005985589/?type=3",NA,174,27,0,9,0,0,1,0
"RepLowenthal","392631677490897_1241223699298353","Representative Alan Lowenthal","2017-01-04","2017-01-04 23:34:35","We cannot afford to dismantle something like the Affordable Care Act without knowing what will come next.  During the 2017 open enrollment period alone, approximately 6.4 million Americans have signed up for health coverage, but their health care coverage is greatly at risk and health care costs would rise significantly if Republicans repeal the #AffordableCareAct. The #ACA has made health coverage affordable for millions of Americans. Please share of story about how the #ACAworks in the comments below. #CoverageMatters","photo","https://www.facebook.com/RepLowenthal/photos/a.394937957260269.97304.392631677490897/1241223699298353/?type=3",NA,56,49,6,5,1,0,1,1
"RepLowenthal","392631677490897_1241812385906151","Representative Alan Lowenthal","2017-01-05","2017-01-05 19:37:07","I am proud to be an original cosponsor of my colleague Congressman Jared Huffman's bill, The West Coast Ocean Protection Act, which prohibits the Department of the Interior from issuing a lease for any kind of use of oil or natural gas in any part of the outer Continental Shelf off the coast of the great state of California, Oregon or Washington. This week, Senator Dianne Feinstein introduced this crucial bill on the Senate floor. I am proud to see this bill move through both chambers and hope it moves to the President’s desk as we continue our fight to protect our environment for our children and our grandchildren.","link","https://huffman.house.gov/media-center/press-releases/rep-huffman-introduces-legislation-to-permanently-ban-offshore-drilling","huffman.house.gov",89,16,2,4,0,0,3,0
"RepLowenthal","392631677490897_1241927685894621","Representative Alan Lowenthal","2017-01-05","2017-01-05 23:19:27","Today the House votes on H.R. 26, the ""REINS"" act. This bill targets commonsense rules that protect American families, including rules that limit climate-damaging pollution. Republican Leadership is demonstrating that they want to make plays from their pro-pollution playbook of doubt, denial, and destruction at the expense of working America’s health, jobs, and future. We are better than this.","status",NA,NA,24,18,1,1,0,3,3,2
"RepLowenthal","392631677490897_1242453812508675","Representative Alan Lowenthal","2017-01-06","2017-01-06 15:28:12","I believe an ultimate and lasting peace will come through direct negotiations between the Israelis and the Palestinians.  I also believe a one-sided placement of blame isn’t constructive.  I urged President Obama to veto the U.N. Security Council Resolution because it was a one-sided attempt to place all of the blame on Israel for a lack of progress toward a two-state solution and peace in the Middle East.  The reality is that violence, terrorism, and continued Palestinian incitement to violence is a major impediment to peace.  It is also true that continued expansion of Israeli settlements prevents the two sides from coming together to negotiate a lasting peace.  Unfortunately, House Resolution 11, is one-sided and unbalanced much like the U.N. Resolution.  My position is clear: both the Israelis and the Palestinians must work together to remove these roadblocks to peace—violence, incitement, and the expansion of settlements.  Both sides must come together in productive two-party talks.  Regrettably, both the U.N. Security Council Resolution and the resolution we passed today are distractions from that core aim and therefore I voted against H.Res. 11.  However, I support and I am a cosponsor of, a proposed alternative, House Resolution 23, which is balanced and addresses the concerns I have about the deficiencies of both the U.N. and House resolutions.  Unfortunately, the House Republican leadership blocked multiple efforts to include these critical changes in the resolution which passed the House today.  I will continue to advocate for both the Israelis and Palestinians to engage in meaningful two-party negotiations—the only real path to peace.  Any solution must be balanced and cannot be imposed by external entities—it must come through direct cooperation between Israelis and Palestinians.","link","http://lowenthal.house.gov/news/documentsingle.aspx?DocumentID=398797","lowenthal.house.gov",14,3,1,0,0,0,0,0
"RepLowenthal","392631677490897_1242706635816726","Representative Alan Lowenthal","2017-01-06","2017-01-06 22:23:55","I have seen firsthand the majesty of these lands in Southern Utah, the priceless Native American artifacts they contain, and the awe they inspire. I am very pleased that they will be preserved for future generations to contemplate and enjoy. I am also very glad to hear that tribal participation will be integrated into the monument’s management.   I believe the day will soon be here when we all say about Bears Ears what Utah’s Senior Senator Orrin Hatch said about Utah’s amazing Canyonlands National Park: We owe a debt of gratitude to the people, both elected officials and citizens, who possessed the foresight to recognize the value of Canyonlands and created the park 50 years ago.","link","http://lowenthal.house.gov/news/documentsingle.aspx?DocumentID=398798","lowenthal.house.gov",34,2,0,1,0,0,1,1
"RepLowenthal","392631677490897_1243420575745332","Representative Alan Lowenthal","2017-01-07","2017-01-07 20:57:40","Our economy has added more than 15 million private sectors jobs since early 2010. Now more than ever we need to continue to ensure hardworking American families have access to stable jobs and economic opportunity. I am proud of the progress we have made over the last several years, but our work must continue.","link","http://www.forbes.com/sites/maggiemcgrath/2017/01/06/in-last-jobs-report-of-obamas-presidency-u-s-adds-156000-jobs-in-december/#356ecca04423","forbes.com",52,26,4,8,2,1,2,1
"RepLowenthal","392631677490897_1245545745532815","Representative Alan Lowenthal","2017-01-10","2017-01-10 14:53:53","Senator Sessions has taken public positions against #LGBT rights, women’s rights, voting rights, and civil rights. Our Attorney General needs to protect the rights of ALL Americans. The Senate must reject Sen. Sessions.","status",NA,NA,153,44,8,12,0,0,1,0
"RepLowenthal","392631677490897_1245858988834824","Representative Alan Lowenthal","2017-01-10","2017-01-10 21:58:43","I am honored to represent not only our district and California, but all Americans as a new member on the House Committee on Transportation and Infrastructure. From bridges to airports, from ports to mass transit, our nation’s transportation infrastructure is the nervous system of a healthy economy. Congress must do everything it can to ensure that it is strong, efficient, and reliable. I am proud to now be part of that effort in the House and look forward to working hard on the many transportation and infrastructure issues that face our nation.","link","http://lowenthal.house.gov/news/documentsingle.aspx?DocumentID=398800","lowenthal.house.gov",84,11,2,7,0,1,1,0
