"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepLowey","158290607551599_1179363998777583","Congresswoman Nita Lowey","2017-01-03","2017-01-03 17:06:54","It is shameful that the first action of the Republican majority in the 115th Congress will be to advance a rules package gutting the independent Office of Congressional Ethics.  In the dark of night, in a secret vote, the majority breached public trust by disempowering the sole independent investigatory body holding lawmakers accountable for ethics violations.  This action exposes Republicans’ campaign pledge of ‘drain the swamp’ as absolute parody.  Furthermore, instead of protecting American families from the devastating effects of gun violence, House Republicans have responded to last year's historic Democratic sit-in by proposing potentially unconstitutional punishments for Members who participate in similar actions in the future. This is unacceptable, and Democrats will not be intimidated out of fiercely advocating for policies that save American lives.  The Republican rules package includes brazen assaults on the integrity of the House, and I urge all of my colleagues to reject this package.  https://lowey.house.gov/media-center/press-releases/lowey-statement-proposed-house-republican-rules-package","link","https://lowey.house.gov/media-center/press-releases/lowey-statement-proposed-house-republican-rules-package","lowey.house.gov",271,51,62,9,0,1,2,47
"RepLowey","158290607551599_1179448525435797","Congresswoman Nita Lowey","2017-01-03","2017-01-03 19:37:05","A mere 12 hours after proposing to gut the Office of Congressional Ethics (OCE), Republicans heard the overwhelming outrage of the American people and reversed course, leaving the OCE intact. While I am pleased House Republicans had a change of heart, it should not take a public outcry to convince them of the importance of transparency and holding lawmakers accountable for ethics violations.   http://www.nytimes.com/2017/01/03/us/politics/trump-house-ethics-office.html?hp&action=click&pgtype=Homepage&clickSource=story-heading&module=first-column-region&region=top-news&WT.nav=top-news","link","http://www.nytimes.com/2017/01/03/us/politics/trump-house-ethics-office.html?hp&action=click&pgtype=Homepage&clickSource=story-heading&module=first-column-region&region=top-news&WT.nav=top-news","nytimes.com",323,39,51,18,0,1,0,3
"RepLowey","158290607551599_1180169208697062","Congresswoman Nita Lowey","2017-01-04","2017-01-04 19:00:06","In the 115th Congress, I’m proud to stand and fight for hardworking American families with so many strong Democratic women. #GirlPower","photo","https://www.facebook.com/RepLowey/photos/a.168815396499120.32030.158290607551599/1180169208697062/?type=3",NA,468,23,24,46,0,0,0,0
"RepLowey","158290607551599_1181831428530840","Congresswoman Nita Lowey","2017-01-06","2017-01-06 22:48:13","Today’s declassified report on Vladamir Putin’s cybersabotage efforts to support Donald Trump in his bid for the presidency is deeply disturbing. We cannot tolerate any actions that jeopardize the integrity of our democratic institutions. This must transcend politics. It is essential that an independent Congressional commission be immediately established to investigate and report to the American people the full extent of Russia’s espionage.  https://www.washingtonpost.com/world/national-security/intelligence-chiefs-expected-in-new-york-to-brief-trump-on-russian-hacking/2017/01/06/5f591416-d41a-11e6-9cb0-54ab630851e8_story.html?hpid=hp_hp-top-table-main_trumpbriefing-309pm%3Ahomepage%2Fstory&utm_term=.94244d526dfd","link","https://www.washingtonpost.com/world/national-security/intelligence-chiefs-expected-in-new-york-to-brief-trump-on-russian-hacking/2017/01/06/5f591416-d41a-11e6-9cb0-54ab630851e8_story.html?hpid=hp_hp-top-table-main_trumpbriefing-309pm%3Ahomepage%2Fstory&utm_term=.94244d526dfd","washingtonpost.com",315,80,115,4,4,7,14,90
"RepLowey","158290607551599_1183728305007819","Congresswoman Nita Lowey","2017-01-09","2017-01-09 15:59:01","I applaud today’s agreement between Governor Cuomo and Entergy to close Indian Point Energy Center. Indian Point has long posed a grave threat to the safety and well-being of those living not only in the Lower Hudson Valley but to the nearly 18 million residents within a 50-mile radius, including New York City. I look forward to working with the Governor to find green solutions to meet New York’s energy needs, keep energy prices low, replace jobs and assist the workforce at Indian Point, support the local economy, and address the proper removal and storage of nuclear waste from the facility.   Since 2002, I have advocated shutting down the plant, and as Ranking Member of the House Appropriations Committee, I will work to ensure the federal government assists in the safe closure of Indian Point.","status",NA,NA,263,52,21,15,0,1,1,7
"RepLowey","158290607551599_1187285764652073","Congresswoman Nita Lowey","2017-01-13","2017-01-13 21:10:12","Today, Speaker Ryan and the Republican Majority passed their budget--essentially a wish list for President-elect Trump--which repeals the Affordable Care Act making health care inaccessible and more costly for millions, and forces US taxpayers to pay tens of billions of dollars for a wall on the US-Mexico border, all while adding $9.5 trillion to the national debt. These proposals are irresponsible and dangerous, and they will do serious harm to hardworking American families.    Instead of ripping health care away from 30 million Americans and wasting billions of taxpayer dollars on a useless wall, Republicans should work with Democrats on responsible investments to create jobs, improve our healthcare and schools, build roads and bridges and help working families make ends meet.","status",NA,NA,407,87,117,10,1,4,38,79
"RepLowey","158290607551599_1189153374465312","Congresswoman Nita Lowey","2017-01-16","2017-01-16 15:30:00","Today across the country, in community centers, houses of worship, and homes, we gather to remember the life, teachings, and vision of Dr. Martin Luther King, Jr. In 2017, his legacy and life’s work are as important as ever, and they continue to light America’s path toward becoming a more perfect union.  We must continue to follow Dr. King’s example and strive to live by the principles he fought to uphold. We must continue to work together to make this country a better place than when we found it, regardless of how impossible that goal may seem at times. And we must continue working with all Americans who believe in equality and justice to drive out hate and make Dr. King’s dream a reality.","status",NA,NA,83,4,4,3,0,0,0,0
"RepLowey","158290607551599_1189631197750863","Congresswoman Nita Lowey","2017-01-16","2017-01-16 20:24:19","Today, I was proud to celebrate the life and legacy of Dr. Martin Luther King, Jr. at events across Rockland and Westchester, including the African American Men of Westchester 16th Annual MLK, Jr. Legacy Youth Awards Luncheon in Tarrytown and the St. Charles AME Zion Church Annual MLK, Jr. Day Commemoration Breakfast in Sparkill, where I was honored to receive the MLK, Jr. Humanitarian Award. As we continue the fight for equality and justice for all Americans, Dr. King’s legacy serves as a powerful reminder of the strength of ordinary citizens to unite against hatred and intolerance.","photo","https://www.facebook.com/RepLowey/photos/a.168815396499120.32030.158290607551599/1189631197750863/?type=3",NA,121,26,0,6,0,0,0,0
"RepLowey","158290607551599_1192443687469614","Congresswoman Nita Lowey","2017-01-20","2017-01-20 14:39:27","With respect for our nation’s democratic institutions and the peaceful transfer of power, I am planning to attend the Inauguration. In addition, I will join millions of Americans tomorrow in support of justice and equality for all, respect for women, and leadership that unites – not divides – us.  In Congress, I will keep fighting forcefully with Congressman John Lewis and other colleagues who share my commitment to those ideals. As the highest ranking Democrat on the House Appropriations Committee, it will continue to be my top priority to advance improvements in affordable and accessible health care, gun safety, the right to choose, quality education, and job creation while ensuring accountability for the President-elect.","status",NA,NA,258,48,8,20,0,0,15,2
"RepLowey","158290607551599_1192677967446186","Congresswoman Nita Lowey","2017-01-20","2017-01-20 21:51:25","Today, Donald Trump missed a chance to begin to heal the wounds of a divisive campaign and explain his vision for a bright, inclusive American future.    The time for campaigning is over. Republicans and Democrats must join together in our efforts to make responsible investments in creating jobs, improving healthcare and schools, and helping working families make ends meet.    I congratulate Donald J. Trump on his inauguration as our 45th President. But I will fight tirelessly to hold him to his promise of being a President for all Americans. We must unite to build a more perfect union for our children and grandchildren, with equality and justice for all.  https://lowey.house.gov/media-center/press-releases/lowey-statement-inauguration-donald-trump","link","https://lowey.house.gov/media-center/press-releases/lowey-statement-inauguration-donald-trump","lowey.house.gov",269,28,23,11,0,0,0,8
"RepLowey","158290607551599_1196318773748772","Congresswoman Nita Lowey","2017-01-24","2017-01-24 18:19:50","In his Inaugural Address, President Trump said he would put ‘America First.’ He can’t do that by reinstating the dangerous Global Gag Rule that marginalizes women around the world and weakens our foreign assistance. That’s why I’ve introduced the Global Health, Empowerment, and Rights (HER) Act to permanently repeal this ill-conceived and draconian Rule.  Women around the world deserve the ability to make healthy choices for themselves and their families. I call on my colleagues from all sides of the aisle to put aside politics and support full and consistent access to family planning and reproductive health services by supporting the Global HER Act. #GlobalGagRule #HER","status",NA,NA,636,84,94,77,0,1,0,16
"RepLowey","158290607551599_1196501703730479","Congresswoman Nita Lowey","2017-01-24","2017-01-24 22:25:04","Today, my bill, the READ Act, passed the House of Representatives. Education is the fundamental tool that empowers girls and boys to increase their economic potential, improve their health outcomes, address cultural biases, participate in their communities, and provide for their families. That’s why the READ Act would prioritize children’s access to education around the world, strengthening our national security and global leadership. I urge my colleagues in the Senate to quickly pass the READ Act, because we cannot build the world we want for ourselves, and for future generations, without making education the center of our efforts.","video","https://www.facebook.com/RepLowey/videos/1196501703730479/",NA,388,31,39,31,0,0,0,0
"RepLowey","158290607551599_1196528090394507","Congresswoman Nita Lowey","2017-01-24","2017-01-24 23:26:00","Rather than heal our divided nation, create jobs or improve access to health care, today, Republicans are taking another step in their tireless quest to drag America back to the Mad Men era by depriving women of their own healthcare decisions. H.R. 7 would roll back women's rights, make comprehensive health insurance more expensive for women, and even penalize small businesses that offer comprehensive health coverage for their employees. But we're not going to take it. America's women demand that Republicans stop this dangerous assault on women's rights.","status",NA,NA,342,38,56,9,0,0,1,58
"RepLowey","158290607551599_1198419546872028","Congresswoman Nita Lowey","2017-01-26","2017-01-26 19:43:21","President Trump’s most recent outrageous executive orders are not just reckless, they are dangerous. In his first week, the President has provided no adequate justification for his multi-billion dollar boondoggle along the US-Mexico border. He will strip federal funding from New York and other ‘sanctuary cities’ that lawfully refuse to bow to his draconian demands. These steps are an affront to our nation’s core values and put American lives at risk.   New York is the top target for terrorist threats in the country. As a result, President Trump’s executive orders will put the City in a budget crisis where it will be unable to fully fund the New York Police Department, counterterrorism operations, and other vital programs that keep New Yorkers safe. It is particularly shameful that President Trump – who professes to be a proud New Yorker – would even consider threatening the security of millions without ensuring the NYPD is reimbursed for the cost of his own protection at Trump Tower.   The President should execute thoughtful policies that keep us safer, not ones that serve simply as costly ideological attacks on the most vulnerable. These directives are counter to who we are as New Yorkers and as Americans. As Ranking Member of the House Appropriations Committee, I will continue fighting to keep New Yorkers safe, both from terrorism and from attacks on our fundamental values.","status",NA,NA,621,113,101,32,0,0,3,59
"RepLowey","158290607551599_1199569203423729","Congresswoman Nita Lowey","2017-01-27","2017-01-27 20:46:28","Today, on International Holocaust Remembrance Day, we honor the six million Jews murdered for who they were and what they believed. Our solemn vow ‘Never Again’ reaffirms our promise that the legacy and memory of the victims will never be forgotten.  In the last year, public and disgusting displays of intolerance and anti-Semitism have increased across the Lower Hudson Valley and the country. However, we are fortunate to have strong institutions like the Holocaust Museum and Center for Tolerance and Education in Suffern and the Holocaust and Human Rights Education Center (HHREC) in White Plains to remind us of the importance of fighting prejudice with acceptance, violence with peace, and hatred with love.    As we renew our commitment to justice for all people, I find inspiration in HHREC Executive Director Millie Jasper’s call to mark Holocaust Remembrance Day by becoming “upstanders, not bystanders,” in the fight against hatred and bigotry.  http://www.lohud.com/story/news/2017/01/26/holocaust-remembrance-day-remembering-6-million/97041508/","link","http://www.lohud.com/story/news/2017/01/26/holocaust-remembrance-day-remembering-6-million/97041508/","lohud.com",139,13,15,1,0,0,29,0
"RepLowey","158290607551599_1200590949988221","Congresswoman Nita Lowey","2017-01-28","2017-01-28 21:54:14","For more than 200 years, the United States has been a haven and symbol of hope for people around the world fleeing persecution, violence, and unspeakable horror. Our Statue of Liberty proudly proclaims, 'Give me your tired, your poor, your huddled masses.' Yet, on International Holocaust Remembrance Day, President Trump enacted an unconstitutional executive order banning people of a particular religion from entering the United States.   We already have strict security vetting requirements for refugees, and the President's order will not make us safer.  In fact, our enemies will use President Trump's directive for propaganda and recruitment, bolstering their efforts to damage America's global stature and endanger the lives of US citizens at home and abroad. Even Republicans, including Vice President Pence, former Vice President Cheney, and Speaker Ryan, have criticized religious tests for entering our country.   Our nation's most powerful foreign policy tool is our moral leadership. President Trump's action does not live up to America's core values of equality and religious freedom, and he must rescind his executive order immediately.","status",NA,NA,646,80,130,33,1,1,31,10
"RepLowey","158290607551599_1202659779781338","Congresswoman Nita Lowey","2017-01-30","2017-01-30 17:47:00","The 2017 deadline for New Yorkers to sign up for a 2017 health plan is Tuesday, January 31st. To  enroll, visit nystateofhealth.ny.gov or call 1-855-355-5777. #SignUpNY","status",NA,NA,20,0,13,0,0,0,0,0
"RepLowey","158290607551599_1202936816420301","Congresswoman Nita Lowey","2017-01-30","2017-01-30 23:20:09","I’m joining my colleagues from the House and Senate on the steps of the Supreme Court to voice our unified outrage and to demand that President Trump rescind his unconstitutional executive order. I’ll fight to pass the Statue of Liberty Values Act (SOLVe) Act and the No Funds for Unconstitutional Executive Orders Act to prohibit congressionally authorized funds to enforce this illegal directive. #NoBanNoWall","video","https://www.facebook.com/RepLowey/videos/1202936816420301/",NA,937,155,95,111,4,1,1,2
"RepLowey","158290607551599_1203550963025553","Congresswoman Nita Lowey","2017-01-31","2017-01-31 16:06:46","Each day brings a new outrageous act by the Trump Administration. Acting Attorney General Sally Yates was fired overnight by the President for doing her job.   In her refusal to defend the President's illegal religious test for immigrants and refugees, Attorney General Yates did exactly what she swore to do: uphold the constitution and remain loyal to the rule of law. Now more than ever we need principled officials like Sally Yates.  President Trump must stop treating our core values and religious freedoms like reality show plot lines and get serious about the security and economic challenges we face.","status",NA,NA,370,54,33,27,2,2,4,16
"RepLowey","158290607551599_1203780929669223","Congresswoman Nita Lowey","2017-01-31","2017-01-31 21:04:49","It was a pleasure to host King Abdullah of Jordan in the U.S. Capitol to reaffirm the strong partnership between our two countries and to discuss ways to combat extremism around the world.","photo","https://www.facebook.com/RepLowey/photos/a.168815396499120.32030.158290607551599/1203780929669223/?type=3",NA,102,6,1,2,0,0,0,0
"RepLowey","158290607551599_1205703022810347","Congresswoman Nita Lowey","2017-01-31","2017-01-31 17:00:00","I am appalled by continued reports of bomb threats against Jewish Community Centers around the country.   I urge community members to remain vigilant at all times, and call on local law enforcement to urgently investigate each incident.  Such hateful intimation targeting Jewish Americans is unacceptable.  We must stand together to condemn such incendiary behavior.","status",NA,NA,189,21,36,0,0,0,26,15
"RepLowey","158290607551599_1205847589462557","Congresswoman Nita Lowey","2017-02-02","2017-02-02 21:09:16","As the head of the Bipartisan Anti-Semitism Task Force, I was honored to host the Honorable Rabbi Lord Jonathan Sacks for an important discussion on stemming the tide of global anti-Semitism.","photo","https://www.facebook.com/RepLowey/photos/a.168815396499120.32030.158290607551599/1205847589462557/?type=3",NA,73,7,3,2,0,0,0,0
"RepLowey","158290607551599_1206555696058413","Congresswoman Nita Lowey","2017-02-03","2017-02-03 17:42:38","It has been two years since the fatal Metro-North crash shocked our region, yet the National Transportation Safety Board (NTSB) still has not released its report on the crash. That's why I wrote the NTSB to ask for an update on when we can expect more information on this deadly collision and on steps we can take to prevent similar tragedies in the future.   Improving rail crossing safety is one of my top priorities, and I've fought to secure new federal investments in rail safety, including more than $5 million for upgrades at 10 different crossings throughout Westchester and Rockland. As Ranking Member of the House Appropriations Committee, I will continue working hard to ensure that our communities remain safe and secure.  http://www.lohud.com/story/news/transit/2017/02/03/nita-lowey-ntsb-valhalla/97409018/","link","http://www.lohud.com/story/news/transit/2017/02/03/nita-lowey-ntsb-valhalla/97409018/","lohud.com",60,2,3,1,0,0,0,0
"RepLowey","158290607551599_1206830012697648","Congresswoman Nita Lowey","2017-02-04","2017-02-04 00:31:15","I’m proud to stand in solidarity with members of our community at the Ossining Unity Vigil who are deeply concerned by the President’s unconstitutional and offensive actions. Hate has no place in the Lower Hudson Valley, in the White House, or anywhere in our great country.","video","https://www.facebook.com/RepLowey/videos/1206830012697648/",NA,417,25,17,35,1,0,0,2
"RepLowey","158290607551599_1207401395973843","Congresswoman Nita Lowey","2017-02-04","2017-02-04 17:43:13","This morning, I was honored to join strong gun safety advocates at the Gun Violence Prevention Forum in Chappaqua. I remain committed to passing commonsense gun safety legislation that will keep our communities safe and protect American lives. Although the political climate is tumultuous, it is our responsibility to act now – regardless of the politics – to spare families the pain that gun violence brings. I will continue working with local legislators and activists to stand up for what is right when it matters the most and keep guns out of the wrong hands.","photo","https://www.facebook.com/RepLowey/photos/a.168815396499120.32030.158290607551599/1207401395973843/?type=3",NA,221,23,16,18,0,0,0,0
