"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepLujanGrisham","191640657646128_1000315166778669","Congresswoman Michelle Lujan Grisham","2017-01-18","2017-01-18 20:38:27","I am alarmed by the testimony of Betsy DeVos, President-Elect Trump’s nominee to serve as Education Secretary. Most troubling is her lack of understanding, and her refusal to commit to enforcing disability protections for all children. My sister had a disability, and my mother fought to ensure she could benefit from a public education. Children with special needs have incredible potential to pursue careers of their choice and lead meaningful lives. To unilaterally determine that any child doesn’t deserve to succeed is shameful. We can’t allow this ignorance of our federal civil rights, which seems to be a common characteristic among the incoming President’s top picks to run the federal government. https://www.washingtonpost.com/local/education/senators-to-scrutinize-betsy-devos-trumps-pick-for-education-secretary/2017/01/17/3a0e6168-da8f-11e6-9a36-1d296534b31e_story.html?utm_term=.ea84058da5bd","link","https://www.washingtonpost.com/local/education/senators-to-scrutinize-betsy-devos-trumps-pick-for-education-secretary/2017/01/17/3a0e6168-da8f-11e6-9a36-1d296534b31e_story.html?utm_term=.ea84058da5bd","washingtonpost.com",963,166,289,17,3,17,77,250
"RepLujanGrisham","191640657646128_1001124410031078","Congresswoman Michelle Lujan Grisham","2017-01-19","2017-01-19 23:49:12","After working with the Postal Service and the letter carriers, I’m proud to announce that they have agreed to reinstate the fall 2017 food drive.  Big thanks to both the letter carriers and USPS management for ensuring that the fall food drive can continue.  This food drive collects approximately 200,000 pounds of food every year for hungry New Mexican families.","photo","https://www.facebook.com/RepLujanGrisham/photos/a.197071373769723.61564.191640657646128/1001124410031078/?type=3",NA,125,10,6,11,0,1,0,0
"RepLujanGrisham","191640657646128_1001677756642410","Congresswoman Michelle Lujan Grisham","2017-01-20","2017-01-20 20:07:50","While President Trump reiterated his commitment to pay more attention to Americans who feel completely left behind, he didn’t offer a path forward. He failed to recognize the magnitude of this moment and he missed the opportunity to unify a divided country.  We all have an obligation to work together to ensure everyone has the opportunity to find good jobs, get access to quality, affordable health care, and feel safe in their communities.  Instead, the President reiterated an isolationist philosophy that goes against America’s core values. He continues to play to people’s worst fears, and in doing so, he jeopardizes America’s standing in the world.  Nevertheless, I am prepared to work with the President and his team, and help them understand the challenges we face in New Mexico. We have critical federal infrastructure in the state and a proud workforce that helps to keep America safe and prosperous. We also have a diverse population that values all of our neighbors, including immigrants.  I am always hopeful for the future of New Mexico, and I will do everything in my power to ensure our state is always represented in Washington. http://www.npr.org/2017/01/20/510746700/donald-trump-sworn-in-as-the-45th-president-of-the-united-states","link","http://www.npr.org/2017/01/20/510746700/donald-trump-sworn-in-as-the-45th-president-of-the-united-states","npr.org",257,65,27,21,1,5,4,21
"RepLujanGrisham","191640657646128_1001684309975088","Congresswoman Michelle Lujan Grisham","2017-01-20","2017-01-20 20:19:05",NA,"video","https://www.facebook.com/congressional.hispanic.caucus/videos/10154372465523261/",NA,55,4,0,8,0,1,0,0
"RepLujanGrisham","191640657646128_1003421086468077","Congresswoman Michelle Lujan Grisham","2017-01-22","2017-01-22 18:37:40","ThankQ takes the time to recognize one of the most hardworking groups in Albuquerque and across the nation -- educators. With the current climate of education in our state, teachers are evaluated in ways that are not reflective of the unique needs of their students, which make their jobs even more difficult. They are not thanked enough for the immense contributions that they provide each and every day. Teachers deserve pay raises, not budget cuts. Join me in thanking teachers, counselors, librarians, coaches and any educators who are helping build the future of New Mexico through our students.","photo","https://www.facebook.com/RepLujanGrisham/photos/a.197071373769723.61564.191640657646128/1003421086468077/?type=3",NA,188,15,31,25,0,1,0,0
"RepLujanGrisham","191640657646128_1005231956286990","Congresswoman Michelle Lujan Grisham","2017-01-25","2017-01-25 00:10:39","There is no excuse for this type of sexist behavior, especially from an elected official. I recently visited Carlsbad, a community that has always been gracious and welcoming. I am confident that this councilor's disgusting behavior is not reflective of the community. I hope they will hold him accountable. http://www.kob.com/new-mexico-news/carlsbad-city-councilor-jr-doporto-facebook-comment-women-criticism-social-media-facebook-free-speech/4378998/?cat=500","link","http://www.kob.com/new-mexico-news/carlsbad-city-councilor-jr-doporto-facebook-comment-women-criticism-social-media-facebook-free-speech/4378998/?cat=500","kob.com",298,105,93,5,1,33,10,217
"RepLujanGrisham","191640657646128_1006680792808773","Congresswoman Michelle Lujan Grisham","2017-01-26","2017-01-26 16:07:02","I am speaking soon to a joint session of the NM Legislature. Watch the livestream on the Legislature's web site when the session convenes about 10:45 am https://www.nmlegis.gov/","link","https://www.nmlegis.gov/","nmlegis.gov",94,6,6,15,0,0,0,0
"RepLujanGrisham","191640657646128_1006880446122141","Congresswoman Michelle Lujan Grisham","2017-01-26","2017-01-26 22:37:45","I reminded members of the NM Legislature today that we all - Democrats and Republicans - have to generate bold ideas and take risks if we are going to turn the state around. There is no shame in admitting some policies aren't working. What's shameful is if we do nothing about it. The first lesson is we know we can't cut our way to prosperity. We must invest in New Mexicans every chance we get.","photo","https://www.facebook.com/RepLujanGrisham/photos/a.356559737820885.1073741827.191640657646128/1006880189455500/?type=3",NA,373,27,13,50,0,1,0,0
"RepLujanGrisham","191640657646128_1008330395977146","Congresswoman Michelle Lujan Grisham","2017-01-29","2017-01-29 02:05:40","President Trump’s executive order on refugees and immigration jeopardizes our national security and provides ISIS and other terrorists the propaganda they desire to fuel future attacks against the U.S. and our allies. The most effective weapon we have against extremists is our American principles of protecting human rights and civil liberties. If the President believes we need to strengthen an already rigorous vetting process for refugees fleeing violence and persecution, I am interested in seeing what he has in mind. But that doesn’t mean we should toss out the entire population of asylum-seekers who do not pose risks to our national security. https://www.nytimes.com/2017/01/28/world/middleeast/trump-middle-east-refugees-ban.html","link","https://www.nytimes.com/2017/01/28/world/middleeast/trump-middle-east-refugees-ban.html","nytimes.com",339,56,90,9,2,1,65,71
"RepLujanGrisham","191640657646128_1009507069192812","Congresswoman Michelle Lujan Grisham","2017-01-30","2017-01-30 18:33:47","First order of business as I arrive back in Washington, D.C., is to co-sponsor legislation that will nullify President Trump’s ban on Muslims and refugees from around the world. Then I will join my Democratic colleagues in the House and Senate and march from the Capitol to the U.S. Supreme Court to participate in a news conference to denounce the President’s actions. You can watch the news conference at 4 p.m. (MT) from the Facebook event page: https://www.facebook.com/events/259447244490605/?active_tab=about%E2%80%8B","event","https://www.facebook.com/events/259447244490605/",NA,466,65,0,63,1,2,0,5
