"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepMarciaLFudge","279006440801_10154927175290802","Representative Marcia L. Fudge","2017-01-01","2017-01-01 05:04:55","Happy 2017! I wish everyone a safe, joyous, and prosperous new year!","photo","https://www.facebook.com/RepMarciaLFudge/photos/a.10150251962045802.371112.279006440801/10154927175290802/?type=3",NA,100,10,2,1,0,0,0,0
"RepMarciaLFudge","279006440801_10154935993000802","Representative Marcia L. Fudge","2017-01-03","2017-01-03 23:51:49","ICYMI: Click here to see video from today's House Swearing In Ceremony. https://www.c-span.org/video/?420824-1/house-speaker-paul-ryan-holds-ceremonial-swearingin-members. What an exciting day!","link","https://www.c-span.org/video/?420824-1%2Fhouse-speaker-paul-ryan-holds-ceremonial-swearingin-members","c-span.org",4,1,1,0,0,0,0,0
"RepMarciaLFudge","279006440801_10154937798295802","Representative Marcia L. Fudge","2017-01-04","2017-01-04 16:42:59","The Affordable Care Act has made health coverage affordable for thousands of Ohians and millions of Americans. Share your story of how the #ACAworks for you in the comments below. #CoverageMatters","photo","https://www.facebook.com/RepMarciaLFudge/photos/a.10150251962045802.371112.279006440801/10154937798295802/?type=3",NA,16,15,5,0,2,0,0,0
"RepMarciaLFudge","279006440801_10154943278550802","Representative Marcia L. Fudge","2017-01-06","2017-01-06 16:43:34","WATCH LIVE: First Lady Michelle Obama will deliver her final remarks as First Lady at the 2017 School Counselor of the Year event in the East Room of the White House. School Counselor of the Year is an annual White House tradition started in 2015 by Mrs. Obama. https://www.whitehouse.gov/live/reach-higher-counselor-year-event","link","https://www.whitehouse.gov/live/reach-higher-counselor-year-event","whitehouse.gov",74,9,13,6,0,0,9,0
"RepMarciaLFudge","279006440801_10154951524145802","Representative Marcia L. Fudge","2017-01-09","2017-01-09 17:42:32","Tax Season is here and the IRS has launched an online application that will assist taxpayers with straightforward balance inquiries in a safe, easy and convenient way. Learn more here: https://www.irs.gov/uac/irs-launches-new-online-tool-to-assist-taxpayers-with-basic-account-information","link","https://www.irs.gov/uac/irs-launches-new-online-tool-to-assist-taxpayers-with-basic-account-information","irs.gov",16,1,10,0,0,0,0,0
"RepMarciaLFudge","279006440801_10154954966775802","Representative Marcia L. Fudge","2017-01-10","2017-01-10 23:26:44","#BetsyDeVos is an imminent & present danger to our nation's children. I urge my Senate colleagues to vote ""No!""","link","https://www.c-span.org/video/?c4643995%2Frep-marcia-fudge-says-devos","c-span.org",912,68,231,127,0,1,0,3
"RepMarciaLFudge","279006440801_10154956813495802","Representative Marcia L. Fudge","2017-01-11","2017-01-11 16:34:26","I am adamantly opposed to the confirmation of Senator Jeff Sessions as Attorney General of the United States. Watch confirmation hearings for key positions in the next Presidential Administration here: http://www.judiciary.senate.gov/meetings/01/11/2017/attorney-general-nomination. I urge my Senate colleagues to vote ""No!""","link","http://www.judiciary.senate.gov/meetings/01/11/2017/attorney-general-nomination","judiciary.senate.gov",400,73,60,41,0,0,0,2
"RepMarciaLFudge","279006440801_10154957269800802","Representative Marcia L. Fudge","2017-01-11","2017-01-11 19:37:39","Congratulations to Ohio’s schools for receiving a $2M grant to increase the number of students well-prepared for high-skilled jobs. The money is part of a collaboration between CCSSO - The Council of Chief State School Officers and JPMorgan Chase’s $75 million New Skills for Youth initiative to strengthen career education and create pathways to economic success.  Learn more here: http://www.ccsso.org/News_and_Events/Press_Releases/JPMorgan_Chase_and_CCSSO_Announce_20_Million_to_Improve_Career_Education_for_Young_People_in_10_US_States.html","link","http://www.ccsso.org/News_and_Events/Press_Releases/JPMorgan_Chase_and_CCSSO_Announce_20_Million_to_Improve_Career_Education_for_Young_People_in_10_US_States.html","ccsso.org",57,1,4,5,0,0,0,0
"RepMarciaLFudge","279006440801_10154966654200802","Representative Marcia L. Fudge","2017-01-14","2017-01-14 01:54:05","Happy Founders Day, Sorors! 104 years of scholarship, sisterhood, and service!","photo","https://www.facebook.com/RepMarciaLFudge/photos/a.10150251962045802.371112.279006440801/10154966654200802/?type=3",NA,107,6,7,27,0,0,0,0
"RepMarciaLFudge","279006440801_10154974452625802","Representative Marcia L. Fudge","2017-01-16","2017-01-16 16:29:59","ICYMI: Yesterday, I spent time w/ Joy-Ann Reid and my colleague, Rep. Barbara Lee on MSNBC. We discussed our friend, Rep. John Lewis, the importance of Dr. Martin Luther King Jr and civil rights, and the upcoming Presidential Inauguration. Watch the interview here:  http://www.msnbc.com/am-joy/watch/rep-marcia-fudge-won-t-attend-trump-inauguration-855438403505","link","http://www.msnbc.com/am-joy/watch/rep-marcia-fudge-won-t-attend-trump-inauguration-855438403505","msnbc.com",541,204,126,128,1,3,3,10
"RepMarciaLFudge","279006440801_10154978335590802","Representative Marcia L. Fudge","2017-01-17","2017-01-17 23:39:15","No to DeVos! Our children deserve better!","link","http://capac-chu.house.gov/press-release/nearly-70-members-congressional-tri-caucus-oppose-betsy-devos","capac-chu.house.gov",136,13,0,9,0,0,0,0
"RepMarciaLFudge","279006440801_10154981197145802","Representative Marcia L. Fudge","2017-01-18","2017-01-18 19:30:07","You still have time to tune in! Watch President Obama's final press conference of his Administration.","video","https://www.facebook.com/ObamaWhiteHouse/videos/10155159130114238/",NA,110,11,0,28,0,0,14,0
"RepMarciaLFudge","279006440801_10154983954210802","Representative Marcia L. Fudge","2017-01-19","2017-01-19 16:26:17","Republican attacks can’t hide the fact that the Affordable Care Act works for all Americans – not just those who get coverages through the exchanges. Whether it’s banning lifetime limits or making sure plans make it easy for consumers to know what they are paying for, there’s something for everyone. https://goo.gl/gua2gD","link","https://goo.gl/gua2gD","goo.gl",100,25,58,3,0,4,3,2
"RepMarciaLFudge","279006440801_10154990670015802","Representative Marcia L. Fudge","2017-01-21","2017-01-21 19:12:01","Pleased to participate in today's #WomensMarch in Cleveland. It's time to roll up our sleeves and get to work. I am proud to represent you in the district and in Washington. Great crowd out there today!","photo","https://www.facebook.com/RepMarciaLFudge/photos/a.10150251962045802.371112.279006440801/10154990666385802/?type=3",NA,1235,35,101,222,1,0,1,5
"RepMarciaLFudge","279006440801_10155003991275802","Representative Marcia L. Fudge","2017-01-24","2017-01-24 20:40:53","I am saddened to hear of the death of Cleveland Police Officer, David Fahey. I send my heartfelt condolences and prayers to his family, friends, and the entire Cleveland community. Officer Fahey, thank you for your service to the people of the 11th Congressional District. http://fox8.com/2017/01/24/remembering-officer-david-fahey-condolences-prayers-from-across-ohio/","link","http://fox8.com/2017/01/24/remembering-officer-david-fahey-condolences-prayers-from-across-ohio/","fox8.com",73,7,6,5,0,0,41,0
"RepMarciaLFudge","279006440801_10155011386040802","Representative Marcia L. Fudge","2017-01-26","2017-01-26 19:21:54","Did you hear the good news? Four researchers from some of our region’s top health institutions received federal NIH grants for groundbreaking research in cancer eradication and heart health. Join me in congratulating them and applauding the innovation happening every day in the 11th Congressional District! http://www.cleveland.com/metro/index.ssf/2017/01/4_cleveland_researchers_receive_prestigous_national_award_multi-million_dollar_grants.html","link","http://www.cleveland.com/metro/index.ssf/2017/01/4_cleveland_researchers_receive_prestigous_national_award_multi-million_dollar_grants.html","cleveland.com",122,6,13,8,0,0,0,0
"RepMarciaLFudge","279006440801_10155023577375802","Representative Marcia L. Fudge","2017-01-31","2017-01-31 01:04:50","Today, I joined more than 160 House Democrats in introducing SOLVE, or the Statue of Liberty Values Act, to defund and rescind President Donald Trump’s executive order banning travel from Muslim countries and suspending the refugee program. Over the weekend, Americans witnessed chaos at airports across the country as travelers, including Lawful Permanent Residents, children, and elderly persons were denied entry to the United States. Some were from #OH11. I strongly oppose President Trump's divisive actions and join my colleagues in sending a message worldwide - All are welcome!","photo","https://www.facebook.com/RepMarciaLFudge/photos/a.10150251962045802.371112.279006440801/10155023577375802/?type=3",NA,517,79,114,105,0,1,1,0
"RepMarciaLFudge","279006440801_10155028796010802","Representative Marcia L. Fudge","2017-02-01","2017-02-01 18:25:31","Not a good way to start Black History Month - #StopSessions http://www.politico.com/story/2017/02/senate-judiciary-jeff-sessions-234488","link","http://www.politico.com/story/2017/02/senate-judiciary-jeff-sessions-234488","politico.com",39,19,19,1,0,1,50,90
"RepMarciaLFudge","279006440801_10155029222395802","Representative Marcia L. Fudge","2017-02-01","2017-02-01 21:27:43","When it comes to Neil Gorsuch for #SCOTUS, I am surprised at how the GOP is so readily accepting of a nominee that is no more qualified than Merrick Garland. My GOP colleagues were willing to leave the seat vacant for a year, but now expect a speedy confirmation of Gorsuch? http://www.cnn.com/2017/01/31/politics/donald-trump-supreme-court-nominee/","link","http://www.cnn.com/2017/01/31/politics/donald-trump-supreme-court-nominee/","cnn.com",109,40,25,4,1,1,14,48
"RepMarciaLFudge","279006440801_10155051232885802","Representative Marcia L. Fudge","2017-02-08","2017-02-08 22:30:23","Pleased to introduce H.R. 952, The Food Donation Act of 2017.  The bill clarifies and enhances coverage under The Bill Emerson Good Samaritan Food Donation Act (Emerson Act) which promotes food donation by protecting food donors and food recovery organizations. Hunger is not a game. We need to do all we can to feed families and support organizations working with us on this aim. Learn more here: https://fudge.house.gov/press-statements/congresswoman-marcia-l-fudge-introduces-bipartisan-bill-to-increase-food-donation-nationwide/","photo","https://www.facebook.com/RepMarciaLFudge/photos/a.10150251962045802.371112.279006440801/10155051232885802/?type=3",NA,51,3,18,8,0,0,0,0
"RepMarciaLFudge","279006440801_10155053723210802","Representative Marcia L. Fudge","2017-02-09","2017-02-09 21:21:44","Let's celebrate Black History Month! https://youtu.be/zTExWNXXlYA","video","https://youtu.be/zTExWNXXlYA",NA,65,4,11,6,0,0,0,0
"RepMarciaLFudge","279006440801_10155064647360802","Representative Marcia L. Fudge","2017-02-13","2017-02-13 18:56:10","Join me in congratulating the Akron Community Foundation for winning a new grant to help bring communities together in Northeast Ohio! #OH11Pride http://wksu.org/post/akron-community-foundation-receives-knight-grant-community-engagement-event","link","http://wksu.org/post/akron-community-foundation-receives-knight-grant-community-engagement-event","ksu.org",12,1,1,0,0,0,0,0
"RepMarciaLFudge","279006440801_10155070758350802","Representative Marcia L. Fudge","2017-02-15","2017-02-15 19:42:00","The writing is on the wall, but House Republicans blatantly refuse to do what is right for the country and launch an independent commission to explore Russia’s efforts to influence the 2016 election. Last night’s revelations that Trump campaign staffers were in constant communication with members of Russian intelligence make the situation even more dire & urgent. Americans deserve to know the truth. https://goo.gl/0YWaHP","link","https://goo.gl/0YWaHP","goo.gl",93,18,67,2,1,7,11,23
"RepMarciaLFudge","279006440801_10155074376160802","Representative Marcia L. Fudge","2017-02-16","2017-02-16 16:16:29","Happening now! I will continue to advocate for #SNAP as one of the federal government's most successful social programs. https://www.youtube.com/watch?v=ThQWC7mjkTw","video","https://www.youtube.com/watch?v=ThQWC7mjkTw",NA,69,6,8,3,0,1,0,0
"RepMarciaLFudge","279006440801_10155093384095802","Representative Marcia L. Fudge","2017-02-22","2017-02-22 19:24:04","Hope to see you this Saturday! Admission is free and open to the public.","event","https://www.facebook.com/events/1779381025716306/",NA,198,4,0,11,0,0,0,0
"RepMarciaLFudge","279006440801_10155093732535802","Representative Marcia L. Fudge","2017-02-22","2017-02-22 21:49:03","Each year in the United States, more than $200 billion is spent on food that is never consumed. Fifty million tons of this uneaten food ends up in landfills, while more than 48 million American families—one in seven—live in food-insecure households. The resources used to grow, process, and transport food are all squandered when uneaten foods are disposed of. That’s why my office hosted a round table discussion on Friday, Feb. 17th with community leaders to address issues surrounding food waste and encourage innovative ways to fight hunger.  I thank all who participated and look forward to working with you in the future.","photo","https://www.facebook.com/RepMarciaLFudge/photos/a.10150251962045802.371112.279006440801/10155093717705802/?type=3",NA,31,3,6,0,0,1,0,0
"RepMarciaLFudge","279006440801_10155093990635802","Representative Marcia L. Fudge","2017-02-22","2017-02-22 23:51:15","I am deeply concerned about recent bomb threats on the Mandel Jewish Community Center and on Jewish community centers (JCCs) nationwide. As a community and nation, we must continue to spread a message of peace, hope, and love, not hate and divisiveness. Threats on our nation’s JCCs cannot continue. They must end now!","link","http://www.jewishcleveland.org/news/blog/murphy_crowley_letter/","jewishcleveland.org",72,8,0,2,0,1,7,1
"RepMarciaLFudge","279006440801_10155094017825802","Representative Marcia L. Fudge","2017-02-23","2017-02-23 00:06:06","Over the past two days, I attended two events with leaders of #OH11 Muslim communities at Masjid Bilal and First Cleveland Mosque.  I am proud to stand with them and will continue to do so.  Dr. Martin Luther King, Jr. said, “There comes a time when silence becomes betrayal.” I will not betray the Muslim community. I strongly oppose President Donald Trump’s Muslim ban and will continue to advocate against it.  I thank the Imams for inviting me and all who worked to make these events happen.","photo","https://www.facebook.com/RepMarciaLFudge/photos/a.10150251962045802.371112.279006440801/10155094016080802/?type=3",NA,203,10,18,27,0,0,0,0
"RepMarciaLFudge","279006440801_10155102455495802","Representative Marcia L. Fudge","2017-02-25","2017-02-25 20:28:46","Today, Congresswoman Marcia L. Fudge (OH-11) spoke to more than 500 constituents at her first town hall meeting of 2017.  Topics highlighted included updates from the Trump Administration; concerns about the Affordable Care Act, Medicare, and Medicaid; the need for equitable access to quality public education; and issues surrounding immigration and civil liberties. The Congresswoman urged attendees to stay engaged in the policy process and re-affirmed her commitment to speaking on their behalf in Washington.","photo","https://www.facebook.com/RepMarciaLFudge/photos/a.10155102455370802.1073741887.279006440801/10155102455495802/?type=3",NA,219,21,30,35,0,0,0,0
"RepMarciaLFudge","279006440801_10155107520380802","Representative Marcia L. Fudge","2017-02-27","2017-02-27 16:44:43","Today, Congresswoman Marcia L. Fudge (OH-11) spoke to more than 500 constituents at her first town hall meeting of 2017.  Topics highlighted included updates from the Trump Administration; concerns about the Affordable Care Act, Medicare, and Medicaid; the need for equitable access to quality public education; and issues surrounding immigration and civil liberties. The Congresswoman urged attendees to stay engaged in the policy process and re-affirmed her commitment to speaking on their behalf in Washington.","photo","https://www.facebook.com/RepMarciaLFudge/photos/a.10155102455370802.1073741887.279006440801/10155107512715802/?type=3",NA,219,21,30,35,0,0,0,0
"RepMarciaLFudge","279006440801_10155107747440802","Representative Marcia L. Fudge","2017-02-27","2017-02-27 18:53:48","Goodyear is contributing $50K to Akron STEM schools to help promote fun STEM activities like Lego building. How cool! http://wksu.org/post/goodyear-provides-assistance-akron-stem-schools-through-new-grant","link","http://wksu.org/post/goodyear-provides-assistance-akron-stem-schools-through-new-grant","ksu.org",51,1,2,5,0,0,0,0
"RepMarciaLFudge","279006440801_10155107944365802","Representative Marcia L. Fudge","2017-02-27","2017-02-27 20:00:19","President Donald Trump‘s recent travel ban has caused uncertainty surrounding overseas travel. At a press conference last week I was asked to provide resources for constituents on what to do or take along when traveling. Please see the following new section of my website: https://fudge.house.gov/passports-travel-immigration/","photo","https://www.facebook.com/RepMarciaLFudge/photos/a.10150251962045802.371112.279006440801/10155107944365802/?type=3",NA,80,10,45,6,0,1,1,0
"RepMarciaLFudge","279006440801_10155110813565802","Representative Marcia L. Fudge","2017-02-28","2017-02-28 22:23:09","Tonight, my colleagues in the House and Senate will come together for a Joint Session of Congress. If you ever wondered the history of and meaning behind this event, check out this link: http://history.house.gov/Institution/Joint-Sessions/Joint-Sessions/","link","http://history.house.gov/Institution/Joint-Sessions/Joint-Sessions/","history.house.gov",14,2,6,1,0,0,0,0
"RepMarciaLFudge","279006440801_10155113423685802","Representative Marcia L. Fudge","2017-03-01","2017-03-01 21:46:30","Congresswoman Marcia L. Fudge to House Republicans: My Constituents Want the ACA Fixed, Not Destroyed ... I Don't Deal In Alternative Facts.","video","https://www.facebook.com/RepMarciaLFudge/videos/10155113423685802/",NA,6372,648,11972,1429,20,154,12,31
"RepMarciaLFudge","279006440801_10155113662225802","Representative Marcia L. Fudge","2017-03-01","2017-03-01 23:36:30","Thank you for coming to Washington!","photo","https://www.facebook.com/BedfordOhioHistory/photos/a.469228783204945.1073741839.295416770586148/1159417594186057/?type=3",NA,17,0,0,2,0,0,0,0
"RepMarciaLFudge","279006440801_10155116501140802","Representative Marcia L. Fudge","2017-03-02","2017-03-02 23:43:12","Thanks, Dion, for joining us in Washington! Good luck on the field! https://www.washingtonpost.com/sports/redskins/political-football-nfl-players-spend-three-weeks-working-on-capitol-hill/2017/03/02/1bb98020-ff7a-11e6-99b4-9e613afeb09f_story.html?utm_term=.8b8856c750b9","link","https://www.washingtonpost.com/sports/redskins/political-football-nfl-players-spend-three-weeks-working-on-capitol-hill/2017/03/02/1bb98020-ff7a-11e6-99b4-9e613afeb09f_story.html?utm_term=.8b8856c750b9","washingtonpost.com",176,1,18,11,0,0,0,0
"RepMarciaLFudge","279006440801_10155120071560802","Representative Marcia L. Fudge","2017-03-03","2017-03-03 22:18:18","Drug abuse is taking a devastating toll on our communities. We must do everything we can to stop it. Today, I learned we lost 60 Cuyahoga County residents due to heroin, opioid and fentanyl abuse this February. Earlier last month, I joined Congressman Mike Turner (OH-10) and Congresswoman Niki Tsongas (MA-3) to introduce TREAT Act.  This bill aims to expand access to substance abuse treatment in prisons. In addition, I will re-introduce The Breaking Addiction Act, to allow States to apply for waivers and increase the number of drug abuse patients that can be served through Medicaid. We all play a role in combating drug abuse and reversing the effects of these deadly substances in our communities. Talking is not enough. http://www.cleveland.com/metro/index.ssf/2017/03/cuyahoga_county_hits_record_nu.html","link","http://www.cleveland.com/metro/index.ssf/2017/03/cuyahoga_county_hits_record_nu.html","cleveland.com",33,5,14,0,0,2,22,0
"RepMarciaLFudge","279006440801_10155132598025802","Representative Marcia L. Fudge","2017-03-07","2017-03-07 23:08:24","Asian Americans women make 88 cents for every dollar that a white man earns, but we know there is more to the story. Today, on Asian American Equal Pay Day, I acknowledge Bhutanese, Marshallese, Burmese, and Nepalese American women who experience some of the widest pay gaps across all other races and ethnicities. We must do all we can to #closethegap. #AAPIEqualPay","photo","https://www.facebook.com/RepMarciaLFudge/photos/a.10150251962045802.371112.279006440801/10155132598025802/?type=3",NA,25,2,6,2,0,0,0,0
"RepMarciaLFudge","279006440801_10155135127215802","Representative Marcia L. Fudge","2017-03-08","2017-03-08 17:40:23","Happy #InternationalWomensDay! Happening on the Capitol Steps Now!","video","https://www.facebook.com/RepBarbaraLee/videos/10154887680702787/",NA,273,12,0,70,0,1,0,1
"RepMarciaLFudge","279006440801_10155140028335802","Representative Marcia L. Fudge","2017-03-09","2017-03-09 20:51:12","The benefits of school breakfast cannot be understated. Join me in recognizing the positive impact of the School Breakfast Program this week, National School Breakfast Week! http://frac.org/research/resource-library/breakfast-for-learning","link","http://frac.org/research/resource-library/breakfast-for-learning","frac.org",30,0,3,4,0,0,0,0
"RepMarciaLFudge","279006440801_10155154586035802","Representative Marcia L. Fudge","2017-03-13","2017-03-13 14:44:07","Coming up this Saturday! Share this post and join us!","event","https://www.facebook.com/events/1400532656686458/",NA,9,0,0,1,0,0,0,0
"RepMarciaLFudge","279006440801_10155154593355802","Representative Marcia L. Fudge","2017-03-13","2017-03-13 14:48:29","I recently learned the Mandel Jewish Community Center (JCC) received another bomb threat yesterday. This is appalling! JCCs should be a community safe haven, free from fear and hate. Read my official statement here: https://fudge.house.gov/press-statements/congresswoman-marcia-l-fudge-statement-on-second-mandel-jewish-community-center-bomb-threat/.","link","https://fudge.house.gov/press-statements/congresswoman-marcia-l-fudge-statement-on-second-mandel-jewish-community-center-bomb-threat/","fudge.house.gov",47,6,7,1,0,3,18,18
"RepMarciaLFudge","279006440801_10155155734125802","Representative Marcia L. Fudge","2017-03-13","2017-03-13 22:32:01","Today, the Congressional Budget Office reaffirmed what we already know - the GOP replacement #ACA plan is a bad bill. It hurts the elderly, the sick, and the poor, and rewards the young and the wealthy. https://www.washingtonpost.com/powerpost/obamacare-revision-would-reduce-insured-numbers-by-24-million/2017/03/13/ea4c860a-0829-11e7-93dc-00f9bdd74ed1_story.html?hpid=hp_hp-top-table-main_cbo-430pm%3Ahomepage%2Fstory&utm_term=.c150cac90acd","link","https://www.washingtonpost.com/powerpost/obamacare-revision-would-reduce-insured-numbers-by-24-million/2017/03/13/ea4c860a-0829-11e7-93dc-00f9bdd74ed1_story.html?hpid=hp_hp-top-table-main_cbo-430pm%3Ahomepage%2Fstory&utm_term=.c150cac90acd","washingtonpost.com",60,12,85,0,0,3,14,38
"RepMarciaLFudge","279006440801_10155158944175802","Representative Marcia L. Fudge","2017-03-14","2017-03-14 22:55:47","Pi is a useful mathematical symbol (and value) in geometry.  It is the ratio of a circle’s circumference to its diameter. Pi is a constant number, meaning that for all circles of any size, Pi will be the same. In 2009, the House passed a resolution supporting March 14th as National Pi Day. Pi is just one example of the interesting topics and symbols to be discussed this week at my NEO STREAM conference. Click here https://fudge.house.gov/neo-stream-conference-2017/ to learn more and join me in recognizing Pi Day! How do you celebrate? #NEOSTREAM2017","link","https://fudge.house.gov/neo-stream-conference-2017/","fudge.house.gov",30,1,0,2,0,0,0,0
"RepMarciaLFudge","279006440801_10155170172475802","Representative Marcia L. Fudge","2017-03-18","2017-03-18 13:38:03","NEOSTREAM Community Day is off to a great start with a NASA presentation. We are are Tri C Corporate College from 9am - 3p! Come out","video","https://www.facebook.com/RepMarciaLFudge/videos/10155170172475802/",NA,65,13,22,14,0,0,0,0
"RepMarciaLFudge","279006440801_10155176756660802","Representative Marcia L. Fudge","2017-03-20","2017-03-20 17:22:48","Far too many essential programs are under attack in the President's budget. This plan is bad for Ohio and our entire country. http://fox8.com/2017/03/20/president-trumps-proposed-budget-would-stop-amtrak-in-ohio/","link","http://fox8.com/2017/03/20/president-trumps-proposed-budget-would-stop-amtrak-in-ohio/","fox8.com",66,10,35,0,0,13,3,36
