"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepMarkTakano","262447300551014_1035746546554415","Congressman Mark Takano","2017-01-03","2017-01-03 15:55:01",NA,"photo","https://www.facebook.com/RepMarkTakano/photos/a.265096313619446.62249.262447300551014/1035746546554415/?type=3",NA,557,46,283,21,99,9,6,77
"RepMarkTakano","262447300551014_1037602386368831","Congressman Mark Takano","2017-01-06","2017-01-06 00:46:00","Lilah is an inspiring young woman. The foster youth system is often very difficult on young people. We should be doing more to improve the system to ensure young people have the tools they need to reach their potential.","link","http://www.pe.com/articles/lilah-822385-kindred-school.html","pe.com",81,3,10,9,0,0,0,0
"RepMarkTakano","262447300551014_1041507165978353","Congressman Mark Takano","2017-01-11","2017-01-11 00:32:01","Today I joined with Rep. Mark Pocan to launch the Congressional Public Education Caucus and stand up for America’s public schools. Millions of students across this country rely on public education as a path to a brighter future. We cannot abandon them and we cannot reverse the progress of the last eight years.    Our first mission is to send the Senate a clear message: they should reject the nomination of Betsy DeVos as the next Secretary of Education.","photo","https://www.facebook.com/RepMarkTakano/photos/a.265096313619446.62249.262447300551014/1041507165978353/?type=3",NA,687,54,147,92,5,1,0,5
"RepMarkTakano","262447300551014_1042260955902974","Congressman Mark Takano","2017-01-12","2017-01-12 01:06:00","At the very minimum, the American people deserve a president who can be trusted to put the country’s interests first. The steps President-elect Trump announced today to avoid conflicts of interest are “wholly inadequate,” according to the Department of Government Ethics.    Before he takes office next Friday, the president-elect should release a full accounting of his financial holdings along with a plan to meaningfully avoid conflicts that could cloud his judgement. Anything less will cast a shadow over his presidency.","link","http://money.cnn.com/2017/01/11/news/office-government-ethics-trump-conflicts/","money.cnn.com",298,132,45,5,7,9,2,29
"RepMarkTakano","262447300551014_1043114452484291","Congressman Mark Takano","2017-01-13","2017-01-13 00:47:00","Stunning report from the nonpartisan Center on Budget and Policy Priorities: Repealing the Affordable Care Act would provide America's richest 400 families with a $2.8 billion tax cut.","link","http://www.cbpp.org/research/federal-tax/aca-repeal-would-lavish-medicare-tax-cuts-on-400-highest-income-households","cbpp.org",85,73,262,0,4,36,12,157
"RepMarkTakano","262447300551014_1046478508814552","Congressman Mark Takano","2017-01-16","2017-01-16 21:23:05","Dr. King assured us that the arc of moral history bends toward justice, but only if we stand up and speak out for what is right. #MLKDAY","photo","https://www.facebook.com/RepMarkTakano/photos/a.265096313619446.62249.262447300551014/1046478508814552/?type=3",NA,228,68,15,30,0,0,0,0
"RepMarkTakano","262447300551014_1048100678652335","Congressman Mark Takano","2017-01-18","2017-01-18 21:41:43","My Democratic colleagues and I have repeatedly warned about the cost of repealing the Affordable Care Act without an adequate replacement. Yesterday, the Congressional Budget Office put a number to it.   Repealing the ACA would result in 32 million people losing health insurance and would double the price of insurance premiums within a decade. Before Republicans take even one more vote on Obamacare repeal, they need to show us and the American people their plan to replace it.","link","http://www.politico.com/story/2017/01/how-much-could-the-obamacare-repeal-cost-233688","politico.com",148,44,43,1,2,3,32,37
"RepMarkTakano","262447300551014_1049153745213695","Congressman Mark Takano","2017-01-19","2017-01-19 21:01:53","I will not be attending the inauguration tomorrow. I wrote this letter to my constituents to explain why.","link","https://medium.com/@repmarktakano/why-im-not-attending-the-inauguration-an-open-letter-to-my-constituents-ec6c6c848737#.s4oy0bguv","medium.com",2771,532,378,646,5,6,9,82
"RepMarkTakano","262447300551014_1051008971694839","Congressman Mark Takano","2017-01-22","2017-01-22 01:30:00","Today, in cities across America and around the world, millions of people stood up for the principle of respect and justice for all. I was so incredibly proud to join the march in Riverside and to witness the unity and passion for equality in our community.   Thank you to all those who participated for reminding the world that America is still a place that believes every person is worthy of freedom and dignity.","photo","https://www.facebook.com/RepMarkTakano/photos/a.265096313619446.62249.262447300551014/1051008881694848/?type=3",NA,861,78,74,177,5,1,1,2
"RepMarkTakano","262447300551014_1052975671498169","Congressman Mark Takano","2017-01-24","2017-01-24 01:14:01","Two days after millions of women marched for equality, President Trump signed an executive order reinstating the “global gag rule,” which prohibits sending aid to any foreign organization that provides abortion services or advocacy, even if its done with non-U.S. funds. This move will deprive vulnerable women around the world of medical care they desperately need. It is wrong and this picture is part of the problem.    That’s a lot of “Y” chromosomes.","photo","https://www.facebook.com/RepMarkTakano/photos/a.265096313619446.62249.262447300551014/1052975671498169/?type=3",NA,159,97,108,3,0,6,74,276
