"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepMarkWalker","398458436980581_700252106801211","Representative Mark Walker","2017-01-01","2017-01-01 17:58:38","Happy New Year! I hope you have a restful and safe holiday. It has been an honor to serve in 2016 and I look forward to the opportunities ahead as we continue working for the people of North Carolina in the new year.","photo","https://www.facebook.com/RepMarkWalker/photos/a.399178923575199.1073741828.398458436980581/700252106801211/?type=3",NA,58,7,1,2,0,0,0,0
"RepMarkWalker","398458436980581_700748853418203","Representative Mark Walker","2017-01-02","2017-01-02 17:57:08","Very thankful for our heroes and their service. Wishing them and their families a safe and blessed 2017.","photo","https://www.facebook.com/ianbremmer/photos/a.382808748558842.1073741831.381748875331496/614570632049318/?type=3",NA,166,14,0,26,1,0,0,0
"RepMarkWalker","398458436980581_701291793363909","Representative Mark Walker","2017-01-03","2017-01-03 20:41:03","For too long, Obamacare has limited choices and driven up costs for North Carolinians. We have to fix our healthcare system and put patients, their families and their doctors back in control.   This filed budget resolution is the first step in keeping our promise and repealing Obamacare. I thank Senator Mike Enzi for moving quickly. Let's get this done.","link","http://www.foxbusiness.com/politics/2017/01/03/u-s-senator-introduces-resolution-to-repeal-obamacare.html","foxbusiness.com",91,26,4,1,0,0,0,4
"RepMarkWalker","398458436980581_701341443358944","Representative Mark Walker","2017-01-04","2017-01-04 00:41:44","I am truly humbled to serve the people of North Carolina’s Sixth District in the House of Representatives, and I look forward to standing up for them again this Congress.  I will strive every day to deliver on the faith the voters have placed in me and work to protect North Carolina families and restore the American Dream.  As I took the oath of office today, dedicating myself to support and defend the Constitution of the United States, I could not help but be taken back at the historic opportunities ahead.","photo","https://www.facebook.com/RepMarkWalker/photos/a.399178923575199.1073741828.398458436980581/701341443358944/?type=3",NA,653,56,46,43,0,0,0,0
"RepMarkWalker","398458436980581_701652209994534","Representative Mark Walker","2017-01-04","2017-01-04 15:35:12","This recognition is well deserved for the City of Greensboro and the Greensboro Police Department. We should all be proud to be part of a community that values our neighbors and comes together to celebrate each other. The safety of our communities depends on law enforcement and their relationships with the people they protect. Thank you and congratulations to everyone who makes this great event happen every year.","link","http://www.greensboro.com/blogs/crime_scene/greensboro-police-recognized-for-national-night-out/article_6d77272f-9353-5ce6-8b84-cd9120aef540.htm","greensboro.com",44,1,3,0,0,1,0,0
"RepMarkWalker","398458436980581_701870566639365","Representative Mark Walker","2017-01-04","2017-01-04 23:50:27","Obamacare was built on a foundation of higher taxes, excessive mandates and broken promises. The effects of Obamacare are clear: North Carolinians are anxious about their health security, their out-of-pocket costs have soared and their choices for insurers and doctors have dwindled. President Obama has consistently and falsely claimed that we don’t have a plan to repeal and replace Obamacare. Today, the Republican Study Committee and Dr. Phil Roe introduced the American Health Care Reform Act of 2017, proving President Obama wrong again.  This bill repeals and replaces Obamacare, improving healthcare accessibility and affordability for the people and small businesses of North Carolina who have been crying out for relief.   You can read more about the bill here → http://bit.ly/2j61Htx","video","https://www.facebook.com/RepMarkWalker/videos/701870566639365/",NA,290,28,85,23,2,2,0,1
"RepMarkWalker","398458436980581_702255413267547","Representative Mark Walker","2017-01-05","2017-01-05 15:28:11","Greensboro native and Grammy Award-winning singer Rhiannon Giddens will be on Nashville on CMT tonight!","link","http://www.greensboro.com/blogs/gotriad_extra/look-for-rhiannon-giddens-on-nashville-thursday/article_30b4d408-8f68-5b50-8b22-94b2c8208a7b.html","greensboro.com",20,1,1,0,0,1,0,0
"RepMarkWalker","398458436980581_702341376592284","Representative Mark Walker","2017-01-05","2017-01-05 18:15:32","In the 115th Congress, we will repeal ObamaCare, deliver on authentic tax reform, secure our borders, and protect religious liberty. Moreover, conservatives will hold the line against proposals that expand government, limit individual freedom and threaten our national security.  The stakes are high and the decisions we make, the policy we create, and the votes we take should lead to better law that positively impacts all communities.","link","http://www.foxnews.com/opinion/2017/01/04/rep-mark-walker-can-still-save-what-has-been-broken-by-big-government-heres-how.html","foxnews.com",103,15,13,3,0,0,1,4
"RepMarkWalker","398458436980581_702844359875319","Representative Mark Walker","2017-01-06","2017-01-06 16:42:12","The safety of North Carolinians is important to me. That starts with our leadership abroad.   Last month, the Obama Administration exhibited the same political courage that has for eight years made the world a more dangerous place. It is shameful that we abandoned our ally, passively letting an anti-Israeli resolution pass the U.N. Security Council. We cannot continue to denigrate our Israeli friends and the only true democracy in the Middle East.  Passing this measure is a good start, but more will have to be done to repair our relationship with Israel and reclaim America's place as a trusted world leader.","link","http://www.foxnews.com/politics/2017/01/05/house-overwhelmingly-votes-to-condemn-uns-anti-israel-resolution.html","foxnews.com",159,9,26,15,0,0,0,0
"RepMarkWalker","398458436980581_702914669868288","Representative Mark Walker","2017-01-06","2017-01-06 22:23:00","I prefer Cheerwine for my caffeine rush, but this is good news for you coffee lovers in the 6th District.","link","https://t.co/fGCo1W8VZj","t.co",47,3,4,0,0,0,0,0
"RepMarkWalker","398458436980581_703394609820294","Representative Mark Walker","2017-01-07","2017-01-07 18:28:34","Great joining Fox News to talk about the Republican Study Committee plan to repeal and replace Obamacare. The American Health Care Reform Act will improve access, provide more choices, create better quality, and lower health care costs. Most importantly, it will put North Carolinians back in charge of their healthcare decisions, not Washington bureaucrats.  We have got to earn back trust and credibility, and that comes with a full repeal of Obamacare.","video","https://www.facebook.com/RepMarkWalker/videos/703394609820294/",NA,160,17,59,15,0,0,0,2
