"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepMcKinley","130377260362609_1246635258736798","David McKinley","2017-01-03","2017-01-03 19:12:07","Congratulations to all of the new members in the House. I look forward to serving the people of West Virginia and working with both Republicans and Democrats to grow the number of good paying jobs across America, promote a national energy plan, increase access to affordable health care, fight drug addiction and substance abuse, and strengthen our national defense. The 115th Congress has a historic opportunity to lead on all of these issues.","status",NA,NA,49,7,1,0,1,0,0,0
"RepMcKinley","130377260362609_1246720742061583","David McKinley","2017-01-03","2017-01-03 21:44:11","Our office re-introduced introduced legislation on the very first day of the 115th Congress to protect pensions and health benefits for over 120,000 retirees and their family members, threatened by coal company bankruptcies in recent years.   Our coal miners have worked tirelessly over the last several decades to power this country. They earned these benefits and they don’t deserve to have them taken away. This is an urgent issue and we need to act as soon as possible. Fortunately, we have a solution.  Our legislation will protect the pensions and healthcare coverage for over 120,000 retirees and their family members. Let’s not kick this can down the road any longer.  We need to come together and pass this legislation so that coal miners and their loved ones have the peace of mind they deserve, and know their benefits won’t be threatened in the future.","status",NA,NA,20,6,3,0,0,0,0,0
"RepMcKinley","130377260362609_1247407425326248","David McKinley","2017-01-04","2017-01-04 18:49:03","Please read and share this article when you get a chance. This is an urgent issue. We must continue to fight for the coal miners who have powered this country for decades!  http://bit.ly/2jaeMWV","link","http://bit.ly/2jaeMWV","bit.ly",18,5,13,0,0,0,0,0
"RepMcKinley","130377260362609_1248043638595960","David McKinley","2017-01-05","2017-01-05 14:51:04","Please watch and share this WDTV story about our legislation on miners benefits. Our miners are some of America's hardest workers and they deserve to receive the benefits they have earned!  http://www.wdtv.com/content/news/Retired-coal-miners-ponder-future-of-benefits--409705525.html","link","http://www.wdtv.com/content/news/Retired-coal-miners-ponder-future-of-benefits--409705525.html","wdtv.com",58,7,392,0,0,0,0,0
"RepMcKinley","130377260362609_1248208931912764","David McKinley","2017-01-05","2017-01-05 18:54:31","Today, the House will pass the REINS Act. This legislation curbs unnecessary and painful rules and obstacles from unaccountable bureaucrats by requiring agencies to submit major regulations, those costing more than $100 million in economic effect, to Congress for approval.   It also guarantees up or down votes on major rules, as Congress must act within 70 legislative days.  This kind of regulatory reform will allow us to create more jobs and grow our economy.","status",NA,NA,11,3,2,0,0,0,0,1
"RepMcKinley","130377260362609_1248359281897729","David McKinley","2017-01-05","2017-01-05 23:11:18","In December, the Obama Administration broke with longstanding U.S. policy by failing to veto an anti-Israel UN Security Council Resolution. It was deeply disappointing.   Today, the House will vote on a bipartisan resolution reaffirming our longstanding policy in the region and support for Israel, one of our greatest partners for freedom and peace.","status",NA,NA,47,12,3,6,0,1,1,5
"RepMcKinley","130377260362609_1249603251773332","David McKinley","2017-01-07","2017-01-07 13:07:55","Please read and share this great op-ed in The Intelligencer about our long-term solution, to make sure our hardworking miners and their families get the benefits they earned! We must continue this fight. Help spread the word about our bill.   ""McKinley's fellow lawmakers should adopt the plan as soon as possible.""  http://bit.ly/2j1RT4U","link","http://bit.ly/2j1RT4U","bit.ly",11,1,7,0,0,0,0,0
"RepMcKinley","130377260362609_1251435484923442","David McKinley","2017-01-09","2017-01-09 19:55:18","Today is National Law Enforcement Appreciation Day (L.E.A.D). Please remember to thank the brave men and women who keep our neighborhoods and communities safe!","status",NA,NA,20,2,1,1,0,0,0,0
"RepMcKinley","130377260362609_1251989104868080","David McKinley","2017-01-10","2017-01-10 14:05:57","It's an honor to once again serve on the Energy and Commerce Committee. We have a historic opportunity to promote a national energy plan and make advances in clean coal technology and research and development. I look forward to working with Chairman Walden and the incoming Trump Administration to achieve these goals.   http://bit.ly/2j0z308","link","http://bit.ly/2j0z308","bit.ly",48,5,4,0,0,0,0,1
"RepMcKinley","130377260362609_1252827954784195","David McKinley","2017-01-11","2017-01-11 15:12:46","Great win last night by WVU over #1 Baylor. Let's go Mountaineers!  http://on.si.com/2j7onxk","link","http://on.si.com/2j7onxk","on.si.com",34,2,1,2,0,0,0,0
