"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepMcSally","1605647229654853_1897744443778462","Rep. Martha McSally","2017-01-02","2017-01-02 20:41:20","As we enter a New Year, we look back at some of the biggest accomplishments of 2016, including my bill to become law restoring the rights of the Women Air Force Service Pilots in Arlington. Great story from Cronkite News reporters, who were at the Arlington service of WASP Elaine Harmon in September.","video","https://www.facebook.com/RepMcSally/videos/1897744443778462/",NA,98,12,12,6,0,0,0,0
"RepMcSally","1605647229654853_1898214577064782","Rep. Martha McSally","2017-01-03","2017-01-03 20:24:27","A great sign of what can happen when our military prioritizes ability, not gender.   http://taskandpurpose.com/first-female-infantry-marines-will-graduate-boot-camp-month/","link","http://taskandpurpose.com/first-female-infantry-marines-will-graduate-boot-camp-month/","taskandpurpose.com",277,51,345,26,1,16,0,2
"RepMcSally","1605647229654853_1898268707059369","Rep. Martha McSally","2017-01-03","2017-01-03 23:40:11",NA,"video","https://www.facebook.com/RepMcSally/videos/1898268707059369/",NA,274,32,38,28,0,0,1,2
"RepMcSally","1605647229654853_1898700067016233","Rep. Martha McSally","2017-01-04","2017-01-04 20:28:41","Nearly six years ago, our community changed forever when 19 people were shot as Representative Giffords met with her constituents. This attack on our democracy resulted in six deaths, including the first assassination of a congressional staffer, Gabe Zimmerman, in the line of duty. While the pain and grief for those we lost will always be with us, we also remember how Tucson came together to show courage, compassion, and unity.   On Friday, I will introduce a bill along with Senators McCain and Flake to designate the January 8th Memorial in Tucson a permanent national memorial. Our community’s response in the face of this tragedy stood as an example of love for the entire country, and in designating this memorial, we move one step closer to permanently enshrining that spirit and the memory of those killed.","video","https://www.facebook.com/RepMcSally/videos/1898700067016233/",NA,131,19,14,11,0,0,14,0
"RepMcSally","1605647229654853_1899401553612751","Rep. Martha McSally","2017-01-06","2017-01-06 05:28:35","Today, I led the U.S. House in a moment of silence in honor of the January 8, 2011 shooting victims. My thanks to my colleagues from Arizona and around the country for joining me to commemorate their memories and how our community came together following this tragedy.","video","https://www.facebook.com/RepMcSally/videos/1899401553612751/",NA,195,10,27,14,0,0,11,0
"RepMcSally","1605647229654853_1899675620252011","Rep. Martha McSally","2017-01-06","2017-01-06 17:50:03","The Obama Administration’s disgraceful abandonment of our close ally Israel should never have happened. I'm a proud cosponsor of legislation to condemn the UN's resolution and I was glad to see the strong bipartisan support for it yesterday when it passed the House.   http://freebeacon.com/politics/house-votes-condemn-u-n-resolution-israeli-settlements/","link","http://freebeacon.com/politics/house-votes-condemn-u-n-resolution-israeli-settlements/","freebeacon.com",473,55,62,44,1,4,4,4
"RepMcSally","1605647229654853_1899815636904676","Rep. Martha McSally","2017-01-07","2017-01-07 00:51:54","What happened six years ago wasn’t just an attack on our community, but an assault on civil discourse and representative government. I’m honored to introduce this legislation today to establish a permanent January 8th memorial and lead this effort on behalf of Southern Arizonans, for whom this memorial means so much.","photo","https://www.facebook.com/RepMcSally/photos/a.1605675939651982.1073741828.1605647229654853/1899815636904676/?type=3",NA,106,18,14,11,0,0,0,0
"RepMcSally","1605647229654853_1900850340134539","Rep. Martha McSally","2017-01-08","2017-01-08 23:18:40",NA,"photo","https://www.facebook.com/kvoa4/photos/a.118819188150767.12459.110660902299929/1411665312199475/?type=3",NA,89,3,0,12,0,0,0,0
"RepMcSally","1605647229654853_1901263650093208","Rep. Martha McSally","2017-01-09","2017-01-09 20:28:43","At a time when law enforcement officers around the country have been targeted simply for doing their jobs, we stop to show our appreciation. From defending our border or patrolling our streets, law enforcement put their lives on the line every time they put on the uniform. For all the sacrifices made by them and their families, we say “thank you.” #LawEnforcementAppreciationDay","photo","https://www.facebook.com/RepMcSally/photos/a.1605675939651982.1073741828.1605647229654853/1901263650093208/?type=3",NA,257,15,71,25,0,0,1,1
"RepMcSally","1605647229654853_1901714073381499","Rep. Martha McSally","2017-01-10","2017-01-10 18:16:58","A-10s bring an unmatched Combat Search and Rescue capability, a critical mission responsible for rescuing downed pilots in enemy territory.   This upgrade will help ensure our troops serving overseas continue to have the best protection and rescue units available.","video","https://www.facebook.com/DMAFB/videos/10154940954929936/",NA,268,9,0,15,0,1,0,0
"RepMcSally","1605647229654853_1901765706709669","Rep. Martha McSally","2017-01-10","2017-01-10 20:39:51",NA,"photo","https://www.facebook.com/RepMcSally/photos/a.1605647602988149.1073741825.1605647229654853/1901765706709669/?type=3",NA,1018,95,18,57,1,0,0,1
"RepMcSally","1605647229654853_1901774533375453","Rep. Martha McSally","2017-01-10","2017-01-10 21:08:54",NA,"photo","https://www.facebook.com/RepMcSally/photos/a.1605650889654487.1073741827.1605647229654853/1901774533375453/?type=3",NA,199,44,9,10,0,1,0,3
"RepMcSally","1605647229654853_1902225426663697","Rep. Martha McSally","2017-01-11","2017-01-11 20:14:35","It was my honor to recognize today on the House floor Macy Maine from Buena High School and Hannah Mason from Pusch Ridge Christian Academy for their achievements. Both Hannah and Macy were one of 4 young women in Arizona to receive the Girls Rule Foundation's Brilliant, Beautiful, and Bold Role Model Award for how they have made a difference. Each of them has done amazing things to give back to her community and has a very bright future ahead. I wish them both all the best as they continue to pursue their dreams. #dreambig #born2lead #girlschangetheworld","video","https://www.facebook.com/RepMcSally/videos/1902225426663697/",NA,460,50,89,54,0,11,0,1
