"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepMichaelCapuano","151168844937573_1183113948409719","Representative Michael E. Capuano","2017-01-03","2017-01-03 16:26:56","Outrageous – there is just no other word to describe gutting the Office of Congressional Ethics (OCE), which is the very first act of the new Republican House. Not the economy, not jobs, not transportation, not even repealing the Affordable Care Act. No, Republicans are starting the year off by crushing the independent House ethics office.  When I wrote the law establishing the independent OCE the whole point was to bring a measure of transparency and accountability to the broken House ethics process. The OCE operates independently of the House Ethics Committee, with the authority to choose which matters merit review.   The practical result of the Republican measure to bring the OCE under the authority of the House Ethics Committee is to render it ineffective. The transparency, accountability and independence of the OCE will be demolished, which is of course the real intention of this rules change.   Heck – even President-elect Donald Trump has chastised House Republicans for their proposal to gut the OCE.   Every outside ethics watchdog group (both conservative and liberal leaning) described the OCE as “the most important improvement in the House ethics enforcement process since the House Ethics Committee was established.” Yes, I wrote the law creating the Office of Congressional Ethics and I am very proud of it.  But that quote is from a coalition of outside ethics watchdogs made up of Common Cause, CREW (most definitely NOT a left leaning group), US PIRG, Judicial Watch (another right leaning group), and several other well respected groups.  The most important aspect of the OCE is to ensure transparency in the ethics process.  Prior to its creation, many complaints were simply buried – maybe people were innocent, maybe not – but no one ever knew what happened.  Because of the OCE, after a well-defined and fair process, America learned if a Member of the House had a complaint investigated and they also learned the outcome of that complaint.  The OCE is not perfect and certainly some minor tweaking of the process may be in order, but the key word here is minor.  Any tweaking should be done in public, so the America people can see the debate for themselves.  If House Republicans bothered to read the report recommending creation of the OCE they would find that very suggestion at the end of it – “The Task Force recommends … a panel of Members to conduct an ongoing review of the ethics process.”  Here is that report – see page 21 for more on that recommendation -  http://oce.house.gov/pdf/Report_of_the_Democratic_Members_of_the_Special_Task_Force_on_Ethics_Enforcement.pdf  The amendment demolishing the OCE was never publicly discussed.  It was proposed and adopted inside a secretive Republican Caucus without anyone outside that meeting knowing it was even going to be debated.  This is not a good way to start – a closed meeting of one Party, held at night, in the basement of the US Capitol, for the purpose of ending transparency in the ethics process.    Personally, I have never witnessed such a rapid march back to the bad old days of the good-old-boys club.","status",NA,NA,245,49,139,1,0,2,14,90
"RepMichaelCapuano","151168844937573_1183162685071512","Representative Michael E. Capuano","2017-01-03","2017-01-03 17:50:39","House Republicans have now scrapped plans to obliterate the Office of Congressional Ethics (OCE). I want to thank everyone who registered their outrage about this plan, your voices made a difference today. As the Chair of the Task Force that wrote the measure creating the OCE, I am relieved it is not being dismantled today. But make no mistake, the effort to gut the OCE is a stark example of House Republicans’ approach to governing.  Unfortunately, I think we will see a lot more of this in the days and weeks ahead. I won’t stop fighting and I hope you will stay active too.","status",NA,NA,605,54,83,31,0,2,1,12
"RepMichaelCapuano","151168844937573_1183994364988344","Representative Michael E. Capuano","2017-01-04","2017-01-04 20:44:28","Rep. Blackburn posted a poll on Twitter about the Affordable Care Act. I'm guessing the results didn't go as planned:","photo","https://www.facebook.com/RepMichaelCapuano/photos/a.191009367620187.57422.151168844937573/1183994364988344/?type=3",NA,369,26,48,23,54,0,0,0
"RepMichaelCapuano","151168844937573_1187167328004381","Representative Michael E. Capuano","2017-01-09","2017-01-09 13:00:00","1/6 – E-UPDATE Rules for 115th Congress; Regulations; More regulation; U.N. Resolution 2334; Office of Financial Research","link","http://capuano.house.gov/e-updates/eu2017-01-06.shtml","capuano.house.gov",13,4,2,0,0,0,0,0
"RepMichaelCapuano","151168844937573_1189964684391312","Representative Michael E. Capuano","2017-01-12","2017-01-12 19:51:39","Here is an issue that came up during Ben Carson's Senate confirmation hearing today for Secretary of Housing and Urban Development:  Question: Can we have 30 year fixed mortgage without the government? Carson Answer – Yes.  Question – How? Carson Answer – The private sector.  And now for a brief history lesson …  According to Zillow, the average cost of a house in Boston is now $522,000, in Everett it’s $345,000, and in Randolph it’s $300,000.  Today the rate on a 30-year fixed rate mortgage with 10% down averages around 4%.  The purchase of a $500,000 home would require a down-payment of $50,000 and a monthly payment of Principal and Interest on the remaining $450,000 of $2,148 per month (or $25,776 per year).  This is hard to do for many people, especially young people.  The last time the government was NOT involved in the mortgage process was before the crash of 1929.  In 1928, the average down-payment required was 50%, the term was 5 years – not 30, and the rate was about what it is today: 4%.  Purchasing that same $500,000 home with these parameters would require a down-payment of $250,000 and a monthly payment of Principal and Interest of the remaining $250,000 of $4,604 per month (or $55,248 per year).   Would YOU have $250,000 for a down-payment?   Even if you do, could you pay it and then afford to pay more than TWICE the monthly mortgage?  If that’s what this new Administration wants – say good bye to the middle class in America!","status",NA,NA,206,34,88,1,1,26,12,63
"RepMichaelCapuano","151168844937573_1190786617642452","Representative Michael E. Capuano","2017-01-13","2017-01-13 21:25:28","I think many of you may be interested in reading the full, unclassified report by the Intelligence Community – the CIA, FBI and NSA together. https://www.dni.gov/files/documents/ICA_2017_01.pdf   The key comments are right at the beginning …   “Key Judgments    Russian efforts to influence the 2016 US presidential election represent the most recent expression of Moscow’s longstanding desire to undermine the US-led liberal democratic order, but these activities demonstrated a significant escalation in directness, level of activity, and scope of effort compared to previous operations.    “We assess Russian President Vladimir Putin ordered an influence campaign in 2016 aimed at the US presidential election. Russia’s goals were to undermine public faith in the US democratic process, denigrate Secretary Clinton, and harm her electability and potential presidency. We further assess Putin and the Russian Government developed a clear preference for President-elect Trump. We have high confidence in these judgments.    “• We also assess Putin and the Russian Government aspired to help President-elect Trump’s election chances when possible by discrediting Secretary Clinton and publicly contrasting her unfavorably to him. All three agencies agree with this judgment.”   And also … “We assess Moscow will apply lessons learned from its Putin-ordered campaign aimed at the US presidential election to future influence efforts worldwide, including against US allies and their election processes.”   I wonder what President Trump will suggest America does about this.","link","https://www.dni.gov/files/documents/ICA_2017_01.pdf","dni.gov",173,44,123,1,0,9,4,45
"RepMichaelCapuano","151168844937573_1190891504298630","Representative Michael E. Capuano","2017-01-14","2017-01-14 00:05:45","1/13 – E-UPDATE Startups; Regulations; Commodities Futures Trading Commission; SEC Regulatory Action; Affordable Care Act; Sudan","link","http://capuano.house.gov/e-updates/eu2017-01-13.shtml","capuano.house.gov",19,3,5,0,0,0,0,0
"RepMichaelCapuano","151168844937573_1191090050945442","Representative Michael E. Capuano","2017-01-14","2017-01-14 07:38:00","Visiting U.S. troops in Kuwait, Kyrgystan, Uzbekistan, and Iraq.","photo","https://www.facebook.com/RepMichaelCapuano/photos/a.1191089100945537.1073741836.151168844937573/1191089124278868/?type=3",NA,0,0,0,0,0,0,0,0
"RepMichaelCapuano","151168844937573_1191090857612028","Representative Michael E. Capuano","2017-01-14","2017-01-14 07:46:02","Meeting students groups from Massachusetts as they explore the Capitol.","photo","https://www.facebook.com/RepMichaelCapuano/photos/a.1191090834278697.1073741837.151168844937573/1191092734278507/?type=3",NA,0,0,0,0,0,0,0,0
"RepMichaelCapuano","151168844937573_1191094757611638","Representative Michael E. Capuano","2017-01-14","2017-01-14 07:46:00",NA,"photo","https://www.facebook.com/RepMichaelCapuano/photos/a.1191094730944974.1073741838.151168844937573/1191094757611638/?type=3",NA,0,0,0,0,0,0,0,0
