"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepMikeBishop","359812817525029_655421727964135","Rep. Mike Bishop","2017-01-03","2017-01-03 19:21:17","The 115th Congress is officially in session! Speaker Paul Ryan has been re-elected Speaker of the House and we're pushing ahead on our #BetterWay agenda. Learn more at http://abetterway.speaker.gov/","link","http://abetterway.speaker.gov/","abetterway.speaker.gov",17,18,1,0,0,0,0,2
"RepMikeBishop","359812817525029_656651531174488","Rep. Mike Bishop","2017-01-05","2017-01-05 19:47:23","Big congratulations to the #Lansing Everett Viking Marching Band - what an exciting opportunity! #MI08","link","http://wlns.com/2017/01/04/lansing-everett-marching-band-invited-to-participate-in-the-58th-presidential-inauguration/","lns.com",75,2,11,5,1,1,0,0
"RepMikeBishop","359812817525029_656681101171531","Rep. Mike Bishop","2017-01-05","2017-01-05 21:07:00","It has been a true honor to serve Michigan's 8th District and I'm looking forward to a productive two years ahead. Thanks to Matt McClain with the Washington Post for capturing this great moment after Speaker Paul Ryan's re-elect earlier this week.","photo","https://www.facebook.com/RepMikeBishop/photos/a.360243530815291.1073741828.359812817525029/656681101171531/?type=3",NA,36,3,0,0,0,0,0,0
"RepMikeBishop","359812817525029_656697417836566","Rep. Mike Bishop","2017-01-05","2017-01-05 21:56:35","Today I spoke about my support for the #REINSAct, which would restore the constitutional authority of Congress and rein in runaway government. Did you know, in 2014, federal regulations imposed on America’s job creators and households created a staggering economic burden of almost $2 trillion? That’s almost $15,000 per U.S. household. We must restore the balance of powers as they were intended.","video","https://www.youtube.com/watch?v=B7T5xedvNFM&list=PLAENrifqF3xjhZd2dcFSlRIELiwvBBqyR&index=42",NA,24,13,1,1,1,0,1,4
"RepMikeBishop","359812817525029_657056944467280","Rep. Mike Bishop","2017-01-06","2017-01-06 15:03:20","Our Founding Fathers built a democracy for the people, and the #REINSAct is an important step to restore the balance of power as it was intended. #MI08","link","https://mikebishop.house.gov/media-center/press-releases/bishop-votes-rein-power-federal-agencies","mikebishop.house.gov",6,2,1,1,0,0,0,2
"RepMikeBishop","359812817525029_657063304466644","Rep. Mike Bishop","2017-01-06","2017-01-06 15:13:19","Proud to work with my friend Representative Mark Walker as a new member of the Republican Study Committee's Steering Committee in the 115th Congress! #MI08","link","http://rsc-walker.house.gov/","rsc-walker.house.gov",9,2,0,0,0,0,0,1
"RepMikeBishop","359812817525029_657212951118346","Rep. Mike Bishop","2017-01-06","2017-01-06 19:54:52","Praying for everyone at the #FortLauderdale Airport right now - sad news breaking about horrific violence that has taken place there today.","status",NA,NA,16,6,0,0,0,0,3,0
"RepMikeBishop","359812817525029_658514274321547","Rep. Mike Bishop","2017-01-09","2017-01-09 16:36:20","Outstanding news! The Chevy Bolt EV was named the #NAIAS2017 Car of the Year, made right here in #MI08! Congrats to Chevrolet General Motors and their entire Michigan team.","link","http://money.cnn.com/2017/01/09/autos/bolt-car-of-the-year/","money.cnn.com",18,2,1,0,0,0,0,0
"RepMikeBishop","359812817525029_658567887649519","Rep. Mike Bishop","2017-01-09","2017-01-09 18:40:37","While you can’t break what’s already broken, you can keep a promise you made to the American people—greater access to affordable, quality, patient-centered care. This week, Congress is working on the first steps to do just that. #BetterWay","link","http://www.speaker.gov/general/just-how-broken-obamacare","speaker.gov",19,46,3,0,1,0,0,11
"RepMikeBishop","359812817525029_658600227646285","Rep. Mike Bishop","2017-01-09","2017-01-09 19:30:14","I'm proud to show support for National Law Enforcement Appreciation Day (#LEAD) at our Washington, D.C. office. A big thank you to all the men and women in uniform who protect our community. #MI08 Police Officers Association of Michigan","photo","https://www.facebook.com/RepMikeBishop/photos/a.360243530815291.1073741828.359812817525029/658600227646285/?type=3",NA,65,4,5,3,0,0,0,0
