"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepMikeGallagher","223635794750555_223652334748901","Rep. Mike Gallagher","2017-01-02","2017-01-02 16:56:32",NA,"photo","https://www.facebook.com/RepMikeGallagher/photos/a.223652471415554.1073741827.223635794750555/223652334748901/?type=3",NA,9,0,0,0,0,0,0,0
"RepMikeGallagher","223635794750555_224012701379531","Rep. Mike Gallagher","2017-01-03","2017-01-03 13:38:31","Reid Ribble left big shoes for me to fill, but I pledge to work my hardest in everything I do and to always serve my constituents with honor and integrity.","photo","https://www.facebook.com/RepRibble/photos/a.180397485341113.35767.157169920997203/1161220457258806/?type=3",NA,13,1,0,0,0,0,0,0
"RepMikeGallagher","223635794750555_224052874708847","Rep. Mike Gallagher","2017-01-03","2017-01-03 15:30:01",NA,"photo","https://www.facebook.com/RepMikeGallagher/photos/a.223639488083519.1073741825.223635794750555/224052874708847/?type=3",NA,17,0,0,0,0,0,0,0
"RepMikeGallagher","223635794750555_224196321361169","Rep. Mike Gallagher","2017-01-03","2017-01-03 21:09:13","Today, I was officially sworn-in to represent Wisconsin’s 8th District in the U.S. House of Representatives. I look forward to waking up every day and fighting as hard as possible for my constituents to protect their liberty, enhance their safety, and improve their ability to pursue their own happiness.  #Forward","photo","https://www.facebook.com/RepMikeGallagher/photos/a.224196394694495.1073741828.223635794750555/224196321361169/?type=3",NA,43,7,11,2,0,0,0,0
"RepMikeGallagher","223635794750555_224210124693122","Rep. Mike Gallagher","2017-01-03","2017-01-03 22:10:39",NA,"photo","https://www.facebook.com/RepMikeGallagher/photos/a.223652471415554.1073741827.223635794750555/224210124693122/?type=3",NA,20,3,1,0,0,0,0,0
"RepMikeGallagher","223635794750555_224482124665922","Rep. Mike Gallagher","2017-01-04","2017-01-04 13:30:42","OP-ED: Read & share why my colleagues and I unequivocally support General Mattis for Defense Secretary.","link","http://www.foxnews.com/opinion/2017/01/04/five-freshmen-congressmen-all-with-military-backgrounds-why-support-mattis-for-defense-secretary.html","foxnews.com",23,1,2,0,0,0,0,0
"RepMikeGallagher","223635794750555_224561051324696","Rep. Mike Gallagher","2017-01-04","2017-01-04 16:33:21",NA,"link","http://www.packersnews.com/story/news/2017/01/03/home-playoff-game-bonus-bucks/96084240/","packersnews.com",8,0,0,0,0,0,0,0
"RepMikeGallagher","223635794750555_224625004651634","Rep. Mike Gallagher","2017-01-04","2017-01-04 19:52:22","Tune into Fox 11 tonight to hear about my first two days representing #WI08 in Congress.","photo","https://www.facebook.com/RepMikeGallagher/photos/a.224196394694495.1073741828.223635794750555/224625004651634/?type=3",NA,35,2,0,0,0,0,0,0
"RepMikeGallagher","223635794750555_225005157946952","Rep. Mike Gallagher","2017-01-05","2017-01-05 15:47:30","I sat down with Madeleine Behr of the Post Crescent yesterday to discuss the issues I'm ready to tackle in the 115th Congress.","link","http://www.postcrescent.com/story/news/politics/2017/01/04/gallagher-ready-tackle-issues-congress/96103598/","postcrescent.com",20,1,0,0,0,0,0,0
"RepMikeGallagher","223635794750555_225021434611991","Rep. Mike Gallagher","2017-01-05","2017-01-05 16:29:48","Reading the U.S. Constitution aloud with my colleagues this morning was a powerful reminder of our duty to support and defend this sacred document that protects our God-given rights and for which many brave Americans have given their lives.","link","https://www.c-span.org/video/?c4641612%2Fconstitution-reading","c-span.org",41,3,1,0,0,0,0,0
"RepMikeGallagher","223635794750555_225116594602475","Rep. Mike Gallagher","2017-01-05","2017-01-05 22:17:14","The Obama administration's shameful refusal to veto the UN Security Council's resolution against Israel is an historic low for the U.S.-Israeli partnership and a radical departure from long-standing, bi-partisan U.S. policy. It not only undermines Israel, our closest ally in the Middle East, but also the prospect of Israeli-Palestinian peace. I'm proud to co-sponsor a bipartisan bill rejecting the UN's anti-Israel resolution. It is a critical first step in restoring our strategic alliance with Israel and thereby strengthening the Free World.","status",NA,NA,21,3,0,1,0,1,0,0
"RepMikeGallagher","223635794750555_225492471231554","Rep. Mike Gallagher","2017-01-06","2017-01-06 15:02:58","Recommended reading:","link","http://www.wsj.com/articles/lessons-from-obamas-failure-1483661223","wsj.com",6,1,1,0,0,0,1,0
"RepMikeGallagher","223635794750555_225582741222527","Rep. Mike Gallagher","2017-01-06","2017-01-06 18:45:39","Out-of-control government regulations are suffocating businesses, destroying jobs, and placing heavy economic burdens on our families in Northeast Wisconsin. Last night, I voted in favor of the REINS Act because it is crucial to unleashing U.S. economic growth by removing the needless red tape that has stifled our economy over the last eight years. It will restore government accountability, and return power from unelected bureaucrats back to the people through their elected officials.","status",NA,NA,16,1,3,0,0,0,0,0
"RepMikeGallagher","223635794750555_226083664505768","Rep. Mike Gallagher","2017-01-07","2017-01-07 19:49:42","Incredible story about a Wisconsin hero.","link","http://www.jsonline.com/story/news/local/wisconsin/2017/01/06/tense-rescue-earns-wisconsin-guardsman-aviation-medal/96167994/","jsonline.com",16,1,1,0,0,0,0,0
"RepMikeGallagher","223635794750555_226573117790156","Rep. Mike Gallagher","2017-01-08","2017-01-08 20:50:49",NA,"photo","https://www.facebook.com/Packers/photos/a.111839435072.90760.71671905072/10154581481070073/?type=3",NA,13,0,0,1,0,0,0,0
"RepMikeGallagher","223635794750555_227003627747105","Rep. Mike Gallagher","2017-01-09","2017-01-09 17:12:47","Today I'm displaying this blue light in my office window to show my appreciation for members of law enforcement. These brave men and women who put their lives on the line to keep our communities safe deserve our utmost respect.","photo","https://www.facebook.com/RepMikeGallagher/photos/a.224196394694495.1073741828.223635794750555/227003627747105/?type=3",NA,30,1,1,0,0,0,0,0
"RepMikeGallagher","223635794750555_227067994407335","Rep. Mike Gallagher","2017-01-09","2017-01-09 20:35:49","Don't forget to contact my office if you're planning a trip to Washington, D.C. We can help arrange tours of the U.S. Capitol, White House, Library of Congress and more. Click below for more information.","link","https://gallagher.house.gov/services/tours-and-tickets","gallagher.house.gov",24,0,0,0,0,0,0,0
"RepMikeGallagher","223635794750555_227136061067195","Rep. Mike Gallagher","2017-01-10","2017-01-10 00:09:34","Today in the House we passed a bill that will assist in placing maternity health care professionals in areas that have a shortage. Coming from a family of physicians and OBGYN’s in Northeast Wisconsin, I’ve seen the need for this kind of improved health care access in many of our rural areas, and am proud we were able to pass the bill with bipartisan support.","status",NA,NA,12,2,0,1,0,0,0,0
"RepMikeGallagher","223635794750555_227541231026678","Rep. Mike Gallagher","2017-01-10","2017-01-10 17:55:15","I’m eager to get to work on the urgent tasks of modernizing our military, protecting the homeland, taking care of our veterans, and restoring peace through strength.","link","https://gallagher.house.gov/media/press-releases/congressman-mike-gallagher-selected-serve-house-armed-services-committee-0","gallagher.house.gov",39,2,5,2,0,0,0,0
"RepMikeGallagher","223635794750555_228059907641477","Rep. Mike Gallagher","2017-01-11","2017-01-11 20:16:20","Obligatory glass of milk on #nationalmilkday. Did you know that the 8th District is one of the leading milk-producing districts in the country?","photo","https://www.facebook.com/RepMikeGallagher/photos/a.224196394694495.1073741828.223635794750555/228059907641477/?type=3",NA,61,2,2,1,0,0,0,0
"RepMikeGallagher","223635794750555_228139777633490","Rep. Mike Gallagher","2017-01-12","2017-01-12 00:11:40","Proud to be a part of the effort to hold government accountable and return power back to the people who know best: the American people.","link","http://giphy.com/gifs/regulatory-reform-l0JMpawCf5lxDYNW0","giphy.com",14,1,1,0,0,0,0,0
"RepMikeGallagher","223635794750555_228568907590577","Rep. Mike Gallagher","2017-01-12","2017-01-12 19:12:32","Spoke to EWTN earlier about my Catholic faith and how I plan to best serve Northeast Wisconsin in Congress. Stay tuned!","photo","https://www.facebook.com/RepMikeGallagher/photos/a.224196394694495.1073741828.223635794750555/228568907590577/?type=3",NA,29,2,1,1,0,0,0,0
