"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepMikeTurner","9275036647_10154691856076648","Mike Turner","2017-01-03","2017-01-03 18:10:52","Today is the 115th Congress's #OpeningDay. It is an honor to continue to serve Ohio's 10th Congressional District. I look forward to great accomplishments for our country during this congress.","photo","https://www.facebook.com/RepMikeTurner/photos/a.10150484650621648.429687.9275036647/10154691856076648/?type=3",NA,26,7,0,0,0,0,0,0
"RepMikeTurner","9275036647_10154692420691648","Mike Turner","2017-01-03","2017-01-03 22:36:30","I am excited to work with the new administration as we move the economy forward and strengthen our national defense capabilities.  Click to read my statement on #OpeningDay of the 115th Congress.","link","https://turner.house.gov/media-center/press-releases/turner-set-to-serve-8th-term-in-us-house-of-representatives","turner.house.gov",139,12,5,3,0,0,0,0
"RepMikeTurner","9275036647_10154694063046648","Mike Turner","2017-01-04","2017-01-04 16:12:08","I'm in Washington for the start of the 115th Congress.   Click to watch my interview with WHIO.","video","https://youtu.be/PScsk0zmb2U",NA,22,9,1,1,0,0,0,0
"RepMikeTurner","9275036647_10154696633691648","Mike Turner","2017-01-05","2017-01-05 15:16:16","Yesterday I relayed my top priority to Mike Pence and it is a simple one: repeal sequestration.  Click to read my full statement.","link","https://turner.house.gov/media-center/press-releases/turner-pushes-repeal-of-sequestration-to-vp-elect-pence","turner.house.gov",31,6,0,1,0,0,0,0
"RepMikeTurner","9275036647_10154697750236648","Mike Turner","2017-01-05","2017-01-05 22:59:18","There's a #BetterWay than Obamacare. I've reintroduced 3 bills to ensure everyone has access to quality, affordable healthcare.  Click to read my full statement.","link","https://turner.house.gov/media-center/press-releases/turner-pushes-a-better-way-forward-on-healthcare","turner.house.gov",28,19,2,3,0,0,2,1
"RepMikeTurner","9275036647_10154699687771648","Mike Turner","2017-01-06","2017-01-06 15:12:43","I continue to strongly support Israel and I look forward to working with the new administration on strengthening this important relationship.","link","https://turner.house.gov/media-center/press-releases/turner-continues-to-stand-with-israel","turner.house.gov",43,11,3,2,0,0,1,2
"RepMikeTurner","9275036647_10154700406391648","Mike Turner","2017-01-06","2017-01-06 21:16:23","My thoughts are with the victims and families of the Fort Lauderdale attack.","status",NA,NA,15,2,0,0,0,0,3,0
"RepMikeTurner","9275036647_10154707995456648","Mike Turner","2017-01-09","2017-01-09 19:48:08","Thank you to our law enforcement for the work they do to protect our communities every day. #BackTheBlue","photo","https://www.facebook.com/RepMikeTurner/photos/a.10150484650621648.429687.9275036647/10154707995456648/?type=3",NA,34,3,3,0,0,0,0,0
"RepMikeTurner","9275036647_10154717991981648","Mike Turner","2017-01-12","2017-01-12 21:59:14","I would like to congratulate both parties on reaching a tentative agreement. RTA’s continued service to our community’s students, elderly and every day riders remains unmatched. I appreciate the continued dedication and hard work of the Dayton RTA employees. I hope to see this agreement approved and enacted as soon as possible.","status",NA,NA,23,2,0,0,0,0,0,0
"RepMikeTurner","9275036647_10154721189651648","Mike Turner","2017-01-13","2017-01-13 21:22:34","Today, I spoke on the House floor in support of General James Mattis as the next Secretary of Defense. Click here to watch my speech -- http://bit.ly/2j9iGfY","video","http://bit.ly/2j9iGfY",NA,38,8,1,0,0,0,0,2
"RepMikeTurner","9275036647_10154721203321648","Mike Turner","2017-01-13","2017-01-13 23:00:00","I would like to thank Secretary Fanning for awarding me with the U.S. Army Decoration for Distinguished Civilian Service Award.  Click here to read more about the highest civilian award presented by the Army. http://bit.ly/2ittWVQ","link","http://bit.ly/2ittWVQ","bit.ly",41,4,2,2,0,0,0,0
"RepMikeTurner","9275036647_10154729574486648","Mike Turner","2017-01-16","2017-01-16 18:57:50","Today, we honor the life and legacy of Dr. Martin Luther King Jr. #MLKDay","status",NA,NA,18,5,0,0,0,0,0,0
"RepMikeTurner","9275036647_10154732096906648","Mike Turner","2017-01-17","2017-01-17 17:07:05","Yesterday, I stopped by WDTN-TV to talk about inauguration and goals for the new Congress.","video","https://youtu.be/khG1q5pgx8Y",NA,8,3,1,0,0,0,0,0
"RepMikeTurner","9275036647_10154738017346648","Mike Turner","2017-01-20","2017-01-20 20:00:05","I would like to congratulate President Trump and Vice President Pence on their #inauguration today. I look forward to working with them in the near future.","photo","https://www.facebook.com/RepMikeTurner/photos/a.10150484650621648.429687.9275036647/10154738017346648/?type=3",NA,47,8,1,4,0,0,1,0
"RepMikeTurner","9275036647_10154738357901648","Mike Turner","2017-01-23","2017-01-23 14:12:56","Making Dayton the home of the VA archives has been a longstanding goal that I have worked for with our community and I look forward to seeing this honor come to life.  Click to read my statement.","link","https://turner.house.gov/media-center/press-releases/turner-applauds-dayton-receiving-va-archives","turner.house.gov",33,1,1,3,0,0,0,0
"RepMikeTurner","9275036647_10154755269061648","Mike Turner","2017-01-24","2017-01-24 15:00:15","I would like to congratulate my friend, former Congresswoman Heather Wilson on her nomination to become Secretary of the Air Force.  Click below to read my statement.","link","https://turner.house.gov/media-center/press-releases/turner-supports-trump-s-air-force-sec-nominee","turner.house.gov",35,2,0,0,0,0,0,0
"RepMikeTurner","9275036647_10154760210201648","Mike Turner","2017-01-25","2017-01-25 17:28:05","I have sent a letter to the Chairman of the Board of Trustees for the National Aviation Hall of Fame upon receiving troubling information.  Click below to read my letter and my statement.","link","https://turner.house.gov/media-center/press-releases/turner-launches-investigation-into-aviation-hall-of-fame","turner.house.gov",29,14,4,0,0,0,3,2
"RepMikeTurner","9275036647_10154774403026648","Mike Turner","2017-01-31","2017-01-31 13:00:05","I met with University of Dayton President Eric Spina to discuss some of UD's new projects and initiatives. I look forward to working with him in the future.","photo","https://www.facebook.com/RepMikeTurner/photos/a.10150484650621648.429687.9275036647/10154774403026648/?type=3",NA,15,4,0,0,0,0,0,0
