"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepMimiWalters","1522622914666577_1802633713332161","Rep Mimi Walters","2017-01-02","2017-01-02 16:27:00","Rep. Tom Price worked as a doctor for nearly 20 years before serving the people of Georgia's 6th District in the U.S. House of Representatives. Now, he has been nominated to serve as the next Secretary of Health and Human Services. He is an excellent choice. I have no doubt he will work tirelessly to ensure all Americans have quality, affordable healthcare. Learn more about him here:","link","https://tomprice.house.gov/about/full-biography","tomprice.house.gov",27,41,9,1,1,0,0,29
"RepMimiWalters","1522622914666577_1803492029912996","Rep Mimi Walters","2017-01-01","2017-01-01 21:07:00","As 2016 comes to a close, so does the 114th Congress. Over the last two years, our country has faced great challenges, but we have also experienced tremendous success. Now, as we look ahead to the New Year, Congress has the opportunity to fulfill our duty to the American people by implementing even more solutions that will put our country back on the right path.  Check out my op-ed in today's Orange County Register:","link","http://www.ocregister.com/articles/country-739853-experienced-challenges.html","ocregister.com",28,16,2,1,0,0,1,5
"RepMimiWalters","1522622914666577_1803497439912455","Rep Mimi Walters","2017-01-01","2017-01-01 17:02:00","Wishing you and your loved ones a happy new year!","photo","https://www.facebook.com/RepMimiWalters/photos/a.1531730260422509.1073741829.1522622914666577/1803497439912455/?type=3",NA,42,11,1,1,1,0,0,0
"RepMimiWalters","1522622914666577_1804350063160526","Rep Mimi Walters","2017-01-03","2017-01-03 17:05:50","Great morning welcoming the newest Representatives! Excited to work with them in the 115th Congress","photo","https://www.facebook.com/RepMimiWalters/photos/a.1531282357133966.1073741828.1522622914666577/1804348706493995/?type=3",NA,91,13,1,0,0,0,0,0
"RepMimiWalters","1522622914666577_1804350173160515","Rep Mimi Walters","2017-01-03","2017-01-03 21:17:01","On Thursday, the House will vote to oppose the UN's anti-Israel resolution. I am proud to be an original cosponsor of this legislation. The Obama Administration's refusal to veto this resolution and stand up for one of our closest allies is another example of its failed foreign policy. In the House, national security is a top priority, and we will not turn our backs on our allies.","link","https://www.majorityleader.gov/2017/01/02/leader-mccarthy-chairman-royce-announce-vote-opposing-anti-israel-un-resolution/","majorityleader.gov",146,29,4,9,1,0,0,6
"RepMimiWalters","1522622914666577_1804464726482393","Rep Mimi Walters","2017-01-04","2017-01-04 03:45:01","Today is the first day of the 115th Congress. I'm honored to represent #CA45 and excited to implement House Republicans' #BetterWay agenda.","photo","https://www.facebook.com/RepMimiWalters/photos/a.1531730260422509.1073741829.1522622914666577/1804464726482393/?type=3",NA,55,11,2,2,0,0,0,2
"RepMimiWalters","1522622914666577_1804795643115968","Rep Mimi Walters","2017-01-04","2017-01-04 19:03:01","I am humbled to serve the people of #CA45 in the U.S. House of Representatives. It is a tremendous honor to represent the people of Orange County, and it is a responsibility I take very seriously.  As we begin the 115th Congress, we have a renewed opportunity to fulfill our duty to the American people by enacting legislation that will put our country back on the right path. As part of a unified Republican government, I am excited to implement our #BetterWay agenda to grow our economy, keep us safe, improve access to healthcare, and increase opportunities for all Americans.  I look forward to working with my colleagues on both sides of the aisle to implement solutions. Please do not hesitate to contact our office if we can be of service to you in any way.","link","https://walters.house.gov/media-center/press-releases/rep-walters-sworn-115th-congress","alters.house.gov",249,56,5,5,0,0,0,6
"RepMimiWalters","1522622914666577_1804827466446119","Rep Mimi Walters","2017-01-04","2017-01-04 22:06:00","I voted for the Midnight Rules Relief Act because last minute regulations from the Obama Administration don't serve the American people. Outgoing Administrations shouldn't rush to implement regulations that end up costing American taxpayers billions of dollars. The House has passed legislation to prevent it, and it is my hope the Senate considers this bill expeditiously.","photo","https://www.facebook.com/RepMimiWalters/photos/a.1531730260422509.1073741829.1522622914666577/1804827466446119/?type=3",NA,47,29,2,2,0,0,0,15
"RepMimiWalters","1522622914666577_1804907139771485","Rep Mimi Walters","2017-01-05","2017-01-05 03:44:00","I'm honored by the opportunity to serve on the House Committee on Energy and Commerce this Congress. With a unified Republican government, we will put our country back on the right path. The Committee will play a critical role in reforming our healthcare system, keeping energy affordable, and growing our economy. I'm excited to work on these pressing issues and enact real solutions for the American people.   Many of my constituents work in industries that are directly affected by the Committee’s work, and serving in this new role will allow me to continue to serve as an effective advocate for them.  I'm looking forward to working with the Committee on issues that impact the people I represent.","link","https://walters.house.gov/media-center/press-releases/rep-walters-serve-energy-commerce-committee","alters.house.gov",104,19,2,4,0,0,0,8
"RepMimiWalters","1522622914666577_1805188453076687","Rep Mimi Walters","2017-01-05","2017-01-05 20:10:01","When I took the oath of office, I swore to protect & defend the U.S. Constitution. Today, I joined my colleagues in reading our founding document on the House Floor. We are committed to upholding the Constitution and the enduring principles for which it stands.","link","https://www.c-span.org/video/?420996-1%2Fus-house-members-read-us-constitution&live","c-span.org",147,28,7,8,2,0,0,0
