"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepMoBrooks","155220881193244_1190788314303157","Congressman Mo Brooks","2017-01-03","2017-01-03 22:23:52","Today I opposed inclusion of major changes to the Ethics Office in the rules package that will govern House operations for the next two years. While I would support reasoned strengthening of the ethics process, I cannot support last-minute, major policy revisions without a thorough and public debate on the merits of reforms. I am thankful that President-elect Trump agreed and intervened.  House Leadership acted wisely when it withdrew the proposed Ethics Office changes.","link","https://brooks.house.gov/media-center/news-releases/news-release-brooks-statement-office-congressional-ethics","brooks.house.gov",228,30,15,4,0,0,0,0
"RepMoBrooks","155220881193244_1190915977623724","Congressman Mo Brooks","2017-01-04","2017-01-04 02:09:42","As the 115th Congress begins its work, I’m grateful for the opportunity to tackle head-on the pressing issues the American people elected a unified Republican House, Senate, and President to address. I appreciate the trust that the citizens of North Alabama have placed in me. It’s a tremendous honor to continue serving the people of Alabama’s Fifth Congressional District.","link","https://brooks.house.gov/media-center/news-releases/brooks-sworn-fourth-term-us-house","brooks.house.gov",237,23,13,9,0,1,3,1
"RepMoBrooks","155220881193244_1191522300896425","Congressman Mo Brooks","2017-01-04","2017-01-04 21:35:49","Today Vice President-elect Mike Pence addressed the House Republican Conference saying “Priority #1” is keeping the promises Donald Trump made to the American people during the presidential campaign. While Congress has many pressing agenda items, repealing and replacing ObamaCare is the first order of business, and I look forward to voting to help the Trump Administration deliver its campaign promises.","link","https://brooks.house.gov/media-center/news-releases/vice-president-elect-mike-pence-keep-our-promises-american-people","brooks.house.gov",250,72,37,17,3,1,1,12
"RepMoBrooks","155220881193244_1191582284223760","Congressman Mo Brooks","2017-01-04","2017-01-04 23:39:36","The House just passed the Midnight Rules Relief Act which would give Congress the ability to overturn federal regulations rushed though in the last days of the outgoing Obama Administration. While growing federal regulations are nothing new, their number and cost have skyrocketed under the Obama Administration. I was glad to support this legislation to reclaim Congress’ legislative authority and curtail the influence of unelected bureaucrats whose regulations have stifled America's economy and burdened working families.","photo","https://www.facebook.com/RepMoBrooks/photos/a.157366447645354.32248.155220881193244/1191582284223760/?type=3",NA,235,25,29,11,1,2,0,4
"RepMoBrooks","155220881193244_1192376177477704","Congressman Mo Brooks","2017-01-06","2017-01-06 00:20:36","In the waning days of the outgoing Obama Administration, the United States failed to veto an anti-Israel United Nations resolution. This move is a dangerous violation of our longstanding, bipartisan friendship with Israel. Today I voted on House legislation to condemn and repeal the destructive resolution. Permitting the resolution to pass by “taking a walk” is harmful, counterproductive to peace, and emboldens those who wish to destroy Israel and murder Israelis.","link","https://brooks.house.gov/media-center/news-releases/us-house-rejects-anti-israel-un-resolution","brooks.house.gov",205,31,18,12,0,2,1,1
"RepMoBrooks","155220881193244_1195801740468481","Congressman Mo Brooks","2017-01-10","2017-01-10 14:59:37","While Alabama Football won't be bringing home the championship trophy, the team can be proud of their tremendous effort against Clemson and an exceptional season. #RollTide","link","http://www.secsports.com/article/18441869/alabama-falls-short-vs-clemson-championship-rematch","secsports.com",92,4,2,4,0,0,0,0
"RepMoBrooks","155220881193244_1195919913789997","Congressman Mo Brooks","2017-01-10","2017-01-10 19:08:03","I enjoyed visiting with Stephen Richardson of Decatur and congratulating him on being selected as a finalist to the American Trucking Associations' Captains of America’s Road Team, a national public outreach program that educates fellow motorists and the general public about safety and security on the highway. I wish him the best of luck as the association names team members tomorrow.","photo","https://www.facebook.com/RepMoBrooks/photos/a.157366447645354.32248.155220881193244/1195919913789997/?type=3",NA,28,4,1,1,0,0,0,0
"RepMoBrooks","155220881193244_1195975290451126","Congressman Mo Brooks","2017-01-10","2017-01-10 20:22:26","My friend and colleague, Senator Jeff Sessions, is a man of integrity and has a deep respect for the rule of law. He will restore support for America’s law officers, protect religious freedoms across the country, and enforce federal immigration law. I am appalled by unfounded attacks on his character and today attended Senator Sessions’ confirmation hearing to convey my unwavering support for his leadership in the Senate and future service to America as the next U.S. Attorney General. #ConfirmSessions","photo","https://www.facebook.com/RepMoBrooks/photos/a.157366447645354.32248.155220881193244/1195975290451126/?type=3",NA,441,73,31,26,1,0,0,14
"RepMoBrooks","155220881193244_1197702386945083","Congressman Mo Brooks","2017-01-12","2017-01-12 19:47:39","Today, the Center for Immigration Studies released a report highlighting the Obama Administration’s abysmal immigration enforcement numbers. Astoundingly, deportations of criminal aliens fell by nearly 3,000 in the last year, out of an estimated total population of 2 million criminal aliens. I was glad to join the conversation and discuss the opportunity America now has under the Trump Administration to take action on meaningful improvements to immigration policies and enforce the existing laws on our books, which President Obama unconstitutionally declined to enforce.","link","http://cis.org/ICE-deportations-hit-10-yr-low","cis.org",29,12,5,1,0,0,1,2
"RepMoBrooks","155220881193244_1197854030263252","Congressman Mo Brooks","2017-01-13","2017-01-13 00:39:40","The House Armed Services Committee today passed a waiver, with my support, approving retired Marine General James “Mad Dog” Mattis for service as Secretary of Defense in President-elect Trump’s new administration. He is an outstanding, highly qualified selection. Gen. Mattis understands the complex threats facing our national security and will restore U.S. military readiness. He has received glowing endorsements across the military community in the Tennessee Valley, and I look forward to his strong leadership.","link","https://brooks.house.gov/media-center/news-releases/news-release-brooks-votes-approve-gen-mattis-secretary-defense","brooks.house.gov",265,13,12,13,0,0,0,1
"RepMoBrooks","155220881193244_1198422553539733","Congressman Mo Brooks","2017-01-13","2017-01-13 18:40:00","ObamaCare has forced American’s to endure skyrocketing premiums and declining health care quality. It is one of the biggest boondoggles and failures ever forced on the American people. Since ObamaCare’s passage, voters have sent a clear message that Big Brother bureaucrats have no business forcing Americans to buy health insurance we don’t want and we can’t afford. Today I will vote in support of a “Budget” that will be used as a procedural vehicle to strip the worst provisions from ObamaCare. Much work remains for Congress to repeal ObamaCare in its entirety, but today’s vote is a key first step.","link","https://brooks.house.gov/media-center/news-releases/brooks-will-vote-partially-dismantle-obamacare","brooks.house.gov",227,70,22,13,0,0,1,11
"RepMoBrooks","155220881193244_1201734953208493","Congressman Mo Brooks","2017-01-17","2017-01-17 21:59:20","As hundreds of Tennessee Valley residents prepare to travel to Washington, DC for the presidential inauguration Friday, here is a helpful article with information on navigating the city, including road and Metrorail station closures around the National Mall. I hope 5th District families enjoy their visit on this historic occasion and wish them safe travels to and from our nation’s capital.","link","https://washington.org/DC-guide-to/inauguration-day-frequently-asked-questions-washington-dc","ashington.org",81,13,21,2,0,0,1,0
"RepMoBrooks","155220881193244_1202550799793575","Congressman Mo Brooks","2017-01-18","2017-01-18 23:23:00","I’m excited to welcome Reps. Rosa DeLauro, Martha Roby, and Tulsi Gabbard as Co-Chairs of the Army Aviation Caucus in the 115th Congress. The caucus provides a forum for Members of Congress, Congressional staff, and the Army to improve support and communication for Army aviation. I look forward to working closely with the caucus to reaffirm Congress’ bipartisan commitment to aviation readiness.","link","https://brooks.house.gov/media-center/news-releases/brooks-welcomes-115th-army-aviation-caucus-co-chairs","brooks.house.gov",55,2,3,1,0,0,0,0
"RepMoBrooks","155220881193244_1203211203060868","Congressman Mo Brooks","2017-01-19","2017-01-19 18:09:26","Getting ready for #Inauguration2017 as Alabamians drop by my office to pick up tickets for the ceremony tomorrow! I hope everyone in attendance enjoys this historic occasion. #ALinDC","photo","https://www.facebook.com/RepMoBrooks/photos/a.157366447645354.32248.155220881193244/1203211203060868/?type=3",NA,109,22,7,7,2,0,1,1
"RepMoBrooks","155220881193244_1203954372986551","Congressman Mo Brooks","2017-01-20","2017-01-20 19:40:10","Congratulations to Donald J. Trump, the 45th President of the United States! President Trump gave a great speech today, and I look forward to helping him fulfill his promises by voting on legislation to repeal ObamaCare, make Mexico pay for an impenetrable border security wall, and restore America’s military and international reputation to greatness.","photo","https://www.facebook.com/RepMoBrooks/photos/a.157366447645354.32248.155220881193244/1203954372986551/?type=3",NA,299,23,9,17,0,1,4,2
"RepMoBrooks","155220881193244_1204011752980813","Congressman Mo Brooks","2017-01-20","2017-01-20 20:47:59","ICYMI: I joined MSNBC last night to defend President Donald Trump against left-wing media attacks.","video","https://www.facebook.com/RepMoBrooks/videos/1204011752980813/",NA,161,48,20,3,7,1,0,4
"RepMoBrooks","155220881193244_1205020492879939","Congressman Mo Brooks","2017-01-21","2017-01-21 22:03:12","At the site of President Trump's historic inauguration celebrating with staff, family, America's next Attorney General Jeff Sessions and his wife Mary!","photo","https://www.facebook.com/RepMoBrooks/photos/a.157366447645354.32248.155220881193244/1205020492879939/?type=3",NA,740,29,15,42,1,0,1,2
"RepMoBrooks","155220881193244_1206662799382375","Congressman Mo Brooks","2017-01-23","2017-01-23 17:18:53","Martha and I considered it a good problem to have when on Saturday so many Alabamians joined our tour of the Capitol they couldn’t all fit into the group photo. I’m grateful for all the visiting Alabamians who made Friday’s inauguration and this weekend extraordinary, and I wish them all safe travels home.","photo","https://www.facebook.com/RepMoBrooks/photos/a.157366447645354.32248.155220881193244/1206662799382375/?type=3",NA,166,17,16,10,0,0,0,0
"RepMoBrooks","155220881193244_1206958072686181","Congressman Mo Brooks","2017-01-23","2017-01-23 23:21:26","Alabama’s Fifth Congressional District’s loss is President Donald Trump’s gain as my Legislative Counsel Peter J. White heads to the White House to serve as Senior Policy Analyst on the Domestic Policy Council. Peter hails from North Alabama and is a 2001 Grissom High School graduate. I wish him the best in this new position and commend his selection – President Trump is gaining an exceptional staffer.","link","https://brooks.house.gov/media-center/news-releases/congressman-brooks-staffer-tapped-white-house-post","brooks.house.gov",393,16,25,8,1,7,0,0
"RepMoBrooks","155220881193244_1207890539259601","Congressman Mo Brooks","2017-01-24","2017-01-24 22:09:37","The House just passed H.R. 7, with my support, to permanently ban taxpayer funded abortions. It is wrong to force all American taxpayers, at the point of a federal gun, to pay for other peoples’ abortions that, according to all medical and scientific evidence, take an innocent life.","photo","https://www.facebook.com/RepMoBrooks/photos/a.157366447645354.32248.155220881193244/1207890539259601/?type=3",NA,693,106,108,75,0,2,0,17
"RepMoBrooks","155220881193244_1207931665922155","Congressman Mo Brooks","2017-01-25","2017-01-25 00:19:00","We had a great turnout at the first meeting of the Army Aviation Caucus in the 115th Congress. I appreciate the insights shared by the six primary Army Aviation leaders on the important work carried out by our service members as well as the challenges facing Army Aviation readiness. Our caucus is getting to work to ensure this critical area of our armed forces receives the support needed to face the demands of an ever-changing global landscape.","link","https://www.flickr.com/photos/58533574@N04/albums/72157679543369345","flickr.com",59,8,7,2,0,0,0,0
"RepMoBrooks","155220881193244_1208944515820870","Congressman Mo Brooks","2017-01-25","2017-01-25 21:30:59","I’m glad President Trump is quickly taking action to enforce our immigration laws, deport illegal aliens, and withhold federal funds from sanctuary cities. America is a nation of laws, first and foremost, and the President’s actions are a strong step toward restoring our country’s borders and broken immigration system.","link","http://www.foxnews.com/politics/2017/01/25/trump-orders-construction-border-wall-targets-sanctuary-cities.html","foxnews.com",371,73,33,27,0,1,1,42
