"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepMoolenaar","572656369536045_1000185963449748","Rep. John Moolenaar","2017-03-22","2017-03-22 23:11:38","Congratulations to Midland's own Joe Kaczynski for winning the gold medal in the 5K Freestyle Cross Country race at the Special Olympics in Austria on Monday!","link","http://www.ourmidland.com/news/article/Kaczynski-takes-gold-in-5k-skiing-race-at-World-11016803.php","ourmidland.com",81,4,6,10,0,0,0,0
"RepMoolenaar","572656369536045_1000316866769991","Rep. John Moolenaar","2017-03-22","2017-03-22 18:47:20","I had the opportunity to speak with Midwest Alliance of Sovereign Tribes. The president of the alliance is the Fourth District's own Frank Cloutier, the chief of the Saginaw Chippewa Indian Tribe. I was happy to speak with the group and hear about the issues tribes in our region are facing.","photo","https://www.facebook.com/RepMoolenaar/photos/a.587618808039801.1073741833.572656369536045/1000316780103333/?type=3",NA,43,15,1,0,0,0,0,0
"RepMoolenaar","572656369536045_1000888513379493","Rep. John Moolenaar","2017-03-23","2017-03-23 15:35:53","Congratulations to Mount Pleasant, Michigan on its 128th birthday today! Here's more history from the Morning Sun:","link","http://www.themorningsun.com/general-news/20170323/happy-birthday-mt-pleasant","themorningsun.com",26,6,1,1,0,0,0,0
"RepMoolenaar","572656369536045_1001051136696564","Rep. John Moolenaar","2017-03-23","2017-03-23 22:14:56","This week I have had meetings about issues in college education. I met with students from Central Michigan University and they shared their stories about being the first ones in their families to go to college. I also had a meeting with President Thomas Haas of Grand Valley State University. #Fireupchips #anchorup","photo","https://www.facebook.com/RepMoolenaar/photos/a.587618808039801.1073741833.572656369536045/1001050276696650/?type=3",NA,41,23,1,2,0,0,0,0
"RepMoolenaar","572656369536045_1001504679984543","Rep. John Moolenaar","2017-03-24","2017-03-24 16:24:34","Farmers from the Fourth District visited my office last week and we talked about the issues they are facing this year, including burdensome regulations, and tax reform. You can watch this video from Michigan Farm Bureau to see my comments and those of other members from Michigan.","video","https://www.youtube.com/watch?v=XUfdFflKGhs&feature=youtu.be",NA,20,26,0,0,0,0,0,0
"RepMoolenaar","572656369536045_1001535619981449","Rep. John Moolenaar","2017-03-24","2017-03-24 23:16:01","Good luck to Buckley Community School PTO tomorrow when it plays for the state championship in boys basketball!","link","http://www.9and10news.com/clip/13197260/buckley-tops-lansing-christian-reaches-state-class-d-final","9and10news.com",22,4,0,1,0,0,0,0
"RepMoolenaar","572656369536045_1003489626452715","Rep. John Moolenaar","2017-03-28","2017-03-28 19:09:04","FRIDAY DEADLINE: I am currently accepting applications for congressional internships in my Washington, D.C. office for summer 2017. The internship program is open to college students and recent graduates who are interested in learning more about our country’s legislative process and the day-to-day operations of a congressional office. Intern responsibilities include conducting tours of the U.S. Capitol, constituent data entry, researching federal legislation and assisting legislative staff. Interns will also have the opportunity to attend legislative briefings, congressional hearings and receptions on Capitol Hill. Applicants are asked to provide a cover letter, resume and any specific legislative issues or areas of interest. Applications should be submitted by close of business on Friday, March 31. For more information and to apply for the summer semester, please visit https://moolenaar.house.gov/internships","link","https://moolenaar.house.gov/internships","moolenaar.house.gov",8,3,5,1,0,0,0,0
"RepMoolenaar","572656369536045_1004108709724140","Rep. John Moolenaar","2017-03-28","2017-03-28 22:21:21","Over the weekend, farmers came together in Morrice in Shiawassee County to send feed and other supplies to those who have been hurt by wildfires in western states. Farmers across Michigan have been so generous, and I pray that all those participating in the convoys have safe travels.","link","http://www.lansingstatejournal.com/picture-gallery/news/local/2017/03/26/photos-michigan-convoy-brings-help-to-farmers-hurt-by-wildfires/99668912/","lansingstatejournal.com",120,8,5,13,1,0,0,0
"RepMoolenaar","572656369536045_1004549779680033","Rep. John Moolenaar","2017-03-29","2017-03-29 17:57:03","I had a great meeting this afternoon with the Michigan 4-H State Youth Leadership Group. 4-H inspires a new generation of leaders in agriculture and it does terrific work in communities across the Fourth District.","photo","https://www.facebook.com/RepMoolenaar/photos/a.587618808039801.1073741833.572656369536045/1004549779680033/?type=3",NA,66,30,6,3,0,0,0,0
"RepMoolenaar","572656369536045_1005073309627680","Rep. John Moolenaar","2017-03-30","2017-03-30 17:18:53","Bipartisanship today on Capitol Hill as Congressman Dan Kildee and I welcomed students from Central Michigan University to the Capitol. I am proud to represent CMU in the House and I know Congressman Kildee is proud to be a Chippewa alum. I hope the students had a great tour of the Capitol building and enjoy their visit to Washington. #FireUpChips","photo","https://www.facebook.com/RepMoolenaar/photos/a.587618808039801.1073741833.572656369536045/1005072976294380/?type=3",NA,59,11,1,1,0,0,0,0
