"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepMorganGriffith","141893975868919_1309423355782636","Congressman Morgan Griffith","2017-01-02","2017-01-02 17:00:00","TOPICS: Israel and Better Process Means Better Policy","link","http://morgangriffith.house.gov/news/documentsingle.aspx?DocumentID=398659","morgangriffith.house.gov",25,7,6,1,0,0,0,0
"RepMorganGriffith","141893975868919_1309480232443615","Congressman Morgan Griffith","2017-01-07","2017-01-07 17:00:32","Tune in today to see Bassett High School’s Jacob “Jake” Gusler and Christopher “Blake” Secrest perform with the U.S. Army All-American Marching Band!","link","http://www.usarmyallamericanbowl.com/","usarmyallamericanbowl.com",13,0,1,0,0,0,0,0
"RepMorganGriffith","141893975868919_1309655305759441","Congressman Morgan Griffith","2017-01-03","2017-01-03 00:49:45","A victory is in sight for those of us who want to change how Washington works. For years I have fought to reinstate the Holman rule, which would allow Members to further amend appropriations bills on the floor. With this rule, we can cut spending and reduce the number and compensation of federal employees.  Tonight, the House Republican Conference voted to adopt the Holman rule for this year. If this change is approved by the whole House tomorrow, we may be able to make real progress in reducing the deficit and debt.","link","http://thehill.com/blogs/pundits-blog/lawmaker-news/312234-adopting-old-school-rule-would-show-house-is-serious-about","thehill.com",39,28,15,1,0,0,0,2
"RepMorganGriffith","141893975868919_1310515235673448","Congressman Morgan Griffith","2017-01-03","2017-01-03 23:35:00","Today the Holman rule that I have fought for passed on the floor and became part of the House operating procedure for 2017.  For more information on this topic, see my column from the beginning of the 114th Congress: http://morgangriffith.house.gov/news/documentsingle.aspx?DocumentID=398384","link","http://thehill.com/blogs/pundits-blog/lawmaker-news/312234-adopting-old-school-rule-would-show-house-is-serious-about","thehill.com",10,24,2,2,0,0,0,2
"RepMorganGriffith","141893975868919_1311324008925904","Congressman Morgan Griffith","2017-01-04","2017-01-04 22:25:03","ICYMI: FreedomWorks Praises Adoption of the “Holman Rule” by the House of Representatives","link","http://www.freedomworks.org/content/freedomworks-praises-adoption-%E2%80%9Cholman-rule%E2%80%9D-house-representatives","freedomworks.org",17,38,2,1,0,0,1,7
"RepMorganGriffith","141893975868919_1312109352180703","Congressman Morgan Griffith","2017-01-05","2017-01-05 21:23:00","Today, Congressman Griffith met with Virginia Tech students to discuss space policy!","photo","https://www.facebook.com/RepMorganGriffith/photos/a.162192143839102.35842.141893975868919/1312109352180703/?type=3",NA,35,13,2,0,0,0,0,0
"RepMorganGriffith","141893975868919_1312976375427334","Congressman Morgan Griffith","2017-01-06","2017-01-06 21:14:00","Griffith Named Vice Chairman of Energy and Commerce Committee’s Subcommittee on Oversight and Investigations","link","http://morgangriffith.house.gov/news/documentsingle.aspx?DocumentID=398660","morgangriffith.house.gov",76,8,4,2,0,2,1,0
"RepMorganGriffith","141893975868919_1315465215178450","Congressman Morgan Griffith","2017-01-09","2017-01-09 23:46:00","Beyond Obamacare","link","http://morgangriffith.house.gov/news/documentsingle.aspx?DocumentID=398661","morgangriffith.house.gov",28,24,5,0,0,0,0,4
"RepMorganGriffith","141893975868919_1316122601779378","Congressman Morgan Griffith","2017-01-10","2017-01-10 18:54:00","Congressman Griffith will again serve on the Subcommittee on Health, the Subcommittee on Energy, and the Subcommittee on Oversight and Investigations of the House Energy and Commerce Committee.","link","http://morgangriffith.house.gov/news/documentsingle.aspx?DocumentID=398662","morgangriffith.house.gov",41,4,1,0,0,0,1,0
"RepMorganGriffith","141893975868919_1316992231692415","Congressman Morgan Griffith","2017-01-11","2017-01-11 19:38:00","This two-page bill is all we need to keep one of the good things found among the two thousand pages of Obamacare. While I support repealing Obamacare, I believe it is wrong to take away these Black Lung benefits that miners and their widows need.","link","http://morgangriffith.house.gov/news/documentsingle.aspx?DocumentID=398663","morgangriffith.house.gov",46,23,6,0,0,0,0,0
"RepMorganGriffith","141893975868919_1317997678258537","Congressman Morgan Griffith","2017-01-12","2017-01-12 18:26:31","Congressman Griffith visiting with the U.S. Capitol Police today!","photo","https://www.facebook.com/RepMorganGriffith/photos/a.162192143839102.35842.141893975868919/1317997678258537/?type=3",NA,58,4,1,0,0,0,0,0
"RepMorganGriffith","141893975868919_1321247144600257","Congressman Morgan Griffith","2017-01-16","2017-01-16 12:00:01","Today we celebrate the life and legacy of Dr. Martin Luther King, Jr.","link","http://morgangriffith.house.gov/news/documentsingle.aspx?DocumentID=398664","morgangriffith.house.gov",19,5,2,0,0,0,0,0
"RepMorganGriffith","141893975868919_1321902001201438","Congressman Morgan Griffith","2017-01-16","2017-01-16 22:18:00","TOPICS: The Congressional Review Act, General James Mattis, and the Presidential Inauguration","link","http://morgangriffith.house.gov/news/documentsingle.aspx?DocumentID=398665","morgangriffith.house.gov",16,12,4,1,0,0,1,1
"RepMorganGriffith","141893975868919_1322708271120811","Congressman Morgan Griffith","2017-01-17","2017-01-17 19:18:01","I am proud to recommend each of these students, and I commend them for their willingness to serve our nation, an honorable calling.","link","http://morgangriffith.house.gov/news/documentsingle.aspx?DocumentID=398666","morgangriffith.house.gov",58,3,1,0,0,0,0,0
"RepMorganGriffith","141893975868919_1323780827680222","Congressman Morgan Griffith","2017-01-18","2017-01-18 23:31:00","Going forward, we will continue to press for answers and solutions as our constituents voice complaints about the timeliness and quality of mail delivery in the Roanoke region.","link","http://morgangriffith.house.gov/news/documentsingle.aspx?DocumentID=398667","morgangriffith.house.gov",27,14,4,0,0,0,0,0
"RepMorganGriffith","141893975868919_1325343830857255","Congressman Morgan Griffith","2017-01-20","2017-01-20 15:31:25","The ritual of the presidential inauguration transcends individuals and parties and is part of what makes our nation unique.","link","http://morgangriffith.house.gov/news/documentsingle.aspx?DocumentID=398668","morgangriffith.house.gov",47,19,6,2,0,0,0,0
"RepMorganGriffith","141893975868919_1331191063605865","Congressman Morgan Griffith","2017-01-25","2017-01-25 20:10:00","Without congressional input, trade agreements are less likely to serve broad national interests.","link","http://morgangriffith.house.gov/news/documentsingle.aspx?DocumentID=398669","morgangriffith.house.gov",22,19,3,1,0,0,0,0
"RepMorganGriffith","141893975868919_1335940779797560","Congressman Morgan Griffith","2017-01-30","2017-01-30 23:18:00","A Time for Heroic Dreams","link","http://morgangriffith.house.gov/news/documentsingle.aspx?DocumentID=398671","morgangriffith.house.gov",28,23,9,0,1,0,0,0
"RepMorganGriffith","141893975868919_1337835726274732","Congressman Morgan Griffith","2017-02-01","2017-02-01 22:37:00","When the unnecessary, costly, and job-killing ""Stream Protection Rule"" was issued in December, I vowed to fight it with every tool available. I am pleased that a majority of my colleagues in the House joined the fight by supporting this resolution of disapproval.","link","http://morgangriffith.house.gov/news/documentsingle.aspx?DocumentID=398673","morgangriffith.house.gov",60,49,8,1,0,1,5,32
"RepMorganGriffith","141893975868919_1337883232936648","Congressman Morgan Griffith","2017-02-02","2017-02-02 00:15:00","Congressman Griffith: Medicaid Stability Hearing","video","https://www.youtube.com/watch?v=QERDGsaipW0&feature=youtu.be",NA,7,6,1,0,0,0,0,0
"RepMorganGriffith","141893975868919_1338642826194022","Congressman Morgan Griffith","2017-02-02","2017-02-02 17:18:00","It is time to research this further, and, where legal, to allow real doctors and real pharmacists to prescribe or dispense marijuana for legitimate medical reasons for real patients.","link","http://morgangriffith.house.gov/news/documentsingle.aspx?DocumentID=398674","morgangriffith.house.gov",84,19,21,7,0,0,0,1
"RepMorganGriffith","141893975868919_1338896066168698","Congressman Morgan Griffith","2017-02-02","2017-02-02 23:25:00","Strengthening Medicaid","video","https://www.youtube.com/watch?v=G-NdGISGpzQ&feature=youtu.be",NA,13,6,1,0,0,0,0,2
"RepMorganGriffith","141893975868919_1338984722826499","Congressman Morgan Griffith","2017-02-03","2017-02-03 02:00:00","Hearing on Obamacare","video","https://www.youtube.com/watch?v=cHGJAxRnzrw&feature=youtu.be",NA,15,21,1,1,0,0,0,0
"RepMorganGriffith","141893975868919_1339556172769354","Congressman Morgan Griffith","2017-02-03","2017-02-03 16:15:00","Improving broadband connectivity is a piece of the puzzle for economic development in Southwest Virginia.","link","http://morgangriffith.house.gov/news/documentsingle.aspx?DocumentID=398676","morgangriffith.house.gov",51,14,5,4,0,0,0,0
"RepMorganGriffith","141893975868919_1342986012426370","Congressman Morgan Griffith","2017-02-06","2017-02-06 23:05:00","TOPICS: Protecting the Second Amendment and A Victory for Jobs","link","http://morgangriffith.house.gov/news/documentsingle.aspx?DocumentID=398677","morgangriffith.house.gov",42,27,3,2,0,1,0,9
"RepMorganGriffith","141893975868919_1344085955649709","Congressman Morgan Griffith","2017-02-08","2017-02-08 01:09:00","Health Subcommittee Discussion","video","https://www.youtube.com/watch?v=OfYBtj19pks&feature=youtu.be",NA,7,3,0,0,0,0,0,0
"RepMorganGriffith","141893975868919_1344804338911204","Congressman Morgan Griffith","2017-02-08","2017-02-08 20:28:42","Congressman Griffith meeting with a citizen at traveling staff office hours in Roanoke County.","photo","https://www.facebook.com/RepMorganGriffith/photos/a.162192143839102.35842.141893975868919/1344804072244564/?type=3",NA,24,20,3,2,0,1,0,0
"RepMorganGriffith","141893975868919_1349138618477776","Congressman Morgan Griffith","2017-02-13","2017-02-13 22:30:00","Neil Gorsuch understands that a judge’s task is to interpret the Constitution and laws as written, not as he wishes.","link","http://morgangriffith.house.gov/news/documentsingle.aspx?DocumentID=398678","morgangriffith.house.gov",50,31,2,0,1,0,0,8
"RepMorganGriffith","141893975868919_1350038255054479","Congressman Morgan Griffith","2017-02-14","2017-02-14 22:01:00","Congressman Griffith meeting with WestRock employees.","photo","https://www.facebook.com/RepMorganGriffith/photos/a.162192143839102.35842.141893975868919/1350037128387925/?type=3",NA,34,7,2,0,0,0,0,0
"RepMorganGriffith","141893975868919_1350706138321024","Congressman Morgan Griffith","2017-02-15","2017-02-15 18:01:41","AC/DC and Jobs","video","https://www.youtube.com/watch?v=FQD_F8HPdHo&feature=youtu.be",NA,7,17,0,0,0,0,0,2
