"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepMullin","453637624684399_10155329158193891","Congressman Markwayne Mullin","2017-09-19","2017-09-19 19:33:29","Americans spend too much time and money filing their taxes. Click here to see our plan to make it fair and simple instead → http://bit.ly/2gNgFJm","video","https://www.facebook.com/RepMullin/videos/10155329158193891/",NA,34,19,5,2,0,1,0,2
"RepMullin","453637624684399_1135468209898944","Congressman Markwayne Mullin","2017-04-04","2017-04-04 14:20:03",NA,"event","https://www.facebook.com/events/1135468209898944/",NA,1,7,0,0,0,0,0,0
"RepMullin","453637624684399_1139963746051780","Congressman Markwayne Mullin","2017-01-01","2017-01-01 17:14:01","Happy New Year!","photo","https://www.facebook.com/RepMullin/photos/a.453725294675632.90831.453637624684399/1139963746051780/?type=3",NA,98,7,1,1,0,0,0,0
"RepMullin","453637624684399_1149240128457475","Congressman Markwayne Mullin","2017-01-03","2017-01-03 18:32:37","Today is opening day of the 115th Congress. This Congress, I’m dedicated to making America a better place for my five kids and for all American’s kids and grandkids.","photo","https://www.facebook.com/RepMullin/photos/a.453725294675632.90831.453637624684399/1149240128457475/?type=3",NA,689,43,9,57,2,0,0,1
"RepMullin","453637624684399_1149363548445133","Congressman Markwayne Mullin","2017-01-03","2017-01-03 22:32:47","When Speaker Paul Ryan says Boomer! at your swearing in, but your family bleeds orange. Go Pokes!","photo","https://www.facebook.com/RepMullin/photos/a.453725294675632.90831.453637624684399/1149363548445133/?type=3",NA,610,37,26,30,117,1,1,2
"RepMullin","453637624684399_1149857038395784","Congressman Markwayne Mullin","2017-01-04","2017-01-04 16:42:13","With all due respect Mr. President, Republicans don’t need rescuing. Our constituents need rescuing from increasing healthcare insurance premiums – up to 76% on average in Oklahoma. I’m disappointed that in his final days as president, President Obama is still insisting that partisanship is what our country needs right now, instead of Democrats and Republicans working together to find good policy solutions to problems facing America.","link","http://www.cnn.com/2017/01/04/politics/obama-capitol-hill-obamacare/index.html?adkey=bn","cnn.com",188,59,24,4,8,4,3,17
"RepMullin","453637624684399_1150702534977901","Congressman Markwayne Mullin","2017-01-05","2017-01-05 19:44:06","The House is tackling excessive regulations during the first week of the 115th Congress. Yesterday, we passed the Midnight Rules Relief Act of 2017 which amends the Congressional Review Act to allow Congress to effectively remove midnight rules put in place by the outgoing presidential administration. I voted in favor of the bill.     Today, the House will vote on the REINS Act which mandates federal agencies must have Congressional and Presidential approval before major rules go into effect. As a cosponsor of the bill, I fully support its passage.","link","http://www.usatoday.com/story/news/politics/2017/01/02/republican-congress-puts-priority-targeting-regulations-trump/96003180/","usatoday.com",96,14,2,6,0,0,0,1
"RepMullin","453637624684399_1150786201636201","Congressman Markwayne Mullin","2017-01-05","2017-01-05 22:51:10","I reintroduced the POWERS Act this week to curb the overreaching federal regulations enacted by the Obama administration and his bureaucracy. It’s time to put the power to create policy back in the hands of Congress alone.","link","http://mullin.house.gov/news/documentsingle.aspx?DocumentID=442","mullin.house.gov",84,9,5,2,0,0,0,0
"RepMullin","453637624684399_1151462131568608","Congressman Markwayne Mullin","2017-01-06","2017-01-06 19:07:42","WEEKLY WRAP-UP: What do Abraham Lincoln and Sequoyah have in common? They both faced challenges greater than ours. Join me in praying for our elected leaders and the future of our nation.","video","https://www.facebook.com/RepMullin/videos/1151462131568608/",NA,188,15,19,15,0,0,0,1
"RepMullin","453637624684399_1153726118008876","Congressman Markwayne Mullin","2017-01-09","2017-01-09 23:09:15","We should thank our law enforcement officials every day. This National Law Enforcement Appreciation Day, I’m displaying blue lights in my office windows to honor those who protect our communities from harm. Thank you for all that you do each and every day.","photo","https://www.facebook.com/RepMullin/photos/a.453725294675632.90831.453637624684399/1153726118008876/?type=3",NA,109,4,11,6,0,0,0,0
